,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--11省、自治区、直辖市的镇少数民族人口的文化程度状况(第二种口径),,,,,,,,,,,,,,,表3--11省、自治区、直辖市的镇少数民族人口的文化程度状况(第二种口径)(续01),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    6岁及6岁以上人口数,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,  5 285 103,    2 753 465,    2 531 638,    49 654,    39 361,    10 293,    135 347,    100 323,    35 024,    382 456,    219 854,    162 602,,,总计,    783 999,    425 209,    358 790,    1 657 104,    902 214,  754 890,    1 654 072,    860 253,    793 819,    622 471,    206 251,    416 220
北京市,    23 814,    12 665,    11 149,    548,    347,    201,    760,    469,    291,    1 481,    750,    731,,,北京市,    3 643,    1 937,    1 706,    8 975,    5 087,    3 888,    6 142,    3 331,    2 811,    2 265,    744,    1 521
天津市,    8 991,    4 571,    4 420,    34,    25,    9,    109,    62,    47,    361,    171,    190,,,天津市,    761,    380,    381,    2 914,    1 582,    1 332,    3 882,    2 037,    1 845,    930,    314,    616
河北省,    152 926,    77 750,    75 176,    1 094,    822,    272,    5 233,    3 637,    1 596,    12 292,    6 498,    5 794,,,河北省,    25 795,    13 647,    12 148,    48 206,    25 800,    22 406,    46 774,    23 205,    23 569,    13 532,    4 141,    9 391
山西省,    7 783,    4 193,    3 590,    62,    50,    12,    191,    142,    49,    327,    181,    146,,,山西省,    1 390,    761,    629,    3 160,    1 796,    1 364,    2 012,    1 033,    979,    641,    230,    411
内蒙古自治区,    481 254,      238 419,    242 835,    3 995,    3 004,    991,    11 753,    8 080,    3 673,    30 102,    15 420,    14 682,,,内蒙古自治区,    91 676,    45 373,    46 303,    162 781,    84 920,    77 861,    134 548,    65 043,    69 505,    46 399,    16 579,    29 820
辽宁省,    524 287,    259 861,    264 426,    3 354,    2 651,    703,    11 762,    8 080,    3 682,    22 820,    11 626,    11 194,,,辽宁省,    76 142,    41 380,    34 762,    208 556,    105 895,    102 661,    158 913,    76 517,    82 396,    42 740,    13 712,    29 028
吉林省,    330 805,    162 764,    168 041,    4 622,    3 651,    971,    8 869,    6 275,    2 594,    18 886,    9 426,    9 460,,,吉林省,    86 189,    44 726,    41 463,    1 11869,    56 761,    55 108,    75 454,    34 327,    41 127,    24 916,    7 598,    17 318
黑龙江省,    231 499,    120 031,    111 468,    2 092,    1 610,    482,    6 907,    4 652,    2 255,    11 550,    5 802,    5 748,,,黑龙江省,    44 127,    24 308,    19 819,    84 856,    45 536,    39 320,    62 154,    31 297,    30 857,    19 813,    6 826,    12 987
上海市,    1 144,    614,    530,    110,    65,    45,    77,    48,    29,    100,    41,    59,,,上海市,    265,    141,    124,    323,    180,    143,    228,    122,    106,    41,    17,    24
江苏省,    14 600,    7 240,    7 360,    154,    113,    41,    354,    237,    117,    700,    380,    320,,,江苏省,    2 374,    1 303,    1 071,    5 254,    2 765,    2 489,    4 197,    2 094,    2 103,    1 567,    348,    1 219
浙江省,    18 657,    9 307,    9 350,    187,    132,    55,    384,    269,    115,    1 516,    947,    569,,,浙江省,    2 208,    1 135,    1 073,    5 584,    2 849,    2 735,    6 023,    3 080,    2 943,    2 755,    895,    1 860
安徽省,    48 674,    23 922,    24 752,    217,    173,    44,    653,    467,    186,    1 271,    650,    621,,,安徽省,    5 232,    2 963,    2 269,    18 083,    9 376,    8 707,    15 436,    8 092,    7 344,    7 782,    2 201,    5 581
福建省,    20 296,    11 375,    8 921,    270,    232,    38,    496,    379,    117,    1 000,    630,    370,,,福建省,    2 790,    1 677,    1 113,    5 402,    3 232,    2 170,    7 612,    4 290,    3 322,    2 726,    935,    1 791
江西省,    6 504,    3 791,    2 713,    89,    70,    19,    216,    177,    39,    471,    284,    187,,,江西省,    1 445,    816,    629,    2 194,    1 256,    938,    1 686,    1 032,    654,    403,    156,    247
山东省,    65 930,    33 170,    32 760,    248,    185,    63,    737,    557,    180,    1 836,    1 005,    831,,,山东省,    5 826,    3 414,    2 412,    21 762,    12 246,    9 516,    24 539,    12 582,    11957,    10 982,    3 181,    7 801
河南省,    141 672,    70 665,    71 007,    371,    298,    73,    1 350,    979,    371,    3 250,    1 660,    1 590,,,河南省,    15 376,    8 539,    6 837,    52 529,    27 466,    25 063,    48 460,    25 110,    23 350,    20 336,    6 613,    13 723
湖北省,    72 804,    40 020,    32 784,    740,    637,    103,    3 591,    2 844,    747,    9 103,    5 179,    3 924,,,湖北省,    12 065,    6 828,    5 237,    21 683,    12 069,    9 614,    20 360,    10 920,    9 440,    5 262,    1 543,    3 719
