,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--12省、自治区、直辖市的县少数民族人口的文化程度状况(第二种口径),,,,,,,,,,,,,,,表3--12省、自治区、直辖市的县少数民族人口的文化程度状况(第二种口径)(续01),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    6岁及6岁以上人口数,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,  65 146 523,    33 286 801,    31 859 722,    19 885,    16 353,    3 532,    85 461,    68 508,    16 953,    435 584,    316 192,    119 392,,,总计,  2 153 749, 1 477 044,    676 705,    10 656 224,    6 922 112,  3 734 112,    30 047 507,  16 634 221,  13 413 286,  21 748 113,    7 852 371, 1 3 895 742
北京市,    65 258,    33 318,    31 940,    210,    130,    80,    358,    221,    137,    929,    511,    418,,,北京市,    5 528,    2 629,    2 899,    26 060,    13 739,    12 321,    22 971,    12 402,    10 569,    9 202,    3 686,    5 516
天津市,    22 277,    10 330,    11947,    4,    3,    1,    30,    25,    5,    128,    68,    60,,,天津市,    1 914,    930,    984,    7 687,    3 567,    4 120,    9 765,    4 689,    5 076,    2 749,    1 048,    1 701
河北省,    1 663 662,    861 050,    802 612,    257,    211,    46,    2 438,    1 922,    516,    11 008,    7 851,    3 157,,,河北省,    104 137,    70 936,    33 201,    462 171,    285 878,    176 293,    807 168,    397 686,    409 482,    276 483,    96 566,    179 917
山西省,    12 792,    5 009,    7 783,    6,    5,    1,    35,    29,    6,    86,    56,    30,,,山西省,    733,    357,    376,    4 407,    2 007,    2 400,    5 527,    2 092,    3 435,    1 998,    463,    1 535
内蒙古自治区,    2 424 037,    1 231 717,    1 192 320,    1 689,    1 337,    352,    5 927,    4 275,    1 652,    25 496,    15 578,    9 918,,,内蒙古自治区,    151 798,    90 318,    61 480,    570 701,    328 532,    242 169,    1 152 445,    587 045,    565 400,    515 981,    204 632,    311 349
辽宁省,    3 690 459,    1 912 266,    1 778 193,    1 111,    954,    157,    7 023,    5 377,    1 646,    28 505,    19 056,    9 449,,,辽宁省,    188 956,    119 725,    69 231,    1 193 125,    680 218,    512 907,    1 855 011,    938 900,    916 111,    416 728,    148 036,    268 692
吉林省,    1 274 358,    650 608,    623 750,    1 976,    1 585,    391,    4 146,    3 211,    935,    15 016,    9 404,    5 612,,,吉林省,    117 378,    67 848,    49 530,    433 131,    240 142,    192 989,      551 052,    273 310,    277 742,    151 659,    55 108,    96 551
黑龙江省,    1 035 592,    546 210,    489 382,    630,    538,    92,    3 526,    2 573,    953,    9 631,    5 986,    3 645,,,黑龙江省,    80 037,    50 146,    29 891,    321 076,    184 530,    136 546,    495 169,    253 908,    241 261,    125 523,    48 529,    76 994
上海市,    1 953,    883,    1 070,    43,    27,    16,    64,    34,    30,    120,    67,    53,,,上海市,    314,    169,    145,    762,    345,    417,    540,    225,    315,    110,    16,    94
江苏省,    39 540,    12 335,    27 205,    35,    25,    10,    159,    118,    41,    304,    179,    125,,,江苏省,    2 557,    1 076,    1 481,    12 480,    4 577,    7 903,    16 861,    5 092,      11 769,    7 144,    1 268,    5 876
浙江省,    159 723,    77 688,    82 035,    35,    27,    8,    161,    140,    21,    1 231,    959,    272,,,浙江省,    5 697,    3 260,    2 437,    33 027,    18 026,    15 001,    76 721,    41 565,    35 156,    42 851,    13 711,    29 140
安徽省,    138 888,    67 411,    71 477,    99,    81,    18,    338,    271,    67,    944,    620,    324,,,安徽省,    5 088,    3 412,    1 676,    32 323,    20 005,    12 318,    60 383,    30 242,    30 141,    39 713,    12 780,    26 933
福建省,    351 884,    186 093,    165 791,    167,    145,    22,    505,    440,    65,    1 953,    1 502,    451,,,福建省,    10 189,    7 873,    2 316,    43 884,    31 896,    11 988,    201 054,    114 155,    86 899,    94 132,    30 082,    64 050
江西省,    68 927,    36 663,    32 264,    49,    41,    8,    135,    109,    26,    571,    451,    120,,,江西省,    3 156,    2 447,    709,    13 647,    10 032,    3 615,    35 519,    18 919,    16 600,    15 850,    4 664,    11 186
山东省,    202 325,    93 858,    108 467,    43,    35,    8,    185,    139,    46,    820,    562,    258,,,山东省,    7 001,    4 616,    2 385,    45 449,    26 862,    18 587,    100 606,    47 216,    53 390,    48 221,    14 428,    33 793
河南省,    485 867,    246 963,    238 904,    238,    187,    51,    1 017,    756,    261,    2 486,    1 593,    893,,,河南省,    24 807,    15 972,    8 835,    146 538,    85 602,    60 936,    218 006,    110 111,    107 895,    92 775,    32 742,    60 033
湖北省,    1 682 688,    885 908,    796 780,    536,    492,    44,    3 580,    3 039,    541,    16 169,    12 139,    4 030,,,湖北省,    86 107,    61 515,    24 592,    343 523,    226 148,    117 375,    880 164,    463 512,    416 652,    352 609,    119 063,    233 546
