,,,,,,,,,,,,,,,
表3--1 3全国少数民族人口分年龄、性别的文化程度状况,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
  年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,小计,  男,  女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  54 883 511,  31 666 762,  23 216 749,  335 242,  231 712,  103 530,  504 455,    344 487,    159 968,    1 270 825,    768 058,    502 767,    4 040 500,    2 481 642,  1 558 858
6-9岁,    4 931 875,    2 655 076,    2 276 799,-,-,-,-,-,-,-,-,-,-,-,-
  6,    541 422,    291 870,    249 552,-,-,-,-,-,-,-,-,-,-,-,-
  7,    1 184 243,    637 707,    546 536,-,-,-,-,-,-,-,-,-,-,-,-
  8,    1 680 703,    902 567,    778 136,-,-,-,-,-,-,-,-,-,-,-,-
  9,    1 525 507,    822 932,    702 575,-,-,-,-,-,-,-,-,-,-,-,-
10-14岁,    8 275 650,    4 501 946,    3 773 704,    1,-,    1,-,-,-,    1 033,    402,    631,    6 584,    3 218,    3 366
  10,    1 674 249,    904 869,    769 380,-,-,-,-,-,-,    1,-,    1,-,-,-
  11,    1 627 810,    880 751,    747 059,-,-,-,-,-,-,-,-,-,-,-,-
  12,    1 620 900,    880 769,    740 131,-,-,-,-,-,-,-,-,-,-,-,-
  13,    1 644 097,    898 676,    745 421,-,-,-,-,-,-,    192,    75,    117,    809,    396,    413
  14,    1 708 594,    936 881,    771 713,    1,-,    1,-,-,-,    840,    327,    513,    5 775,    2 822,    2 953
15-19岁,    8 746 070,    4 774 370,    3 971 700,    22 714,    12 803,    9 911,    20 773,    9 899,    10 874,    196 197,    96 453,    99 744,    683 656,    376 948,    306 708
  15,    1 771 412,    972 276,    799 136,    2,    1,    1,-,-,-,    5 476,    2 324,    3 152,    32 420,    16 130,    16 290
  16,    1 803 793,    987 689,    816 104,    87,    44,    43,    190,    95,    95,    21 916,    9 700,    12 216,    97 880,    50 932,    46 948
  17,    1 738 169,    952 222,    785 947,    1 366,    697,    669,    1 224,    527,    697,    46 974,    22 865,    24 109,    171 009,    93 189,    77 820
  18,    1 722 273,    931 589,    790 684,    6 857,    3 720,    3 137,    5 513,    2 474,    3 039,    59 511,    29 852,    29 659,    194 379,    109 228,    85 151
  19,    1 710 423,    930 594,    779 829,    14 402,    8 341,    6 061,    13 846,    6 803,    7 043,    62 320,    31 712,    30 608,    187 968,    107 469,    80 499
20-24岁,    8 302 849,    4 536 517,    3 766 332,  105 024,    66 143,    38 881, 119 072,    68 564,    50 508,    263 306,    145 347,    117 959,    722 389,    407 938,    314 451
  20,    1 778 493,    952 693,    825 800,    21 242,    12 863,    8 379,    22 839,    12 091,    10 748,    6 1 535,    32 748,    28 787,    171 489,      97 094,    74 395
  21,    1 755 200,    954 375,    800 825,    25 211,    15 755,    9 456,    27 869,    15 659,    12 210,    56 680,    30 848,    25 832,    158 123,    88 415,    69 708
  22,    1 634 611,    898 060,    736 551,    22 285,    14 068,    8 217,    24 770,    14 331,    10 439,    48 412,    26 886,    21 526,    133 758,    75 069,    58 689
  23,    1 507 550,    831 674,    675 876,    17 825,    11 473,    6 352,    20 933,    12 610,    8 323,    45 924,    26 047,    19 877,    117 782,    66 568,    51 214
  24,    1 626 995,    899 715,    727 280,    18 461,    11 984,    6 477,    22 661,    13 873,    8 788,    50 755,    28 818,    21 937,    141 237,    80 792,    60 445
25-29岁,    6 472 535,    3 612 590,    2 859 945,    64 375,    44 014,    20 361,  104 858,    68 940,    35 918,    207 143,    120 474,    86 669,    1 029 108,    608 243,    420 865
  25,    1 634 263,    902 541,    731 722,    17 532,    11 855,    5 677,    23 563,    14 856,    8 707,    52 952,    30 504,    22 448,    174 961,    102 027,    72 934
  26,    1 578 333,    876 173,    702 160,    16 819,    11 245,    5 574,    26 273,    16 765,    9 508,    53 107,    30 371,    22 736,    220 999,    128 670,    92 329
  27,    1 612 055,    906 920,    705 135,    15 599,    10 941,    4 658,    28 022,    18 815,    9 207,    51 204,    30 209,    20 995,    285 740,    170 347,    115 393
  28,    953 126,    539 735,    413 391,    8 379,    5 795,    2 584,    15 640,    10 661,    4 979,    29 085,    17 339,    11 746,    186 606,    113 020,    73 586
  29,    694 758,    387 221,    307 537,    6 046,    4 178,    1 868,    11 360,    7 843,    3 517,    20 795,    12 051,    8 744,    160 802,    94 179,    66 623
30-34岁,    4 563 066,    2 640 458,    1 922 608,    24 891,    17 723,    7 168,    67 281,    48 469,    18 812,    143 251,    88 947,    54 304,    881 116,    556 355,    324 761
  30,    890 197,    500 472,    389 725,    5 763,    4 085,    1 678,    12 531,    9 001,    3 530,    24 791,    14 859,    9 932,    201 282,    122 066,    79 216
  31,    824 645,    476 328,    348 317,    4 511,    3 172,    1 339,    11 264,    8 235,    3 029,    24 442,    14 946,    9 496,    184 058,    114 829,    69 229
  32,    1 018 398,    593 510,    424 888,    4 976,    3 558,    1 418,    14 056,    10 272,    3 784,    31 040,    19 153,    11 887,    203 144,    128 925,    74 219
  33,    939 231,    548 144,    391 087,    4 945,    3 535,    1 410,    14 560,    10 491,    4 069,    31 230,    19 676,    11 554,    163 003,    104 791,    58 212
  34,    890 595,    522 004,    368 591,    4 696,    3 373,    1 323,    14 870,    10 470,    4 400,    31 748,    20 313,    11 435,    129 629,    85 744,    43 885
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表3--13全国少数民族人口分年龄、性别的文化程度状况(续01),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
35-39岁,    4 139 777,    2 469 749,    1 670 028,    16 656,    12 047,    4 609,    66 367,    47 983,    18 384,    135 204,    87 748,    47 456,    320 597,    227 759,    92 838
  35,    985 049,    579 184,    405 865,    4 472,    3 222,    1 250,    16 241,    11 450,    4 791,    35 108,    22 501,    12 607,    115 487,    79 197,    36 290
  36,    907 803,    541 119,    366 684,    3 662,    2 608,    1 054,    14 801,    10 466,    4 335,    32 004,    20 496,    11 508,    81 562,    58 144,    23 418
  37,    817 125,    491 51 1,    325 614,    3 093,    2 221,    872,    12 857,    9 372,    3 485,    26 594,    17 396,    9 198,    54 562,    40 044,    14 518
  38,    769 222,    461 503,    307 719,    2 797,    2 050,    747,    11 605,    8 563,    3 042,    22 902,    14 994,    7 908,    39 774,    29 036,    10 738
  39,    660 578,    396 432,    264 146,    2 632,    1 946,    686,    10 863,    8 132,    2 731,    18 596,    12 361,    6 235,    29 212,    21 338,    7 874
40-44岁,    3 035 416,    1 844 253,    1 191 163,    17 092,    12 460,    4 632,    43 558,    33 517,    10 041,    100 931,    66 907,    34 024,    124 075,    86 915,    37 160
  40,    800 244,    479 095,    321 149,    3 247,    2 470,    777,    12 469,    9 561,    2 908,    23 192,    15 932,    7 260,    34 212,    24 529,    9 683
  41,    614183,    373 591,    240 592,    2 739,    2 019,    720,    9 594,    7 401,    2 193,    21 039,    13 835,    7 204,    25 511,    17 977,    7 534
  42,    576 836,    351 639,    225 197,    2 802,    2 086,    716,    8 264,    6 431,    1 833,    21 038,    13 805,    7 233,    23 649,    16 412,    7 237
  43,    550 518,    338 422,    212 096,    3 574,    2 544,    1 030,    7 131,    5 489,    1 642,    19 402,    12 807,    6 595,    21 432,    14 855,    6 577
