表3-14全国各民族人口的文化程度状况,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
  民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  789 235 125, 445 547 738,  343 687 387, 6 138 484, 4 418 514,    1 719 970, 9 618 959, 6 559 621, 3 059 338, 17 283 681,10 130 670, 7 153 011, 72 603 846,44 632 787, 27 971 059
汉族,  734 351 614, 413 880 976,  320 470 638, 5 803 242, 4 186 802,    1 616 440, 9 114 504, 6 215 134, 2 899 370, 16 012 856, 9 362 612, 6 650 244, 68 563 346,42 151 145,26 412 201
蒙古族,    3 321 871,    1 768 767,    1 553 104,    36 358,    23 466,    12 892,    52 412,    32 587,    19 825,    113 558,    59 449,    54 109,  381 288,  209 230,  172 058
回族,    5 037 103,    2 871 006,    2 166 097,    50 898,    33 781,    17 117,    80 452,    50 989,    29 463,    140 890,    74 949,    65 941,  538 351,  295 451,  242 900
藏族,    1 215 772,    822 196,    393 576,    7 152,    4 910,    2 242,    13 240,    9 818,    3 422,    53 597,    33 627,    19 970,    40 988,    26 797,    14 191
维吾尔族,    4 419 473,  2 310 170,  2 109 303,    32 902,    20 995,    11 907,    31 601,    20 184,    11 417,    118 915,    67 321,    51 594,  252 446,    133 006,    119 440
苗族,    3 799 238,  2 435 187,  1 364 051,    9 179,    7 303,    1 876,    20 160,    15 872,    4 288,    62 153,    44 004,    18 149,  180 521,    131 001,    49 520
彝族,    2 959 424,  1 878 255,  1 081 169,    6 497,    4 746,    1 751,    10 655,    8 280,    2 375,    49 904,    36 321,    13 583,    86 761,    58 702,    28 059
壮族,  10 757 211,  6 107 313,  4 649 898,    30 066,    23 570,    6 496,    58 221,    45 028,    13 193,  180 336,  120 292,    60 044,  700 198,  481 883,    218 315
布依族,    1 311 453,    852 100,    459 353,    3 558,    2 633,    925,    6 286,    4 698,    1 588,    25 423,    17 628,    7 795,    42 369,    30 147,    12 222
朝鲜族,    1 582 031,    810 135,    771 896,    43 676,    30 317,    13 359,    39 339,    25 987,    13 352,    64 805,    31 022,    33 783,  337 705,  182 534,    155 171
满族,    7 514 775,  4 079 795,    3 434 980,    61 473,    40 674,    20 799,  100 807,    63 156,    37 651,  186 053,  102 134,    83 919,  715 915,  422 293,    293 622
侗族,    1 586 743,    970 167,    616 576,    5 102,    4 007,    1 095,    10 006,    7 792,    2 214,    30 031,    20 509,    9 522,    87 097,    62 131,    24 966
瑶族,    1 289 365,    770 774,    518 591,    3 643,    2 820,    823,    7 155,    5 513,    1 642,    20 894,    14 189,    6 705,    74 599,    53 645,    20 954
白族,    1 007 061,    601 534,    405 527,    8 023,    5 783,    2 240,    8 929,    6 495,    2 434,    25 256,    16 587,    8 669,    60 531,    39 948,    20 583
土家族,    3 843 252,    2 262 550,    1 580 702,    12 178,    9 598,    2 580,    28 600,    21 920,    6 680,    81 348,    54 585,    26 763,  260 560,  178 920,    81 640
哈尼族,    464 390,    311 510,    152 880,    709,    520,    189,    1 482,    1 197,    285,    6 985,    5 181,    1 804,    13 165,    9 060,    4 105
哈萨克族,    775 012,    407 937,    367 075,    5 958,    3 989,    1 969,    7 849,    5 453,    2 396,    29 057,    18 269,    10 788,    61 265,    32 701,    28 564
傣族,    530 439,    302 268,    228 171,    1 095,    726,    369,    1 891,    1 405,    486,    8 028,    4 536,    3 492,    14 047,    8 132,    5 915
黎族,    675 129,    379 843,    295 286,    1 457,    1 205,    252,    3 837,    3 092,    745,    9 253,    6 326,    2 927,    48 943,    34 757,    14 186
傈僳族,    195 670,    129 444,    66 226,    304,    230,    74,    679,    572,    107,    3 261,    2 420,    841,    3 379,    2 464,    915
佤族,    130 609,    78 448,    52 161,    172,    130,    42,    364,    285,    79,    1 824,    1 284,    540,    2 835,    1 831,    1 004
畲族,    408 480,    250 343,    158 137,    1 531,    1 220,    311,    1 979,    1 550,    429,    6 413,    4 581,    1 832,    20 978,    15 370,    5 608
高山族,    2 197,    1 169,    1 028,    67,    43,    24,    148,    100,    48,    109,    47,    62,    393,    201,    192
拉祜族,    107 744,    63 429,    44 315,    182,    129,    53,    304,    210,    94,    1 619,    928,    691,    2 330,    1 244,    1 086
水族,    152 010,    109 252,    42 758,    431,    337,    94,    684,    538,    146,    2 957,    2 083,    874,    5 384,    3 943,    1 441
东乡族,    60 406,    45 060,    15 346,    192,    166,    26,    326,    273,    53,    1 400,    1 057,    343,    2 391,    1 806,    585
纳西族,    180 689,    102 926,    77 763,    1 785,    1 270,    515,    1 981,    1 438,    543,    6 582,    4 053,    2 529,    10 825,    6 605,    4 220
景颇族,    58 059,    31 318,    26 741,    110,    73,    37,    207,    149,    58,    1 125,    605,    520,    1 411,    752,    659
柯尔克孜族,    86 836,    46 774,    40 062,    507,    388,    119,    772,    596,    176,    3 449,    2 420,    1 029,    4 979,    3 090,    1 889
土族,    88 640,    58 761,    29 879,    1 142,    838,    304,    943,    758,    185,    2 619,    1 708,    911,    6 893,    4 296,    2 597
达斡尔族,    90 615,    46 415,    44 200,    1 429,    776,    653,    2 380,    1 300,    1 080,    4 076,    1 775,    2 301,    11 806,    5 754,    6 052
仫佬族,    112 665,    61 865,    50 800,    543,    383,    160,    975,    672,    303,    2 715,    1 530,    1 185,    8 694,    5 290,    3 404
羌族,    113 723,    67 527,    46 196,    623,    446,    177,    852,    644,    208,    3 422,    2 215,    1 207,    5 590,    3 476,    2 114
布朗族,    29 255,    18 900,    10 355,    38,    28,    10,    84,    68,    16,    369,    242,    127,    509,    326,    183
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
    民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,,,,,,,,,,,,,,,
撒拉族,    24 918,    19 802,    5 116,    288,    242,    46,    294,    250,    44,    831,    660,    171,    1 419,    993,    426
毛南族,    51 644,    28 799,    22 845,    218,    174,    44,    431,    333,    98,    1 455,    916,    539,    4 064,    2 640,    1 424
仡佬族,    265 372,    170 229,    95 143,    966,    786,    180,    1 273,    1 000,    273,    4 045,    2 864,    1 181,    10 840,    7 959,    2 881
锡伯族,    135 817,    72 912,    62 905,    2 338,    1 441,    897,    3 248,    1 855,    1 393,    5 169,    2 632,    2 537,    16 774,    8 960,    7 814
阿昌族,    13 339,    8 055,    5 284,    44,    38,    6,    68,    55,    13,    274,    174,    100,    436,    296,    140
普米族,    13 293,    9 164,    4 129,    47,    38,    9,    94,    85,    9,    394,    291,    103,    368,    279,    89
塔吉克族,    18 326,    10 315,    8 011,    96,    82,    14,    122,    114,    8,    709,    567,    142,    861,    673,    188
怒族,    10 357,    6 176,    4 181,    33,    26,    7,    82,    71,    11,    378,    239,    139,    364,    226,    138
