,,,,,,,,,,,,,,,
表3--15全国各民族在校学生数,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
    民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,  男,  女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,182 014 379,  99 864 554,  82 149 825,    1 432 110,  964 745,  467 365, 1 367 874,  822 186,  545 688, 3 033 963, 1 581 506, 1 452 457,  9 245 500,  5 563 901, 3 681 599
汉族, 166 767 224,  91 324 690,  75 442 534,    1 329 376,  900 228,  429 148, 1 268 847,  762 653,  506 194, 2 767 367, 1 439 087, 1 328 280,  8 634 644,  5 214 823, 3 419 821
蒙古族,    990 920,    499 580,    491 340,    11 389,    6 492,    4 897,    10 417,    5 313,    5 104,    23 404,    10 700,    12 704,    71 056,    34 368,    36 688
回族,    1 328 949,    735 367,    593 582,    11 889,    7 126,    4 763,    11 158,    6 191,    4 967,    22 528,    10 787,    11 741,    71 584,    38 624,    32 960
藏族,    357 666,    209 554,    148 112,    2 808,    1 763,    1 045,    3 068,    2 026,    1 042,    12 187,    7 104,    5 083,    10 472,    5 538,    4 934
维吾尔族,    1 247 560,    637 334,    610 226,    12 471,    7 293,    5 178,    7 924,    4 241,    3 683,    22 238,    10 523,    11 715,    54 720,    25 276,    29 444
苗族,    1 133 711,    708 886,    424 825,    3 673,    2 737,    936,    4 970,    3 570,    1 400,    14 483,    9 178,    5 305,    29 788,    20 667,    9 121
彝族,    880 043,    536 534,    343 509,    2 571,    1 795,    776,    3 054,    2 181,    873,    11 646,    7 545,    4 101,    20 591,    12 934,    7 657
壮族,    3 018 603,    1 713 620,    1 304 983,    9 549,    6 838,    2 711,    13 072,    8 927,    4 145,    45 447,    25 509,    19 938,    84 900,    56 398,    28 502
布依族,    381 708,    239 914,    141 794,    1 306,    871,    435,    1 671,    1 107,    564,    6 181,    3 771,    2 410,    6 832,    4 472,    2 360
朝鲜族,    336 273,    172 130,    164 143,    9 559,    5 372,    4 187,    5 632,    2 968,    2 664,    9 630,    3 615,    6 015,    34 316,    18 007,    16 309
满族,    1 814 680,    938 116,    876 564,    16 579,    9 764,    6 815,    15 153,    7 630,    7 523,    35 760,    17 186,    18 574,    90 059,    48 403,    41 656
侗族,    439 485,    259 796,    179 689,    2 002,    1 467,    535,    2 455,    1 737,    718,    6 721,    4 057,    2 664,    13 251,    9 002,    4 249
瑶族,    369 684,    216 862,    152 822,    1 553,    1 146,    407,    1 553,    1 046,    507,    4 471,    2 489,    1 982,    9 639,    6 574,    3 065
白族,    303 951,    169 353,    134 598,    2 747,    1 774,    973,    2 286,    1 513,    773,    5 446,    3 124,    2 322,    13 528,    8 244,    5 284
土家族,    970 022,    553 238,    416 784,    5 435,    4 090,    1 345,    7 305,    5 158,    2 147,  20 807,    12 209,    8 598,    41 299,    27 213,    14 086
哈尼族,    170 131,    107 608,    62 523,    282,    193,    89,    513,    400,    113,    1 763,    1 224,    539,    3 736,    2 407,    1 329
哈萨克族,    260 691,    133 755,    126 936,    2 316,    1 389,    927,    2 447,    1 369,    1 078,    6 603,    3 620,    2 983,    16 555,    8 035,    8 520
傣族,    141 112,    73 875,    67 237,    437,    270,    167,    501,    355,    146,    1 995,    1 013,    982,    3 967,    2 199,    1 768
黎族,    234 996,    125 920,    109 076,    738,    607,    131,    965,    725,    240,    1 563,    858,    705,    5 403,    3 531,    1 872
傈僳族,    60 470,    37 529,    22 941,    145,    107,    38,    156,    125,    31,    783,    535,    248,    885,    572,    313
佤族,    43 104,    24 413,    18 691,    71,    48,    23,    90,    68,    22,    446,    277,    169,    752,    451,    301
畲族,    97 709,    55 742,    41 967,    538,    399,    139,    393,    279,    114,    1 321,    754,    567,    3 107,    2 152,    955
高山族,    489,    256,    233,    13,     7,    6,    35,    19,    16,    17,    10,    7,    40,    22,    18
拉祜族,    35 097,    19 002,    16 095,    96,    67,    29,    95,    62,    33,    452,    233,    219,    726,    353,    373
水族,    49 055,    34 438,    14 617,    157,    116,    41,    172,    115,    57,    737,    487,    250,    829,    573,    256
东乡族,    22 382,    15 750,    6 632,    65,    54,    11,    62,    44,    18,    384,    260,    124,    574,    372,    202
纳西族,    47 764,    25 966,    21 798,    619,    370,    249,    479,    296,    183,    1 222,    630,    592,    2 059,    1 125,    934
景颇族,    21 155,    10 905,    10 250,    42,    26,    16,    38,    27,    11,    305,    161,    144,    553,    287,    266
柯尔克孜族,    30 365,    15 909,    14 456,    184,    134,    50,    199,    138,    61,    634,    346,    288,    1 545,    892,    653
土族,    33 652,    19 744,    13 908,    514,    351,    163,    241,    180,    61,    648,    386,    262,    2 335,    1 297,    1 038
达斡尔族,    26 469,    12 953,    13 516,    337,    161,    176,    366,    157,    209,    573,    220,    353,    1 789,    775,    1 014
仫佬族,    34 164,    18 292,    15 872,    209,    140,    69,    190,    121,    69,    617,    285,    332,    1 385,    847,    538
羌族,    36 080,    20 531,    15 549,    271,    181,    90,      239,    156,    83,    584,    352,    232,    1 316,    758,    558
布朗族,    8 663,    5 109,    3 554,    14,    8,    6,    26,    17,    9,    98,    51,    47,    152,    89,    63
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
    民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
撒拉族,    10 408,    7 744,    2 664,    98,    78,    20,    33,    29,    4,    206,    147,    59,    363,    219,    144
毛南族,    16 992,    9 210,    7 782,    75,      59,    16,    83,    53,    30,    356,    184,    172,    508,    315,    193
仡佬族,    80 086,    49 243,    30 843,    488,    371,    117,    367,    272,    95,    864,    565,    299,    2 340,    1 611,    729
锡伯族,    39 359,    19 687,    19 672,    618,    296,    322,    691,    311,    380,    873,    386,    487,    3 092,    1 544,  1 548
阿昌族,    4 663,    2 588,    2 075,    11,    9,    2,    20,    14,    6,    105,    58,    47,    157,    110,    47
普米族,    4 755,    3 148,    1 607,    26,    19,    7,    27,    23,    4,    106,    72,    34,    112,    76,    36
塔吉克族,    5 814,    3 309,    2 505,    27,    22,    5,    28,    26,    2,    100,    74,    26,    167,    122,    45
怒族,    3 466,    1 841,    1 625,    13,    10,    3,    11,    8,    3,    80,    45,    35,    90,    48,    42
乌孜别克族,    3 327,    1 607,    1 720,    106,    47,    59,    57,    23,    34,    110,    47,    63,    408,    174,    234
俄罗斯族,    2 989,    1 428,    1 561,    118,    59,    59,    97,    35,    62,    145,    58,    87,    352,    163,    189
鄂温克族,    6 277,    3 017,    3 260,    46,    16,    30,    11 1,    58,    53,    123,    55,    68,    395,    157,    238
德昂族,    1 708,    901,    807,    2,    2,    -,    4,    4,    -,    18,    9,    9,    26,    17,    9
保安族,    1 063,    696,    367,    10,    6,    4,    12,    10,    2,    33,    19,    14,    69,    44,    25
