表3-17全国各民族分性别的文盲半文盲人口数,,,,,,,,,
,,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    人口数,,,    文盲、半文盲人口,,,    文盲、半文盲占同龄人口的百分,,
    民族别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    817 508 784,    418 956 809,    398 551 975,  181 609 097,    54 359 731,    127 249 366,    22.21,    12.98,    31.93
汉族,    757 258 446,    388 127 789,    369 130 657,  163 034 745,    48 040 451,    114 994 294,    21.53,    12.38,    31.15
蒙古族,    3 082 01 1,    1 567 941,    1 514 070,    549 075,    197 995,    351 080,    17.82,    12.63,    23.19
回族,    5 856 888,    2 963 154,    2 893 734,    1 939 093,    702 797,    1 236 296,    33.11,    23.72,    42.72
藏族,    2 946 181,    1 435 757,    1 510 424,    2 044 430,    799 861,    1 244 569,    69.39,    55.71,    82.40
维吾尔族,    4 366 283,    2 238 074,2 128 209,    1 160 557,    548 171,    612 386,    26.58,    24.49,    28.77
苗族,    4 812 894,    2 502 005,    2 310 889,    2 014 326,    656 866,    1 357 460,    41.85,    26.25,    58.74
彝族,    4 252 536,    2 158 304,    2 094 232,    2 113 823,    756 191,    1 357 632,    49.71,    35.04,    64.83
壮族,    10 322 377,    5 203 174,    5 1 19 203,    2 184 742,    503 069,    1 681 673,    21.17,    9.67,    32.85
布依族,    1 688 595,    852 260,    836 335,    722 958,    207 132,    515 826,    42.81,    24.30,    61.68
朝鲜族,    1 447 546,    708 897,    738 649,    101 260,    19 014,    82 246,    7.00,    2.68,    11.13
满族,    6 816 144,    3 591 232,    3 224 912,    777 673,    263 829,    513 844,    11.41,    7.35,    15.93
侗族,    1 700 360,    900 599,    799 761,    485 113,    136 132,    348 981,    28.53,    15.12,    43.64
瑶族,    1 353 107,    706 918,    646 189,    404 793,    125 180,    279 613,    29.92,    17.71,    43.27
白族,    1 078 806,    546 889,    531 917,    325 296,    80 089,    245 207,    30.15,    14.64,    46.10
土家族,    4 032 671,    2 131 573,    1 901 098,    1 018 025,    313 861,    704 164,    25.24,    14.72,    37.04
哈尼族,    794 789,    403 965,    390 824,    480 443,    183 802,    296 641,    60.45,    45.50,    75.90
哈萨克族,    634 015,    325 522,    308 493,    78 257,    29 576,    48 681,    12.34,    9.09,    15.78
傣族,    680 724,    337 306,    343 418,    287 314,    104 684,    182 630,    42.21,    31.04,    53.18
黎族,    679 434,    341 166,    338 268,    193 703,    61 328,    132 375,    28.51,    17.98,    39.13
傈僳族,    361 381,    183 094,    178 287,    227 335,    90 064,    137 271,    62.91,    49.19,    76.99
佤族,    216 179,    108 902,    107 277,    127 144,    52 963,    74 181,    58.81,    48.63,    69.15
畲族,    431 878,    235 081,    196 797,    126 766,    39 515,    87 251,    29.35,    16.81,    44.34
高山族,    2 056,    1 052,    1 004,    193,    54,    139,    9.39,    5.13,    13.84
拉祜族,    257 567,    131 000,    126 567,    184 695,    86 048,    98 647,    71.71,    65.69,    77.94
水族,    218 230,    111 955,    106 275,    109 518,    31 796,    77 722,    50.18,    28.40,    73.13
东乡族,    238 840,    123 433,    115 407,    197 347,    91 094,    106 253,    82.63,    73.80,    92.07
纳西族,    198 674,    99 312,    99 362,    56 461,    16 577,    39 884,    28.42,    16.69,    40.14
景颇族,    71 180,    34 014,    37 166,    31 431,    11 975,    19 456,    44.16,    35.21,    52.35
