表3-18全国各民族的行业门类人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业、,,,Ⅶ、房地产管理、公用事业、,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  民族别,,,,,,,      物资供销和仓储业,,,    居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    民族别,,,,,,,,,,,,,,,
    民族别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,,,,,,,总计,15 102 055,  8 846 725,  6 255 330,  1 450 491,    914 083,  536 408, 2 132 142, 1 289 832,  842 310,12 952 647,10 019 017, 2 933 630,  115 991,  82 566, 33 425
总计,  647 244 706,  356 230 253,  291 014 453,  467 593 223, 246 146 862,221 446 361,  86 578 757,  49 452 189,  37 126 568,    798 147,    600 208,    197 939,,,总计,  11 642 485,  9 759 181,  1 883 304,  11 751 280,  9 569 472,  2 181 808, 25 771 405, 13 720 036, 12 051 369, 6 188 251,3 422 372,2 765 879, 5 167 832, 2 407 710, 2 760 122,,,汉族, 13 892 229,  8 072 342,  5 819 887,  1 392 948,    878 637,  514 311, 1 990 650, 1 197 972,  792 678,12 023 880, 9 289 436, 2 734 444,  110 037,  77 999, 32 038
汉族,  598 548 635,  330 020 156,  268 528 479,  426 999 105, 225 115 637,201 883 468,  83 668 835,  47 685 515,  35 983 320,    767 900,    577 150,    190 750,,,汉族,  11 257 067,  9 443 623,  1 813 444,  11 211 526,  9 121 247,  2 090 279, 24 429 015, 13 001 689, 11 427 326, 5 942 364, 3 292 116, 2 650 248, 4 863 079, 2 266 793, 2 596 286,,,蒙古族,    1 16 802,    61 946,    54 856,    5 383,    3 109,    2 274,    15 041,    9 173,    5 868,    94 163,    70 563,    23 600,    300,    234,    66
蒙古族,    2 164 382,    1 288 846,    875 536,    1 555 590,    923 374,    632 216,    174 482,    103 174,    71 308,    2 033,    1 452,    581,,,蒙古族,    25 056,    20 275,    4 781,    31 882,    25 183,    6 699,    96 386,    49 246,    47 140,    15 992,    7 190,    8 802,    31 272,    13 927,    17 345,,,回族,    1 18 943,    65 879,    53 064,    13 526,    8 057,    5 469,    16 825,    9 241,    7 584,    114 311,    81 874,    32 437,    1 333,    1 121,    212
回族,    4 540 819,    2 449 786,    2 091 033,    2 827 654,  1 447 797,  1 379 857,    773 627,    429 125,    344 502,    5 526,    3 974,    1 552,,,回族,    88 591,    68 460,    20 131,    123 553,    99 904,    23 649,  344 640,    180 384,    164 256,    70 809,    37 406,    33 403,    41 481,    16 564,    24 917,,,藏族,    109 635,    91 747,    17 888,    1 710,    1 033,    677,    5 705,    4 000,    1 705,    63 972,    50 351,    13 621,  445,    427,    18
藏族,    2 372 034,    1 243 639,    1 128 395,    2 056 608,  1 007 149,  1 049 459,    47 038,    31 21 1,    15 827,    1 533,    1 201,    332,,,藏族,    9 285,    6 640,    2 645,    25 037,    20 509,    4 528,    29 562,    18 571,    10 991,    5 649,    2 139,    3 510,    15 855,    8 661,    7 194,,,维吾尔族,    96 589,    52 392,    44 197,    1 744,    1 099,    645,    9 305,    6 562,    2 743,    67 016,    53 004,    14 012,    486,    376,    110
