,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--19全国少数民族分年龄、性别的各行业门类人口数,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
   单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,  Ⅶ、房地产管理、公用事业,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  年龄别,,,,,,,    、物资供销和仓储业,,,    、居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    年龄别,,,,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    385 418,    315 558,    69 860,    539 754,    448 225,    91 529,  1 342 390,    718 347,    624 043,    245 887,    130 256,  115 631,    304 753,    140 917,  163 836,,,总计,    1 209 826,    774 383,    435 443,    57 543,    35 446,    22 097,    141 492,    91 860,    49 632,    928 767,    729 581,    199 186,    5 954,    4 567,    1 387
总计,    48 696 071,    26 210 097,    22 485 974,  40 594 118,    21031 225,  19 562 893,    2 909 922,    1 766 674,    1 143 248,    30 247,    23 058,    7 189,,,15-19岁,    26 723,    23164,    3 559,    27 183,    21883,    5 300,    81 645,    36 969,    44 676,    25 314,    9 614,  15 700,    8 599,    2 567,    6 032,,,15-19岁,    54 294,    33 717,    20 577,    1 154,    595,    559,    6 072,    2 654,    3 418,    31 095,    24 444,    6 651,    771,    588,    183
15-19岁,    6 997 398,    3 393 294,    3 604 104,    6 475 291,    3 1 10 832,    3 364 459,    258 641,    125 829,    132 812,    616,    438,    178,,,  15,    1 129,    1 022,    107,    809,    707,    102,    3 796,    1 999,    1 797,    1 830,    602,    1 228,    207,    80,    127,,,  15,    4 364,    3 824,    540,    27,    12,    15,    45,    20,    25,    356,    249,    107,    48,    32,    16
  15,    994 484,    441 114,    553 370,    971 118,    427 921,    543 197,    10 753,    4 645,    6 108,    2,    1,    1,,,  16,    2 772,    2 451,    321,    2 292,    1 908,    384,    8 374,    4 049,    4 325,    3 110,    1 103,    2 007,    543,    212,    331,,,  16,    5 809,    4 530,    1 279,    78,    40,    38,    264,    107,    157,    1 226,    863,    363,    100,    67,    33
  16,    1 266 872,    597 223,    669 649,    1 216 930,    570 198,    646 732,    25 341,    11 672,    13 669,    33,    23,    10,,,  17,    5 334,    4 706,    628,    4 879,    4 017,    862,    15 683,    7 224,    8 459,    5 063,    1 807,    3 256,    1 203,    430,    773,,,  17,    8 993,    5 940,    3 053,    186,    101,    85,    823,    372,    451,    4 486,    3 501,    985,    172,    137,    35
  17,    1 428 005,    702 408,    725 597,    1 331 658,    650 492,    681 166,    49 423,    23 609,    25 814,    102,    72,    30,,,  18,    7 642,    6 603,    1 039,    7 817,    6 237,    1 580,    23 097,    10 266,    12 831,    6 732,    2 625,    4 107,    2 398,    759,    1 639,,,  18,    14 032,    8 215,    5 817,    325,    179,    146,    1 759,    749,    1 010,    10 037,    8 072,    1 965,    192,    139,    53
  18,    1 608 108,    794 920,    813 188,    1 460 028,    715 042,    744 986,    73 848,    35 891,    37 957,    201,    143,    58,,,  19,    9 846,    8 382,    1 464,11 386,    9 014,    2 372,    30 695,    13 431,    17 264,    8 579,    3 477,    5 102,    4 248,    1 086,    3 162,,,  19,    21 096,    1 1 208,    9 888,    538,    263,    275,    3 181,    1 406,    1 775,    14 990,    11 759,    3 231,    259,    213,    46
  19,    1 699 929,    857 629,    842 300,    1 495 557,    747 179,    748 378,    99 276,    50 012,    49 264,    278,    199,    79,,,20-24岁,    66 884,    55 139,    11 745,    93 872,    75 532,    18 340,    219 657,    104 041,    115 616,    48 474,    22 567,    25 907,    42 019,    14 207,    27 812,,,20-24岁,    217 580,    118 565,    99 015,    7 032,    3 796,    3 236,    31 864,    16 921,    14 943,    130 093,    91 637,    38 456,    1 757,    1 446,    31 1
