表3-1省自治区直辖市各民族人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,  省、自治区、直辖市各民族人口数(续01),,,,,,,,,,,,,,,,,,  省、自治区、直辖市各民族人口数(续02),,,,,,,,,,,,,,,,,,表3-1单位：人,,,,,,,,,,,,,,,,,,    省、自治区、直辖市各民族人口数(续04),,,,,,,,,,,,,,,,,,表3-1单位：人,,,,,,,,,,,,,,,,,,,,,,,,  省、自治区、直辖市各民族人口数(续06),,,,,,,,,,,,,,,,,,,,,,,,表3-1单位：人,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-1单位：人,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,表3-1单位：人,,,,,,,,,,,,,,,,,,表3-1单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  表3-1单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表3-1单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    白族,,,    土家族,,,    哈尼族,,,    哈萨克族,,,    傣族,,,,,,,,,,,,,,,,,,,,,,,,    拉祜族,,,    水族,,,    东乡族,,,    纳西族,,,    景颇族,,,    柯尔克孜族,,,    土族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    锡伯族,,,    阿昌族,,,    普米族,,,    塔吉克族,,,    怒族,,,    乌孜别克族,,,    俄罗斯族,,,,,,    鄂温克族,,,    德昂族,,,    保安族,,,    裕固族,,,    京族,,,    塔塔尔族,,,    独龙族,,,,,,    鄂伦春族,,,    赫哲族,,,    门巴族,,,    珞巴放,,,    基诺族,,,  其他未识别的民族,,,  外国人加人中国籍,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,,,,,    藏族,,,    维吾尔族,,,    苗族,,,    彝族,,,    壮族,,,,,,    布依族,,,    朝鲜族,,,    满族,,,    侗族,,,    瑶族,,,,,    地区别,,,,,,,,,,,,,,,,,,,    黎族,,,    傈僳族,,,    佤族,,,    畲族,,,    高山族,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,,    达斡尔族,,,    仫佬族,,,    羌族,,,    布朗族,,,    撒拉族,,,    毛南族,,,    仡佬族,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,,,,小计,  男,  女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,,小计,    男,    女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,    男,    女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,    男,    女,小计,  男,  女,小汁,    男,    女,    小计,    男,    女,小计,  男,  女,小计,  男,  女,小计,  男,  女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,  1 598 052,    810 200,    787 852,  5 725 049,  3 006 954,  2 718 095, 1 254 800, 640 653,  614 147,  1 110 758,  568 715,  542 043,  1 025 402,    511 327,  514 075,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,411 545, 209 492, 202 053, 347 116, 179 141, 167 975, 373 669,  192 634,181 035,  277 750,139 474,138 276,119 276, 58 271, 61 005,143 537, 73 128, 70 409,192 568, 98 905,93 663,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,总计,172 932,  90 786,  82 146,  27 718,  13 853,  13 865,  29 721,  15 083,  14 638,    33 223, 16 966,  16 257,  27 190,  13 694, 13 496, 14 763,  7 711,  7 052, 13 500,  6 290, 7 210,,,总计,  26 379,  13 154,  13 225,  15 461,  7 721,    7 740,  11 683,    6 003,  5 680,    12 293,  6 150,  6 143, 18 749,  8 963,  9 786,  5 064,  2 631,  2 433,  5 825,  2 792, 3 033,,,总计,    7 004,    3 388,    3 616,    4 254,    2 115,    2 139,    7 498,    3 740,    3 758,    2 322,  1 128,  1 194,  18 022,  9 096,  8 926, 752 347, 389 363, 362 984,    3 498,    788, 2 710
总计,1 130 510 638,  581 820 407,  548 690 231, 1 039 187 548,  535 013 953, 504 173 595,    4 802 407,    2 439 779,    2 362 628,    8 612 001,    4 373 932,  4 238 069,,,总计,  4 593 072,  2 269 082,  2 323 990,  7 207 024,  3 682 362,  3 524 662, 7 383 622, 3 831 500, 3 552 122, 6 578 524, 3 347 399, 3 231 125,15 555 820, 7 940 413,7 615 407,,,总计,  2 548 294,  1 295 474,  1 252 820,  1 923 361,    952 309,    971 052, 9 846 776, 5 145 707, 4 701 069, 2 508 624, 1 326 600,  1 182 024, 2 137 033,  1 115 025, 1 022 008,,,北京市,    870,    494,    376,    1 721,    1 018,    703,    36,    15,    21,    346,    198,    148,    102,    49,    53,,,总计,  1 112 498,    564 609,    547 889,    574 589,    291 629,  282 960,  351 980,  177 480,  174 500,  634 700,  339 228,  295 472,    2 877,    1 461,    1 416,,,北京市,    15,    7,    8,    45,    29,    16,    21,    14,    7,    157,    98,    59,    16,    7,    9,    27,    15,    12,    60,    39,    21,,,总计,121 463,  61 202,  60 261, 160 648,  81 672,  78 976, 198 303, 100 608,  97 695,    82 398, 42 015, 40 383,  87 546, 44 449, 43 097, 72 370, 37 443, 34 927,438 192, 234 767,203 425,,,北京市,    918,    449,    469,    3,    3,-,    9,    7,    2,    3,  2,    1,    2,    1,    1,    12,    6,    6,101,    46,    55,,,北京市,    66,    37,    29,   2,    2,-,    3,2,    1,    18,    11,    7,    11,    8,    3,    23,    11,    12,    1,    1,-,,,北京市,    32,    15,    17,    30,    15,    15,    8,    4,    4,    2,    1,    1,    2,    1,    1,    70,    49,    21,    56,    6,    50
北京市,    10 819 414,    5 593 461,    5 225 953,    10 405 351,    5 379 161,  5 026 190,    16 833,    8 771,    8 062,    207 050,    103 953,    103 097,,,北京市,    1 329,    798,    531,    2 020,    1 317,    703,    1 667,    993,    674,    659,    374,    285,    4 506,    2 296,    2 210,,,北京市,    387,    222,    165,    7 710,    3 728,    3 982,  165 043,    87 968,    77 075,    675,    398,    277,    437,    277,    160,,,天津市,    101,    63,    38,    470,    223,    247,    11,        6,    5,    2,    1,    1,    2,    1,    1,,,北京市,    109,    75,    34,    25,    13,    12,    7,    4,    3,    222,    144,    78,    60,    29,    31,,,天津市,-,-,-,    16,    5,    11,    2,    2,-,    27,    15,      12,-,-,-,    3,-,    3,    23,    16,    7,,,北京市,    313,    139,    174,    60,    35,    25,    50,    29,    21,    2,    2,-,    23,    15,    8,    21,    15,    6,    67,    45,    22,,,天津市,    173,    83,    90,    1,    1,-,    4,    2,    2,-,-,-,-,-,-,-,-,-,    36,    15,    21,,,天津市,    38,    26,    12,-,-,-,-,-,-,-,-,-,    1,    1,-,-,-,-,-,-,-,,,天津市,    9,    9,-,    2,-,    2,-,-,-,-,-,-,-,-,-,    13,    8,    5,    11,-,    11
天津市,    8 785 427,    4 470 746,    4 314 681,    8 582 761,    4 369 371,  4 213 390,     2 991,    1 425,    1 566,    161 229,    80 557,    80 672,,,天津市,    505,    247,    258,    199,    123,    76,    356,    141,    215,    83,    35,    48,    2 565,    507,    2 058,,,天津市,    95,    35,    60,    1 820,    846,    974,    31 345,    16 780,    14 565,    146,    61,    85,    147,    32,    115,,,河北省,    672,    133,    539,    2 051,    652,    1 399,    184,    33,    151,    4,    1,    3,    136,    24,    112,,,天津市,    13,    5,    8,    6,    4,    2,    1,-,    1,    23,    16,    7,    15,    5,    10,,,河北省,    62,    6,    56,    149,    34,    115,    1,-,    1,    325,    39,    286,    17,    4,    13,    3,    1,   2,    109,    44,    65,,,天津市,    127,    67,    60,    15,    2,    13,    1,    1,-,-,-,-,    2,    2,-,    17,-,    17,    20,    7,    13,,,河北省,    424,    216,    208,    11,    11,-,    20,    5,    15,    4,    1,    3,    5,-,    5,    1,    1,-,    70,    33,    37,,,河北省,    15,    6,    9,-,-,-,    2,-,    2,    3,    1,    2,    10,    3,    7,    17,    6,    11,    5,    1,    4,,,河北省,    18,    5,    13,    18,    8,    10,      5,    2,    3,    3,-,    3,    1,-,    1,    159,    94,    65,    58,    15,    43
河北省,    61 082 755,    31 210 112,    29 872 643,    58 673 662,  29 961 554,  28 712 108,    141 833,    75 463,    66 370,    493 899,    247 618,    246 281,,,河北省,    995,    402,    593,    279,    166,    113,    2 351,    674,    1 677,    995,    320,    675,    17 723,    2 116,    15 607,,,河北省,    1 281,    321,    960,    6 713,    3 068,    3 645, 1 735 203,  916 254,  818 949,    703,    153,    550,    897,    129,    768,,,山西省,    184,    77,    107,    881,    423,    458,    7,    3,    4,    11,    6,    5,    17,    3,    14,,,河北省,    134,    27,    107,    494,    63,    431,    40,    6,    34,    171,    111,    60,    247,    133,    114,,,山西省,    7,    2,    5,    19,    4,    15,    2,-,    2,    47,    19,    28,    6,    1,    5,-,-,-,    33,    13,    20,,,河北省,    235,    87,    148,    181,    32,    149,    53,      15,    38,    6,-,    6,    13,    5,    8,    52,    8,    44,    33,    8,    25,,,山西省,    154,    83,    71,-,-,-,    2,    2,-,-,-,-,-,-,-,-,-,-,    3,-,    3,,,山西省,    16,    7,    9,    1,-,    1,-,-,-,    1,-,    1,    5,    3,2,    2,    1,    1,    3,-,    3,,,山西省,    4,    1,    3,    3,-,    3,-,-,-,    1,-,    1,-,-,-,    217,    46,    171,    17,   7,    10
