表3-20全国各民族分职业大类的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, 单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,    Ⅶ、生产工人、运输,,,,,
,    在业人口总数,,,    Ⅰ、各类专业、技术人员,,,    Ⅱ、国家机关、党群组织、,,,    Ⅲ、办事人员和有关人员,,,    Ⅳ、商业工作人员,,,,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    工人和有关人员,,,    Ⅷ、不便分类的其他劳动者,,
  民族别,,,,,,,    企事业单位负责人,,,,,,,,,,,    民族别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,647 244 706, 356 230 253, 291 014 453,  34 393 821,  18 829 927, 15 563 894, 11 328 317, 10 024 495, 1 303 822, 11 275 891, 8 382 217, 2 893 674, 19 472 273, 10 385 995, 9 086 278,,,总计,  15 511 513,    7 502 533,    8 008 980,  456 819 731, 237 806 378,  219 013 353,  98 125 481,  63 1 15 886,  35 009 595,    317 679,    182 822,    134 857
汉族, 598 548 635, 330 020 1 56, 268 528 479,  32 231 864,  17 544 882, 14 686 982, 10 702 244, 9 467 181, 1 235 063, 10 636 347, 7 890 414, 2 745 933, 18 557 848, 9 921 723, 8 636 125,,,汉族,  14 817 111,    7 177 819,    7 639 292,  416 548 813, 217 043 969,  199 504 844,  94 751 982,  60 800 192,  33 951 790,    302 426,    173 976,    128 450
蒙古族,  2 164 382,  1 288 846,    875 536,    202 678,    101 364,    101 314,    58 484,    50 929,    7 555,    63 142,    45 570,    17 572,    58 136,    25 789,32 347,,,蒙古族,    49 374,    23 797,    25 577,    1 522 178,    896 694,    625 484,    208 325,    143 525,    64 800,    2 065,    1 178,    887
回族,  4 540 819,  2 449 786,  2 091 033,    278 878,    134 840,    144 038,    100 515,    83 598,    16 917,  103 916,    71 195,    32 721,  239 295,    124 087,  115 208,,,回族,    178 391,    83 396,    94 995,    2 801 927,  1 427 981,    1 373 946,    834 034,    522 374,    311 660,    3 863,    2 315,      1 548
