表3-21全国少数民族分年龄性别的职业大类人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,表3--21全国少数民族分年龄、性别的职业大类人口数(续02),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口总数,,,    Ⅰ、各类专业、技术人员,,,  Ⅱ、国家机关、党群组织、,,,    Ⅲ、办事人员和有关人员,,,    Ⅳ、商业工作人员,,,,,,    Ⅴ、服务性工作人员,,,  Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运输,,,    Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,    企事业单位负责人,,,,,,,,,,,    年龄别,,,,,,,    工人和有关人员,,,,,
,  合计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  48 696 071,  26 210 097,  22 485 974,    2 161 957,    1 285 045,    876 912,    626 073,    557 314,    68 759,  639 544,    491 803,    147 741,    914 425,    464 272,  450 153,,,,,,,,,,,,,,,
15-19岁,    6 997 398,    3 393 294,    3 604 104,    76 390,    42 588,    33 802,    673,    388,    285,    29 114,    23 289,    5 825,    54 449,    24 190,    30 259,,,总计,    694 402,    324 714,    369 688,    40 270 918,    20 762 409,    19 508 509,    3 373 499,    2 315 694,    1 057 805,    15 253,    8 846,    6 407
  15,    994 484,    441 114,    553 370,    4 805,    4 153,    652,    15,    11,    4,    240,    185,    55,    2 532,    1 372,    1 160,,,15-19岁,    62 258,    24 051,    38 207,    6 460 553,    3 101 753,    3 358 800,    311 381,    175 482,    135 899,    2 580,    1 553,    1027
  16,    1 266 872,    597 223,    669 649,    6 910,    5 167,    1 743,    38,    27,    11,    1 052,    764,    288,    5 510,    2 687,    2 823,,,  15,    3 656,    1 476,    2 180,    969 606,    427 096,    542 510,    13 566,    6 780,    6 786,    64,    41,    23
  17,    1 428 005,    702 408,    725 597,    11 621,    7 171,    4 450,    71,    43,    28,    4 267,    3 415,    852,    10 288,    4 658,    5 630,,,  16,    7 247,    2 848,    4 399,    1 214 860,    569 006,    645 854,    31 022,    16 582,    14 440,    233,    142,    91
  18,    1 608 108,    794 920,    813 188,    20 042,    10 463,    9 579,    157,    79,    78,    9 580,    7 892,    1 688,    15 331,    6 666,    8 665,,,  17,    12 661,    4 896,    7 765,    1 328 908,    648 737,    680 171,    59 705,    33188,    26 517,    484,    300,    184
  19,    1 699 929,    857 629,    842 300,    33 012,    15 634,    17 378,    392,    228,    164,    13 975,    11 033,    2 942,    20 788,    8 807,  11 981,,,  18,    17 259,    6 652,    10 607,    1 456 289,    712 724,    743 565,    88 652,    49 982,    38 670,    798,    462,    336
20-24岁,    9 138 968,    4 714 320,    4 424 648,    388 244,    201 129,    187 115,    11607,    8 391,    3 216,    103 277,    74 102,    29 175,    1 53 055,    68 723,  84 332,,,  19,    21 435,    8 179,    13 256,    1 490 890,    744 190,    746 700,    118 436,    68 950,    49 486,    1 001,    608,    393
  20,    1 881 047,    937 797,    943 250,    52 051,    24 759,    27 292,    771,    476,    295,    17 427,    12 987,    4 440,    26 283,11 236,  15 047,,,20-24岁,    119 164,    49 877,    69 287,    7 636 643,    3 849 274,    3 787 369,    721 402,    459 364,    262 038,    5 576,    3 460,    2 116
  21,    1 900 199,    971 195,    929 004,    70 304,    34 557,    35 747,    1 428,    914,    514,    19 826,    14 076,    5 750,    30 444,    13 072,  17 372,,,  20,    24 846,    9 792,    15 054,    1 617 147,    793 245,    823 902,    141 332,    84 569,    56 763,    1 190,    733,    457
  22,    1 821 291,    945 288,    876 003,    77 782,    40 046,    37 736,    1 987,    1 393,    594,    19 856,    13 984,    5 872,    30 362,    13 726,  16 636,,,  21,    25 904,    10 220,    15 684,    1 595 366,    801 591,    793 775,    155 554,    95 866,    59 688,    1 373,    899,    474
  23,    1 703 570,    892 659,    810 911,    85 283,    46 019,    39 264,    2 830,    2 115,    715,    20 471,    14 468,    6 003,    29 814,    13 763,  16 051,,,  22,    23 689,    10 148,    13 541,    1 520 865,    771 964,    748 901,    145 519,    93 233,    52 286,    1 231,    794,    437
  24,    1 832 861,    967 381,    865 480,    102 824,    55 748,    47 076,    4 591,    3 493,    1 098,    25 697,    18 587,    7 110,    36 152,    16 926,  19 226,,,  23,    21 120,    9 300,    1 1 820,    1 411 625,    719 799,    691 826,    131 468,    86 632,    44 836,    959,    563,    396
25-29岁,    7 302 079,    3 894 830,    3 407 249,    474 379,    259 381,    214 998,    45 189,    38 590,    6 599,    125 767,    91 851,    33 916,    188 025,    89 821,  98 204,,,  24,    23 605,    10 417,    13 188,    1 491 640,    762 675,    728 965,    147 529,    99 064,    48 465,    823,    471,    352
  25,    1 841 554,    973 609,    867 945,    112 103,    61 785,    50 318,    6 992,    5 711,    1 281,    28 709,    20 938,    7 771,    40 636,    19 189,  21 447,,,25-29岁,    1 1 1 186,    48 759,    62 427,    5 686 787,    2 908 963,    2 777 824,    668 1 14,    456 199,    211915,    2 632,    1 266,    1 366
  26,    1 772 025,    940 488,    831 537,    117 852,    63 675,    54 177,    9 449,    7 826,    1 623,    30 597,    22 043,    8 554,    44 911,    21 151,  23 760,,,  25,      24 913,    11 039,    13 874,    1 472 311,    749 077,    723 234,    155 178,    105 508,    49 670,    712,    362,    350
  27,    1 786 784,    965 917,    820 867,    120 272,    66 179,    54 093,    12 390,    10 705,    1 685,    31 530,    23 101,    8 429,    48 594,    23 355,  25 239,,,  26,    26 382,    11 479,    14 903,    1 379 740,    704 283,    675 457,    162 436,    109 712,    52 724,    658,    319,    339
  28,    1 106 116,    590 962,    515 154,    70 564,    39 311,    31 253,    8 778,    7 696,    1 082,    19 164,    14 255,    4 909,    29 095,    14 241,  14 854,,,  27,    27 627,    12 214,    15 413,    1 376 793,    714 323,    662 470,    168 921,    115 739,    53 182,    657,    301,    356
  29,    795 600,    423 854,    371 746,    53 588,    28 431,    25 157,    7 580,    6 652,    928,    15 767,  11 514,    4 253,    24 789,    1 1 885,  12 904,,,  28,    17 016,    7 678,    9 338,    865 933,    441 399,    424 534,    95 250,    66 228,    29 022,    316,    154,    162
30-34岁,    5 496 913,    2 973 758,    2 523 155,    330 857,    182 978,    147 879,    76 386,    67 734,    8 652,    99 949,    74 746,    25 203,    154 036,    75 124,  78 912,,,  29,    15 248,    6 349,    8 899,    592 010,    299 881,    292 129,    86 329,    59 012,    27 317,    289,    130,    159
  30,    1 036 740,    557 312,    479 428,    63 177,    34 197,    28 980,    10 784,    9 586,    1 198,    18 937,    14 188,    4 749,    31 431,    15 450,  15 981,,,30-34岁,    99 495,    41 760,    57 735,    4 188 561,    2 151 586,    2 036 975,    545 909,    379 000,    166 909,    1 720,    830,    890
  31,    975 539,    531 498,    444 041,    58 955,    32 334,    26 621,    12 008,    10 701,    1 307,    18 586,    14 034,    4 552,    29 011,    13 942,  15 069,,,  30,    19 315,    8 504,    10 811,    784 677,    400 493,    384 184,    108 074,    74 720,    33 354,    345,    174,    171
  32,    1 225 108,    667 273,    557 835,    72 883,    40 210,    32 673,    16 066,    14 298,    1 768,    21 751,    16 261,    5 490,    34 538,    16 985,  17 553,,,  31,    18 336,    7 630,    10 706,    737 048,    382 632,    354 416,    101 238,    70 061,    31 177,    357,    164,    193
  33,    1 152 221,    621 554,    530 667,    69 228,    38 543,    30 685,    17 843,    15 800,    2 043,    20 465,    1 5 221,    5 244,    30 378,    14 654,  15 724,,,  32,    22 266,    9 279,    12 987,    935 446,    485 425,    450 021,    121 764,    84 626,    37 138,    394,    189,    205
  34,    1 107 305,    596 121,    511 184,    66 614,    37 694,    28 920,    19 685,    17 349,    2 336,    20 210,    15 042,    5 168,    28 678,    14 093,  14 585,,,  33,    20 174,    8 415,    11 759,    882 954,    452 050,    430 904,    110 846,    76 716,    34 130,    333,    155,    178
35-39岁,    5 326 144,    2 881 361,    2 444 783,    277 602,    162 676,    114 926,  116 181,    102 267,    13 914,    90 953,    68 061,    22 892,    128 107,    64 907,  63 200,,,  34,    19 404,    7 932,    1 1 472,    848 436,    430 986,    417 450,    103 987,    72 877,    31 110,    291,    148,    143
  35,    1 237 772,    666 619,    571 153,    70 502,    40 344,    30 158,    23 921,    21 018,      2 903,    21 718,    16 053,    5 665,    30 569,    15 466,  15 103,,,35-39岁,    93 527,    37 640,    55 887,    4 142 231,    2 108 214,    2 034 017,    476 350,    336 993,    139 357,    1 193,    603,    590
  36,    1 154 611,    624 316,    530 295,    62 715,    36 068,    26 647,    24 246,    21 214,    3 032,    20 273,    15 096,    5 177,    28 274,    14 004,  14 270,,,  35,    20 751,    8 579,    12 172,    959 307,    487 021,    472 286,    110 702,    77 979,    32 723,    302,    159,    143
  37,    1 058 062,    573 539,    484 523,    53 386,    31 522,    21 864,    22 999,  20 308,    2 691,    17 954,    13 461,    4 493,    25 433,    12 932,  12 501,,,  36,    20 127,    8 113,    12 014,    893 949,    456 006,    437 943,    104 741,    73 674,    31 067,    286,    141,    145
  38,    1 003 479,    544 868,    458 611,    48 712,    29 050,    19 662,    22 956,    20 242,    2 714,    16 478,    12 441,    4 037,    23 616,    12 110,  11 506,,,  37,    18 705,    7 403,    11 302,    824 138,    420 299,    403 839,    95 219,    67 495,    27 724,    228,    119,    109
  39,    872 220,    472 019,    400 201,    42 287,    25 692,    16 595,    22 059,    19 485,    2 574,    14 530,    11 010,    3 520,    20 215,    10 395,    9 820,,,  38,    17 945,    7 214,    10 731,    784 574,    400 570,    384 004,    88 976,    63 130,    25 846,    222,    1 11,    11 1
40-44岁,    4 127 704,    2 250 143,    1 877 561,    203 407,    129 467,    73 940,  116 147,    103 252,    12 895,    65 901,    51 963,    13 938,    83 630,    44 677,    38 953,,,  39,    15 999,    6 331,    9 668,    680 263,    344 318,    335 945,    76 712,    54 715,    21 997,    155,    73,    82
  40,    1 061 213,    579 478,    481 735,    51 280,    32 868,    18 412,    27 586,    24 648,    2 938,    16 852,    13 214,    3 638,    23 272,    12 552,    10 720,,,40-44岁,    72 083,    31 501,    40 582,    3 283 523,    1 667 854,    1 615 669,    302 402,    221 065,    81 337,    611,    364,    247
  41,    830 367,    454 358,    376 009,    40 861,    25 778,    15 083,    22 934,    20 397,    2 537,    13 254,    10 393,    2 861,    17 083,    8 894,    8 189,,,  40,    18 720,    8 123,    10 597,    839 352,    426 942,    412 410,    83 969,    61 018,    22 951,    182,    113,    69
