,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--22全国各民族不在业人口状况,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    市镇待业,,,    离休、退休、退职,,,    丧失劳动能力,,,    其它,,
,    合计,,,    在校学生,,,    料理家务,,,    待升学,,,,,    民族别,,,,,,,,,,,,
    民族别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,  5 740 225,  2 923 090,  2 817 135,  21 510 485,    13 072 035,  8 438 450,  28 111 328,  12 862 794,  15 248 534,  4 442 300,  3 018 594,  1 423 706
总计,  170 264 078,    62 726 556,  107 537 522, 39 158 574,  23 180 254, 15 978 320,  68 926 624,  6 306 966,  62 619 658,  2 374 542,    1 362 823,  1 011 719,,,汉族,  5 375 161,  2 735 626,  2 639 535,  20 651 428,    12 509 302,  8 142 126,  26 095 954,  11 951 814,  14 144 140,  4 089 188,  2 767 587,  1 321 601
汉族,  158 709 811,    58 107 633,  100 602 178, 35 978 418,  21 274 816, 14 703 602,  64 375 412,  5 642 090,  58 733 322,  2 144 250,    1 226 398,    917 852,,,蒙古族,    23 441,    11 756,    11 685,    49 933,    36 712,    13 221,    117 223,    60 929,    56 294,    36 479,    23 179,    13 300
蒙古族,    917 629,    279 095,    638 534,    245 378,    121 495,    123 883,    430 796,    18 234,    412 562,    14 379,    6 790,    7 589,,,回族,    95 685,    49 233,    46 452,    228 116,    127 982,    100 134,    186 455,    82 760,    103 695,    55 529,    43 257,    12 272
回族,    1 316 069,    513 368,    802 701,    287 232,    162 699,    124 533,    441 891,    35 981,    405 910,    21 161,    11 456,    9 705,,,藏族,    8 008,    4 364,    3 644,    27 605,    16 389,    11 216,    171 958,    64 508,    107 450,    18 493,    12 792,    5 701
藏族,    574 147,    192 118,    382 029,    82 658,    48 901,    33 757,    261 076,    42 852,    218 224,    4 349,    2 312,    2 037,,,维吾尔族,    42 933,    23 093,    19 840,    71 571,    53 610,    17 961,    175 743,    72 223,    103 520,    20 926,    14 755,    6 171
维吾尔族,    813 603,    303 752,    509 851,    196 539,    101 485,    95 054,    292 186,    31 877,    260 309,    13 705,    6 709,    6 996,,,苗族,    13 337,    6 816,    6 521,    24 631,    19 384,    5 247,    153 476,    71 698,    81 778,    16 192,    11 540,    4 652
苗族,    698 288,    341 049,    357 239,    239 756,    166 776,    72 980,    225 635,    47 721,    177 914,    25 261,    17 114,    8 147,,,彝族,    7 313,    3 615,    3 698,    23 419,    18 943,    4 476,    130 951,    57 221,    73 730,    10 994,    9 216,    1 778
