,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--23全国少数民族分年龄、性别的不在业人口状况,,,,,,,,,,,,,,,表3--23全国少数民族分年龄、性别的不在业人口状况(续02),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,  单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    在校学生,,,    料理家务,,,    待升学,,,,,,    市镇待业,,,    离休、退休、退职,,,    丧失劳动能力,,,    其它,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    11 554 267,    4 618 923,    6 935 344,    3 180 156,    1 905 438,    1 274 718,    4 551 212,    664 876,    3 886 336,    230 292,    136 425,    93 867,,,总计,    365 064,    187 464,    177 600,    859 057,    562 733,    296 324,    2 015 374,    910 980,    1 104 394,    353 112,    251 007,    102 105
15-19岁,    3 486 799,    1 983 122,    1 503 677,    2 798 804,    1 662 475,    1 136 329,    185 115,    36 323,    148 792,    199 368,    116 579,    82 789,,,15-19岁,    179 483,    93 415,    86 068,    87,    63,    24,    25 034,    14 654,    10 380,    98 908,    59 613,    39 295
  15,    1 115 883,    646 311,    469 572,    980 072,    583 007,    397 065,    50 309,    13 847,    36 462,    49 551,    28 587,    20 964,,,  15,    13 339,    7 625,    5 714,    17,    11,    6,    4 843,    2 840,    2 003,    17 752,    10 394,    7 358
  16,    887 692,    511 481,    376 211,    744 174,    442 043,    302 131,    39 215,    9 314,    29 901,    53 321,    31 239,    22 082,,,  16,    27 772,    15 301,    12 471,    13,    9,    4,    4 924,    2 898,    2 026,    18 273,    10 677,    7 596
  17,    652 280,    369 464,    282 816,    508 786,    300 522,    208 264,    32 348,    6 253,    26 095,    43 047,    25 228,    17 819,,,  17,    42 542,    22 399,    20 143,    12,    8,    4,    5 004,    2 911,    2 093,    20 541,    12 143,    8 398
  18,    472 181,    261 962,    210 219,    336 341,    199 653,    136 688,    31 218,    4 110,    27 108,    30 310,    17 812,    12 498,,,  18,    48 319,    24 684,    23 635,    22,        18,    4,    5 094,    2 904,    2 190,    20 877,    12 781,    8 096
  19,    358 763,    193 904,    164 859,    229 431,    137 250,    92 181,    32 025,    2 799,    29 226,    23 139,    13 713,    9 426,,,  19,    47 511,    23 406,    24 105,    23,    17,    6,    5 169,    3 101,    2 068,    21 465,    13 618,    7 847
20-24岁,    910 466,    389 450,    521 016,    343 208,    215 520,    127 688,    290 259,    8 249,    282 010,    30 924,    19 846,    11 078,,,20-24岁,    129 880,    64 986,    64 894,      225,    133,    92,    25 774,    15 318,    10 456,    90 196,    65 398,    24 798
