,,,,,,,,,,,,,,,
表3--24全国各民族人口分性别的婚姻状况,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    15岁及15岁以上人口,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
  民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
总计,817 508 784, 418 956 809, 398 551 975, 205 404 790, 121 303 468, 84 101 322, 557 373 062, 278 265 597,279 107 465,49 893 332,15 914 739, 33 978 593,4 837 600, 3 473 005, 1 364 595
汉族, 757 258 446, 388 127 789, 369 130 657, 188 951 993, 11 1 661 793, 77 290 200, 517 820 225, 258 628 365,259 191 860,46 270 772,14 716 654, 31 554 118,4 215 456, 3 120 977, 1 094 479
蒙古族,  3 082 011,  1 567 941,  1 514 070,    929 743,    519 408,    410 335,  1 974 805,    976 585,    998 220,  160 761,    61 488,    99 273,    16 702,    10 460,    6 242
回族,  5 856 888,  2 963 154,  2 893 734,  1 435 327,    817 258,    618 069,  4 081 878,  2 036 874,  2 045 004,  292 832,    82 997,  209 835,    46 851,26 025,  20 826
藏族,  2 946 181,  1 435 757,  1 510 424,    956 552,    532 563,    423 989,  1 685 859,    822 577,    863 282,  239 294,    64 100,  175 194,    64 476,    16 517,  47 959
维吾尔族,  4 366 283,  2 238 074,  2 128 209,    949 808,    603 773,    346 035,  2 942 695,  1 466 115,  1 476 580,  245 049,    51 300,  193 749,  228 731,  116 886,  111 845
苗族,  4 812 894,  2 502 005,  2 310 889,  1 345 377,    791 726,    553 651,  3 160 560,  1 580 766,  1 579 794,  284 711,    112 497,  172 214,  22 246,    17 016,    5 230
彝族,  4 252 536,  2 158 304,  2 094 232,  1 125 821,    670 668,    455 153,  2 811 517,  1 375 742,  1 435 775,  290 287,    96 935,  193 352,  24 911,    14 959,    9 952
壮族,  10 322 377,  5 203 174,  5 119 203,  2 963 106,  1 762 758,  1 200 348,  6 601 077,  3 182 318,3 418 759,  703 864,  215 750,  488 114,  54 330,    42 348,  11 982
布依族,  1 688 595,    852 260,    836 335,    482 346,    272 614,    209 732,  1 081 365,    530 530,    550 835,  116 493,    42 719,    73 774,    8 391,    6 397,    1 994
朝鲜族,  1 447 546,    708 897,    738 649,    331 200,    194 854,    136 346,  1 007 873,    494 128,    513 745,    92 384,    11 055,    81 329,    16 089,    8 860,    7 229
满族,  6 816 144,  3 591 232,  3 224 912,  1 710 887,    979 935,    730 952,  4 759 855,  2 454 710,  2 305 145,  302 897,  128 245,  174 652,    42 505,  28 342,    14 163
侗族,  1 700 360,    900 599,    799 761,    483 737,    288 154,    195 583,  1 105 228,    562 713,    542 515,  100 810,    41 337,    59 473,    10 585,    8 395,    2 190
瑶族,  1 353 107,    706 918,    646 189,    382 524,    233 587,    148 937,    878 643,    435 695,    442 948,    84 014,    31 489,    52 525,    7 926,    6 147,    1 779
白族,  1 078 806,    546 889,    531 917,    303 370,    170 196,    133 174,    704 794,    350 834,    353 960,    64 330,    22 361,    41 969,    6 312,    3 498,    2 814
土家族,  4 032 671,  2 131 573,  1 901 098,  1 236 084,    728 981,    507 103,  2 529 995,  1 281 522,  1 248 473,  246 985,  106 181,  140 804,    19 607,    14 889,    4 718
哈尼族,    794 789,    403 965,    390 824,    181 693,    111 028,    70 665,    554 656,    271 396,    283 260,    50 968,    16 751,    34 217,    7 472,    4 790,    2 682
哈萨克族,    634 015,    325 522,    308 493,    243 485,    136 351,    107 134,    347 772,    175 097,    172 675,    39 117,    11 472,    27 645,    3 641,    2 602,    1 039
傣族,    680 724,    337 306,    343 418,    153 572,    87 399,    66 173,    478 664,    234 880,    243 784,    40 053,    11 326,    28 727,    8 435,    3 701,    4 734
黎族,    679 434,    341 166,    338 268,    217 340,    130 418,    86 922,    418 203,    198 332,    219 871,    40 382,    9 963,    30 419,    3 509,    2 453,    1 056
傈僳族,    361 381,    183 094,    178 287,    87 040,    52 506,    34 534,    246 088,    120 134,    125 954,    25 350,    9 036,    16 314,    2 903,    1 418,    1 485
佤族,    216 179,    108 902,    107 277,    54 719,    33 257,    21 462,    146 024,    70 903,    75 121,    14 043,    4 175,    9 868,    1 393,    567,    826
畲族,    431 878,    235 081,    196 797,    120 374,    77 613,    42 761,    279 414,    142 726,    136 688,    28 279,    11 285,    16 994,    3 811,    3 457,    354
高山族,    2 056,    1 052,    1 004,    550,    317,    233,    1 398,    707,    691,    88,    18,    70,    20,    10,    10
拉祜族,    257 567,    131 000,    126 567,    55 762,    36 526,    19 236,    183 320,    88 007,    95 313,    16 286,    5 211,    11 075,    2 199,    1 256,    943
水族,    218 230,    111 955,    106 275,    60 978,    35 649,    25 329,    141 617,    70 133,    71 484,    14 490,    5 186,    9 304,    1 145,    987,    158
东乡族,    238 840,    123 433,    115 407,    57 565,    33 962,    23 603,    168 353,    84 686,    83 667,    11 223,    3 796,    7 427,    1 699,    989,    710
纳西族,    198 674,    99 312,    99 362,    56 956,    32 459,    24 497,    126 782,    61 948,    64 834,    13 674,    4 361,    9 313,    1 262,    544,    718
景颇族,    71 180,    34 014,    37 166,    19 590,    1 1 024,    8 566,    45 687,    21 809,    23 878,    5 200,    925,    4 275,    703,    256,    447
柯尔克孜族,    80 371,    41 112,    39 259,    19 618,    12 002,    7 616,    53 396,    26 960,    26 436,    4 813,    964,    3 849,    2 544,    1 186,    1 358
土族,    125 223,    64 705,    60 518,    35 230,    21 286,    13 944,    82 231,    40 297,    41 934,    6 703,    2 460,    4 243,    1 059,    662,    397
达斡尔族,    77 813,    39 199,    38 614,    23 411,    13 346,    10 065,    48 879,    23 458,    25 421,    4 618,    1 820,    2 798,    905,    575,    330
仫佬族,    99 270,    50 360,    48 910,    29 072,    16 923,    12 149,    63 549,    30 881,    32 668,    5 787,    1 904,    3 883,    862,    652,    210
羌族,    131 349,    66 423,    64 926,    41 261,    24 205,    17 056,    81 684,    39 165,    42 519,    7 904,    2 714,    5 190,    500,    339,    161
布朗族,    50 423,    25 737,    24 686,    13 406,    7 868,    5 538,    32 879,    16 475,    16 404,    3 567,    1 162,    2 405,    571,    232,    339
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表3--24全国各民族人口分性别的婚姻状况(续01),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    15岁及15岁以上人口,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
撒拉族,    52 024,    26 550,    25 474,    11 395,    6 800,    4 595,    36 768,    18 693,    18 075,    2 641,    620,    2 021,    1 220,    437,    783
毛南族,    44 993,    23 292,    21 701,    14 482,    8 864,    5 618,    27 778,    13 393,    14 385,    2 498,    867,    1 631,    235,    168,    67
仡佬族,  289 212,    157 819,    131 393,    99 214,    56 048,    43 166,  171 796,    92 213,    79 583,    17 299,    8 888,    8 411,    903,    670,    233
