表3-25全国少数民族人口分年龄性别的婚姻状况,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    15岁及15岁以上人口,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
总计, 60 250 338, 30 829 020, 29 421 318,  16 452 797,  9 641 675,  6 811 122, 39 552 837,19 637 232,19 915 605, 3 622 560,1 198 085, 2 424 475, 622 144,  352 028, 270 116
15-19岁, 10 484 197,  5 376 416,  5 107 781,  9 851 444,  5 201 435,  4 650 009,    605 098,    169 664,    435 434,    1 499,    556,    943,    26 156,    4 761,    21 395
  15,  2 110 367,  1 087 425,  1 022 942,  2 098 003,  1 082 805,  1 015 198,    11 765,    4 492,    7 273,    70,    29,    41,    529,    99,    430
  16,  2 154 564,  1 108 704,  1 045 860,  2 123 316,  1 099 221,  1 024 095,    29 813,    9 287,    20 526,    86,    42,    44,    1 349,    154,    1 195
  17,  2 080 285,  1 071 872,  1 008 413,  2 004 907,  1 050 948,    953 959,    72 062,    20 423,    51 639,    192,    82,    110,    3 124,    419,    2 705
  18,  2 080 289,  1 056 882,  1 023 407,  1 885 859,  1 009 537,    876 322,    184 002,    45 726,    138 276,    480,    1 53,    327,    9 948,    1 466,    8 482
  19,  2 058 692,  1 051 533,  1 007 159,  1 739 359,    958924,    780 435,    307 456,    89 736,    217 720,    671,    250,    421,  11 206,    2 623,    8 583
20-24岁,  10 049 434,  5 103 770,  4 945 664,  4 916 079,    3 080 334,    1 835 745,  5 022 048,  1 973 245,  3 048 803,    12 816,    5 818,    6 998,  98 491,  44 373,  54 118
  20,    2 162 931,  1 082 308,  1 080 623,  1 547 407,    896 192,    651 215,    593 482,    178 833,    414 649,    1 507,    543,    964,  20 535,  6 740,  13 795
  21,    2 118 168,  1 074 557,  1 043 611,  1 290 545,    788 319,    502 226,    809 761,    278 679,    531 082,    1 781,    760,    1 021,  16 081,  6 799,    9 282
  22,    1 985 403,  1 012 492,    972 911,    936 267,    602 913,    333 354,  1 025 602,    398 588,    627 014,    2 531,    1 126,    1 405,  21 003,  9 865,  11138
  23,    1 828 759,    934 075,    894 684,    638 359,    432 469,    205 890,  1 168 279,    490 526,    677 753,    3 057,    1 463,    1 594,  19 064,  9 617,    9 447
  24,    1 954 173,    1 000 338,    953 835,    503 501,    360 441,    143 060,  1 424 924,    626 619,    798 305,    3 940,    1 926,    2 014,  21 808,  11 352,    10 456
25-29岁,    7 763 687,    3 987 975,    3 775 712,    929 690,    728 109,    201 581,  6 710 537,  3 192 739,  3 517 798,    25 924,    12 429,    13 495,  97 536,  54 698,    42 838
  25,    1 959 359,    1 001 249,    958 110,    359 148,    270 497,    88 651,  1 569 739,    714 686,    855 053,    5 136,    2 448,    2 688,  25 336,  13 618,    11 718
  26,    1 882 050,    964 187,    917 863,    247 953,    194 564,    53 389,  1 606 369,    754 694,    851 675,    5 601,    2 730,    2 871,  22 127,  12 199,    9 928
  27,    1 897 911,    986 975,    910 936,    181 275,    147 462,    33 813,  1 688 317,    823 822,    864 495,    6 366,    3 151,    3 215,  21 953,  12 540,    9 413
  28,    1 173 083,    603 074,    570 009,    88 652,    72 424,    16 228,  1 063 092,    518 848,    544 244,    4 966,    2 316,    2 650,  16 373,    9 486,    6 887
  29,    851 284,    432 490,    418 794,    52 662,    43 162,    9 500,    783 020,    380 689,    402 331,    3 855,    1 784,    2 071,  11 747,    6 855,    4 892
30-34岁,    5 825 621,    3 020 545,    2 805 076,    232 824,    203 670,    29 154,  5 475 199,  2 750 997,  2 724 202,    41 155,    19 189,    21 966,  76 443,    46 689,    29 754
  30,    1 106 218,    567 512,    538 706,    53 996,    45 801,    8 195,  1 027 488,    507 840,    519 648,    6 072,    2 781,    3 291,  18 662,    11 090,    7 572
  31,    1 036 449,    540 557,    495 892,    46 537,    40 466,    6 071,    970 111,    488 839,    481 272,    6 296,    3 044,    3 252,  13 505,    8 208,    5 297
  32,    1 295 926,    677 525,    618 401,    51 794,    45 873,    5 921,  1 219 049,    617 406,    601 643,    8 961,    4 207,    4 754,  16 122,    10 039,    6 083
  33,    1 217 480,    630 460,    587 020,    42 782,    37 928,    4 854,  1 150 775,    579 303,    571 472,    9 547,    4 462,    5 085,  14 376,    8 767,    5 609
  34,    1 169 548,    604 491,    565 057,    37 715,    33 602,    4 113,  1 107 776,    557 609,    550 167,    10 279,    4 695,    5 584,  13 778,    8 585,    5 193
35-39岁,    5 629 573,    2 922 006,    2 707 567,    156 421,    138 935,    17 486,  5 328 981,  2 706 359,  2 622 622,    75 029,  33 260,    41 769,  69 142,    43 452,    25 690
  35,    1 306 056,    675 966,    630 090,    38 632,    34 495,    4 137,  1 236 806,    624 808,    611 998,    13 327,    6 038,    7 289,  17 291,    10 625,    6 666
  36,    1 218 770,    632 815,    585 955,    34 916,    31 117,    3 799,  1 155 391,    586 208,    569 183,    13 979,    6 412,    7 567,  14 484,    9 078,    5 406
  37,    1 116 784,    581 635,    535 149,    31 093,    27 645,    3 448,  1 057 294,    538 805,    518 489,    15 189,    6 769,    8 420,  13 208,    8 416,    4 792
  38,    1 062 905,    552 708,    510 197,    28 210,    24 949,    3 261,  1 005 323,    512 338,    492 985,    16 271,    7 166,    9 105,  13 101,    8 255,    4 846
  39,    925 058,    478 882,    446 176,    23 570,    20 729,    2 841,    874 167,    444 200,    429 967,    16 263,    6 875,    9 388,  11058,    7 078,    3 980
40-44岁,    4 401 675,    2 286 812,  2 114 863,    99 675,    85 976,    13 699,  4 123 449,  2 115 557,  2 007 892,    120 419,    48 349,    72 070,  58 132,    36 930,    21 202
  40,    1 128 233,    588 551,    539 682,    26 306,    23 047,    3 259,  1 060 574,    544 951,    515 623,    24 065,    9 578,    14 487,  17 288,    10 975,    6 313
  41,    882 255,    461 284,    420 971,    20 281,    17 647,    2 634,    829 546,    427 631,    401 915,    21 406,    8 896,    12 510,  11 022,    7 110,    3 912
  42,    840 254,    437 096,    403 158,    19 144,    16 467,    2 677,    787 007,    404 361,    382 646,    23 293,    9 455,    13 838,  10 810,    6 813,    3 997
  43,    809 598,    420 842,    388 756,    18 028,    15 340,    2 688,756 464,    389 043,    367 421,    25 326,    10 276,    15 050,    9 780,    6 183,    3 597
  44,    741 335,    379 039,    362 296,    15 916,    13 475,    2 441,    689 858,    349 571,    340 287,    26 329,    10 144,    16 185,    9 232,    5 849,    3 383
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表3--25全国少数民族人口分年龄、性别的婚姻状况(续01),,,,,,,,,,,,,,,
 单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    15岁及15岁以上人口,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
45-49岁,    3 679 239,    1 901 784,    1 777 455,    71 703,    60 043,    1 1 660,  3 372 264,  1 741 529,  1 630 735,    187 206,    70 039,    117 167,    48 066,    30 173,    17 893
  45,    784 023,    401 143,    382 880,    15 927,    13 492,    2 435,    723 864,    368 405,    355 459,    32 191,    11719,    20 472,    12 041,    7 527,    4 514
  46,    745 178,    387 423,    357 755,    14 564,    12 302,    2 262,    687 823,    356 276,    331 547,    33 470,    12 936,    20 534,    9 321,    5 909,    3 412
