表3-26省自治区直辖市少数民族和汉族家庭户的户数和人口数,,,,,,,,
,,,,,,,,
    单位：人、户,,,,,,,,
,,,,,,,,
,    合计,,    全户少数民族,,    汉族与少数民族混合户,,    全户汉族,
    地区别,,,,,,,,
,    户数,    人口数,    户数,    人口数,    户数,    人口数,    户数,    人口数
总计,    276 911 767,    1 097 776 366,    15 996 039,    72 726 21 1,    6 756 042,    29 798 457,    254 159 686,    995 251 698
北京市,    3 101 665,    9 919 351,    67 636,    192 079,    101 234,    372 796,    2 932 795,    9 354 476
天津市,    2 539 286,    8 469 004,    46 055,    143 060,    27 103,      104 675,    2 466 128,    8 221 269
河北省,    15 302 097,    59 566 955,    400 512,    1 517 734,    333 707,    1 393 039,    14 567 878,    56 656 182
山西省,    7 144 111,    27 736 534,    13 91 1,    53 120,    14 779,    58 608,    7 115 421,    27 624 806
内蒙古自治区,    5 273 146,    21 110 649,    593 090,    2 636 941,    502 345,    2 185 492,    4 177 711,    16 288 216
辽宁省,    10 810 526,    38 777 581,    964 081,    3 517 659,    1 077 717,    4 263 217,    8 768 728,    30 996 705
吉林省,    6 277 160,    24 254 682,    437 628,    1 595 840,    386 512,    1 595 293,    5 453 020,    21 063 549
黑龙江省,    8 895 075,    34 691 689,    283 800,    1 096 788,    395 296,    1 651 436,    8 215 979,    31 943 465
上海市,    4 065 274,    12 589 650,    7 951,    21 790,    18 384,    67 259,    4 038 939,    12 500 601
江苏省,    17 815 925,    65 220 147,    16 236,    47 451,    55 711,    219 830,    17 743 978,    64 952 866
浙江省,    11 684 715,    40 386 689,    30 636,    1 12 824,    51 150,    206 454,    11 602 929,    40 067 411
安徽省,    13 320 101,    55 168 803,    51 997,    208 820,    50 514,    213 810,    13 217 590,    54 746 173
福建省,    6 577 547,    29 158 900,    46 749,    195 225,    113 225,    577 536,    6 417 573,    28 386 139
江西省,    8 329 303,    36 689 355,    3 236,    9 340,    40 175,    195 843,    8 285 892,    36 484 172
山东省,    21 874 449,    82 111 975,    105 016,    424 330,    41 934,    165 061,    21 727 499,    81 522 584
河南省,    19 735 114,    83 303 398,    185 006,    765 648,    96 761,    415 739,    19 453 347,    82 122 011
湖北省,    13 003 134,    52 082 950,    377 516,    1 389 326,    296 796,    1 235 391,    12 328 822,    49 458 233
湖南省,    15 648 776,    58 948 504,    839 050,    3 371 839,    503 673,    2 184 578,    14 306 053,    53 392 087
广东省,    13 436 117,    59 371 041,    35 314,    149 896,    101 763,    529 080,    13 299 040,    58 692 065
广西壮族自治区,    8 847 909,    41 103 483,    2 944 095,    14 145 989,    809 824,    4 075 460,    5 093 990,    22 882 034
海南省,    1 386 326,    6 333 466,    179 938,    988 745,    42 252,    211 302,    1 164 136,    5 133 419
四川省,    28 475 224,    104 187 004,    905 599,    3 959 172,    333 061,    1 437 167,    27 236 564,    98 790 665
贵州省,    7 210 364,    31 826 655,    2 037 879,    9 299 422,    635 259,    2 984 481,    4 537 226,    19 542 752
云南省,    7 964 195,    35 910 083,    2 144 158,    10 551 012,    580 072,    2 821 140,    5 239 965,    22 537 931
西藏自治区,    402 441,    2 091 692,    383 839,    2 036 688,    2 639,    10 951,    15 963,    44 053
陕西省,    7 762 770,    31 559 932,    30 305,    108 988,    20 124,    74 691,    7 712 341,    31 376 253
甘肃省,    4 771 514,    21 722 677,    336 656,    1 714 360,    36 527,    169 681,    4 398 331,    19 838 636
青海省,    916 390,    4 255 030,    321 774,    1 713 048,    37 192,    179 745,    557 424,    2 362 237
宁夏回族自治区,    992 237,    4 534 102,    298 551,    1 491 928,    14 915,    57 272,    678 771,    2 984 902
新疆维吾尔自治区,    3 348 876,    14 694 385,    1 907 825,    9 267 149,    35 398,    141 430,    1 405 653,    5 285 806
