表3-27省自治区直辖市全户少数民族家庭户规模,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
单位：户,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,    十人及
    地区别,    合计,  一人户,  二人户,  三人户,    四人户,五人户,    六人户,    七人户,    八人户,    九人户,    十人
,,,,,,,,,,,    以上户
总计,    15 996 039,    936 592,  1 367 959,    2 580 925,    3 594 645,    2 007,    2 002 517,    1 208 709,    651 705,    323 912,    287 068
北京市,    67 636,    14 017,    14 601,    19 746,    11 611,    4 730,    1 778,    701,    262,    107,    83
天津市,    46 055,    6 478,    7 906,    16 790,    8 661,    3 584,    1 481,    657,    297,    107,    94
河北省,    400 512,    23 687,    41 866,    96 650,    134 799,    3 997,    24 685,    9 409,    3 360,    1 186,    873
山西省,    13 911,    982,    1 638,    3 294,    4 318,    2 084,    831,    386,    154,    83,    141
内蒙古自治区,    593 090,    34 500,    49 982,    96 601,    145 184,    5 731,    72 665,    40 716,    20 550,    9 561,    7 600
辽宁省,    964 081,    50 252,    97 578,    290 556,    330 793,    5 329,    46 919,    15 534,    4 811,    1 547,    762
吉林省,    437 628,    19 633,    52 501,    134 447,    138 091,    9 352,    22 353,    7 436,    2 491,    855,    469
黑龙江省,    283 800,    13 426,    30 125,    66 570,    93 740,    8 402,    20 315,    7 389,    2 495,    855,    483
上海市,    7 951,    1 654,    2 100,    2 1 30,    1 237,    534,    192,    67,    30,    3,    4
江苏省,    16 236,    3 001,    3 522,    4 615,    3 065,    1 308,    462,    169,    66,    16,    12
浙江省,    30 636,    4 473,    4 056,    5 487,    7 210,    4 810,    2 507,    1 322,    501,    175,    95
安徽省,    51 997,    4 703,    6 031,    9 281,    12 737,    93,    4 855,    2 340,    1 073,    499,    385
福建省,    46 749,    6 349,    4 865,    6 236,    8 784,    8 847,    5 591,    3 295,    1 532,    715,    535
江西省,    3 236,    942,    583,    600,    532,    342,    138,    56,    23,    14,    6
山东省,    105 016,    7 021,    11 357,    19 931,    31 182,    8 702,    8 857,    4 233,    1 902,    886,    945
河南省,    185 006,    11 439,    17 526,    38 730,    49 084,    5 322,    16 696,    8 257,    3 987,    1 902,    2 063
湖北省,    377 516,    36 753,    47 251,    79 340,    107 654,    6 717,    27 222,    9 204,    2 542,    641,    192
湖南省,    839 050,    55 213,    89 584,    161 208,    224 948,    5 428,    80 183,    33 725,    12 345,    4 307,    2 109
广东省,    35 314,    3 699,    3 544,    5 382,    6 498,    7 412,    4 576,    2 406,    1 070,    447,    280
广西壮族自治区,    2 944 095,    163 063,    204 464,    357 370,    606 065,    4 514,    450 733,    281 420,    149 304,    68 309,    48 853
海南省,    179 938,    8 256,    10 690,    16 365,    24 578,    4 863,    29 218,    22 506,    15 334,    8 549,    9 579
四川省,    905 599,    74 877,    90 686,    144 524,    185 746,    1 614,    111 553,    64 919,    33 230,    15 703,    12 747
贵州省,    2 037 879,    123 565,    165 467,    289 289,    412 754,    1 896,    302 362,    166 789,    76 503,    30 874,    18 380
云南省,    2 144 158,    84 890,    134 923,    265 257,    471 288,    8 169,    324 194,    199 550,    108 996,    55 686,    51 205
西藏自治区,    383 839,    29 294,    34 250,    45 055,    55 310,    3 484,    45 734,    39 009,    30 431,    21 323,    29 949
陕西省,    30 305,    2 717,    4 456,    7 374,    8 851,    4 030,    1 592,    704,    306,    140,    135
甘肃省,    336 656,    9 796,    17 971,    41 555,    71 824,    2 638,    50 143,    32 634,    18 969,    10 193,    10 933
青海省,    321 774,    16 758,    18 874,    34 633,    54 194,    14,    47 426,    34 264,    23 263,    14 405,    17 943
宁夏回族自治区,    298 551,    7 654,    18 564,    39 163,    60 046,    2 184,    51 043,    30 523,    16 014,    7 476,    5 884
新疆维吾尔自治区,    1 907 825,    117 500,    180 998,    282 746,    323 861,    5 877,    246 213,    189 089,    119 864,    67 348,    64 329
