表3-28全国各民族出生人口数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年上半年,,,,    1989年下半年,,,,    1990年上半年,,,
    民族别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,性别比,小计,    男,    女,性别比,  小计,    男,    女,  性别比
总计,35 110 945, 18 505 929, 16 605 016,  111.45, 11 324 448, 5 973 626, 5 350 822,    111.64, 13 300 439, 6 995 458, 6 304 981,  110.95, 10 486 058, 5 536 845, 4 949 213,  111.87
汉族, 31 701 908, 16 742 890, 14 959 018,  111.93, 10 173 816, 5 378 147, 4 795 669,    112.15, 12 114 054, 6 382 102, 5 731 952,  111.34, 9 414 038, 4 982 641, 4 431 397,  112.44
蒙古族,    188 073,    96 974,    91 099,  106.45,    60 731,    31 289,    29 442,    106.27,    66 048,    33 983,    32 065,  105.98,    61 294,    31 702,    29 592,  107.13
回族,    317 624,    163 843,    153 781,  106.54,    110 512,    56 841,    53 671,    105.91,  109 140,    56 363,    52 777,  106.79,    97 972,    50 639,    47 333,  106.98
藏族,    193 788,    98 763,    95 025,  103.93,    72 238,    36 971,    35 267,    104.83,    59 770,    30 307,    29 463,  102.86,    61 780,    31 485,    30 295,  103.93
维吾尔族,    379 484,    192 918,    186 566,  103.40,    150 853,    76 846,    74 007,    103.84,    93 600,    47 527,    46 073,  103.16,  135 031,    68 545,    66 486,  103.10
苗族,    282 240,    145 820,    136 420,  106.89,    88 057,    45 624,    42 433,    107.52,    107 064,    55 219,    51 845,  106.51,    87 119,    44 977,    42 142,  106.73
彝族,    252 178,    129 368,    122 810,  105.34,    81 278,    41 784,    39 494,    105.80,    88 559,    45 425,    43 134,  105.31,    82 341,    42 159,    40 182,  104.92
壮族,    470 790,    248 531,    222 259,  111.82,    156 109,    81 918,    74 191,    110.42,  183 191,    96 666,    86 525,  111.72,  131 490,    69 947,    61 543,  113.66
布依族,    98 441,    49 81 1,    48 630,  102.43,    30 388,    15 475,    14 913,    103.77,    36 360,    18 495,    17 865,  103.53,    31 693,    15 841,    15 852,    99.93
朝鲜族,    45 684,    23 465,    22 219,  105.61,    16 959,    8 728,    8 231,    106.04,    13 912,    7 112,    6 800,  104.59,    14 813,    7 625,    7 188,    106.08
