表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
总计,    310 719 517,    10 933 280,    5 156 267,    3 544 887,    1 418 308,    489 419,    324 399,  12 918 596,  6 634 047,    3 918 236,    1 547 654,    512 029,    306 630
15-19岁,    58 507 832,    180 919,    167 117,    12 994,    667,    81,    60,    335 087,    308 410,    25 495,    1 051,    83,    48
  15,    10 520 164,    519,    431,    62,    10,    10,    6,    821,    740,    63,    11,    2,    5
  16,    11443 691,    2 140,    1 992,    102,    23,    13,    10,    4 903,    4 718,    151,    16,    7,    11
  17,    11 955 254,    11110,    10 647,    413,    27,    13,    10,    23 530,    22 627,    855,    36,    3,    9
  18,    11 928 154,    43 127,    40 522,    2 449,    127,    13,    16,80 915,    75 959,    4 738,    193,    16,    9
  19,    12 660 569,    124 023,    113 525,    9 968,    480,    32,    18,    224 918,    204 366,    19 688,    795,    55,    14
20-24岁,    61 528 151,    4 118 831,    2 977 120,    984 373,    140 644,    14 692,    2 002,  5 973 746,  4 331 797,    1 403 232,    214 664,    21 581,    2 472
  20,    12 844 729,    302 314,    262 930,    36 327,    2 718,    284,    55,    520 555,    451 779,    64 188,    4 228,    313,    47
  21,    13 335 020,    612 231,    508 887,    94 814,    7 817,    634,    79,    1 045 593,    870 394,    160 439,    13 696,    959,    105
  22,    11 965 751,    863 477,    674 738,    168 557,    18 236,    1 699,    247,    1.293 842,    1 000 122,    261 181,    29 732,    2 500,    307
  23,    11 132 124,    1 039 408,    722 371,    274 675,    38 150,    3 716,    496,    1 444 675,    988 324,    390 299,    59 863,    5 601,    588
  24,    12 250 527,    1 301 401,    808 194,    410 000,    73 723,    8 359,    1 125,    1 669 081,    1 021 178,    527 125,    107 145,    12 208,    1 425
25-29岁,    50 754 542,    4 494 512,    1 831 822,    1 797 153,    684 119,    148 736,    32 682,    4 733 217,    1 836 601,    1 867 378,    804 790,    185 365,    39 083
  25,    11 926 749,    1 295 290,    702 715,    460 975,    112 525,    16 233,    2 842,    1 484 698,    768 409,    538 472,    152 203,    22 305,    3 309
  26,    12 328 474,    1 193 817,    531 645,    475 924,    154 715,    26 988,    4 545,    1 269 725,    525 455,    509 858,    192 763,    36 031,    5 618
  27,    13 060 283,    1 094 213,    378 311,    469 297,    197 030,    41 624,    7 951,    1 103 017,    347 580,    462 015,    229 764,    53 504,    10 154
  28,    7 783 117,    578 006,    146 841,    250 164,    135 156,    36 695,    9 150,    564 026,    132 028,    232 278,    145 811,    43 204,    10 705
  29,    5 655 919,    333 186,    72 310,    140 793,    84 693,    27 196,    8 194,    311 751,    63 129,    124 755,    84 249,    30 321,    9 297
30-34岁,    40 169 574,    1 419 919,    142 839,    577 888,        409 215,    187 720,    102 257,    1 285 301,    124 960,    486 344,    377 671,    190 030,    106 296
  30,    6 923 442,    348 566,    53 681,    149 368,    94 478,    35 757,    15 282,    320 387,    46 456,    130 261,    91 150,    37 210,    15 310
  31,    6 843 038,    289 383,    30 663,    124 170,    83 799,    35 169,    15 582,    266 917,    27 168,    106 333,    78 982,    37 263,    17 171
  32,    9 053 122,    319 693,    26 689,    132 185,    93 769,    44 158,    22 892,    289 213,    23 496,    109 871,    86 177,    45 055,    24 614
  33,    8 821 542,    258 110,    18 439,    99 131,    77 062,    39 457,    24 021,    229 855,    16 198,    80 833,    68 868,    39 003,    24 953
  34,    8 528 430,    204 167,    13 367,    73 034,    60 107,    33 179,    24 480,    178 929,    11 642,    59 046,    52 494,    31 499,    24 248
35-39岁,    41 782 965,    556 672,    29 772,    153 385,    153 963,    104 643,    114 909,    471 945,    25 947,    122 1 56,    128 528,    91 582,    103 732
  35,    9 325 690,    180 481,    10 553,    58 552,    51 827,    31 152,    28 397,    156 243,    9 058,    47 240,    44 633,    28 833,    26 479
  36,    8 878 360,    136 597,    7 394,    39 970,    38 579,    25 144,    25 510,    116 836,    6 456,    31 944,    32 477,    22 279,    23 680
  37,    8 355 542,    102 756,    5 086,    26 336,    28 392,    20 107,    22 835,    86 794,    4 693,    20 913,    23 145,    17 135,    20 908
  38,    8 182 775,    81 514,    4 004,    18 034,    21 471,    16 638,    21 367,    66 820,    3 390,    13 940,    17 328,    13 720,    18 442
