表3-2省自治区直辖市的市各民族人口数(第二种口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表3-2单位：人,,,,,,,,,,,,,,,,,,  表3-2单位：人,,,,,,,,,,,,,,,,,,表3-2单位：人,,,,,,,,,,,,,,,,,,     省、自治区、直辖市的市各民族人口数(第二种口径)(续04),,,,,,,,,,,,,,,,,, 表3-2单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-2单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-2单位：人,,,,,,,,,,,,,,,,,,,,,,,,  表3-2单位：人,,,,,,,,,,,,,,,,,,,,,,,,  省、自治区、直辖市的市各民族人口数(第二种口径)(续09),,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   表3-2单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表3-2单位：人,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    藏族,,,    维吾尔族,,,    苗族,,,    彝族,,,    壮族,,,,,,    布依族,,,    朝鲜族,,,    满族,,,    侗族,,,    瑶族,,,,,,    白族,,,    土家族,,,    哈尼族,,,    哈萨克族,,,    傣族,,,,,,,,,,,,,,,,,,,,,,,,    拉祜族,,,    水族,,,    东乡族,,,    纳西族,,,    景颇族,,,    柯尔克孜族,,,    土族,,,,,,    达斡尔族,,,    仫佬族,,,    羌族,,,    布朗族,,,    撒拉族,,,    毛南族,,,    仡佬族,,,,,,    锡伯族,,,    阿昌族,,,    普米族,,,    塔吉克族,,,    怒族,,,    乌孜别克族,,,    俄罗斯族,,,,,,    鄂温克族,,,    德昂族,,,    保安族,,,    裕固族,,,    京族,,,    塔塔尔族,,,    独龙族,,,,,,,,,,,,,,,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,,    黎族,,,    傈僳族,,,    佤族,,,    畲族,,,    高山族,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,  地区别,,,,,,,,,,,,,,,,,,,,,,,,,    鄂伦春族,,,    赫哲族,,,    门巴族,,,    珞巴族,,,    基诺族,,,  其他未识别的民族,,,  外国人加人中国籍,,
    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,,,,小计,  男,  女,小计,  男,  女,小计,    男,    女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,地区别,,,,,,,,,,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,    151 292,    76 186,    75 106,    616 451,    311 207,    305 244,    304 069,  164 612,    139 457,  323 660,  168 417,  155 243,  625 136,  327 843,  297 293,,,总计,    179 893,    95 211,    84 682,    665 380,    326 744,    338 636,  1 776 276,    931 916,  844 360,    57 245,    33 012,    24 233,    31 479,    17 944,    13 535,,,总计,    105 633,    56 729,    48 904,    410 181,    220 005,    190 176,    4 367,    2 615,    1 752,    74 844,    39 064,    35 780,    6 687,    3 255,    3 432,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    910,    380,    530,    9 279,    5 244,    4 035,    5 383,    3 159,  2 224,    7 244,  3 977,  3 267,    849,    486,    363,  7 149,  3 810,  3 339,  5 280,  3 071, 2 209,,,总计,  39 188,  19 703,  19 485,    6 106,    2 982,    3 124,    2 258,    1 193,  1 065,    153,    80,    73,  2 382,  1 373,  1 009,  1 330,    717,    613, 14 631,  8 358, 6 273,,,总计,  65 089,  34 210,  30 879,    105,    73,    32,    204,    121,    83,    474,    319,    155,    93,    56,    37,  5 517,  2 792,  2 725,  7 372,  3 379, 3 993,,,总计,    2 128,    1 045,    1 083,    38,    25,    13,    347,    196,    151,    842,    430,    412,  1 255,    603,    652,  1 384,    678,    706,    131,    75,    56,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女
总计,  211 222 509,  109 371 033,  101 851 476,  202 360 065,  104 810 255,  97 549 810,    624 303,    316 311,    307 992,    2 473 542,    1 243 212,    1 230 330,,,北京市,    1 309,    786,    523,    1 997,    1 302,    695,    1 467,    907,    560,    581,    340,    241,    2 858,    1 731,    1 127,,,北京市,    339,    203,    136,    7 357,    3 560,    3 797,    114 543,    61 051,    53 492,    616,    368,    248,    342,    236,    106,,,北京市,    814,    467,    347,    1 406,    840,    566,    33,    13,    20,    345,    197,    148,    94,    45,    49,,,总计,    179 361,    91 557,    87 804,    3 222,    1 843,    1 379,    953,    413,    540,    28 181,    15 924,    12 257,    1 030,    552,    478,,,北京市,    15,    7,    8,    45,    29,    16,    21,    14,    7,    151,    94,    57,    16,    7,    9,    27,    15,    12,    46,    27,    19,,,北京市,    304,    132,    172,    55,    34,    21,    46,    27,    19,    2,    2,-,    22,    14,    8,    19,    13,    6,    67,    45,    22,,,北京市,    860,    424,    436,    3,    3,-,    8,    7,    1,    3,    2,    1,    2,    1,    1,    12,    6,    6,    98,    44,    54,,,北京市,    58,    31,    27,    2,    2,-,    3,    2,    1,    18,    11, 7,    9,    6,   3,    23,    11,    12,    1,    1,-,,,总计,    891,    437,    454,    1 653,    830,    823,    103,    44,    59,    27,    9,    18,    81,    38,    43, 28 436,  16 056,  12 380,    947,    257,    690
北京市,    7 362 426,    3 841 774,    3 520 652,    7 050 585,    3 680 199,    3 370 386,    15 591,    8 223,    7 368,    159 639,    79 963,    79 676,,,天津市,    485,    246,    239,    198,    123,    75,    194,    120,    74,    65,    34,    31,    572,    363,    209,,,天津市,    52,    29,    23,    1 575,    765,    810,    13 205,    7 070,    6 135,    94,    53,    41,    29,    20,    9,,,天津市,    98,    61,    37,    339,    199,    140,    11,    6,    5,            2,    1,    1,     2,    1,    1,,,北京市,    103,    73,    30,    17,    10,    7,    7,    4,     3,    214,    137,    77,    54,    27,    27,,,天津市,-,-,-,    6,    4,    2,    2,    2,-,    22,    13,    9,-,-,-,    1,-,    1,    13,    9,    4,,,天津市,    116,    65,    51,    5,    2,    3,    1,    1,-,-,-,-,   2,    2,-,    4,-,    4,    12,    6,    6,,,天津市,    160,    79,    81,    1,    1,-,-,-,-,-,-,-,-,-,-,-,-,-,    36,    15,    21,,,天津市,    28,    23,    5,-,-,-,-,-,-,-,-,-,    1,    1,-,-,-,-,-,-,-,,,北京市,    29,    13,    16,    25,    14,    11,    8,    4,    4,    2,    1,    1,    2,    1,    1,    59,    42,    17,    54,    6,    48
天津市,    5 855 044,    2 987 121,    2 867 923,    5 689 533,    2 903 621,    2 785 912,    2 422,    1 287,    1 135,    145 676,    72 856,    72 820,,,河北省,    550,    302,    248,    182,    127,55,    612,    342,    270,    218,    150,    68,    1 199,    618,    581,,,河北省,    328,    239,    89,    3 372,    1 582,    1 790,    81 532,    43 494,    38 038,    179,    88,    91,    82,    43,    39,,,河北省,    142,    78,    64,    897,    471,    426,    23,    17,    6,           2,    1,    1,    34,    16,    18,,,天津市,    11,    5,    6,   5,    3,    2,-,-,-,    21,    16,    5,    15,     5,    10,,,河北省,    10,    3,    7,    19,    13,    6,-,-,-,    21,    14,    7,    1,-,    1,    3,    1,    2,    24,    15,    9,,,河北省,    114,    45,    69,    10,    6,    4,    20,    10,    10,-,-,-,    6,    3,    3,    13,    4,    9,    10,    7,    3,,,河北省,    340,    181,    159,-,-,-,    2,    2,-,    1,    1,-,    1,-,    1,    1,    1,-,    42,    21,    21,,,河北省,    5,    4,    1,-,-,-,-,-,-,-,-,-,    2,    2,-,    2,-,    2,-,-,-,,,天津市,    7,    7,-,    2,-,    2,-,-,-,-,-,-,-,-,-,    11,    7,    4,    10,-,    10
河北省,    8 642 125,    4 516 638,    4 125 487,    8 379 968,    4 382 426,    3 997 542,    9 024,    4 749,    4 275,    162 908,    81 395,    81 513,,,山西省,    348,    179,    169,    44,    22,    22,    348,    195,    153,    161,    106,    55,    386,    218,    168,,,山西省,    94,    50,    44,    884,    415,    469,    9 086,    4 806,    4 280,    83,    44,    39,    65,    36,    29,,,山西省,    97,    57,    40,    475,    258,    217,     3,      2,     1,    9,    6,    3,    2,    1,    1,,,河北省,    15,    11,    4,    7,    4,    3,    5,    4,    1,    27,    18,    9,    42,    26,    16,,,山西省,    2,    2,-,    1,    1,-,-,-,-,    33,    16,    17,-,-,-,-,-,-,    11,    7,    4,,,山西省,    27,    17,    10,    10,-,    10,    15,    7,    8,-,-,-,-,-,-,-,-,-,    6,    4,    2,,,山西省,    123,    67,    56,-,-,-,    2,    2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,山西省,    14,    6,    8,-,-,-,-,-,-,-,-,-,    3,    3,-,-,-,-,-,-,-,,,河北省,    7,    2,    5,    8,    4,    4,    2,-,    2,-,-,-,-,-,-,    93,    86,    7,    20,    12,    8
