表3-31全国各民族按存活子女数分的15--64岁妇女人数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,
,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,  存活,  存活,  存活,  存活,  存活15,  平均每个
,,,,,,,,,,,,,,,    民族别,,,,,  个及15,  妇女存活
,    151164,    没有,  存活,  存活,  存活,    存活,    存活,    存活,    存活,    存活,    存活,    存活,,,,  11个,  12个,  13个,  14个,  个以上,  子女数
    民族别,    岁妇女,    存活,,,,,,,,,,,,,总计,  34 207,    8 226,    1 566,    369,    125,    1.96
,    人数,    子女,  1个,  2个,  3个,    4个,    5个,    6个,    7个,    8个,    9个,    10个,,,汉族,  25 056,    5 576,    934,    212,    72,    1.94
总计,    364 219 700,  102 990 203, 70 047 279, 70 991 279,  48 820 028,  32 469 813,  20 371 157,  11 080 605,  4 894 994,  1 803 153,    556 557,    150 139,,,蒙古族,    1 099,    326,    95,    22,    8,    1.98
汉族,    336 942 632,    94 406 194, 66 100 352, 66 197 956,  45 279 420,  29 856 925,  18 589 647,  10 000 287,  4 342 044,  1 557 056,    462 747,    118 154,,,回族,    1 248,    328,    83,    14,    7,    2.06
蒙古族,    1 444 189,    489 717,    224 125,    267 564,    162 281,    111 477,    76 052,    51 155,    31 460,    17 325,    8 156,    3 327,,,藏族,    1 482,    496,    114,    38,    9,    2.08
回族,    2 688 890,    785 183,    492 004,    488 943,    332 171,    235 840,    157 730,    99 167,    54 474,    26 637,    11 042,    4 019,,,维吾尔族,    1 717,    543,    1 12,    37,    9,    2.37
藏族,    1373 772,    505 516,    186 896,    192 709,    162 110,    112 514,    80 815,    57 708,    37 478,    21 223,    10 258,    4 406,,,苗族,    355,    93,    17,    1,    1,    2.15
维吾尔族,    1 984 538,    61 5 303,    282 831,    266 461,    230 300,    197 031,    156 532,    111 314,    66 465,    35 020,    14 991,    5 872,,,彝族,    293,    54,    15,    3,   -,    2.22
苗族,    2 152 043,    699 630,    250 353,    338 397,    317 536,    237 787,    157 643,    87 750,    40 003,    15 778,    5 177,    1 522,,,壮族,    380,    76,    14,    1,    3,    2.24
彝族,    1 945 646,    605 971,    222 907,    335 755,    267 750,    207 657,    147 336,    89 551,    44 010,    17 279,    5 663,    1 402,,,布依族,    44,    8,    1,-,-,    2.07
壮族,    4 648 214,    1 453 046,    487 691,    761 927,    667 387,    551 595,    376 970,    212 268,    93 135,    32 542,    9 045,    2 134,,,朝鲜族,    13,    3,    1,-,-,    1.76
布依族,    766 325,    264 347,    84 207,    106 919,    120 602,    90 466,    56 125,    28 113,    11 022,    3 410,    893,    168,,,满族,    420,    96,    19,    1,    1,    1.72
朝鲜族,    684 087,    171 248,    163 131,    177 818,    78 104,    48 009,    26 906,    12 528,    4 564,    1 370,    327,    65,,,侗族,    20,    4,    2,-,-,    2.00
满族,    3 042 785,    881 777,    741 240,    707 857,    280 518,    173 084,    115 361,    75 095,    40 579,    18 279,    6 587,    1 871,,,瑶族,    93,    32,    3,    1,-,    2.15
侗族,    745 757,    241 908,    90 900,    134 068,    118 257,    79 757,    46 392,    22 467,    8 555,    2 623,    664,    140,,,白族,    44,    7,    3,-,-,    2.05
瑶族,    599 546,    182 288,    72 701,    110 537,    89 753,    62 925,    41 382,    23 057,    10 742,    4 276,    1 381,    375,,,土家族,    109,    14,    4,-,-,    1.87
白族,    490 170,    158 350,    57 160,    94 411,    71 361,    48 180,    31 323,    17 323,    8 079,    2 817,    888,    224,,,哈尼族,    114,    30,    5,    2,-,    2.36
土家族,    1 758 262,    597 674,    233 300,    348 994,    242 046,    160 984,    97 360,    49 122,    19 744,    6 581,    1 863,    467,,,哈萨克族,    943,    343,    96,    27,    10,    2.54
哈尼族,    363 270,    98 689,      47 674,    62 837,    53 173,    39 125,    27 386,    18 051,    9 840,    4 351,    1 543,    450,,,傣族,    65,    29,    4,-,-,    2.14
哈萨克族,    294 497,    122 454,    24 219,    24 476,    22 817,    22 293,    22 262,    20 073,    15 873,    10 492,    5 558,    2 561,,,黎族,    131,    29,    13,    2,    3,    2.46
傣族,    317 354,86 371,    42 122,    74 142,    47 638,    27 881,    17 800,    11 090,    6 013,    2 794,    1 064,    341,,,傈僳族,    72,    13,    1,    1,    1,    2.34
黎族,    312 790,    99 358,    33 228,    36 557,    43 967,    34 637,    26 792,    19 450,    11156,    5 133,    1 847,    487,,,佤族,    34,    10,    2,-,-,    2.34
傈僳族,    165 839,    45 934,    20 467,    30 049,    25 323,    17 067,    11 605,    7 676,    4 350,    2 116,    852,    312,,,畲族,    24,    6,    1,-,-,    2.07
佤族,    101 483,    28 567,    13 267,    14 754,    16 279,    11 951,    7 859,    4 795,    2 408,    1 073,    377,    107,,,高山族,    -,  -,  -,-,-,    1.34
畲族,    179 274,    53 829,    25 291,    34 790,    26 225,    16 970,    10 644,    6 434,    3 157,    1 313,    457,    133,,,拉祜族,    30,    4,    2,    1,-,    2.36
高山族,    951,    330,    310,    158,    66,    27,        33,        17,    7,    1,    2,     -,,,水族,    5,    2,-,-,-,    2.20
拉祜族,      118 614,    29 879,    16 681,    19 744,    20 865,    12 992,    8 512,    5 339,    2 756,    1 195,    485,    129,,,东乡族,    63,    22,    2,    1,-,    2.33
水族,    98 798,    32 993,    11913,    13 090,    13 294,    11164,    8 047,    4 789,    2 271,    893,    269,    68,,,纳西族,    4,    2,-,-,-,    1.89
东乡族,    108 360,    34 673,    12 726,    14 575,    14 897,    11 922,    8 572,    5 562,    3 044,    1 464,    602,    235,,,景颇族,    23,    5,    4,    1,-,    2.36
纳西族,    90 659,    28 935,    11 077,    21 652,    13 178,    7 736,    4 428,    2 176,    1 000,    347,    95,    29,,,柯尔克孜族,    64,    18,    5,    1,-,    2.61
景颇族,    34 569,    11 056,    4 323,    4 670,    4 357,    3 487,    2 709,    1 870,    1 091,    612,    276,    85,,,土族,    31,    6,    2,-,-,    2.21
柯尔克孜族,    36 328,    11 523,    4 333,    4 338,    3 699,    3 468,    3 049,    2 500,    1 710,    996,    456,    168,,,达斡尔族,    22,    2,-,    1,    1,    1.93
土族、,    57 667,    18 537,    6 955,    9 307,    8 158,    5 590,    3 918,    2 548,    1 473,    710,    327,    105,,,仫佬族,    3,-,-,-,-,    2.07
达斡尔族,    37 105,    12 158,    6 354,    7 300,    4 178,    2 699,    1 766,    1 176,    791,    419,    180,    58,,,羌族,    15,    1, -,1,-,    2.07
仫佬族,    45 231,    14 792,    5 074,    8 071,    6 281,    5 105,    3 440,    1 638,    601,    186,    33,    7,,,布朗族,    11,    2,-,-,-,    2.31
羌族,    60 424,    20 369,    7 632,    10 369,    7 479,    5 978,    4 097,    2 525,    1 241,    501,    164,    52,,,,,,,,,
布朗族,    22 953,    7 012,    2 759,    3 574,    3 174,    2 455,    1 781,    1 141,    633,    270,    105,    36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
表3--31全国各民族按存活子女数分的15-64岁妇女人数(续01),,,,,,,,,,,,,,,    单位：人,,,,,,
,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,  存活,  存活,  存活,  存活,  存活15,  平均每个
,,,,,,,,,,,,,,,    民族别,,,,,  个及15,  妇女存活
,    15-64,    没有,  存活,  存活,  存活,  存活,    存活,    存活,    存活,    存活,    存活,    存活,,,,  11个,  12个,  13个,  14个,  个以上,  子女数
  民族别,    岁妇女,    存活,,,,,,,,,,,,,撒拉族,    32,    4,    1,    1,-,    2.49
,    人数,    子女,  1个,  2个,  3个,  4个,    5个,    6个,    7个,    8个,    9个,    10个,,,毛南族,    3,-,-,-,-,    2.17
撒拉族,    23 849,    7 719,    3 031,    2 808,    2 538,    2 329,    1 987,    1 526,    976,    592,    225,    80,,,仡佬族,    10,-,    2,-,-,    1.94
毛南族,    20 167,    6 691,    2 103,    3 615,    2 510,    2 111,    1 534,    904,    425,    191,    69,    11,,,锡伯族,    21,    8,    2,-,-,    1.57
仡佬族,    123 449,    49 199,    12 427,    15 956,    16 583,    12 787,    8 694,    4 766,    2 059,    712,    213,    41,,,阿昌族,    1,-,    1,-,-,    2.31
锡伯族,    50 391,    17 247,    12 055,      10 491,    4 082,    2 701,    1 710,    1 056,    557,    291,    125,    45,,,普米族,    2,-,-,-,-,    2.16
阿昌族,    7 711,    2 563,    845,    997,    1 028,    861,    625,    412,    218,    118,    36,    6,,,塔吉克族,    8,    4,-,-,-,    2.55
