,,,,,,,,,,,,,,,,
表3--32全国各民族的死亡人口数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年上半年,,,,    1989年下半年,,,,   1990年上半年,,,
    民族别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,  性别比,  小计,    男,    女,性别比,小计,    男,    女,性别比
总计,10 328 902, 5 647 317, 4 681 585, 120.63, 3 280 799, 1 805 163,1 475 636,  122.33,3 292 160, 1 814 609, 1 477 551,  122.81, 3 755 943, 2 027 545, 1 728 398,  117.31
汉族,  9 417 386, 5 154 446, 4 262 940, 120.91, 2 997 959, 1 650 907,1 347 052,  122.56, 3 002 433, 1 657 134, 1 345 299,  123.18, 3 416 994, 1 846 405, 1 570 589,  117.56
蒙古族,    38 540,    22 472,    16 068, 139.86,    10 760,    6 376,    4 384,  145.44,    11 674,    6 861,    4 813,  142.55,    16 106,    9 235,    6 871,  134.41
回族,    66 504,    36 695,    29 809, 123.10,    20 147,    11 276,    8 871,  127.11,    21 065,    11 669,    9 396,  124.19,    25 292,    13 750,    11 542,  119.13
藏族,    59 516,    30 374,    29 142, 104.23,    18 523,    9 542,    8 981,  106.25,    18 137,    9 279,    8 858,  104.75,    22 856,    11 553,    11 303,  102.21
维吾尔族,    91 140,    49 778,    41 362, 120.35,    29 176,    15 958,  13 218,  120.73,    27 076,    15 068,    12 008,  125.48,    34 888,    18 752,    16 136,  116.21
苗族,    80 817,    42 707,    38 110, 112.06,    25 435,    13 596,  11 839,  114.84,    26 477,    13 996,    12 481,  112.14,    28 905,    15 115,    13 790,  109.61
彝族,    79 549,    42 059,    37 490, 112.19,    23 983,    12 771,  11 212,  113.90,    26 428,    14 109,    12 319,  114.53,    29 138,    15 179,    13 959,  108.74
壮族,    141 377,    74 195,    67 182, 110.44,    44 771,    23 780,  20 991,  113.29,    45 316,    23 972,    21 344,  112.31,    51 290,    26 443,    24 847,  106.42
布依族,    31 140,    16 381,    14 759, 110.99,    9 114,    4 859,    4 255,  114.20,    10 564,    5 487,    5 077,  108.08,    11 462,    6 035,    5 427,  111.20
朝鲜族,    19 234,    10 899,    8 335, 130.76,    5 939,    3 439,    2 500,  137.56,    6 171,    3 544,    2 627,  134.91,    7 124,    3 916,    3 208,  122.07
