表3-33全国各民族分年龄的死亡人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表3--33全国各民族分年龄的死亡人口数(1989．7．1-1990．6．30)(续06),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,    藏族,,,,    维吾尔族,,,,苗族,,,,    彝族,,,,    壮族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    白族,,,,    土家族,,,,    哈尼族,,,,    哈萨克族,,,,    傣族,,,,,,,    黎族,,,,    傈僳族,,,,    佤族,,,,    畲族,,,,    高山族,,,,,,,    拉祜族,,,,    水族,,,,    东乡族,,,,    纳西族,,,,    景颇族,,,,,,,    柯尔克孜族,,,,    土族,,,,    达斡尔族,,,,    仫佬族,,,,    羌族,,,,,,,    布朗族,,,,    撒拉族,,,,    毛南族,,,,    仡佬族,,,,    锡伯族,,,,,,,    阿昌族,,,,    普米族,,,,    塔吉克族,,,,    怒族,,,,    乌孜别克族,,,,,,,    俄罗斯族,,,,    鄂温克族,,,,    德昂族,,,,    保安族,,,,    裕固族,,,,,,,    京族,,,,    塔塔尔族,,,,    独龙族,,,,    鄂伦春族,,,,    赫哲族,,,,,
,    合计,,,,    汉族,,,,    蒙古族,,,,    回族,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,,    布依族,,,,    朝鲜族,,,,满族,,,,    侗族,,,,    瑶族,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,,,,,小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,  年龄别,,,,,,,,,,,,,,,,,,,,,,,,小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,,小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,,小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,,  小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,,小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,,小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,,小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,,  小计,    男,    女,  性别比,  小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,
,  合计,    男,    女,  性别比,  小计,    男,    女,性别比,小计,    男,    女,性别比,小计,    男,    女,性别比,,,总计,    40 993,    20 832,    20 161,    103.33,  61 964,    33 820,  28 144,    120.17,  55 382, 29 111,  26 271,  110.81,  55 566,  29 288,  26 278,  111.45,  96 606,  50 415,  46 191,  109.14,,,,,,,,,,,,,,,,,,,,,,,,,,总计,    11 250,    5 864,    5 386,    108.87,    39 959,    21 388,    18 571,    115.17,  12 621,    6 556,    6 065,  108.10,    7 618,  4 345,    3 273,  132.75,  7 712,  4 147,    3 565,  116.33,,,总计,    7 052,  3 944,    3 108,    126.90,    5 908,    3 009,    2 899,    103.79,    4 823,    2 505,    2 318,  108.07,  3 792,    2 198,    1 594,  137.89,    18,    11,    7,  157.14,,,总计,    4 885,    2 587,    2 298,    112.58,    2 569,    1 389,    1 180,    117.71,  2 217,  1 102,    1 115,  98.83,  2 199,    1 150,  1 049, 109.63, 1 308,    662,    646, 102.48,,,总计,    1 399,    707,    692,    102.17,    1 391,    763,    628,    121.50,    874,    524,    350,  149.71,    716,    374,    342,109.36,  1 241,    650,    591, 109.98,,,总计,    1 009,    564,    445,  126.74,    552,    286,    266,  107.52,  409,    231,    178, 129.78,  3 167,  1 719,  1 448, 118.72,    654,    393,    261, 150.57,,,总计,    258,    126,    132,    95.45,    241,    115,    126,    91.27,    329,    167,    162, 103.09,    316,    166,    150,  110.67,    64,    34,    30, 113.33,,,总计,    70,    35,    35,  100.00,    188,    120,    68,  176.47,    184,    94,    90, 104.44,    66,    31,    35,  88.57,    60,    27,    33,    81.82,,,总计,    97,    38,    59,    64.41,    29,    18,    11,  163.64,    72,    42,    30, 140.00,    52,    31,    21, 147.62,    19,    8,    11,  72.73,,
总计,    7 048 103,    3 842 154,    3 205 949,    119.84,    6 419 427,    3 503 539, 2 915 888,    120.15,    27 780,    16 096,  11 684,    137.76,    46 357,    25 419,    20 938,  121.40,,,0-4岁,    12 425,    6 722,    5 703,    117.87,  23 921,    12 950,  10 971,    118.04,  16 601,    8 277,  8 324,  99.44,  15 920,  8 443,    7 477,  112.92,  19 182,    8 158,  11 024,    74.00,,,,小计,    男,    女,性别比,小计,    男,    女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,小计,  男,  女,性别比,,,0-4岁,    2 510,    1 351,    1 159,    116.57,    7 838,    4 014,    3 824,    104.97,    5 018,    2 592,    2 426,  106.84,    2 104,  1 176,    928,  126.72,  2 469,  1 337,    1 132,  118.11,,,0-4岁,    1 904,  1 002,    902,    111.09,    2 072,    1 095,    977,    112.08,    2 399,    1 287,    1 1 12,  115.74,  445,    205,    240,  85.42,    2,    1,    1,  100.00,,,0-4岁,    2 107,    1 129,    978,    115.44,    881,    445,    436,    102.06,    857,    427,    430,  99.30,    447,    245,    202, 121.29,    525,    269,    256, 105.08,,,0-4岁,    682,    348,    334,    104.19,    383,    201,    182,    110.44,    80,    39,    41,    95.12,    155,    71,    84,  84.52,    240,    137,    103, 133.01,,,0-4岁,    416,    234,    182,  128.57,    251,    138,    113,  122.12,    67,    42,    25, 168.00,    906,    440,    466,  94.42,    61,    26,    35,  74.29,,,0-4岁,    86,    37,    49,    75.51,    77,    44,    33,  133.33,    157,    85,    72, 118.06,    118,    65,    53,  122.64,    16,    5,    11,  45.45,,,0-4岁,    10,    8,    2,  400.00,    31,    17,    14,  121.43,    83,    36,    47,  76.60,    21,    13,    8, 162.50,    6,    3,    3, 100.00,,,0-4岁,    43,    14,    29,    48.28,    5,    1,    4,    25.00,    19,    14,    5, 280.00,    6,    4,    2, 200.00,    2,    1,    1, 100.00,,
0-4岁,    868 423,    430 333,    438 090,    98.23,    710 607,    349 745,    360 862,    96.92,    4 167,    2 195,    1 972,    111.31,    8 763,    4 637,    4 126,  112.38,,,  0,    9 424,    5 180,    4 244,    122.05,  17 045,    9 433,    7 612,    123.92,  11 028,    5 549,  5 479,  101.28,  10 954,  5 941,    5 013,  118.51,  15 124,    6 120,  9 004,    67.97,,,总计,    22 026,  11 522,    10 504,    109.69,    13 295,    7 460,    5 835,    127.85,  44 564,  26 599,  17 965,  148.06,  16 989,  9 230,    7 759,  118.96,  14 812,  8 130,    6 682,  121.67,,,  0,    1 900,    1 061,    839,    126.46,    5 812,    3 034,    2 778,    109.22,    3 786,    1 984,    1 802,  110.10,    1 601,    886,    715,  123.92,  2 010,  1 097,    913,  120.15,,,  0,    1 462,    768,    694,    110.66,    1 404,    778,    626,    124.28,    1 423,    800,    623,  128.41,  357,    168,    189,  88.89,     2,    1,    1,  100.00,,,  0,    1 457,    791,    666,    118.77,    533,    269,    264,    101.89,    595,    302,    293, 103.07,    367,    209,    158, 132.28,    302,    1 59,    143, 111.19,,,  0,    509,    263,    246,    106.91,    267,    139,    128,    108.59,    49,    23,    26,    88.46,    137,    64,    73,  87.67,    162,    89,    73, 121.92,,,  0,    288,    165,    123,  134.15,    203,    121,    82,  147.56,    49,    32,    17, 188.24,    685,    349,    336, 103.87,    42,    16,    26,  61.54,,,  0,    48,    23,    25,    92.00,    62,    38,    24,  158.33,    129,    69,    60, 115.00,    59,    28,    31,  90.32,    14,    5,    9,  55.56,,,  0,    9,    7,    2,  350.00,    21,    13,    8,  162.50,    62,    26,    36,  72.22,    14,    9,    5, 180.00,    5,    2,    3,  66.67,,,  0,    37,    9,    28,    32.14,    2,-,    2,-,    14,    11,    3, 366.67,    4,    2,    2, 100.00,     2,    1,    1, 100.00,,
  0,    650 203,    319 433,    330 770,    96.57,    535 319,    260 312,    275 007,    94.66,    3 380,    1 792,    1 588,    112.85,    6 712,    3 587,    3 125,  114.78,,,  1,    1 366,    690,    676,    102.07,    3 375,    1 730,    1 645,    105.17,    2 528,    1 244,  1 284,    96.88,    2 083,  1 020,    1 063,    95.95,    1 643,    791,    852,    92.84,,,0-4岁,    6 561,    3 287,    3 274,    100.40,    824,    428,    396,    108.08,    4 317,    2 293,  2 024,  113.29,  4 511,  2 143,    2 368,    90.50,    3 825,  1 851,    1 974,    93.77,,,  1,    299,    150,    149,    100.67,    895,    422,    473,    89.22,    525,    269,    256,  105.08,    258,    157,    101,  155.45,    198,    101,    97,  104.12,,,  1,    206,    110,    96,    114.58,    250,    120,    130,    92.31,    431,    213,    218,    97.71,    33,    14,    19,  73.68,-,-,-,-,,,  1,    242,    132,    1 10,    120.00,    155,    72,    83,    86.75,    102,    45,    57,  78.95,    34,    15,    19,  78.95,    100,    46,    54,    85.19,,,  1,    97,    43,    54,    79.63,    44,    20,    24,    83.33,    9,    3,    6,    50.00,    8,    3,    5,  60.00,    32,    21,    11, 190.91,,,  1,    55,    27,    28,    96.43,    23,    6,    17,    35.29,    7,    3,    4,  75.00,    110,    45,    65,  69.23,    9,    5,    4, 125.00,,,  1,    14,    6,    8,    75.00,    12,    4,    8,    50.00,    12,    7,    5, 140.00,    26,    15,    11, 136.36,-,-,-,-,,,  1,-,-,-,-,    5,    2,3,    66.67,    13,    9,    4, 225.00,    3,    2,    1, 200.00,-,-,-,-,,,  1,    2,    2,-,-,    1,-,    1,-,-,-,-,-,    1,    1,-,-,-,-,-,-,,
