,,,,,,,,,,,,
表3--34省、自治区、直辖市的市、镇、县少数民族迁入人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    迁入人口合计,,,,  本省其他县、市迁入,,,,    外省迁入,,,
    地区别,,,,,,,,,,,,
,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡
总计,    2 206 190,    324 274,    458 914,  1 423 002,    1 619 479,    215 367,    380 899,    1 023 213,    586 711,    108 907,    78 015,    399 789
  市,    1 174 338,    219 240,    281 072,    674 026,    907 786,    138 287,    237 564,    531 935,    266 552,    80 953,    43 508,    142 091
  镇,    497 464,    66 284,    124 940,    306 240,    343 058,    48 103,    102 009,    192 946,    154 406,    18 181,    22 931,    113 294
  县,    534 388,    38 750,    52 902,    442 736,    368 635,    28 977,    41 326,    298 332,    165 753,    9 773,    11 576,    144 404
北京市,    32 701,    11 308,    5 453,    15 940,    2 938,    813,    555,    1 570,    29 763,    10 495,    4 898,    14 370
  市,    25 721,    10 065,    4 569,    11 087,    1 824,    194,    418,    1 212,    23 897,    9 871,    4 151,    9 875
  镇,    4 403,    1 061,    656,    2 686,    864,    497,    110,    257,    3 539,    564,    546,    2 429
  县,    2 577,    182,    228,    2 167,    250,    122,    27,    101,    2 327,    60,    201,    2 066
天津市,    10 811,    2 828,    2 291,    5 692,    525,    65,    188,    272,    10 286,    2 763,    2 103,    5 420
  市,    7 625,    2 672,    1 967,    2 986,    464,    31,    180,    253,    7 161,    2 641,    1 787,    2 733
  镇,    860,    124,    119,    617,    45,    27,    8,    10,    815,    97,    111,    607
  县,    2 326,    32,    205,    2 089,    16,    7,    -,    9,    2 310,    25,    205,    2 080
河北省,    69 478,    10 941,    10 709,    47 828,    34 798,    4 578,    6 291,    23 929,    34 680,    6 363,    4 418,    23 899
  市,    31 730,    6 925,    5 653,    19 152,    19 852,    2 697,    3 701,    13 454,    11 878,    4 228,    1 952,    5 698
  镇,    15 576,    2 853,    3 531,    9 192,    7 516,    1 303,    1 843,    4 370,    8 060,    1 550,    1 688,    4 822
  县,    22172,    1 163,    1 525,    19 484,    7 430,    578,    747,    6 105,    14 742,    585,    778,    13 379
山西省,    8 719,    1 843,    1 610,    5 266,    1 561,    567,    531,    463,    7 158,    1 276,    1 079,    4 803
  市,    5 508,    1 517,    906,    3 085,    1 147,    464,    310,    373,    4 361,    1 053,    596,    2 712
  镇,    1 724,    278,    592,    854,    359,    92,    217,    50,    1 365,    186,    375,    804
  县,    1 487,    48,    112,    1 327,    55,    11,    4,    40,    1 432,    37,    108,    1 287
内蒙古自治区,    139 951,    23 592,    39 330,    77 029,    117 327,    19 986,    35 712,    61 629,    22 624,    3 606,    3 618,    15 400
  市,    86 974,    15 813,    28 788,    42 373,    75 693,    13 108,    26 651,    35 934,    11 281,    2 705,    2 137,    6 439
  镇,    28 172,    5 596,    8 464,    14 112,    22 220,    4 939,    7 275,    10 006,    5 952,    657,    1 189,    4 106
  县,    24 805,    2 183,    2 078,    20 544,    19 414,    1 939,    1 786,    15 689,    5 391,    244,    292,    4 855
辽宁省,    205 424,    29 190,    48 755,    127 479,    153 668,    18 676,    39 238,    95 754,    51 756,    10 514,    9 517,    31 725
  市,    137 988,    21 682,    33 302,    83 004,    110 535,    13 882,    28 333,    68 320,    27 453,    7 800,    4 969,    14 684
  镇,    35 067,    4 881,    10 640,    19 546,    23 646,    3 151,    7 783,    12 712,    11 421,    1 730,    2 857,    6 834
  县,    32 369,    2 627,    4 813,    24 929,    19 487,    1 643,    3 122,    14 722,    12 882,    984,    1 691,    10 207
吉林省,    137 887,    25 479,    44 548,    67 860,    109 698,    18 806,    39 013,    51 879,    28 189,    6 673,    5 535,    15 981
  市,    107 086,    21 983,    36 147,    48 956,    88 437,    16 336,    32 384,    39 717,    18 649,    5 647,    3 763,    9 239
  镇,    17 843,    2 667,    6 544,    8 632,    13 020,    1 906,    5 324,    5 790,    4 823,    761,    1 220,    2 842
  县,    12 958,    829,    1 857,    10 272,    8 241,    564,    1 305,    6 372,    4 717,    265,    552,    3 900
黑龙江省,    93 406,    12 458,    19 459,    61 489,    68 111,    8 601,    14 927,    44 583,    25 295,    3 857,    4 532,    16 906
  市,    58 988,    9 902,    13 028,    36 058,    44 016,    6 696,    10 350,    26 970,    14 972,    3 206,    2 678,    9 088
  镇,    15 367,    1 756,    4 774,    8 837,    10 691,    1 300,    3 404,    5 987,    4 676,    456,    1 370,    2 850
  县,    19 051,    800,    1 657,    16 594,    13 404,    605,    1 173,    11 626,    5 647,    195,    484,    4 968
上海市,    6 816,    2 942,    1 466,    2 408,    499,    156,    162,    181,    6 317,    2 786,    1 304,    2 227
  市,    5 598,    2 569,    1 304,    1 725,    316,     -,    142,    174,    5 282,    2 569,    1 162,    1 551
  镇,    375,    181,    74,    120,    85,    70,    13,    2,    290,    111,    61,    118
  县,    843,    192,    88,    563,    98,    86,    7,    5,    745,    106,    81,    558
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    迁入人口合计,,,,  本省其他县、市迁入,,,,    外省迁入,,,
    地区别,,,,,,,,,,,,
,    小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡,    小计,    街道,    镇,    乡
,,,,,,,,,,,,
江苏省,    25 234,    4 432,    2 896,    17 906,    2 072,    794,    515,    763,    23 162,    3 638,    2 381,    17 143
  市,    12 406,    3 623,    2 043,    6 740,    1 695,    655,    447,    593,    10 71 1,    2 968,    1 596,    6 147
  镇,    3 655,    434,    402,    2 819,    161,    66,    41,    54,    3 494,    368,    361,    2 765
  县,    9 173,    375,    451,    8 347,    216,    73,    27,    116,    8 957,    302,    424,    8 231
浙江省,    17 105,    1 937,    1 930,    13 238,    3 071,    486,    536,    2 049,    14 034,    1 451,    1 394,    11 189
  市,    8 672,    1 236,    957,    6 479,    1 695,    205,    245,    1 245,    6 977,    1 031,    712,    5 234
