,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  省、自治区、直辖市的镇各民族人口数(第二种口径),,,,,,,,,,,,,,,表3-3单位：人,,,,,,,,,,,,,,,,,,表3-3单位：人,,,,,,,,,,,,,,,,,,表3-3单位：人,,,,,,,,,,,,,,,,,,    表3-3单位：人,,,,,,,,,,,,,,,,,,,,,,,, 表3-3单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-3单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-3单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-3单位：人,,,,,,,,,,,,,,,,,,,,,
表3-3单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    藏族,,,    维吾尔族,,,    苗族,,,    彝族,,,    壮族,,,,,,    布依族,,,    朝鲜族,,,    满族,,,    侗族,,,    瑶族,,,,,,    白族,,,    土家族,,,    哈尼族,,,    哈萨克族,,,    傣族,,,,,,    拉祜族,,,    水族,,,    东乡族,,,    纳西族,,,    景颇族,,,    柯尔克孜族,,,    土族,,,,,,    达斡尔族,,,    仫佬族,,,    羌族,,,    布朗族,,,    撒拉族,,,    毛南族,,,    仡佬族,,,,,,    锡伯族,,,    阿昌族,,,    普米族,,,    塔吉克族,,,    怒族,,,    乌孜别克族,,,    俄罗斯族,,,,,,    鄂温克族,,,    德昂族,,,    保安族,,,    裕固族,,,    京族,,,    塔塔尔族,,,    独龙族,,,,,,    鄂伦春族,,,    赫哲族,,,    门巴族,,,    珞巴族,,,    基诺族,,,  其他木识别的民族,,,  外国人加入中国籍,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,  地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,总计,    173 274,    91 011,    82 263,    502 803,    251 411,    251 392,  286 932,  154 295,    132 637,    215 281,  121 382,    93 899,  909 982,    496 344,  413 638,,,总计,    78 387,    43 578,    34 809,    300 146,    146 927,    153 219,  990 971,  500 143,  490 828,  153 726,    82 658,    71 068,    84 179,    45 708,    38 471,,,总计,    108 733,    59 131,    49 602,    267 580,    142 085,    125 495,    39 301,    21 590,    17 711,    81 441,    41 239,    40 202,    67 701,    33 424,  34 277,,,总计,  10 338,    5 117,    5 221,  14 496,    7 892,    6 604,    2 973,    1 981,    992,  32 482, 16 846, 15 636,  5 299,  2 612,  2 687,  8 440,  4 328,  4 112,  9 905,  5 632, 4 273,,,总计,  30 870,  15 305,  15 565,  17 815,    9 081,    8 734,  11 768,    6 319,  5 449,    1 764,  1 004,    760,  4 868,  2 763,  2 105,  6 490,  3 416,  3 074, 16 567,  8 740, 7 827,,,总计,  16 568,    8 366,    8 202,    947,    565,    382,    1 191,    740,    451,    1 912,  1 080,    832,  1 388,    745,    643,    3 578,  1 830,  1 748,  3 063,  1 442,  1 621,,,总计,    7 694,    3 731,    3 963,    341,    197,    144,    604,    374,    230,    1 349,    676,    673,  3 483,  1 675,  1 808,    751,    395,    356,    392,    193,    199,,,总计,    1 959,    892,    1 067,    730,    337,    393,    295,    137,    158,    98,    44,    54,  1 479,    767,    712, 28 501, 15 405, 13 096,    383,    82,  301
总计,    84 922 671,    44 807 419,    40 115 252,    78 847 643,  41 649 191,    37 198 452,    549 726,    273 885,    275 841,    896 451,    459 329,    437 122,,,北京市,    7,    6,    1,    14,    11,    3,    81,    48,    33,    25,    19,    6,    404,    309,    95,,,北京市,    23,    14,    9,    205,    103,    102,    6 080,    3 266,    2 814,    9,       7,    2,    23,    16,     7,,,北京市,    45,    21,    24,    190,    124,    66,    3,    2,    1,-,-,-,        2,    2,-,,,北京市,-,-,-,-,-,-,-,-,-,    5,    4,    1,-,-,-,-,-,-,    11,    10,    1,,,北京市,    8,    7,    1,-,-,-,-,-,-,-,-,-,    1,    1,-,    1,    1,-,-,-,-,,,北京市,    52,    23,    29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    2,    1,    1,,,北京市,    6,    5,    1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,北京市,-,-,-,    4,    1,    3,-,-,-,-,-,-,-,-,-,    10,    6,    4,-,-,-
北京市,    582 911,    316 863,    266 048,    556 940,    303 087,    253 853,    391,    216,    175,    18 361,    9 550,    8 811,,,天津市,    2,-,    2,-,-,-,    6,    3,    3,    1,-,    1,    37,    9,    28,,,天津市,    2,    1,    1,    20,    10,    10,    863,    453,    410,    4,       3,    1,-,-,-,,,天津市,    1,    1,-,    23,    10,    13,-,-,-,-,-,-,-,-,-,,,天津市,-,-,-,-,-,-,-,-,-,    1,    1,-,-,-,-,-,-,-,    1,    1,-,,,天津市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    1,-,    1,-,-,-,,,天津市,    1,-,    1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,天津市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,天津市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天津市,    256 039,    142 415,    113 624,    245 998,    137 327,    108 671,    34,    17,    17,    9 043,    4 579,    4 464,,,河北省,    28,    11,    17,    22,    11,    11,    141,    71,    70,    74,    54,    20,    576,    270,    306,,,河北省,    40,    22,    18,    409,    191,    218,  125 168,    63 703,    61 465,    45,    25,    20,    31,    12,    19,,,河北省,    27,    13,    14,    120,    63,    57,    18,    13,    5,-,-,-,    8,    5,3,,,河北省,    13,    2,    11,    3,    1,    2,-,-,-,    19,    10,    9,    2,    2,-,-,-,-,    7,    3,    4,,,河北省,    24,    11,    13,    16,    8,    8,    7,    4,    3,-,-,-,   5,    2,    3,-,-,-,    3,-,    3,,,河北省,    42,    24,    18,    11,    11,-,-,-,-,-,-,-,-,-,-,-,-,-,    12,    5,    7,,,河北省,-,-,-,-,-,-,    2,-,    2,    2,    1,    1,    2,    1,    1,-,-,-,-,-,-,,,河北省,    3,    1,    2,-,-,-,-,-,-,    1,-,    1,-,-,-,    7,    4,    3,2,1,1
河北省,    3 091 754,    1 688 003,    1 403 751,    2 911 962,    1 596 215,    1 315 747,    9 402,    4 869,    4 533,    43 432,    22 325,    21 107,,,山西省,    26,    13,    13,    6,    1,    5,    164,    83,    81,    59,    46,    13,    110,    61,    49,,,山西省,    55,    29,    26,    114,    53,    61,    2 704,    1 465,    1 239,    31,    16,    15,7,    5,    2,,,山西省,    25,    13,    12,    195,109,    86,-,-,-,2,-,2,    4,    1,    3,,,山西省,    3,-,    3,    4,    2,    2,-,-,-,    8,    2,    6,    1,-,    1,-,-,-,    6,    4,    2,,,山西省,    2,    1,    1,-,-,-,    13,    5,    8,-,-,-,    1,-,    1,-,-,-,    2,    2,-,,,山西省,    27,    15,    12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    1,-,    1,,,山西省,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,山西省,-,-,-,   2,-,    2,-,-,-,-,-,-,-,-,-,    8,    6,    2,    1,-,    1
山西省,    1 915 013,    1 092 444,    822 569,    1 906 120,  1 087 695,    818 425,    557,    321,    236,    4 737,    2 487,    2 250,,,内蒙古自治区,    169,    92,    77,    22,    11,    11,    209,    105,    104,    74,    44,    30,    269,    135,    134,,,内蒙古自治区,    13,    8,    5,    4 438,    2 089,    2 349,    79 617,    39 440,    40 177,    25,    14,    11,    25,    14,    11,,,内蒙古自治区,    19,    10,    9,    71,    37,    34,    1,-,    1,-,-,-,    3,    2,    1,,,内蒙古自治区,    4,    4,-,    10,    6,    4,    3,    2,    1,-,-,-,-,-,-,    57,    36,    21,    54,    32,    22,,,内蒙古自治区,  26 469,  13 167,  13 302,-,-,-,    24,    16,    8,-,-,-,-,-,-,-,-,-,-,-,-,,,内蒙古自治区,    670,    351,    319,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  1 748,    853,    895,,,内蒙古自治区,    7 064,    3 416,    3 648,    2,-,    2,-,-,-,-,-,-,    13,    6,    7,-,-,-,-,-,-,,,内蒙古自治区,    1 280,    579,    701,    18,    5,    13,-,-,-,-,-,-,-,-,-,    14,    10,    4,    42,    13,    29
内蒙古自治区,    2 833 099,    1 451 818,    1 381 281,    2 254 940,    1 164 492,    1 090 448,    414 724,    205 889,    208 835,    40 943,    20 911,    20 032,,,辽宁省,    9,    3,    6,    14,    5,    9,    187,    100,    87,    52,    23,    29,    377,    187,    190,,,辽宁省,    33,    22,    11,    18 084,    8 830,    9 254,  482 193,  239 434,  242 759,    82,    46,    36,    28,    11,    17,,,辽宁省,    32,    16,    16,    98,    54,    44,    12,    7,    5,-,-,-,    4,    1,    3,,,辽宁省,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    5,    3,    2,    1,    1,-,,,辽宁省,    55,    24,    31,    3,    3,-,    1,-,    1,-,-,-,-,-,-,-,-,-,    4,    1,    3,,,辽宁省,    6 475,    3 239,    3 236,-,-,-,    1,    1,-,-,-,-,-,-,-,-,-,-,    10,    8,    2,,,辽宁省,    1,-,    1,-,-,-,-,-,-,-,-,-,    1,-,    1,-,-,-,-,-,-,,,辽宁省,    15,    6,    9,    8,    4,    4,-,-,-,    2,-,    2,-,-,-,    2,    1,    1,    32,    9,    23
辽宁省,    3 288 997,    1 663 291,    1 625 706,    2 692 373,    1 366 395,    1 325 978,    43 067,    21 510,    21 557,    45 703,    23 334,    22 369,,,吉林省,    24,    13,    11,    13,    7,    6,    102,    60,    42,    37,    14,    23,    197,    107,    90,,,吉林省,    3,    2,    1,    209 910,    102 924,    106 986,  121 092,    60 683,    60 409,    19,    8,    11,    7,    4,    3,,,吉林省,    66,    35,    31,    101,    60,    41,-,-,-,    9,    3,    6,    6,    3,    3,,,吉林省,-,-,-,    4,    2,2,-,-,-,-,-,-,-,-,-,-,-,-,    6,    2,    4,,,吉林省,    67,    30,    37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    1,    1,-,,,吉林省,    466,    251,    215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    10,    4,    6,,,吉林省,    5,    2,3,-,-,-,    4,    2,    2,-,-,-,-,-,-,-,-,-,-,-,-,,,吉林省,    14,    6,    8,    6,    4,    2,-,-,-,-,-,-,-,-,-,-,-,-,    12,    3,    9
