表3-5全国各民族分年龄性别的人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙占族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,  1 130 510 638,    581 820 407,    548 690 231,  1 039 187 548,    535 013 953,  504 173 595,    4 802 407,    2 439 779,    2 362 628,    8 612 001,    4 373 932,    4 238 069
0—4岁,    116 438 419,    61 049 130,    55 389 289,    105 485 280,    55 398 805,    50 086 475,    627 402,    321 708,    305 694,    1 013 423,    520 004,    493 419
  0,    23 220 851,    12 254 905,    10 965 946,    21 058 640,   11 136 734,    9 921 906,    124 333,    64 089,    60 244,    201 325,    103 895,    97 430
  1,    23 331 877,    12 304 824,    11 027 053,    21 237 155,    11 218 655,    10 018 500,    122 022,    62 970,    59 052,    203 347,    104 643,    98 704
  2,    24 180 595,    12 672 092,    11 508 503,    21 964 202,    11 527 718,    10 436 484,    128 540,    66 140,    62 400,    212 162,    108 781,    103 381
  3,    24 294 365,    12 676 790,    11 617 575,    21 994 275,    11 495 139,    10 499 136,    128 962,    65 929,    63 033,    208 607,    106 350,    102 257
  4,    21 410 731,    11 140 519,    10 270 212,    19 231 008,    10 020 559,    9 210 449,    123 545,    62 580,    60 965,    187 982,    96 335,    91 647
5—9岁,    99 336 743,    51 630 875,    47 705 868,    89 028 248,    46 347 060,    42 681 188,    618 060,    311 577,    306 483,    895 651,    457 665,    437 986
  5,    19 982 290,    10 405 433,    9 576 857,    17 864 032,    9 317 865,    8 546 167,    130 675,    66 060,    64 615,    175 847,    90 056,    85 791
  6,    19 056 078,    9 922 498,    9 133 580,    17 041 515,    8 888 650,    8 152 865,    125 778,    63 619,    62 159,    172 380,    87 987,    84 393
  7,    20 196 487,    10 518 627,    9 677 860,    18 137 227,    9 462 016,    8 675 211,    127 556,    64 385,    63 171,    185 292,    94 727,    90 565
  8,    22 015 342,    11 419 500,    10 595 842,    19 789 587,    10 281 317,    9 508 270,    127 722,    64 073,    63 649,    197 528,    101 286,    96 242
  9,    18 086 546,    9 364 817,    8 721 729,    16 195 887,    8 397 212,    7 798 675,    106 329,    53 440,    52 889,    164 604,    83 609,    80 995
10-14岁,    97 226 692,    50 183 593,    47 043 099,    87 415 574,    45 140 299,    42 275 275,    474 934,    238 553,    236 381,    846 039,    433 109,    412 930
  10,    19 224 062,    9 956 298,    9 267 764,    17 226 733,    8 930 307,    8 296 426,    104 467,    52 297,    52 170,    172 407,    88 141,    84 266
  11,    19 310 091,    9 974 473,    9 335 618,    17 394 890,    8 991 821,    8 403 069,    98 962,    49 759,    49 203,    165 330,    84 658,    80 672
  12,    18 864 678,    9 727 202,    9 137 476,    16 947 162,    8 743 381,    8 203 781,    88 244,    44 586,    43 658,    168 207,    85 649,    82 558
  13,    19 367 292,    9 987 990,    9 379 302,    17 416 271,    8 983 830,    8 432 441,    88 180,    44 305,    43 875,    165 370,    85 063,    80 307
  14,    20 460 569,    10 537 630,    9 922 939,    18 430 518,    9 490 960,    8 939 558,    95 081,    47 606,    47 475,    174 725,    89 598,    85 127
15—19岁,    120 158 421,    61 650 589,    58 507 832,    109 674 224,    56 274 173,    53 400 051,    561 967,    281 436,    280 531,    930 673,    475 162,    455 511
