表3-6全国市各民族分年龄性别的人口数(第二种口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    211 222 509,    109 371 033,    101 851 476,    202 360 065,  104 810 255,    97 549 810,    624 303,    316 311,    307 992,    2 473 542,    1 243 212,    1 230 330
0—4岁,    16 651 946,    8 648 853,    8 003 093,    15 760 359,    8 193 257,    7 567 102,    79 644,    41 059,    38 585,    237 967,    121 105,    116 862
  0,    3 211 483,    1 674 035,    1 537 448,    3 042 346,    1 587 391,    1 454 955,    16 240,    8 422,    7 818,    43 641,    22 413,    21 228
  1,    3 370 907,    1 756 408,    1 614 499,    3 193 817,    1 665 611,    1 528 206,    16 537,    8 534,    8 003,    47 972,    24 444,    23 528
  2,    3 501 366,    1 817 927,    1 683 439,    3 312 162,    1 721 115,    1 591 047,    17 493,    9 122,    8 371,    51 626,      26 396,    25 230
  3,    3 492 697,    1 808 677,    1 684 020,    3 305 209,    1 713 199,    1 592 010,    15 648,    8 059,    7 589,    50 248,    25 208,    25 040
  4,    3 075 493,    1 591 806,    1 483 687,    2 906 825,    1 505 941,    1 400 884,    13 726,    6 922,    6 804,    44 480,    22 644,    21 836
5—9岁,    15 115 614,    7 825 322,    7 290 292,    14 338 258,    7 430 758,  6 907 500,    67 858,    34 035,    33 823,    206 017,    104 957,    101 060
  5,    2 825 996,    1 463 616,1 362 380,    2 675 206,    1 386 729,    1 288 477,    13 505,    6 859,    6 646,    38 988,    19 763,    19 225
  6,    2 894 174,    1 497 788,    1 396 386,    2 744 015,    1 421 498,    1 322 517,    13 996,    7 119,    6 877,    40 072,    20 378,    19 694
  7,    3 296 720,    1 705 925,    1 590 795,    3 131 088,    1 621 831,    1 509 257,    15 045,    7 557,    7 488,    45 700,    23 277,    22 423
  8,    3 497 791,    1 810 978,    1 686 813,    3 322 687,    1 722 366,    1 600 321,    14 646,    7 274,    7 372,    46 688,    23 969,    22 719
  9,    2 600 933,    1 347 015,    1 253 918,    2 465 262,    1 278 334,    1 186 928,    10 666,      5 226,    5 440,    34 569,    17 570,    16 999
10—14岁,    14 188 357,    7 337 128,    6 851 229,    13 467 769,    6 969 892,    6 497 877,    46 400,    23 042,    23 358,    185 160,    94 588,    90 572
  10,    2 812 018,    1 459 270,    1 352 748,    2 667 900,    1 385 783,    1 282 117,    10 046,    4 971,    5 075,    36 378,    18 567,    17 811
  11,    2 859 544,    1 480 354,    1 379 190,    2 711 791,    1 405 247,    1 306 544,    10 083,    4 963,    5 120,    37 538,    19 184,    18 354
  12,    2 803 841,    1 448 395,    1 355 446,    2 661 959,    1 376 296,    1 285 663,    8 670,    4 337,    4 333,    37 461,    18 961,    18 500
  13,    2 775 174,    1 434 070,    1 341 104,    2 635 975,    1 362 824,    1 273 151,    8 408,    4 148,    4 260,    36 326,    18 732,    17 594
  14,    2 937 780,    1 515 039,    1 422 741,    2 790 144,    1 439 742,    1 350 402,    9 193,    4 623,    4 570,    37 457,    19 144,    18 313
15-19岁,    20 083 951,    10 386 518,    9 697 433,    19 087 002,    9 876 961,    9 210 041,    76 958,    38 197,    38 761,    226 324,    115 073,    111 251
  15,    3 092 747,    1 587 699,    1 505 048,    2 935 691,    1 507 993,    1 427 698,    10 617,    5 314,    5 303,    37 869,    19 265,   18 604
