表3-7全国镇各民族分年龄性别的人口数(第二种口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,,  全国镇各民族分年龄、性别的人口数(第二种口径)(续20),,,,,,,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 表3-7单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    藏族,,,    维吾尔族,,,    苗族,,,    彝族,,,    壮族,,,,,,    布依族,,,    朝鲜族,,,    满族,,,    侗族,,,    瑶族,,,,,,    白族,,,    土家族,,,    哈尼族,,,    哈萨克族,,,    傣族,,,,,,    白族,,,    土家族,,,    哈尼族,,,    哈萨克族,,,    傣族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    达斡尔族,,,    仫佬族,,,    羌族,,,    布朗族,,,    撒拉族,,,    毛南族,,,    仡佬族,,,,,,    锡伯族,,,    阿昌族,,,    普米族,,,    塔吉克族,,,    怒族,,,    乌孜别克族,,,    俄罗斯族,,,,,,    锡伯族,,,    阿昌族,,,    普米族,,,    塔吉克族,,,    怒族,,,    乌孜别克族,,,    俄罗斯族,,,,,,    鄂温克族,,,    德昂族,,,    保安族,,,    裕固族,,,    京族,,,    塔塔尔族,,,    独龙族,,,,,,    鄂伦春族,,,    赫哲族,,,    门巴族,,,    珞巴族,,,    基诺族,,,  其他未识别的民族,,,  外国人加入中国籍,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,,,,    年龄别,,,,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,,,,,,,  年龄别,,,,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,,,,,,,,    拉祜族,,,    水族,,,    东乡族,,,    纳西族,,,    景颇族,,,    柯尔克孜族,,,    土族,,,,,年龄别,,,,,,,,,,,,,,,,,,,,,,,,年龄别,,,,,,,,,,,,,,,,,,,,,,,,年龄别,,,,,,,,,,,,,,,,,,,,,,,,年龄别,,,,,,,,,,,,,,,,,,,,,,,,年龄别,,,,,,,,,,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男, 女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,年龄别,,,,,,,,,,,,,,,,,,,,,,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,    男,    女,小计,    男,    女,,,,小计,    男,    女,小计,    男,    女,小计,    男,    女,    小计,    男,    女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,    男,    女,小计,    男,    女,小计,    男,    女,  小计,  男,  女,‘小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,    男,    女,小计,    男,    女,小计,    男,    女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女
,,,,,,,,,,,,,,,总计,    173 274,    91 011,    82 263,    502 803,    251 411,    251 392,    286 932,    154 295,    132 637,    215 281,    121 382,    93 899,    909 982,  496 344,    413 638,,,总计,    78 387,    43 578,    34 809,    300 146,    146 927,    153 219,    990 971,    500 143,    490 828,    153 726,    82 658,    71 068,    84 179,    45 708,    38 471,,,总计,    108 733,    59 131,    49 602,    267 580,    142 085,    125 495,    39 301,    21 590,    17 711,    81 441,    41 239,    40 202,    67 701,    33 424,    34 277,,,80—84岁,    336,    93,    243,    737,    235,    502,    63,    15,    48,    118,    52,    66,    167,    43,    124,,,,小计,  男,  女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,总计,    30 870,    15 305,    15 565,    17 815,    9 081,    8 734,  11 768,    6 319,    5 449,    1 764,    1 004,    760,    4 868,    2 763,    2 105,    6 490,    3 416,    3 074,  16 567,    8 740,  7 827,,,总计,    16 568,    8 366,    8 202,    947,    565,    382,    1 191,    740,    451,    1 912,    1 080,    832,    1 388,    745,    643,    3 578,    1 830,    1 748,    3 063,    1 442,  1 621,,,80-84岁,    54,    24,    30,-,-,-,    1,-,    1,    2,-,  2,    6,    2,    4,    16,    12,    4,    10,    1,    9,,,55-59岁,    122,    60,    62,    2,    1,    1,    17,    13,    4,    25,    14,    11,    83,    41,    42,    20,    10,    10,    12,    6,    6,,,25—29岁,    201,    81,    120,    72,    30,    42,    17,    6,    11,    2,    1,    1,    125,    67,    58,    2 622,    1 470,    1 152,    22,    7,    15
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,0—4岁,    17 554,    8 858,    8 696,    71 546,    35 915,    35 631,    32 539,    16 757,    15 782,    20 332,    10 351,    9 981,    71 840,    38 188,    33 652,,,0—4岁,    8 554,    4 428,    4 126,    25 724,    13 184,    12 540,    115 447,    59 090,    56 357,    17 942,    9 395,    8 547,    11 640,    6 017,    5 623,,,0—4岁,    11 205,    5 560,    5 645,    27 313,    13 911,    13 402,    3 543,    1 830,    1 713,    10 136,    5 163,    4 973,    8 105,    4 078,    4 027,,,  80,    98,    29,    69,    204,    68,    136,    22,    6,    16,    37,    15,    22,    53,    16,    37,,,总计,    10 338,    5 117,    5 221,    14 496,    7 892,    6 604,    2 973,    1 981,    992,  32 482,  16 846,  15 636,    5 299,    2 612,    2 687,    8 440,    4 328,  4 112,    9 905,    5 632,  4 273,,,0—4岁,    3 903,    1 943,    1 960,    2 511,    1 300,    1 211,    1 570,    794,    776,    168,    91,    77,    546,    280,    266,    841,    430,    411,    1 743,    900,    843,,,0—4岁,    2 084,    1 055,    1 029,    145,    71,    74,    121,    63,    58,    279,    136,    143,    141,    68,    73,    530,    261,    269,    473,    216,    257,,,  80,    19,    7,    12,-,-,-,-,-,-,-,-,-,    4,    2,   2,    4,    1,    3,    1,-,    1,,,  55,    31,    13,    18,-,-,-,    8,    6,  2,    5,    4,    1,    17,    7,    10,    7,    4,    3,    3,-,    3,,,  25,    39,    18,    21,    18,    7,    11,    4,2,    2,-,-,-,    28,    15,    13,    708,    379,    329,    4,    1,    3
总计,    84 922 671,    44 807 419,    40 115 252,    78 847 643,    41 649 191,    37 198 452,    549 726,    273 885,    275 841,    896 451,    459 329,    437 122,,,  0,    3 404,    1 762,    1 642,    12 780,    6 386,    6 394,    6 525,    3 399,    3 126,    4 297,    2 182,    2 115,    12 837,    6 905,    5 932,,,  0,    1 749,    883,    866,    4 516,    2 304,    2 212,    21 389,    11 048,    10 341,    3 523,    1 861,    1 662,    2 087,    1 068,    1 019,,,  0,    2 285,    1 125,    1 160,    5 443,    2 806,    2 637,    726,    382,    344,    1 903,    939,    964,    1 617,    793,    824,,,  81,    84,    27,    57,    160,    46,    114,    16,    2,    14,    24,    12,    12,    35,    13,    22,,,0-4岁,    1 073,    541,    532,    1 914,    990,    924,    281,    143,    138,    2 859,  1 444,    1 415,    554,    270,    284,    1 310,    675,    635,    874,    449,    425,,,  0,    784,    382,    402,    450,    231,    219,    302,    148,    154,    37,    23,    14,    121,    57,    64,    116,    47,    69,    355,    187,    168,,,  0,    400,    186,    214,    32,    19,    13,    38,    15,    23,    52,    22,    30,    21,    10,    11,    94,    40,    54,    107,    58,    49,,,  81,    9,    4,    5,-,-,-,-,-,-,    1,-,    1,-,-,-,    1,    1,-,    2,-,    2,,,  56,    30,    13,    17,-,-,-,    2,    2,-,    4,    3,    1,    20,    11,    9,    4,    3,    1,    4,    3,    1,,,  26,    57,    21,    36,    14,    6,    8,    2,-,    2,     2,    1,    1,    36,    16,    20,    705,    402,    303,    4,   2,    2
0-4岁,    7 213 596,    3 796 895,    3 416 701,    6 543 930,    3 453 093,    3 090 837,    74 031,    37 612,    36 419,    99 567,    51 585,    47 982,,,  1,    3 405,    1 657,    1 748,    13 752,    6 910,    6 842,    6 559,    3 384,    3 175,    4 238,    2 130,    2 108,    13 582,    7 168,    6 414,,,  1,    1 844,    977,    867,    4 882,    2 503,    2 379,    22 652,    11 756,    10 896,    3 538,    1 810,    1 728,    2 155,    1 110,    1 045,,,  1,    2 290,    1 124,    1 166,    5 714,    2 961,    2 753,    718,    383,    335,    2 103,    1 079,    1 024,    1 672,    858,    814,,,  82,    72,    17,    55,    145,    45,    100,    11,    4,    7,    18,    9,    9,    23,    4,    19,,,  0,    196,    101,    95,    365,    191,    174,    63,    34,    29,    624,    312,    312,    111,    58,    53,    221,    102,    119,    207,    118,    89,,,  1,    772,    379,    393,    457,    217,    240,    291,    161,    130,    27,    12,    15,    113,    61,    52,    173,    86,    87,    377,    195,    182,,,  1,    407,    224,    183,    20,    8,    12,    18,    11,    7,    62,    29,    33,    33,    16,    17,    119,    66,    53,    89,    32,    57,,,  82,    8,    3,    5,-,-,-,    1,-,    1,-,-,-,    1,-,    1,    4,    4,-,    4,    1,    3,,,  57,    32,    18,    14,-,-,-,    4,    3,    1,    7,    4,    3,    15,    5,    10,    1,-,    1,    1,    1,-,,,  27,    44,    13,    31,    18,    8,    10,    5,-,    5,-,-,-,    27,    20,    7,    653,    391,    262,    8,    2,    6
  0,    1 404 005,    742 228,    661 777,    1 276 098,    676 327,    599 771,    14 844,    7 515,    7 329,    19 382,    10 125,    9 257,,,  2,    3 621,    1 860,    1 761,    14 729,    7 458,    7 271,    6 950,    3 584,    3 366,    4 039,    2 106,    1 933,    14 066,    7 469,    6 597,,,  2,    1 737,    892,    845,    5 490,    2 829,    2 661,    24 917,    12 795,    12 122,    3 658,    1 949,    1 709,    2 569,    1 365,    1 204,,,  2,    2 382,    1 193,    1 189,    6 081,    3 120,    2 961,    731,    374,    357,    2 050,    1 047,    1 003,    1 629,    812,    817,,,  83,    44,    12,    32,    133,    46,    87,    4,-,    4,    23,    8,    15,    30,    2,    28,,,  1,    226,    124,    102,    376,    200,    176,    62,    37,    25,    826,    414,    412,    104,    47,    57,    273,    139,    134,    192,    92,    100,,,  2,    785,    409,    376,    548,    288,    260,    347,    176,    171,    29,    17,    12,    111,    53,    58,    177,    91,    86,    348,    187,    161,,,  2,    484,    248,    236,    36,    19,    17,    22,    15,    7,    48,    28,    20,    30,    16,    14,    107,    51,    56,    99,    49,    50,,,  83,    10,    5,    5,-,-,-,-,-,-,-,-,-,-,-,-,    3,    2,    1,    3,-,    3,,,  58,    15,    7,    8,    2,    1,    1,-,-,-,    4,    1,    3,    13,    7,    6,    4,    1,    3,    3,    2,    1,,,  28,    32,    15,    17,    12,    4,    8,    5,    3,    2,-,-,-,    15,    6,    9,    322,    174,    148,    6,    2,    4
