表3-8全国县各民族分年龄性别的人口数(第二种口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    834 365 458,    427 641 955,    406 723 503,    757 979 840,  388 554 507,  369 425 333,    3 628 378,    1 849 583,    1 778 795,    5 242 008,    2 671 391,    2 570 617
0—4岁,    92 572 877,    48 603 382,    43 969 495,    83 180 991,    43 752 455,    39 428 536,    473 727,    243 037,    230 690,    675 889,    347 314,    328 575
  0,    18 605 363,    9 838 642,    8 766 721,    16 740 196,    8 873 016,    7 867 180,    93 249,    48 152,    45 097,    138 302,    71 357,    66 945
  1,    18 496 273,    9 773 057,    8 723 216,    16 711 762,    8 846 103,    7 865 659,    90 320,    46 729,    43 591,    135 287,    69 811,    65 476
  2,    19 175 819,    10 062 986,    9 112 833,    17 288 676,    9 087 675,    8 201 001,    95 699,    49 171,    46 528,    139 225,    71 375,    67 850
  3,    19 301 965,    10 082 504,    9 219 461,    17 329 530,    9 067 726,    8 261 804,    98 488,    50 303,    48 185,    137 629,    70 446,    67 183
  4,    16 993 457,    8 846 193,    8 147 264,    15 110 827,    7 877 935,    7 232 892,    95 971,    48 682,    47 289,    125 446,      64 325,    61 121
5—9岁,    77 833 506,    40 465 427,    37 368 079,    68 895 279,    35 877 943,    33 017 336,    480 483,    242 710,    237 773,    607 330,    310 787,    296 543
  5,    15 913 117,    8 291 737,    7 621 380,    14 065 907,    7 342 017,    6 723 890,    102 458,    51 836,    50 622,    120 465,    61 945,    58 520
  6,    14 946 658,    7 789 024,    7 157 634,    13 197 095,    6 889 782,    6 307 313,    97 400,    49 291,    48 109,    116 528,    59 608,    56 920
  7,    15 556 273,    8 110 673,    7 445 600,    13 785 100,    7 200 391,    6 584 709,    97 865,    49 527,    48 338,    122 348,    62 647,    59 701
  8,    17 068 303,    8 851 177,    8 217 126,    15 147 170,    7 867 453,    7 279 717,    98 704,    49 619,    49 085,    132 872,    68 125,    64 747
  9,    14 349 155,    7 422 816,    6 926 339,    12 700 007,    6 578 300,    6 121 707,    84 056,    42 437,    41 619,    115 117,    58 462,    56 655
10—14岁,    76 477 901,    39 428 925,    37 048 976,    67 975 106,    35 055 404,    32 919 702,    377 519,    190 122,    187 397,    580 785,    297 555,    283 230
  10,    15 143 721,    7 832 407,    7 311 314,    13 405 641,    6 939 065,    6 466 576,    83 639,    42 003,    41 636,    120 158,    61 452,    58 706
  11,    15 133 669,    7 806 390,    7 327 279,    13 482 457,6958 569,    6 523 888,    78 342,    39 476,    38 866,    111 442,    57 067,    54 375
  12,    14 771 298,    7 607 372,    7 163 926,    13 109 308,    6 753 891,    6 355 417,    70 137,    35 501,    34 636,    114 794,    58 555,    56 239
  13,    15 278 888,    7 871 021,    7 407 867,    13 584 036,    6 998 493,    6 585 543,    70 149,    35 387,    34 762,    113 325,    58 269,    55 056
  14,    16 150 325,    8 311 735,    7 838 590,    14 393 664,    7 405 386,    6 988 278,    75 252,    37 755,    37 497,    121 066,    62 212,    58 854
15—19岁,    91 301 435,    46 794 115,    44 507 320,    82 519 856,    42 293 701,    40 226 155,    424 027,    213 363,    210 664,    611 443,    312 897,    298 546
