表4—1 1990年人口普查分年龄、性别的人口数,,,,,,,
,,,,,,,
        单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
总计, 1 130 510 638,  58l 820 407,  548 690 231,    loo．00,    51.47,    48.53,    106.04
0—4岁,  116 438 419,    6l 049 130,    55 389 289,    10.30,  5.40,    4.90,    110.22
  0,    23 220 85l,    12 254 905,    lO 965 946,    2.05,  1.08,    0.97,    111.75
  l,    23 33l 877,    12 304 824,    11 027 053,    2.06,  1.09,    0.98,    111.59
  2,    24 180 595,    12 672 092,    11 508 503,    2.14,  1.12,    1.02,    110.1l
  3,    24 294 365,    12 676 790,    11617 575,    2.15,  1.12,1.03,    109.12
  4,    2l 410 73l,    11 140 519,    lO 270 212,    1.89,  0.99,    0.91,    108.47
5—9岁,    99 336 743,    51 630 875,    47 705 868,    8.79,  4.57,    4.22,    108.23
  5,    19 982 290,    10 405 433,    9 576 857,    1.77,  O．92,    O．85,    108.65
  6,    19 056 078,    9 922 498,    9 133 580,    1.69,  O．88,    0.81,    108.64
  7,    20 196 487,    10 518 627,    9 677 860,    1.79,  0.93,    O.86,    108.69
  8,    22 015 342,    ll 419 500,    10 595 842,    1.95,  1.0l,    0.94,    107.77
  9,    18 086 546,    9 364 817,    8 721 729,    1.60,  0.83,    0.77,    107.37
10—14岁,    97 226 692,    50 183 593,    47 043 099,    8.60,  4.44,    4.16,    106.68
  10,    19 224 062,    9 956 298,  9 267 764,    1.70,  O．88,0.82,    107.43
  ll,    19 310 09l,    9 974 473,  9 335 618,    1.7l,  0.88,    0.83,    106.84
  12,    18 864 678,    9 727 202,  9 137 476,    1.67,  0.86,    0.81,    106.45
  13,    19 367 292,    9 987 990,  9 379 302,    1.7l,  0.88,    O．83,    106.49
  14,    20 460 569,    10 537 630,  9 922 939,    1.81,  0.93,    O．88,    106.19
15-19岁,    120 158 42l,    61 650 589,    58 507 832,    10.63,  5.45,    5.18,    105.37
  15,    21 643 79l,    11 123 627,    10 520 164,    1.9l,  0.98,    O．93,    105.74
  16,    23 487 567,    12 043 876,    11 443 69l,    2.08,  1.07,    1.0l,    105.24
  17,    24 536 599,    12 581 345,    11 955 254,    2.17,  1.11,    1.06,    105.24
  18,    24 496 002,    12 567 848,    1l 928 154,    2.17,  1.11,    1.06,    105.36
  19,    25 994 462,    13 333 893,    12 660 569,    2.30,  1.18,    1.12,    105.32
20—24岁,    125 761 174,    64 233 023,    61 528 151,  11.12,  5.68,    5.44,    104.40
  20,    26 036 065,    13 19l 336,    12 844 729,    2.30,  1.17,    1.14,    102.70
  2l,    27 155 679,    13 820 659,    13 335 020,    2.40,  1.22,    1.18,    103.64
  22,    24 552 078,    12 586 327,    11 965 75l,    2.17,1.11,    1.06,    105.19
  23,    22 823 165,    11 691 04l,    11 132 124,    2.02,  1.03,    O．98,    105.02
  24,    25 194 187,    12 943 660,    12 250 527,    2.23,  1.14,    1.08,    105.66
,,,,,,,
,,,,,,,
,,,,,,,
表4-l 1990年人口普查分年龄、性别的人口数(续01),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
    年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
,,,,,,,
25—29岁,    104 267 525,    53 512 983,    50 754 542,    9.22,    4.73,    4.49,    105.43
  25,    24 520 614,    12 593 865,    11 926 749,    2.17,    1.11,    1.05,    105.59
  26,    25287 489,    12 959 015,    12 328 474,    2.24,    l.15,    1.09,    105.11
  27,    27 026 864,    13 966 58l,    13 060 283,    2.39,    1.24,    1.16,    106.94
  28,    15 928 062,    8 144 945,    7 783 117,    1.4l,    0.72,    0.69,    104.65
  29,    11 504 496,    5 848 577,    5 655 919,    1.02,    0.52,    O．50,    103.41
30-34岁,    83 875 707,    43 706 133,    40 169 574,    7.42,    3.87,    3.55,    108.80
  30,    14 443 119,    7 519 677,    6 923 442,    1.28,    O．67,    O．6l,    108.6l
  3l,    14 378 626,    7 535 588,    6 843 038,    1.27,    0.67,    0.6l,    110.12
  32,    19 060 366,  10 007 244,    9 053 122,    1.69,    O．89,    0.80,    110.54
  33,    18 350 283,    9 528 741,    8 821 542,    1.62,    0.84,    O．78,    108.02
  34,    17 643 313,    9 114 883,    8 528 430,    l.56,    0.8l,    0.75,    106.88
35—39岁,    86 35l 812,    44 568 847,    4l 782 965,    7.64,    3.94,    3.70,    106.67
  35,    19 377 065,    10 05l 375,  9 325 690,    1.7l,    O．89,    O．82,    107.78
  36,    18 330 697,    9 452 337,  8 878 360,    1.62,    0.84,    O．79,    106.46
  37,    17 226 144,    8 870 602,  8 355 542,    1.52,    O．78,    O．74,    106.16
  38,    16 887 297,    8 704 522,  8 182 775,    l.49,    0.77,    0.72,    106.38
  39,    14 530 609,    7 490 011,  7 040 598,    1.29,    O．66,    O．62,    106.38
40-岁,    63 707 664,    33 335 977,    30 37l 687,    5.64,    2.95,    2.69,    109.76
  40,    15 342 107,  8 042 718,    7 299 389,    1.36,    0.7l,    0.65,    llO．18
  4l,    13 010 398,  6 805 059,    6 205 339,    1.15,    0.60,    0.55,    109.66
  42,    12 392 389,  6 496 Oll,    5 896 378,    1.10,    O．57,    0.52,    110.17
  43,    11 950 704,  6 264 508,    5 686 196,    1.06,    0.55,    0.50,    110.17
  44,    ll 012 066,  5 727 68l,    5 284 385,    0.97,    0.51,    0.47,    108.39
45—49岁,    49 087 94l,  25 855 900,    23 232 04l,    4.34,    2.29,    2.06,    111.29
  45,    10 465 110,    5 481 782,    4 983 328,    O．93,    O．48,    O．44,    llO．oo
  46,    9 953 414,    5 250 473,    4 702 94l,    0.88,    0.46,    0.42,    111.64
  47,    9 445 561,    4 982 722,    4 462 839,    0.84,    0.44,    0.39,    111.65
  48,    9 670 367,    5 088 847,    4 58l 520,    0.86,    O．45,    0.4l,    111.07
  49,    9 553 489,    5 052 076,    4 501 413,    0.85,    O．45,    0.40,    l12.23
50—54岁,    45 619 559,  24 110 355,    21 509 204,    4.04,    2.13,    1.90,    112.09
  50,    9 248 199,    4 875 474,    4 372 725,    0.82,    0.43,    0.39,    111.50
  51,    8 942 550,    4 738 952,    4 203 598,    0.79,    0.42,    O.37,    112.74
  52,    9 233 016,    4 919 285,    4 313 731,    0.82,    0.44,    0.38,    l14.04
  53,    9 098 119,    4 810 911,    4 287 208,    0.80,    0.43,    O.38,    112.22
  54,    9 097 675,    4 765 733,    4 331 942,    0.80,    0.42,    0.38,    110.01
,,,,,,,
,,,,,,,
,,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
    年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
55-59岁,    41 709 335,    21 839 937,    19 869 398,    3.69,    1.93,    1.76,    109.92
  55,    8 804 360,    4 580 456,    4 223 904,    0.78,    0．41,    0.37,    108.44
  56,    8 802 518,    4 618 277,    4 184 241,    0.78,    0.41,    0．37,    110.37
  57,    8 620 744,    4 525 324,    4 095 420,    0．76,    0．40,    0.36,    110.50
  58,    7 846 915,    4 106 208,    3 740 707,    0.69,    0．36,    0.33,    109.77
  59,    7 634 798,    4 009 672,    3 625 126,    0．68,    0．35,    0．32,    110.61
60-64岁,    33 976 254,    17 481 948,  16 494 306,    3．01,    1.55,    1.46,    105.99
  60,    7 730 945,    4 019 833,    3 711 112,    0.68,    0.36,0.33,    108.32
  61,    6 966 479,    3 585 188,    3 381 291,    0．62,    0.32,    0.30,    106.03
  62,    7 060 132,    3 635 374,    3 424 758,    0．62,    0．32,    0.30,    106.15
  63,    6 233 873,    3 200 259,    3 033 614,    0.55,    0.28,    0.27,    105.49
  64,    5 984 825,    3 041 294,    2 943 531,    0.53,    0.27,    0.26,103.32
65-69岁,    26 332 520,    12 917 485,    13 415 035,    2.33,    1.14,    1.19,    96.29
  65,    6 169 042,  3 058 844,    3 110 198,    0.55,    0.27,    0．28,    98.35
  66,    5 696 874,  2 813 087,    2 883 787,    0.50,    0.25,    0.26,    97.55
  67,    4 989 630,  2 448 512,    2 541 118,    0.44,    0.22,    0.22,    96.36
  68,    4 885 527,  2 384 722,    2 500 805,    0.43,    0.21,    0．22,    95.36
  69,    4 591 447,  2 212 320,    2 379 127,    0．41,    0．20,    0．21,    92.99
70-74岁,    18 050 580,  8 344 204,    9 706 376,1.60,    0．74,    0．86,    85.97
  70,    4 452 357,  2 108 722,    2 343 635,    0.39,    0.19,    0．21,    89.98
  71,    3 732 596,  1 741 629,    1 990 967,    0.33,    0.15,    0．18,    87.48
  72,    3 529 123,  1 630 231,    1 898 892,    0.31,    0.14,    0．17,    85.85
  73,    3 301 436,  1 506 451,    1 794 985,    0.29,    0.13,    0.16,    83.93
  74,    3 035 068,  1 357 171,    1 677 897,    0.27,    0.12,    0.15,    80.89
75-79岁,    10 933 924,  4 689 104,    6 244 820,    0．97,    0.41,    0.55,    75.09
  75,    2 736 912,  1 209 315,    1 527 597,    0.24,    0.11,    0.14,    79.16
  76,    2 614 032,  1 140 595,    1 473 437,    0.23,    0.10,    0.13,    77.41
  77,    2 123 063,    906 767,    1 216 296,    0．19,    0.08,    0．11,    74.55
  78,    1 846 321,    774 071,    1 072 250,    0．16,    0．07,    0.09,    72.19
  79,    1 613 596,    658 356,    955 240,    0.14,    0.06,    0．08,    68.92
,,,,,,,
,,,,,,,
,,,,,,,
表4-1 1990年人口普查分年龄、性别的人口数(续03),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
,,,,,,,
80-84岁,    5 352 690,    1 993 954,    3 358 736,    0．47,    0.18,    0.30,    59.37
  80,    1 494 781,    586 258,    908 523,    0.13,    0．05,    0．08,    64.53
  81,    1 236 185,    469 224,    766 961,    0.11,    0.04,    0.07,    61.18
  82,    1 029 258,    380 639,    648 619,    0.09,    0.03,    0.06,    58.68
  83,    852 655,    304 110,    548 545,    0．08,    0．03,    0.05,    55.44
  84,    739 811,    253 723,    486 088,    0.07,    0．02,    0.04,    52.20
85-89岁,    1 907 544,    605 746,    1 301 798,    0．17,    0.05,    0.12,    46.53
  85,    593 736,    197 370,    396 366,    0.05,    0．02,    0.04,    49.79
  86,    467 819,    150 705,    317 114,    0.04,    0.01,    0．03,    47.52
  87,    362 274,    113 341,    248 933,    0.03,    0.01,    0.02,    45.53
  88,    277 790,    84 378,    193 412,    0.02,    0.01,    0．02,    43.63
  89,    205 925,    59 952,    145 973,    0．02,    0．01,    0．01,    41.07
90-94岁,    351 602,    94 520,    257 082,    0．03,    0.01,  0.02,    36.77
  90,    139 173,    39 602,    99 571,    0.01,    0．00,    0.01,    39.77
  91,    80 713,    21 629,    59 084,    0．01,    0.00,    0.01,    36.61
  92,    60 818,    15 724,    45 094,    0.01,    0．00,    0．00,    34.87
  93,    41 841,    10 510,    31 331,    0.00,    0.00,    0．00,    33.55
  94,    29 057,    7 055,    22 002,    0.00,    0．00,    0.00,    32.07
95-99岁,    57 851,    14 549,    43 302,    0．01,    0．00,    0．00,    33.60
  95,    21 397,    5 387,    16 010,    0.00,    0．00,    0．00,    33.65
  96,    14 184,    3 462,    10 722,    0.00,    0.00,    0．00,    32.29
  97,    9 641,    2 358,    7 283,    0.00,    0．00,    0.00,    32.38
  98,    7 525,    2 006,    5 519,    0．00,    0．00,    0．00,    36.35
  99,    5 104,    1 336,    3 768,    0．00,    0.00,    0.00,    35.46
100岁及以上,    6 681,    1 555,    5 126,    0．00,    0．00,    0．00,    30.34
