,,,,,,,
表4-2全国市(不含市辖县)分年龄、性别的人口数(第一种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
    年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
总计,    335 043 971,  172 785 428,  162 258 543, 100.00,    51.57,    48.43,    106.49
0-4岁,  29 693 540,    15 531 918,    14 161 622,    8.86,  4.64,    4.23,    109.68
  0,    5 834 313,    3 072 610,    2 761 703,    1.74,  0．92,    0.82,    111.26
  1,    6 006 038,    3 157 230,    2 848 808,    1.79,  0.94,    0．85,    110.83
  2,    6 235 084,    3 259 484,    2 975 600,    1.86,  0.97,    0．89,    109.54
  3,    6 210 004,    3 232 235,    2 977 769,    1.85,  0.96,    0.89,    108.55
  4,    5 408 101,    2 810 359,    2 597 742,    1.61,  0.84,    0.78,    108.18
5-9岁,  25 696 164,    13 333 529,    12 362 635,    7.67,  3.98,    3.69,    107.85
  5,    4 967448,    2 580 674,    2 386 774,    1.48,  0.77,    0．71,    108.12
  6,    4 921 574,    2 556 409,    2 365 165,    1.47,  0.76,    0．71,    108.09
  7,    5 450 056,    2 829 783,    2 620 273,    1.63,  0.84,    0．78,    108.00
  8,    5 828 860,    3 020 364,    2 808 496,    1.74,  0.90,    0．84,    107.54
  9,    4 528 226,    2 346 299,    2 181 927,    1.35,  0.70,    0.65,    107.53
10-14岁,  24 803 060,    12 818 390,  11 984 670,    7.40,  3.83,    3.58,    106.96
  10,  4 917 441,    2 550 307,    2 367 134,    1.47,  0.76,    0.71,    107.74
  11,  4 991 434,    2 582 507,    2 408 927,    1.49,  0.77,    0.72,    107.21
  12,  4 869 555,    2 513 143,    2 356 412,    1.45,  0．75,    0.70,    106.65
  13,  4 882 547,    2 520 991,    2 361 556,    1.46,  0.75,    0．70,    106.75
  14,  5 142 083,    2 651 442,    2 490 641,    1.53,  0.79,    0.74,    106.46
15-19岁,    32 911 665,    16 943 760,    15 967 905,    9.82,  5.06,    4.77,    106.11
  15,    5 397 382,    2 771 842,  2 625 540,    1.61,  0.83,    0.78,    105.57
  16,    5 956 825,    3 044 761,  2 912 064,    1.78,  0.91,    0.87,    104.56
  17,    6 738 609,    3 451 619,  3 286 990,    2.01,  1.03,    0．98,    105.01
  18,    7 067 957,    3 648 372,  3 419 585,    2.11,  1.09,    1.02,    106.69
  19,    7 750 892,    4 027 166,  3 723 726,    2.31,  1.20,    1.11,    108.15
20-24岁,    37 580 353,    19 557 473,    18 022 880,  11.22,  5.84,    5.38,    108.51
  20,    7 895 840,    4 106 543,    3 789 297,    2.36,  1.23,    1.13,    108.37
  21,    8 320 336,    4 330 459,    3 989 877,    2.48,  1.29,    1.19,    108.54
