,,,,,,,
表4-3全国镇分年龄、性别的人口数(第一种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
总计,  266 513 213,  136 872 086,  129 641 127, 100.00,  51.36,  48.64,    105.58
0-4岁,    28 559 879,  15 002 791,    13 557 088,    10.72,    5.63,    5.09,    110.66
  0,    5 641 743,    2 984 376,    2 657 367,    2.12,    1.12,    1.00,    112.31
  1,    5 734 310,    3 027 449,    2 706 861,    2.15,    1.14,    1.02,    111.84
  2,    5 911 973,    3 104 690,    2 807 283,    2.22,    1.16,    1.05,    110.59
  3,    5 964 001,    3 118 158,    2 845 843,    2.24,    1.17,    1.07,    109.57
  4,    5 307 852,    2 768 118,    2 539 734,    1.99,    1.04,    0.95,    108.99
5-9岁,    24 567 924,    12 804 421,  11 763 503,    9.22,    4.80,    4.41,    108.85
  5,    5 027 291,    2 623 714,  2 403 577,    1.89,    0.98,    0.90,    109.16
  6,    4 755 597,    2 481 265,  2 274 332,    1.78,    0.93,    0．85,    109.10
  7,    4 948 030,    2 585 041,  2 362 989,    1.86,    0.97,    0.89,    109.40
  8,    5 361 605,    2 790 329,  2 571 276,    2.01,    1.05,    0．96,    108.52
  9,    4 475 401,    2 324 072,  2 151 329,    1.68,    0.87,    0.81,    108.03
10-14岁,    23 267 220,    12 029 680,  11 237 540,    8.73,    4.51,    4.22,    107.05
  10,    4 734 167,    2 456 718,    2 277 449,    1.78,    0.92,    0.85,    107.87
  11,    4 704 628,    2 433 993,    2 270 635,    1.77,    0.91,    0.85,    107.19
  12,    4 498 974,    2 323 688,    2 175 286,    1.69,    0．87,    0.82,    106.82
  13,    4 567 797,    2 358 004,    2 209 793,    1.71,    0．88,    0．83,    106.71
  14,    4 761 654,    2 457 277,    2 304 377,    1.79,    0．92,    0.86,    106.64
15-19岁,  27 833 840,    14 236 802,    13 597 038,  10.44,    5.34,    5.10,    104.71
  15,    5 020 093,    2 584 648,    2 435 445,    1.88,    0.97,    0.91,    106.13
  16,    5 450 019,    2 795 034,    2 654 985,    2.04,    1.05,    1．00,    105.27
  17,    5 702 983,    2 919 275,    2 783 708,    2.14,    1.10,    1.04,    104.87
  18,    5 688 468,    2 903 967,    2 784 501,    2.13,    1.09,    1.04,    104.29
  19,    5 972 277,    3 033 878,    2 938 399,    2.24,    1.14,    1.10,    103.25
20-24岁,    29 043 769,    14 591 737,    14 452 032,    10.90,    5.48,    5.42,    100．97
  20,    5 942 687,  2 969 304,    2 973 383,    2.23,    1.11,    1.12,    99.86
  21,    6 175 895,  3 083 160,    3 092 735,    2.32,    1.16,    1.16,    99.69
