,,,,,,,
表4-4全国县(不含县辖镇)分年龄、性别的人口数(第一种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
总计,    528 953 454,  272 162 893,  256 790 561, 100.00,    51.45,    48.55,    105.99
0-4岁,  58 185 000,    30 514 421,    27 670 579,  11.00,    5.77,    5.23,    110.28
  0,  11 744 795,    6 197 919,    5 546 876,    2.22,    1.17,    1.05,    111.74
  1,  11 591 529,    6 120 145,    5 471 384,    2.19,    1.16,    1.03,    111.86
  2,  12 033 538,    6 307 918,    5 725 620,    2.27,    1.19,    1.08,    110.17
  3,  12 120 360,    6 326 397,    5 793 963,    2.29,    1.20,    1.10,    109.19
  4,  10 694 778,    5 562 042,    5 132 736,    2.02,    1.05,    0.97,    108.36
5-9岁,  49 072 655,    25 492 925,    23 579 730,    9.28,    4.82,    4.46,    108.11
  5,    9 987 551,    5 201 045,    4 786 506,    1.89,    0．98,    0.90,    108.66
  6,    9 378 907,    4 884 824,    4 494 083,    1.77,    0.92,    0.85,    108.69
  7,    9 798 401,    5 103 803,    4 694 598,    1.85,    0.96,    0.89,    108.72
  8,    10 824 877,    5 608 807,    5 216 070,    2.05,    1.06,    0.99,    107.53
  9,    9 082 919,    4 694 446,    4 388 473,    1.72,    0．89,    0.83,    106.97
10-14岁,    49 156 412,    25 335 523,    23 820 889,    9.29,    4.79,    4.50,    106.36
  10,    9 572 454,    4 949 273,    4 623 181,    1.81,    0.94,    0.87,    107.05
  11,    9 614 029,    4 957 973,    4 656 056,    1.82,    0.94,    0．88,    106.48
  12,    9 496 149,    4 890 371,    4 605 778,    1.80,    0.92,    0.87,    106.18
  13,    9 916 948,    5 108 995,    4 807 953,    1.87,    0.97,    0.91,    106.26
  14,    10 556 832,    5 428 911,    5 127 921,    2.00,    1.03,    0.97,    105.87
15-19岁,    59 412 916,    30 470 027,    28 942 889,  11.23,    5.76,    5.47,    105.28
  15,    11 226 316,    5 767 137,    5 459 179,    2.12,    1.09,    1.03,    105.64
  16,    12 080 723,    6 204 081,    5 876 642,    2.28,    1.17,    1.11,    105.57
  17,    12 095 007,    6 210 451,    5 884 556,    2.29,    1.17,    1.11,    105.54
  18,    11 739 577,    6 015 509,    5 724 068,    2.22,    1.14,    1.08,    105.09
  19,    12 271 293,    6 272 849,    5 998 444,    2.32,    1.19,    1.13,    104.57
20-24岁,    59 137 052,    30 083 813,    29 053 239,  11.18,    5.69,    5.49,    103.55
  20,    12 197 538,    6 115 489,    6 082 049,    2.31,    1.16,    1.15,    100.55
  21,    12 659 448,    6 407 040,    6 252 408,    2.39,    1.21,    1.18,    102.47
