,,,,,,,
表4--5全国市(不含市辖县)分年龄、性别的人口数(第二种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
总计,  211 222 509,  109 371 033,  101 851 476, 100．00,    51.78,    48.22,    107.38
0-4岁,    16 651 946,    8 648 853,  8 003 093,    7.88,  4.09,    3.79,    108.07
  0,    3 211 483,    1 674 035,  1 537 448,    1.52,  0．79,    0.73,    108.88
  1,    3 370 907,    1 756 408,  1 614 499,    1.60,  0.83,    0.76,    108.79
  2,    3 501 366,    1 817 927,  1 683 439,    1.66,  0.86,    0.80,    107.99
  3,    3 492 697,    1 808 677,  1 684 020,    1.65,  0．86,    0.80,    107.40
  4,    3 075 493,    1 591 806,  1 483 687,    1.46,  0.75,    0．70,    107.29
5-9岁,    15 115 614,    7 825 322,  7 290 292,    7.16,  3.70,    3.45,    107.34
  5,    2 825 996,    1 463 616,  1 362 380,    1.34,  0.69,    0．64,    107.43
  6,    2 894 174,    1 497 788,  1 396 386,    1.37,  0．71,    0.66,    107.26
  7,    3 296 720,    1 705 925,  1 590 795,    1.56,  0.81,    0.75,    107.24
  8,    3 497 791,    1 810 978,  1 686 813,    1.66,  0．86,    0.80,    107.36
  9,    2 600 933,    1 347 015,  1 253 918,    1.23,  0.64,    0.59,    107.42
10-14岁,    14 188 357,    7 337 128,  6 851 229,    6.72,  3.47,    3.24,    107.09
  10,    2 812 018,    1 459 270,  1 352 748,    1.33,  0.69,    0.64,    107.87
  11,    2 859 544,    1 480 354,  1 379 190,    1.35,  0.70,    0．65,    107.34
  12,    2 803 841,    1 448 395,  1 355 446,    1.33,  0.69,    0.64,    106.86
  13,    2 775 174,    1 434 070,  1 341 104,    1.31,  0.68,    0.63,    106.93
  14,    2 937 780,    1 515 039,  1 422 741,    1.39,  0．72,    0．67,    106.49
15-19岁,    20 083 951,    10 386 518,  9 697 433,    9.51,  4.92,    4.59,    107.11
  15,    3 092 747,    1 587 699,  1 505 048,    1.46,  0.75,    0.71,    105.49
  16,    3 479 609,    1 774 717,  1 704 892,    1.65,  0.84,    0.81,    104.10
  17,    4 116 353,    2 109 088,  2 007 265,    1.95,  1.00,    0．95,    105.07
  18,    4 447 833,    2 309 803,  2 138 030,    2.11,  1.09,    1.01,    108.03
  19,    4 947 409,    2 605 211,  2 342 198,    2.34,  1.23,    1.11,    111.23
20-24岁,    23 831 097,    12 649 909,  11 181 188,  11.28,  5.99,    5.29,    113.14
  20,    5 087 259,    2 703 426,    2 383 833,    2.41,  1.28,    1.13,    113.41
  21,    5 380 561,    2 859 203,    2 521 358,    2.55,  1.35,    1.19,    113.40
