表4—6 全国镇分年龄、性别的人口数(第二种口径),,,,,,,
,,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
    年龄别,,,,,,,
,  合计,    男,    女,小计,  男,  女,(女=100)
总计,    84 922 671,    44 807 419,  40 115 252, 100.00,    52.76,  47.24,    111.70
0-4岁,    7 213 596,    3 796 895,    3 416 701,    8.49,    4.47,    4.02,    111.13
  0,    1 404 005,    742 228,    661 777,    1.65,    0.87,    0．78,    112.16
  1,    1 464 697,    775 359,    689 338,    1.72,    0.91,    0.81,    112.48
  2,    1 503 410,    791 179,    712 231,    1.77,    0.93,    0．84,    111.08
  3,    1 499 703,    785 609,    714 094,    1.77,    0.93,    0.84,    110．01
  4,    1 341 781,    702 520,    639 261,    1.58,    0.83,    0.75,    109.90
5-9岁,    6 387 624,    3 340 126,    3 047 498,    7.52,    3.93,    3.59,    109.60
  5,    1 243 178,    650 080,    593 098,    1.46,    0.77,    0.70,    109.61
  6,    1 215 246,    635 686,    579 560,    1.43,    0.75,    0.68,    109.68
  7,    1 343 494,    702 029,    641 465,    1.58,    0.83,    0.76,    109.44
  8,    1 449 248,    757 345,    691 903,    1.71,    0.89,    0.81,    109.46
  9,    1 136 458,    594 986,    541 472,    1.34,    0.70,    0.64,    109.88
10-14岁,    6 560 434,  3 417 540,    3 142 894,    7.73,    4.02,    3.70,    108.74
  10,    1 268 323,    664 621,    603 702,    1.49,    0．78,    0.71,    110.09
  11,    1 316 878,    687 729,    629 149,    1.55,    0.81,    0.74,    109.31
  12,    1 289 539,    671 435,    618 104,    1.52,    0．79,    0．73,    108.63
  13,    1 313 230,    682 899,    630 331,    1.55,    0.80,    0.74,    108.34
  14,    1 372 464,    710 856,    661 608,    1.62,    0.84,    0.78,    107.44
15-19岁,    8 773 035,    4 469 956,    4 303 079,    10.33,    5.26,    5.07,    103.88
  15,    1 456 954,    748 690,    708 264,    1.72,    0.88,    0.83,    105.71
  16,    1 612 870,    818 879,    793 991,    1.90,    0.96,    0.93,    103.13
  17,    1 819 428,    923 654,    895 774,    2.14,    1.09,    1.05,    103.11
  18,    1 890 972,    964 872,    926 100,    2.23,    1.14,    1.09,    104.19
  19,    1 992 811,    1 013 861,    978 950,    2.35,    1.19,    1.15,    103.57
20-24岁,    9 795 078,    4 999 402,    4 795 676,    11.53,    5.89,    5.65,    104.25
  20,    2 008 537,    1 013 494,    995 043,    2.37,    1.19,    1.17,    101.85
  21,    2 070 120,    1 041 559,    1 028 561,    2.44,    1.23,    1.21,    101.26
  22,    1 881 166,    959 590,    921 576,(?).22,    1.13,    1.09,    104.12
  23,    1 778 348,    916 166,    862 182,    2.09,    1.08,    1.02,    106.26
