,,,,,,,
表4-7全国县(不含县辖镇)分年龄、性别的人口数(第二种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,  合计,    男,    女,小计,  男,  女,(女=100)
总计,    834 365 458,  427 641 955,  406 723 503, 100.00,    51.25,    48.75,    105.14
0-4岁,    92 572 877,    48 603 382,    43 969 495,    11.10,    5.83,    5.27,    110.54
  0,    18 605 363,    9 838 642,    8 766 721,    2.23,    1.18,    1.05,    112.23
  1,    18 496 273,    9 773 057,    8 723 216,    2.22,    1.17,    1.05,    112.04
  2,    19 175 819,    10 062 986,    9 112 833,    2.30,    1.21,    1.09,    110.43
  3,    19 301 965,    10 082 504,    9 219 461,    2.31,    1.21,    1.10,    109.36
  4,    16 993 457,    8 846 193,    8 147 264,    2.04,    1.06,    0．98,    108.58
5-9岁,    77 833 505,    40 465 427,    37 368 078,    9.33,    4.85,    4.48,    108.29
  5,    15 913 116,    8 291 737,    7 621 379,    1.91,    0．99,    0.91,    108.80
  6,    14 946 658,    7 789 024,    7 157 634,    1.79,    0.93,    0.86,    108.82
  7,    15 556 273,    8 110 673,    7 445 600,    1.86,    0．97,    0.89,    108.93
  8,    17 068 303,    8 851 177,    8 217 126,    2.05,    1.06,    0.98,    107.72
  9,    14 349 155,    7 422 816,    6 926 339,    1.72,    0.89,    0.83,    107.17
10-14岁,    76 477 901,    39 428 925,    37 048 976,    9.17,    4.73,    4.44,    106.42
  10,    15 143 721,    7 832 407,    7 311 314,    1.81,    0．94,    0．88,    107.13
  11,    15 133 669,    7 806 390,    7 327 279,    1.81,    0.94,    0.88,    106.54
  12,    14 771 298,    7 607 372,    7 163 926,    1.77,    0．91,    0．86,    106.19
  13,    15 278 888,    7 871 021,    7 407 867,    1.83,    0.94,    0.89,    106.25
  14,    16 150 325,    8 311 735,    7 838 590,    1.94,    1.00,    0．94,    106.04
15-19岁,    91 301 435,  46 794 115,    44 507 320,  10．94,    5.61,    5.33,    105.14
  15,    17 094 090,    8 787 238,    8 306 852,    2.05,    1.05,    1.00,    105.78
  16,    18 395 088,    9 450 280,    8 944 808,    2.20,    1.13,    1.07,    105.65
  17,    18 600 818,    9 548 603,    9 052 215,    2.23,    1.14,    1.08,    105.48
  18,    18 157 197,    9 293 173,    8 864 024,    2.18,    1.11,    1.06,    104.84
  19,    19 054 242,    9 714 821,    9 339 421,    2.28,    1.16,    1.12,    104.02
20-24岁,    92 134 999,    46 583 712,    45 551 287,  11.04,    5.58,    5.46,    102.27
  20,    18 940 269,    9 474 416,    9 465 853,    2.27,    1.14,    1.13,    100.09
  21,    19 704 998,    9 919 897,    9 785 101,    2.36,    1.19,    1.17,    101.38
