,,,,,,,,,
表5-10省、自治区、直辖市的镇15岁及15岁以上分性别的文盲、半文盲人口数(第二口径),,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    64 761 017,    34 252 858,    30 508 159,    7 413 213,    1 923 799,    5 489 414,    11.45,    5.62,    17.99
北京市,    471 143,    259 644,    211 499,    34 146,    7 489,    26 657,    7.25,    2.88,    12.60
天津市,    199 588,    113 334,    86 254,    12 179,    3 230,    8 949,    6.10,    2.85,    10.38
河北省,    2 333 030,    1 292 312,    1 040 718,    245 721,    69 316,    176 405,    10.53,    5.36,    16.95
山西省,    1 473 445,    857 987,    615 458,    82 555,    23 381,    59 174,    5.60,    2.73,    9.61
内蒙古自治区,    2 077 101,    1 062 228,    1 014 873,    252 460,    72 863,    179 597,    12.15,    6.86,    17.70
辽宁省,    2 520 875,    1 266 497,    1 254 378,    218 791,    55 756,    163 035,    8.68,    4.40,    13.00
吉林省,    2 425 896,    1 216 253,    1 209 643,    254 195,    71 898,    182 297,    10．48,    5.91,    15.07
黑龙江省,    3 992 002,    2 010 469,    1 981 533,    434 934,    124 584,    310 350,    10.90,    6.20,    15.66
上海市,    514 921,    281 876,    233 045,    43 457,    11 100,    32 357,    8.44,    3.94,    13.88
江苏省,    3 272 208,    1 689 741,    1 582 467,    408 179,    98 239,    309 940,    12.47,    5.81,    19.59
浙江省,    4 923 321,    2 496 471,    2 426 850,    770 554,    201 709,    568 845,    15.65,    8.08,    23.44
安徽省,    2 352 244,    1 221 435,    1 130 809,    402 023,    110 009,    292 014,    17.09,    9．01,    25.82
福建省,    1 799 999,    938 006,    861 993,    261 929,    56 708,    205 221,    14.55,    6.05,    23.81
江西省,    1 816 700,    971 317,    845 383,    180 403,    39 59,    140 808,    9.93,    4.08,    16.66
山东省,    4 906 129,    2 588 851,    2 317 278,    640 013,    161 218,    478 795,    13.05,    6.23,    20.66
河南省,    3 145 963,    1 696 802,    1 449 161,    386 632,    106 410,    280 222,    12.29,    6.27,    19.34
湖北省,    2 852 584,    1 503 149,    1 349 435,    311 647,    72 643,    239 004,    10.93,    4.83,    17.71
湖南省,    2 539 999,    1 377 664,    1 162 335,    212 726,    50 378,    162 348,    8.38,    3.66,    13.97
广东省,    5 573 279,    2 890 678,    2 682 601,    546 455,    94 672,    451 783,    9.80,    3.28,    16.84
广西壮族自治区,    2 307 555,    1 249 534,    1 058 021,    185 460,    35 513,    149 947,    8.04,    2.84,    14.17
海南省,    539 888,    294 005,    245 883,    56 873,    11 440,    45 433,    10.53,    3.89,    18.48
四川省,    4 976 769,    2 725 698,    2 251 071,    455 102,    143 824,    311 278,    9.14,    5.28,    13.83
贵州省,    1 395 346,    741 616,    653 730,    218 973,    61 153,    157 820,    15.69,    8.25,    24.14
云南省,    2 355 056,    1 272 214,    1 082 842,    388 944,    117 854,    271 090,    16.52,    9.26,    25.04
西藏自治区,    59 806,    33 323,    26 483,    19 141,    6 934,    12 207,    32.01,    20.81,    46.09
陕西省,    1 673 949,    972 676,    701 273,    131 722,    37 559,    94 163,    7.87,    3.86,    13.43
甘肃省,    818 289,    464 111,    354 178,    86 012,    22 076,    63 936,    10．51,    4.76,    18.05
青海省,    271 382,    149 800,    121 582,    37 083,    10 857,    26 226,    13.66,    7.25,    21.57
宁夏回族自治区,    308 457,    167 524,    140 933,    31 432,    8 088,    23 344,    10．19,    4.83,    16.56
新疆维吾尔自治区,    864 093,    447 643,    416 450,    103 472,    37 303,    66 169,    11.97,    8.33,    15.89
