表5—12 全国15岁及15岁以上分年龄、性别的文盲、半文盲人口数,,,,,,,,,
,,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,        15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    817 508 784,    418 956 809,    398 551 975,    181 609 097,    54 359 731,    127 249 366,    22.21,    12.98,    31.93
15-19岁,    120 158 421,    61 650 589,    58 507 832,    6 341 459,    1 832 392,    4 509 067,    5.28,    2.97,    7.71
  15,    21 643 791,    11 123 627,    10 520 164,    1 078 634,    311 199,    767 435,    4.98,    2.80,    7.29
  16,    23 487 567,    12 043 876,11 443 691,    1 219 305,    352 258,    867 047,    5.19,    2.92,    7.58
  17,    24 536 599,    12 581 345,    11 955 254,    1 288 064,    371 288,    916 776,    5.25,    2.95,    7.67
  18,    24 496 002,    12 567 848,    11 928 154,    1 338 867,    389 731,    949 136,    5.47,    3.10,    7.96
  19,    25 994 462,    13 333 893,    12 660 569,    1 416 589,    407 916,    1 008 673,    5.45,    3.06,    7.97
20—24岁,    125 761 174,    64 233 023,    61 528 151,    7 721 519,    1 973 154,        5 748 365,    6.14,    3.07,    9.34
  20,    26 036 065,    13 191 336,    12 844 729,    1 495 900,    412 129,    1 083 771,    5.75,    3.12,    8.44
  21,    27 155 679,    13 820 659,    13 335 020,    1 584 003,    420 361,    1 163 642,    5.83,    3.04,    8.73
  22,    24 552 078,    12 586 327,    11 965 751,    1 523 765,    389 733,    1 134 032,    6.21,    3.10,    9.48
  23,    22 823 165,    11 691 041,    11132 124,    1 496 079,    369 020,    1 127 059,    6.56,    3.16,    10．12
  24,    25 194 187,    12 943 660,    12 250 527,    1 621 772,    381 911,    1 239 861,    6.44,    2.95,    10.12
25—29岁,    104 267 525,    53 512 983,    50 754 542,    7 284 756,    1 495 755,    5 789 001,    6.99,    2.80,    11.41
  25,    24 520 614,    12 593 865,    11 926 749,    1 582 704,    358 012,    1 224 692,    6.45,    2.84,    10.27
  26,    25 287 489,    12 959 015,    12 328 474,    1 610 426,    342 799,    1 267 627,    6.37,    2.65,    10.28
  27,    27 026 864,    13 966 581,    13 060 283,    1 793 521,    350 626,    1 442 895,    6.64,    2.51,    11.05
  28,    15 928 062,    8 144 945,    7 783 117,    1 321 331,    250 794,    1 070 537,    8.30,    3.08,    13.75
  29,    11 504 496,    5 848 577,    5 655 919,    976 774,    193 524,    783 250,        8.49,    3.31,    13.85
30—34岁,    83 875 707,    43 706 133,    40 169 574,    10 192 152,    2 310 739,    7 881 413,    12.15,    5.29,    19.62
  30,    14 443 119,    7 519 677,    6 923 442,    1 353 281,    297 170,    1 056 111,    9.37,    3.95,    15.25
  31,    14 378 626,    7 535 588,    6 843 038,    1 550 275,    353 417,    1 196 858,    10．78,    4.69,    17.49
  32,    19 060 366,    10 007 244,    9 053 122,    2 317 278,    537 294,    1 779 984,    12.16,    5.37,    19.66
  33,    18 350 283,    9 528 741,    8 821 542,    2 457 668,    554 674,    1 902 994,    13.39,    5.82,    21.57
  34,    17 643 313,    9 114 883,    8 528 430,    2 513 650,    568 184,    1 945 466,    14.25,    6.23,    22.81
35—39岁,    86 351 812,    44 568 847,    41 782 965,    15 006 097,    3 699 505,    11 306 592,    17.38,    8.30,    27.06
  35,    19 377 065,    10 051 375,    9 325 690,    2 959 532,    683 117,    2 276 415,    15.27,    6.80,    24.41
  36,    18 330 697,    9 452 337,    8 878 360,    3 019 218,    711 056,    2 308 162,    16.47,    7.52,    26.00
  37,    17 226 144,    8 870 602,    8 355 542,    3 092 207,    760 139,    2 332 068,    17.95,    8.57,    27.91
  38,    16 887 297,    8 704 522,    8 182 775,    3 187 298,    819 002,    2 368 296,    18.87,    9.41,    28.94
  39,    14 530 609,    7 490 011,    7 040 598,    2 747 842,    726 191,    2 021 651,    18.91,    9.70,    28.71
40-44岁,    63 707 664,    33 335 977,    30 371 687,    12 712 522,    3 405 767,    9 306 755,    19.95,    10．22,    30.64
  40,    15 342 107,    8 042 718,    7 299 389,    2 939 232,    822 167,    2 117 065,    19.16,    10．22,    29.00
  41,    13 010 398,    6 805 059,    6 205 339,    2 553 721,    700 286,    1 853 435,    19.63,    10.29,    29.87
  42,    12 392 389,    6 496 011,    5 896 378,    2 463 265,    660952,    1 802 313,    19.88,    10.17,    30.57
  43,    11 950 704,    6 264 508,    5 686 196,    2 406 470,    626 664,    1 779 806,    20.14,    10．00,    31.30
  44,    11 012 066,    5 727 681,    5 284 385,    2 349 834,    595 698,    1 754 136,    21.34,    10.40,    33.19
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
45—49岁,    49 087 941,    25 855 900,    23 232 041,    13 625 645,    3 818 925,    9 806 720,    27.76,    14.77,    42.21
  45,    10 465 110,    5 481 782,    4 983 328,    2 446 914,    640 015,    1 806 899,    23.38,    11.68,    36.26
  46,    9 953 414,    5 250 473,    4 702 941,    2 554 801,    688 799,    1 866 002,    25.67,    13.12,    39.68
  47,    9 445 561,    4 982 722,    4 462 839,    2 615 533,    732 678,    1 882 855,    27.69,    14.70,    42.19
  48,    9 670 367,    5 088 847,    4 581 520,    2 929 431,    848 758,    2 080 673,    30.29,    16.68,    45.41
  49,    9 553 489,    5 052 076,    4 501 413,    3 078 966,    908 675,    2 170 291,    32.23,    17.99,    48.21
50-54岁,    45 619 559,    24 110 355,    21 509 204,    18 258 819,    5 659 339,    12 599 480,    40.02,    23.47,    58.58
  50,    9 248 199,    4 875 474,    4 372 725,    3 233 144,    975 841,    2 257 303,    34.96,    20.02,    51.62
  51,    8 942 550,    4 738 952,    4 203 598,    3 316 784,    1 016 234,    2 300 550,    37.09,    21.44,    54.73
  52,        9 233 016,    4 919 285,    4 313 731,    3 687 054,    1 160 760,    2 526 294,    39.93,    23.60,    58.56
  53,    9 098 119,    4 810 911,    4 287 208,    3 879 450,1 211 332,    2 668 118,    42.64,    25.18,    62.23
  54,    9 097 675,    4 765 733,    4 331 942,    4 142 387,    1 295 172,    2 847 215,    45.53,    27.18,    65.73
55—59岁,    41 709 335,    21 839 937,    19 869 398,    22 153 712,    7 239 725,    14 913 987,    53.11,    33.15,    75.06
  55,    8 804 360,    4 580 456,    4 223 904,    4 291 143,    1 359 518,    2 931 625,    48.74,    29.68,    69.41
  56,    8 802 518,    4 618 277,    4 184 241,    4 514 918,    1 459 835,    3 055 083,    51.29,    31.61,    73.01
  57,    8 620 744,    4 525 324,    4 095 420,    4 606 925,    1 506 845,    3 100 080,    53.44,    33.30,    75.70
  58,    7 846 915,    4 106 208,        3 740 707,    4 369 516,    1 444 087,    2 925 429,    55.68,    35.17,    78.21
  59,    7 634 798,    4 009 672,    3 625 126,    4 371 210,    1 469 440,    2 901 770,    57.25,    36.65,    80.05
60-64岁,    33 976 254,    17 481 948,    16 494 306,    21 023 852,    7 195 307,    13 828 545,    61.88,    41.16,    83.84
  60,    7 730 945,    4 019 833,    3 711 112,    4 588 058,    1 556 236,    3 031 822,    59.35,    38.71,    81.70
  61,    6 966 479,    3 585 188,    3 381 291,    4 247 776,    1 437 968,    2 809 808,    60.97,    40.11,    83.10
  62,    7 060 132,    3 635 374,    3 424 758,    4 368 932,    1 492 347,    2 876 585,    61.88,    41.05,    83.99
  63,    6 233 873,    3 200 259,    3 033 614,    3 947 156,    1 367 617,    2 579 539,    63.32,    42.73,    85.03
