,,,,,,,,,
表5—13全国市15岁及15岁以上分年龄、性别的文盲、半文盲人口数(第二口径),,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    165 266 592,    85 559 730,    79 706 862,    20 113 289,    5 364 710,    14 748 579,    12.17,    6.27,    18.50
15-19岁,    20 083 951,    10 386 518,    9 697 433,    263 578,    96 999,    166 579,    1.31,    0.93,    1.72
  15,    3 092 747,    1 587 699,    1 505 048,    41 769,    14 733,    27 036,    1.35,    0.93,    1.80
  16,    3 479 609,    1 774 717,    1 704 892,    47 615,    17 047,    30 568,    1.37,    0.96,    1.79
  17,    4 116 353,    2 109 088,    2 007 265,    53 113,    19 520,    33 593,    1.29,    0．93,    1.67
  18,    4 447 833,    2 309 803,    2 138 030,    56 877,    21 387,    35 490,    1.28,    0．93,    1.66
  19,    4 947 409,    2 605 211,    2 342 198,    64 204,    24 312,    39 892,    1.30,    0.93,    1.70
20—24岁,    23 831 097,    12 649 909,    11 181 188,    370 364,    125 656,    244 708,    1.55,    0.99,    2.19
  20,    5 087 259,    2 703 426,    2 383 833,    68 439,    25 561,    42 878,    1.35,    0.95,    1.80
  21,    5 380 561,    2 859 203,    2 521 358,    74 125,    26 548,    47 577,    1.38,    0.93,    1.89
  22,    4 670 509,    2 489 846,    2 180 663,    72 382,    24 569,    47 813,    1.55,    0.99,    2.19
  23,    4 027 485,    2 137 072,    1 890 413,    72 161,    23 343,    48 818,    1.79,    1.09,    2.58
  24,    4 665 283,    2 460 362,    2 204 921,    83 257,    25 635,    57 622,    1.78,    1.04,    2.61
25—29岁,    23 062 203,    12 100 237,    10 961 966,    418 971,    114 020,    304 951,    1.82,    0.94,    2.78
  25,    4 909 801,    2 594 638,    2 315 163,    83 882,    25 189,    58 693,    1.71,    0．97,    2.54
  26,    5 650 284,    2 962 694,    2 687 590,    88 763,    25 609,    63 154,    1.57,    0．86,    2.35
  27,    6 034 933,    3 171 402,    2 863 531,    103 851,    27 358,    76 493,    1.72,    0.86,    2.67
  28,    3 400 485,    1 782 716,    1 617 769,    75 892,    18 820,    57 072,    2.23,    1.06,    3.53
  29,    3 066 700,    1 588 787,    1 477 913,    66 583,    17 044,    49 539,    2.17,    1.07,    3.35
30-34岁,    20 028 986,    10 441 880,    9 587 106,    741 217,    185 598,    555 619,    3.70,    1.78,    5.80
  30,    3 747 163,    1 962 136,    1 785 027,    98 751,    26 161,    72 590,    2.64,    1.33,    4.07
  31,    3 555 770,    1 866 045,    1 689 725,    114 895,    30 361,    84 534,    3.23,    1.63,    5.00
  32,    4 522 110,    2 366 817,    2 155 293,    167 888,    43 087,    124 801,    3.71,    1.82,    5.79
  33,    4 189 556,    2 172 427,    2 017 129,    175 394,    42 361,    133 033,    4.19,    1.95,    6.60
  34,    4 014 387,    2 074 455,    1 939 932,    184 289,    43 628,    140 661,    4.59,    2.10,    7.25
35—39岁,    18 420 810,    9 505 759,    8 915 051,    1 150 375,    280 300,    870 075,    6.24,    2.95,    9.76
  35,    4 258 548,    2 201 781,    2 056 767,    218 466,    51 469,    166 997,    5.13,    2.34,    8.12
  36,    4 001 295,    2 060 055,    1 941 240,    228 699,    54 169,    174 530,    5.72,    2.63,    8.99
  37,    3 613 089,    1 858 312,    1 754 777,    236 758,    56 908,    179 850,    6.55,    3.06,    10．25
  38,    3 474 654,    1 793 260,    1 681 394,    248 564,    62 383,    186 181,    7.15,    3.48,    11.07
  39,    3 073 224,    1 592 351,    1 480 873,    217 888,    55 371,    162 517,    7.09,    3.48,    10.97
40-44岁,    12 915 487,    6 766 633,    6 148 854,    1 008 064,    260 488,    747 576,    7.81,    3.85,    12.16
  40,    3 184 503,    1 672 512,    1 511 991,    231 091,    62 568,    168 523,    7.26,    3.74,    11.15
  41,    2 617 717,    1 363 701,    1 254 016,    199 265,    52 817,    146 448,    7.61,    3.87,    11.68
  42,    2 483 048,    1 299 425,    1 183 623,    192 758,    49 800,    142 958,    7.76,    3.83,    12.08
  43,    2 419 729,    1 274 322,    1 145 407,    192 471,    48 610,    143 861,    7.95,    3.81,    12.56
  44,    2 210 490,    1 156 673,    1 053 817,    192 479,    46 693,    145 786,    8.71,    4.04,    13.83
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表5—1 3全国市1 5岁及1 5岁以上分年龄、性别的文盲、半文盲人口数(第二口径)(续01),,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
45—49岁,    9 982 419,    5 146 032,    4 836 387,    1 238 136,    306 302,    931 834,    12.40,    5.95,    19.27
  45,    2 069 085,    1 073 816,      995 269,    207 139,    50 506,    156 633,    10.01,    4.70,    15.74
  46,    1 952 720,    1 010 737,    941 983,    220 695,    54 945,    165 750,    11.30,    5.44,    17.60
  47,    1 936 082,    994 463,    941 619,    235 290,    58 179,    177 111,    12.15,    5.85,    18.81
  48,    1 999 541,    1 023 105,    976 436,    272 579,    67 535,    205 044,    13.63,    6.60,    21.00
  49,    2 024 991,    1 043 911,    981 080,    302 433,    75 137,    227 296,    14.94,    7.20,    23.17
50-54岁,    9 923 948,    5 086 363,    4 837 585,    2 096 604,    521 844,    1 574 760,    21.13,    10.26,    32.55
  50,    1 997 242,    1 020 386,    976 856,    335 958,    83 999,    251 959,    16.82,    8.23,    25.79
  51,    1 950 093,    990 222,    959 871,    363 373,    90 455,    272 918,    18.63,    9.13,    28.43
  52,    2 008 507,    1 034 406,    974 101,    419 441,    106 916,    312 525,    20.88,    10.34,    32.08
  53,    1 982 116,    1 025 778,    956 338,    461 241,    115 256,    345 985,    23.27,    11.24,    36.18
  54,    1 985 990,    1 015 571,    970 419,    516 591,    125 218,    391 373,    26．01,    12.33,    40.33
55—59岁,    8 889 831,    4 665 248,    4 224 583,    2 989 808,    760 866,    2 228 942,    33.63,    16.31,    52.76
  55,    1 928 604,    985 647,    942 957,    561 601,    136 006,    425 595,    29.12,    13.80,    45.13
  56,    1 894 860,    987 286,    907 574,    602 901,    150 516,    452 385,    31.82,    15.25,    49.85
  57,    1 834 144,    962 007,    872 137,    627 078,    158 572,    468 506,    34.19,    16.48,    53.72
  58,    1 646 009,    875 961,    770 048,    598 369,    155 441,    442 928,    36.35,    17.75,    57.52
  59,    1 586 214,    854 347,    731 867,    599 859,    160 331,    439 528,    37.82,    18.77,    60.06
60-64岁,    6 767 661,    3 542 563,    3 225 098,    2 932 297,    798 445,    2 133 852,    43.33,    22.54,    66.16
  60,    1 590 598,    843 374,    747 224,    637 448,    170 912,    466 536,    40.08,    20.27,    62.44
  61,    1 409 298,    735 980,    673 318,    594 488,    158 355,    436 133,    42.18,    21.52,    64.77
  62,    1 391 658,    726 558,    665 100,    606 790,    164 420,    442 370,    43.60,    22.63,    66.51
  63,    1 215 424,    634 981,    580 443,    550 184,    152 892,    397 292,    45.27,    24.08,    68.45
  64,    1 160 683,    601 670,    559 013,    543 387,    151 866,    391 521,    46.82,    25.24,    70.04
65岁及以上,    11 360 199,    5 268 588,    6 091 611,    6 903 875,    1 914 192,    4 989 683,    60.77,    36.33,    81.91
