表5—14 全国镇15岁及15岁以上分年龄、性别的文盲、半文盲人口数(第二口径),,,,,,,,,
,,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    64 761 017,    34 252 858,    30 508 159,    7 413 213,    1 923 799,    5 489 414,    11.45,    5.62,    17.99
15-19岁,    8 773 035,    4 469 956,    4 303 079,    99 931,    40 664,    59 267,    1.14,    0.91,    1.38
  15,    1 456 954,    748 690,    708 264,    15 092,    5 963,    9 129,    1.04,    0.80,    1.29
  16,    1 612 870,    818 879,    793 991,    17 348,    6 737,    10 611,    1.08,    0.82,    1.34
  17,    1 819 428,    923 654,    895 774,    19 917,    8 150,    11 767,    1.09,    0.88,    1.31
  18,    1 890 972,    964 872,    926 100,    22 490,    9 341,    13 149,    1.19,    0．97,    1.42
  19,    1 992 811,    1 013 861,    978 950,    25 084,    10 473,    14 611,    1.26,    1.03,    1.49
20—24岁,    9 795 078,    4 999 402,    4 795 676,    162 594,    58 707,    103 887,    1.66,    1.17,    2.17
  20,    2 008 537,    1 013 494,    995 043,    28 376,    11 368,    17 008,    1.41,    1.12,    1.71
  21,    2 070 120,    1 041 559,    1 028 561,    31 079,    11 953,    19 126,    1.50,    1.15,    1.86
  22,    1 881 166,    959 590,    921 576,    32 038,    11 629,    20 409,    1.70,    1.21,    2.21
  23,    1 778 348,    916 166,    862 182,    33 007,    11 329,    21 678,    1.86,    1.24,    2.51
  24,    2 056 907,    1 068 593,    988 314,    38 094,    12 428,    25 666,    1.85,    1.16,    2.60
25—29岁,        9 362 233,    4 924 477,    4 437 756,    203 860,    53 971,    149 889,    2.18,    1.10,    3.38
  25,    2 155 781,    1 130 140,    1 025 641,    39 519,    11 939,    27 580,    1.83,    1.06,    2.69
  26,    2 291 404,    1 200 700,    1 090 704,    42 046,    11 854,    30 192,    1.83,    0.99,    2.77
  27,    2 411 913,    1 274 314,    1 137 599,    50 494,    12 966,    37 528,    2.09,    1.02,    3.30
  28,    1 411 371,    745 364,    666 007,    38 915,    9 226,    29 689,    2.76,    1.24,    4.46
  29,    1 091 764,    573 959,    517 805,    32 886,    7 986,    24 900,    3.01,    1.39,    4.81
30—34岁,    7 363 440,    3 920 724,    3 442 716,    361 312,    85 519,    275 793,    4.91,    2.18,    8．01
  30,    1 344 193,    716 761,    627 432,    48 872,    12 411,    36 461,    3.64,    1.73,    5.81
  31,    1 310 224,    701 686,    608 538,    56 623,    14 263,    42 360,    4.32,    2.03,    6.96
  32,    1 678 565,    897 824,    780 741,    82 141,    20 092,    62 049,    4.89,    2.24,    7.95
  33,    1 547 516,    818 908,    728 608,    85 126,    19 095,    66 031,    5.50,    2.33,    9.06
  34,    1 482 942,    785 545,    697 397,    88 550,    19 658,    68 892,    5.97,    2.50,    9.88
35—39岁,    7 095 010,    3 801 175,    3 293 835,    522 309,    122 805,    399 504,    7.36,    3.23,    12.13
  35,    1 605 234,    854 106,    751 128,    104 579,    23 338,    81 241,    6.51,    2.73,    10．82
  36,    1 525 556,    810 443,    715 113,    105 863,    23 573,    82 290,    6.94,    2.91,11.51
  37,    1 409 485,    754 861,    654 624,    106 820,    25 104,    81 716,    7.58,    3.33,    12.48
  38,    1 360 429,    732 677,    627 752,    109 253,    26 834,    82 419,    8.03,    3.66,    13.13
  39,    1 194 306,    649 088,    545 218,    95 794,    23 956,    71 838,    8.02,    3.69,    13.18
40-44岁,    5 316 270,    2 981 352,    2 334 918,    435 972,    114 914,    321 058,    8.20,    3.85,    13.75
  40,    1 290 020,    716 103,    573 917,    103 050,    28 108,    74 942,    7.99,    3.93,    13.06
  41,    1 079 854,    598 248,    481 606,    86 945,    23 700,    63 245,    8.05,    3.96,    13.13
  42,    1 019 800,    570 457,    449 343,    82 565,    21 788,    60 777,    8.10,    3.82,    13.53
  43,    1 005 120,    571 767,    433 353,    82 505,    21 325,    61 180,    8.21,    3.73,    14.12
  44,    921 476,    524 777,    396 699,    80 907,    19 993,    60 914,    8.78,    3.81,    15.36
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表5-14全国镇1 5岁及1 5岁以上分年龄、性别的文盲、半文盲人口数(第二口径)(续01),,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
45—49岁,    4 115 148,    2 303 940,    1 811 208,    496 785,    124 123,    372 662,    12.07,    5.39,    20.58
  45,    871 161,    494 550,    376 611,    86 309,    21 737,    64 572,    9.91,    4.40,    17.15
  46,    820 980,    462 905,    358 075,    89 415,    22 672,    66 743,    10.89,    4.90,    18.64
  47,    796 970,    443 798,    353 172,    93 355,    23 429,    69 926,    11.71,    5.28,    19.80
  48,    807 264,    445 147,    362 117,    108 046,    27 000,    81 046,    13.38,    6.07,    22.38
  49,    818 773,    457 540,    361 233,    119 660,    29 285,    90 375,    14.61,    6.40,    25.02
50-54岁,    3 806 606,    2 117 399,    1 689 207,    784 474,    191 183,    593 291,    20.61,    9.03,    35.12
  50,    798 566,    444 662,    353 904,    132 262,    32 224,    100 038,    16.56,    7.25,        28.27
  51,    763 830,  423 199,    340 631,    139 855,    34 227,    105 628,    18.31,    8.09,    31.01
  52,    773 708,    433 096,    340 612,    158 749,    39516,    119 233,    20.52,    9.12,    35.01
  53,    744 392,    415 608,    328 784,    168 194,    40 931,    127 263,    22.59,    9.85,    38.71
  54,    726 110,    400 834,    325 276,    185 414,    44 285,    141 129,    25.54,    11.05,    43.39
55—59岁,    3 130 029,    1 775 864,    1 354 165,    1 011 433,    249 837,    761 596,    32.31,    14.07,    56.24
  55,    683 307,    375 968,    307 339,    195 649,    46 510,    149 139,    28.63,    12.37,    48.53
  56,    679 679,    384 074,    295 605,    206 457,    50 110,    156 347,    30.38,    13.05,    52.89
  57,    641 521,    365 275,    276 246,    210 319,    51 613,    158 706,    32.78,    14.13,    57.45
  58,    572 360,    329 306,    243 054,    199 183,    50 094,    149 089,    34.80,    15.21,    61.34
  59,    553 162,    321 241,    231 921,    199 825,    51 510,    148 315,    36.12,    16.03,    63.95
60-64岁,    2 249 026,    1 245 538,    1 003 488,    964 020,    254 323,    709 697,    42.86,    20.42,    70.72
  60,    540 564,    306 610,    233 954,    212 933,    55 625,    157 308,    39.39,    18.14,    67.24
  61,    466 081,    258 588,    207 493,    194 675,    50 480,    144 195,    41.77,    19.52,    69.49
  62,    464 851,    256 878,    207 973,    200 086,    52 273,    147 813,    43.04,    20.35,    71．07
  63,    402 552,    220 646,    181 906,    180 599,    48 390,    132 209,    44.86,    21.93,    72.68
  64,    374 978,    202 816,    172 162,    175 727,    47 555,    128 172,    46.86,    23.45,    74.45
65岁及以上,    3 755 142,    1 713 031,    2 042 111,    2 370 523,    627 753,    1 742 770,    63.13,    36.65,    85.34
