,,,,,,,,,
表5-15全国县15岁及15岁以上分年龄、性别的文盲、半文盲人口数(第二口径),,,,,,,,,
    单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    587 481 175,    299 144 221,    288 336 954,    154 082 595,    47 071 222,    107 011 373,    26.23,    15.74,    37.11
15—19岁,    91 301 435,    46 794 115,    44 507 320,    5 977 950,    1 694 729,    4 283 221,    6.55,    3.62,    9.62
  15,    17 094 090,    8 787 238,    8 306 852,    1 021 773,    290 503,    731 270,    5.98,    3.31,    8.80
  16,    18 395 088,    9 450 280,    8 944 808,    1 154 342,    328 474,    825 868,    6.28,    3.48,    9.23
  17,    18 600 818,    9 548 603,    9 052 215,    1 215 034,    343 618,    871 416,    6.53,    3.60,    9.63
  18,    18 157 197,    9 293 173,    8 864 024,    1 259 500,    359 003,    900 497,    6.94,    3.86,    10.16
  19,    19 054 242,    9 714 821,    9 339 421,    1 327 301,    373 131,    954 170,    6.97,    3.84,    10.22
20-24岁,    92 134 999,    46 583 712,    45 551 287,    7 188 561,    1 788 791,    5 399 770,    7.80,    3.84,    11.85
  20,    18 940 269,    9 474 416,    9 465 853,    1 399 085,    375 200,    1 023 885,    7.39,    3.96,    10．82
  21,    19 704 998,    9 919 897,    9 785 101,    1 478 799,    381 860,    1 096 939,    7.50,    3.85,    11.21
  22,    18 000 403,    9 136 891,    8 863 512,    1 419 345,    353 535,    1 065 810,    7.89,    3.87,    12.02
  23,    17 017 332,    8 637 803,    8 379 529,    1 390 911,    334 348,    1 056 563,    8.17,    3.87,    12.61
  24,    18 471 997,    9 414 705,    9 057 292,    1 500 421,    343 848,    1 156 573,    8.12,    3.65,    12.77
25—29岁,    71 843 089,    36 488 269,    35 354 820,    6 661 925,    1 327 764,    5 334 161,    9.27,    3.64,    15.09
  25,    17 455 032,      8 869 087,    8 585 945,    1 459 303,    320 884,    1 138 419,    8.36,    3.62,    13.26
  26,    17 345 801,    8 795 621,    8 550 180,    1 479 617,    305 336,    1 174 281,    8.53,    3.47,    13.73
  27,    18 580 018,    9 520 865,    9 059 153,    1 639 176,    310 302,    1 328 874,    8.82,    3.26,    14.67
  28,    11 116 206,    5 616 865,    5 499 341,    1 206 524,    222 748,    983 776,    10.85,    3.97,    17.89
  29,    7 346 032,    3 685 831,        3 660 201,    877 305,    168 494,    708 811,    11.94,    4.57,    19.37
30-34岁,    56 483 281,    29 343 529,    27 139 752,    9 089 623,    2 039 622,    7 050 001,    16.09,    6.95,    25.98
  30,    9 351 763,    4 840 780,    4 510 983,    1 205 658,    258 598,    947 060,    12.89,    5.34,    20.99
  31,    9 512 632,    4 967 857,    4 544 775,    1 378 757,    308 793,    1 069 964,    14.49,    6.22,    23.54
  32,    12 859 691,    6 742 603,    6 117 088,    2 067 249,    474 115,    1 593 134,    16.08,    7.03,    26.04
  33,    12 613 211,    6 537 406,    6 075 805,    2 197 148,    493 218,    1 703 930,    17.42,    7.54,    28.04
  34,    12 145 984,    6 254 883,    5 891 101,    2 240 811,    504 898,    1 735 913,    18.45,    8.07,    29.47
35—39岁,    60 835 992,    31 261 913,    29 574 079,    13 333 413,    3 296 400,    10 037 013,    21.92,    10．54,    33.94
  35,    13 513 283,    6 995 488,    6 517 795,    2 636 487,    608 310,    2 028 177,    19.51,    8.70,    31.12
  36,    12 803 846,    6 581 839,    6 222 007,    2 684 656,    633 314,    2 051 342,    20.97,    9.62,    32.97
  37,    12 203 570,    6 257 429,    5 946 141,    2 748 629,    678 127,    2 070 502,    22.52,    10.84,    34.82
  38,    12 052 214,    6 178 585,    5 873 629,    2 829 481,    729 785,    2 099 696,    23.48,    11.81,    35.75
  39,    10 263 079,    5 248 572,    5 014 507,    2 434 160,    646 864,    1 787 296,    23.72,    12.32,    35.64
40-44岁,    45 475 907,    23 587 992,    21 887 915,    11 268 486,    3 030 365,    8 238 121,    24.78,    12.85,    37.64
  40,    10 867 584,    5 654 103,    5 213 481,    2 605 091,    731 491,    1 873 600,    23.97,    12.94,    35.94
  41,    9 312 827,    4 843 110,    4 469 717,    2 267 511,    623 769,    1 643 742,    24.35,    12.88,    36.78
  42,    8 889 541,    4 626 129,    4 263 412,    2 187 942,    589 364,    1 598 578,    24.61,    12.74,    37.50
  43,    8 525 855,    4 418 419,    4 107 436,    2 131 494,    556 729,    1 574 765,    25.00,    12.60,    38.34
  44,    7 880 100,    4 046 231,    3 833 869,    2 076 448,    529 012,    1 547 436,    26.35,    13.07,    40.36
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表5—1 5全国县1 5岁及1 5岁以上分年龄、性别的文盲、半文盲人口数(第二口径)(续01),,,,,,,,,
      单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
45—49岁,    34 990 374,    18 405 928,    16 584 446,    11 890 724,    3 388 500,    8 502 224,    33.98,    18.41,    51.27
  45,    7 524 864,    3 913 416,    3 611 448,    2 153 466,    567 772,    1 585 694,    28.62,    14.51,    43.91
  46,    7 179 714,    3 776 831,    3 402 883,    2 244 691,    611 182,    1 633 509,    31.26,    16.18,    48.00
  47,    6 712 509,    3 544 461,    3 168 048,    2 286 888,    651 070,    1 635 818,    34.07,    18.37,    51.63
  48,    6 863 562,    3 620 595,    3 242 967,    2 548 806,    754 223,    1 794 583,    37.14,    20.83,    55.34
  49,    6 709 725,    3 550 625,    3 159 100,    2 656 873,    804 253,    1 852 620,    39.60,    22.65,    58.64
50—54岁,    31 889 005,    16 906 593,    14 982 412,    15 377 741,    4 946 312,    10 431 429,    48.22,    29.26,    69.62
  50,    6 452 391,    3 410 426,    3 041 965,    2 764 924,    859 618,    1 905 306,    42.85,    25.21,    62.63
  51,    6 228 627,    3 325 531,    2 903 096,    2 813 556,    891 552,    1 922 004,    45.17,    26.81,    66.21
  52,    6 450 801,    3 451 783,    2 999 018,    3 108 864,    1 014 328,    2 094 536,    48.19,    29.39,    69.84
  53,    6 371 611,    3 369 525,    3 002 086,    3 250 015,    1 055 145,    2 194 870,    51.01,    31.31,    73.11
  54,    6 385 575,    3 349 328,    3 036 247,    3 440 382,    1 125 669,    2 314 713,    53.88,    33.61,    76.24
55—59岁,    29 689 475,    15 398 825,    14 290 650,    18 152 471,    6 229 022,    11 923 449,    61.14,    40.45,    83.44
  55,    6 192 449,    3 218 841,    2 973 608,    3 533 893,    1 177 002,    2 356 891,    57.07,    36.57,    79.26
  56,    6 227 979,    3 246 917,    2 981 062,    3 705 560,    1 259 209,    2 446 351,    59.50,    38.78,    82.06
  57,    6 145 079,    3 198 042,    2 947 037,    3 769 528,    1 296 660,    2 472 868,    61.34,    40.55,    83.91
  58,    5 628 546,    2 900 941,    2 727 605,    3 571 964,    1 238 552,    2 333 412,    63.46,    42.69,    85.55
  59,    5 495 422,    2 834 084,    2 661 338,    3 571 526,    1 257 599,    2 313 927,    64.99,    44.37,    86.95
60-64岁,    24 959 567,    12 693 847,    12 265 720,    17 127 535,    6 142 539,    10 984 996,    68.62,    48.39,    89.56
  60,    5 599 783,    2 869 849,    2 729 934,    3 737 677,    1 329 699,    2 407 978,    66.75,    46.33,    88.21
  61,    5 091 100,    2 590 620,    2 500 480,    3 458 613,    1 229 133,    2 229 480,    67.93,    47.45,    89.16
  62,    5 203 623,    2 651 938,    2 551 685,    3 562 056,    1 275 654,    2 286 402,    68.45,    48.10,    89.60
