,,,,,,,,,,,,,,,,,,,,,,,,
表5-1省、自治区、直辖市分性别和学业完成状况的各种文化程度人口数,,,,,,,,,,,,表5-1省、自治区、直辖市分性别和学业完成状况的各种文化程度人口数(续05),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,,,,,,,,,,,,总计,  17 283 681,  10 130 670,  7 153 011,  72 603 846,  44 632 787,    27 971 059,    263 384 863,    159 569 272,    103 815 591,    420 205 292,    220 236 874,    199 968 418
总计,    789 235 125,    445 547 738,    343 687 387,    6 138 484,    4 418 514,    1 719 970,    9 618 959,    6 559 621,    3 059 338,,,北京市,    484 619,    225 585,    259 034,    1 568 733,    808 535,    760 198,    3 305 479,    1 865 835,    1 439 644,    2 442 928,    1 295 430,    1 147 498
北京市,    8 808 112,    4 802 208,    4 005 904,    603 920,    383 915,    220 005,    402 433,    222 908,    179 525,,,天津市,    339 564,    163 500,    176 064,    1 059 931,    558 193,    501 738,    2 582 912,    1 459 892,    1 123 020,    2 603 314,    1 331 149,    1 272 165
天津市,    6 996 003,    3 768 109,    3 227 894,    182 493,    117 073,    65 420,    227 789,    138 302,    89 487,,,河北省,    766 908,    441 249,    325 659,    3 787 814,    2 286 336,    1 501 478,    15 094 177,    8 915 482,    6 178 695,    22 491 581,    11 691 281,    10 800 300
河北省,    42 722 978,    23 728 901,    18 994 077,    211 195,    145 710,    65 485,    371 303,    248 843,    122 460,,,山西省,    542 546,    312 597,    229 949,    1 994 815,    1 163 324,    831 491,    8 412 832,    4 852 669,    3 560 163,    10 275 740,    5 255 812,    5 019 928
山西省,    21 623 598,    11 857 394,    9 766 204,    139 203,    98 368,    40 835,    258 462,    174 624,    83 838,,,内蒙古自治区,    429 675,    247 877,    181 798,    1 730 741,    984 536,    746 205,    5 465 549,    3 249 369,    2 216 180,    7 166 807,    3 763 740,    3 403 067
内蒙古自治区,    15 110 121,    8 456 505,    6 653 616,    108 323,    74 811,    33 512,    209 026,    136 172,    72 854,,,辽宁省,    872 048,    456 701,    415 347,    3 443 316,    1 925 252,    1 518 064,    12 754 902,    6 960 885,    5 794 017,    13 523 591,    6 874 800,    6 648 791
辽宁省,    31 617 311,    16 882 150,    14 735 161,    384 751,    268 510,    116 241,    638 703,    396 002,    242 701,,,吉林省,    587 944,    306 526,    281 418,    2 544 245,    1 401 493,    1 142 752,    6 503 452,    3 657 449,    2 846 003,    8 704 503,    4 389 79 1,    4 314 712
吉林省,    18 870 664,    10 101 355,    8 769 309,    217 010,    148 047,    68 963,    313 510,    198 049,    115 461,,,黑龙江省,    738 156,    372 659,    365 497,    3 393 001,    1 878 423,    1 514 578,    10 022 016,    5 681 048,    4 340 968,    12 008 097,    6 102 589,    5 905 508
黑龙江省,    26 914 760,    14 518 120,    12 396 640,    237 510,    166 558,    70 952,    515 980,    316 843,    199 137,,,上海市,    514 579,    248 639,    265 940,    2 092 349,    1 144 487,    947 862,    4 215 492,    2 338 448,    1 877 044,    3 027 339,    1 564 825,    1 462 514
上海市,    10 721 891,    5 888 311,    4 833 580,    433 611,    301 374,    132 237,    438 521,      290 538,    147 983,,,江苏省,    903 926,    557 009,    346 917,    4 919 336,    3 133 707,    1 785 629,    17 713 987,    10 708 670,    7 005 317,    23 340 407,    11 944 573,    11 395 834
江苏省,    47 866 421,    27 068 116,    20 798 305,    367 893,    275 098,    92 795,    620 872,    449 059,    171 813,,,浙江省,    511 291,    305 326,    205 965,    2 398 461,    1 447 102,    951 359,    9 850 180,    5 799 139,    4 051 041,    16 437 257,    8 937 372,    7 499 885
浙江省,    29 682 681,    16 841 177,    12 841 504,    186 042,    139 889,    46 153,    299 450,    212 349,    87 101,,,安徽省,    594 566,    379 962,    214 604,    2 235 227,    1 530 281,    704 946,    11219 078,    7 594 978,    3 624 100,    19 495 406,    10 585 867,    8 909 539
安徽省,    34 040 162,    20 466 288,    13 573 874,    185 326,    145 966,    39 360,    310 559,    229 234,    81 325,,,福建省,    418 797,    267 416,    151 381,    1 681 996,    1 132 339,    549 657,    5 075 416,    3 441 622,    1 633 794,    12 984 605,    6 791 067,    6 193 538
