,,,,,,,,,,,,,,,,,,,,,,,,
表5--2省、自治区、直辖市的市分性别和学业完成状况的各种文化程度人口数(第二口径)．,,,,,,,,,,,,表5-2省、自治区、直辖市的市分性别和学业完成状况的各种文化程度人口数(第二口径)(续05)’,,,,,,,,,,,,
            单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    168 571 941,    92 350 612,    76 221 329,    5 211 762,    3 652 525,    1 559 237,    6 563 398,    4 191 919,    2 371 479,,,,,,,,,,,,,,,
北京市,    6 237 087,    3 412 895,    2 824 192,    583 541,    370 130,    213 411,    367 197,    200 577,    166 620,,,总计,    8 854 658,    4 613 668,    4 240 990,  28 525 979,  15 351 756,    13 174 223,    63 442 250,    35 291 113,    28 151 137,    55 973 894,    29 249 631,    26 724 263
天津市,    4 813 839,    2 587 979,    2 225 860,        178 894,    114 452,    64 442,    214 511,    129 224,    85 287,,,北京市,    406 278,    183 633,    222 645,    1 277 936,    659 517,    618 419,    2 121 901,    1 219 662,    902 239,    1 480 234,    779 376,    700 858
河北省,    7 021 956,    3 861 368,    3 160 588,    176 429,    118 949,    57 480,    242 913,    152 807,    90 106,,,天津市,    297 652,    140 041,    157 611,    888 378,    455 255,    433 123,    1 815 346,    1 019 531,    795 815,    1 419 058,    729 476,    689 582
山西省,    5 147 888,    2 845 012,    2 302 876,    113 044,    77 557,    35 487,    171 999,    107 547,    64 452,,,河北省,    381 610,    200 375,    181 235,  1 118 504,    584 233,    534 271,    2 809 522,    1 572 474,    1 237 048,    2 292 978,    1 232 530,    1 060 448
内蒙古自治区,    3 916 884,    2 112 494,    1 804 390,    90 119,    60 080,    30 039,    147 650,    90 886,    56 764,,,山西省,    286 540,    149 627,    136 913,    775 549,    413 303,    362 246,    2 089 879,    1 195 232,    894 647,    1 710 877,    901 746,    809 131
辽宁省,    13 980 983,    7 403 540,    6 577 443,    361 566,    249 589,    111 977,    548 715,    330 490,    218 225,,,内蒙古自治区,    233 192,    123 550,    109 642,    708 567,    359 797,    348 770,    1 586 424,    880 934,    705 490,    1 150 932,    597 247,    553 685
吉林省,    5 861 130,    3 086 034,    2 775 096,    191 127,    127 486,    63 641,    238 613,    144 276,    94 337,,,辽宁省,    636 876,    313 234,    323 642,  2 192 904,    1 161 737,    1 031 167,    6 245 441,    3 292 408,    2 953 033,    3 995 481,    2 056 082,    1 939 399
黑龙江省,    9 297 170,    4 937 474,    4 359 696,    209 108,    144 950,    64 158,    365 011,    215 498,    149 513,,,吉林省,    362 945,    173 406,    189 539,  1 337 352,    700 105,    637 247,    2 163 877,    1 143 641,    1 020 236,    1 567 216,    797 120,    770 096
上海市,    6 853 902,    3 768 974,    3 084 928,    400 106,    276 657,    123 449,    385 232,    253 491,    131 741,,,黑龙江省,    432 296,    204 048,    228 248,  1 653 081,    848 210,    804 871,    3 953 199,    2 136 108,    1 817 091,    2 684 475,    1 388 660,    1 295 815
