,,,,,,,,,,,,,,,,,,,,,,,,
表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续05),,,,,,,,,,,,
        单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
      和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,,,,,,,,,,,,总计,    4 429 273,    2 595 346,    1 833 927,  11 725 032,    6 636 441,    5 088 591,    26 419 231,    14 626 755,    11 792 476,    22 747 104,    11 992 380,    10 754 724
总计,    67 934 607,    37 863 330,    30 071 277,    685 397,    559 618,    125 779,    1 928 570,    1 452 790,    475 780,,,北京市,    47 459,    23 732,    23 727,    89 120,    48 978,    40 142,    199 495,    119 277,    80 218,    125 058,    67 482,    57 576
北京市,    500 021,    284 462,    215 559,    14 726,    9 997,    4 729,    24 163,    14 996,    9 167,,,天津市,    24 289,    12 269,    12 020,    30 179,    17 398,    12 781,    81 548,    48 338,    33 210,    72 382,    41 113,    31 269
天津市,    220 126,    127 026,    93 100,    2 958,    2 128,    830,    8 770,    5 780,    2 990,,,河北省,    210 817,    118 249,    92 568,  400 472,    228 201,    172 271,    921 494,    544 324,    377 170,    830 690,    452 777,    377 913
河北省,    2 474 105,    1 424 839,    1 049 266,    27 494,    20 936,    6 558,    83 138,    60 352,    22 786,,,山西省,    152 767,    88 575,    64 192,  290 012,    162 217,    127 795,    701 005,    421 254,    279 751,    392 852,    219 698,    173 154
山西省,    1 620 783,    955 873,    664 910,    22 720,    17 857,    4 863,      61 427,    46 272,    15 155,,,内蒙古自治区,    113 020,    65 717,    47 303,  405 634,    212 962,    192 672,    973 171,    531 866,    441 305,    677 673,    344 411,    333 262
内蒙古自治区,    2 224 810,    1 195 857,    1 028 953,    12 847,    10 265,    2 582,    42 465,    30 636,    11 829,,,辽宁省,    112 863,    60 124,    52 739,  444 016,    242 510,    201 506,    1 178 346,    615 893,    562 453,    899 509,    448 412,    451 097
辽宁省,    2 710 080,    1 421 213,    1 288 867,    17 488,    13 987,    3 501,    57 858,    40 287,    17 571,,,吉林省,    137 352,    72 331,    65 021,  608 917,    323 621,    285 296,    1 039 848,    548 588,    491 260,    724 796,    358 751,    366 045
吉林省,    2 586 786,    1 357 952,    1 228 834,    20 357,    15 951,    4 406,    55 516,    38 710,    16 806,,,黑龙江省,    183 625,    92 624,    91 001,  851 606,    456 716,    394 890,    1 823 190,    972 464,    850 726,    1 315 578,    662 737,    652 841
黑龙江省,    4 300 030,    2 269 415,    2 030 615,    22 743,    17 097,    5 646,    103 288,    67 777,    35 511,,,上海市,    51 501,    23 683,    27 818,  112 290,    60 996,    51 294,    183 007,    107 236,    75 771,    134 670,    74 170,    60 500
上海市,    531 707,    301 583,    230 124,    21 959,    16 107,    5 852,    28 280,    19 391,    8 889,,,江苏省,    207 567,    121 577,    85 990,  645 721,    363 681,    282 040,    1 327 293,    709 010,    618 283,    978 200,    506 554,    471 646
江苏省,    3 324 325,    1 830 427,    1 493 898,    43 998,    36 647,    7 351,    121 546,    92 958,    28 588,,,浙江省,    205 051,    118 942,    86 109,  682 346,    375 132,    307 214,    1 822 976,    994 817,    828 159,    2 034 544,    1 077 599,    956 945
浙江省,    4 891 143,    2 678 559,    2 212 584,    44 006,    36 209,    7 797,    102 220,    75 860,    26 360,,,安徽省,    140 655,    86 517,    54 138,  354 838,    215 060,    139 778,    968 596,    529 010,    439 586,    773 099,    405 682,    367 417
安徽省,    2 328 373,    1 310 537,    1 017 836,    27 106,    23 595,    3 511,    64 079,    50 673,    13 406,,,福建省,    106 759,    65 326,    41 433,  294 659,    174 301,    120 358,    602 505,    348 755,    253 750,    792 901,    410 372,    382 529
福建省,    1 864 557,    1 053 777,    810 780,    22 422,    19 169,    3 253,    45 311,    35 854,    9 457,,,江西省,    139 379,    85 132,    54 247,  400 045,    232 494,    167 551,    750 175,    409 046,    341 129,    610 430,    318 102,    292 328
江西省,    1 979 606,    1 111 977,    867 629,    21 361,    19 004,    2 357,    58 216,    48 199,    10 017,,,山东省,    349 498,    214 864,    134 634,  743 274,    445 561,    297 713,    2 069 888,    1 161 396,    908 492,    1 676 423,    855 531,    820 892
山东省,    5 017 617,    2 818 742,        2 198 875,    43 022,    35 356,    7 666,    135 512,    106 034,    29 478,,,河南省,    192 181,    114 525,    77 656,  587 599,    339 057,    248 542,    1 404 141,    795 809,    608 332,    1 015 176,    541 871,    473 305
河南省,    3 314 170,    1 881 200,    1 432 970,    24 291,    20 233,    4 058,    90 782,    69 705,    21 077,,,湖北省,    240 160,    144 956,    95 204,  525 244,    308 056,    217 188,    1 176 074,    641 412,    534 662,    972 452,    491 793,    480 659
湖北省,    3 047 915,    1 693 943,    1 353 972,    26 004,    22 571,    3 433,    107 981,    85 155,    22 826,,,湖南省,    199 400,    119 930,    79 470,  529 305,    298 514,    230 791,    1 007 867,    549 959,    457 908,    891 852,    480 346,    411 506
湖南省,    2 751 340,    1 547 220,    1 204 120,    24 317,    21 404,    2 913,    98 599,    77 067,    21 532,,,广东省,    252 355,    158 485,    93 870,  996 580,    623 906,    372 674,    2 133 054,    1 165 096,    967 958,    2 414 656,    1 218 400,    1 196 256
广东省,    5 960 268,    3 300 671,    2 659 597,    29 570,    25 787,    3 783,    134 053,    108 997,    25 056,,,广西壮族自治区,    188 384,    109 215,    79 169,  467 059,    266 149,    200 910,    889 410,    504 855,    384 555,    916 359,    491 169,    425 190
广西壮族自治区,    2 561 486,    1 450 856,    1 110 630,    28 537,    24 105,    4 432,    71 737,    55 363,    16 374,,,海南省,    39 194,    26 308,    12 886,  132 538,    82 835,    49 703,    206 529,    114 329,    92 200,    193 006,      100 320,    92 686
海南省,    595 247,    344 404,    250 843,    3 600,    3 243,    357,    20 380,    17 369,    3 011,,,四川省,    442 034,    250 410,    191 624,  785 578,    423 282,    362 296,    2 010 424,    1 093 438,    916 986,    1 639 922,    940 052,    699 870
四川省,    5 118 446,    2 889 421,    2 229 025,    75 556,    60 831,    14 725,    164 932,    121 408,    43 524,,,贵州省,    117 913,    71 537,    46 376,  193 401,    107 332,    86 069,    520 986,    291 339,    229 647,    526 199,    292 626,    233 573
贵州省,    1 413 328,    805 172,    608 156,    17 311,    14 122,    3 189,    37 518,    28 216,    9 302,,,云南省,    184 966,    107 396,    77 570,  286 431,    156 545,    129 886,    830 079,    477 039,    353 040,    979 744,    557 174,    422 570
云南省,    2 368 619,    1 363 090,    1 005 529,    26 701,    20 815,    5 886,    60 698,    44 121,    16 577,,,西藏自治区,    4 372,    2 538,    1 834,    4 709,    3 081,    1 628,    14 979,    9 770,    5 209,    24 830,    14 807,    10 023
西藏自治区,    51 362,    31 959,    19 403,    869,    626,    243,    1 603,    1 137,    466,,,陕西省,    163 134,    105 424,    57 710,    396 496,    219 848,    176 648,    694 389,    418 006,    276 383,    418 150,    234 383,    183 767
陕西省,    1 772 269,    1 055 811,    716 458,    32 012,    26 511,    5 501,    68 088,    51 639,    16 449,,,甘肃省,    80 572,    53 715,    26 857,    186 743,    104 670,    82 073,    313 683,    181 471,    132 212,    220 584,    126 215,    94 369
甘肃省,    844 235,    500 603,    343 632,    11 155,    9 583,    1 572,    31 498,    24 949,    6 549,,,青海省,    28 729,    17 341,    11 388,    52 574,    27 767,    24 807,    107 235,    63 143,    44 092,    82 165,    46 822,    35 343
青海省,    283 006,    164 248,    118 758,    4 177,    3 257,    920,    8 126,    5 918,    2 208,,,宁夏回族自治区,    31 914,    19 997,    11 917,    58 183,    30 689,    27 494,    130 492,    73 419,    57 073,    93 658,    49 668,    43 990
宁夏回族自治区,    335 826,    189 921,    145 905,    7 027,    5 497,    1 530,    14 552,    10 651,    3 901,,,新疆维吾尔自治区,    81 363,      43 907,    37 456,    169 463,    84 882,    84 581,    337 352,    186 396,    150 956,    319 546,    163 343,    156 203
新疆维吾尔自治区,    943 021,    502 572,    440 449,    9 063,    6 728,    2 335,    26 234,    17 316,    8 918,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续01),,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续06),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,,,,,,,,,,,,,,,,,,,,,,,,
在校,    14 548 475,    7 679 381,    6 869 094,    28 544,    19 034,    9 510,    135 068,    80 411,    54 657,,,在校,    694 050,    350 608,    343 442,    1 581 279,    878 613,    702 666,    3 654 191,    1 886 282,    1 767 909,    8 455 343,    4 464 433,    3 990 910
北京市,    100 030,    51 616,    48 414,    4 284,    2 896,    1 388,    3 574,    2 036,    1 538,,,北京市,    9 744,    4 271,    5 473,    10 377,    5 278,    5 099,    17 016,    8 800,    8 216,    55 035,    28 335,    26 700
天津市,    46 358,    23 463,    22 895,    5,    2,    3,    461,    200,    261,,,天津市,    4 816,    2 052,    2 764,    3 054,    1 502,    1 552,    9 472,    4 782,    4 690,    28 550,    14 925,    13 625
河北省,    514 192,    264 580,    249 612,    910,    522,    388,    2 889,    1 769,    1 120,,,河北省,    30 090,    12 879,    17 211,    40 183,    20 246,    19 937,    97 249,    48 450,    48 799,    342 871,    180 714,    162 157
山西省,    330 403,    170 871,    159 532,    2 732,    1 689,    1 043,    3 539,    2 036,    1 503,,,山西省,    20 560,    8 335,    12 225,    42 046,    21 743,    20 303,    91 539,    46 124,    45 415,    169 987,    90 944,    79 043
