,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和地区别,    合计,      男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    3 999 750,    2 921 656,    1 078 094,  32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
总计,    552 728 577,    315 333 796,    237 394 781,    241 325,    206 371,    34 954,    1 126 991,    914 912,    212 079,,,北京市,    30 882,    18 220,    12 662,    201 677,    100 040,    101 637,    984 083,    526 896,    457 187,    837 636,    448 572,    389 064
北京市,    2 071 004,    1 104 851,    966 153,    5 653,    3 788,    1 865,    11 073,    7 335,    3 738,,,天津市,    17 623,    11 190,    6 433,    141 374,    85 540,    55 834,    686 018,    392 023,    293 995,    1 111 874,    560 560,    551 314
天津市,    1 962 038,    1 053 104,    908 934,    641,    493,    148,    4 508,    3 298,    1 210,,,河北省,    174 481,    122 625,    51 856,    2 268 838,    1 473 902,    794 936,    11 363 161,    6 798 684,    4 564 477,    19 367 913,    10 005 974,    9 361 939
河北省,    33 226 917,    18 442 694,    14 784 223,    7 272,    5 825,    1 447,    45 252,    35 684,    9 568,,,山西省,    103 239,    74 395,    28 844,    929 254,    587 804,    341 450,    5 621 948,    3 236 183,    2 385 765,    8 172 011,    4 134 368,    4 037 643
山西省,    14 854 927,    8 056 509,    6 798 418,    3 439,    2 954,    485,    25 036,    20 805,    4 231,,,内蒙古自治区,    83 463,    58 610,    24 853,    616 540,    411 777,    204 763,2 905 954,    1 836 569,    1 069 385,    5 338 202,    2 822 082,    2 516 120
内蒙古自治区,    8 968 427,    5 148 154,    3 820 273,    5 357,    4 466,    891,    18 911,    14 650,    4 261,,,辽宁省,    122 309,    83 343,    38 966,    806 396,    521 005,    285 391,    5 331 115,    3 052 584,    2 278 531,    8 628 601,    4 370 306,    4 258 295
辽宁省,    14 926 248,    8 057 397,    6 868 851,    5 697,    4 934,    763,    32 130,    25 225,    6 905,,,吉林省,    87 647,    60 789,    26 858,    597 976,    377 767,    220 209,    3 299 727,    1 965 220,    1 334 507,    6 412 491,    3 233 920,    3 178 571
吉林省,    10 422 748,    5 657 369,    4 765 379,    5 526,    4 610,    916,    19 381,    15 063,    4 318,,,黑龙江省,    122 235,    75 987,    46 248,    888 314,    573 497,    314 817,    4 245 627,    2 572 476,    1 673 151,    8 008 044,    4 051 192,    3 956 852
黑龙江省,    13 317 560,    7 311 231,    6 006 329,    5 659,    4 511,    1 148,    47 681,    33 568,    14 113,,,上海市,    60 500,    34 877,    25 623,    320 401,    178 775,    141 626,    1 422 177,    774 956,    647 221,    1 496 649,    802 880,    693 769
上海市,    3 336 282,    1 817 754,    1 518 528,    11 546,    8 610,    2 936,    25 009,    17 656,    7 353,,,江苏省,    247 221,    182 852,    64 369,    2 748 155,    1 922 214,    825 941,    13 249 258,    8 244 356,    5 004 902,    19 876 719,    10 138 601,    9 738 118
江苏省,    36 246 495,    20 594 851,    15 651 644,    17 755,    15 692,    2 063,    107 387,    91 136,    16 251,,,浙江省,    107 115,    77 378,    29 737,    1 100 024,    737 766,    362 258,    6 184 579,    3 776 693,    2 407 886,    12 277 676,    6 715 663,    5 562 013
浙江省,    19 711 854,    11 342 615,    8 369 239,    7 225,    6 413,    812,    35 235,    28 702,    6 533,,,安徽省,    181 554,    145 143,    36 411,    1 090 888,    869 377,    221 511,    8 263 976,    5 940 340,    2 323 636,    16 906 810,    9 206 249,    7 700 561
安徽省,    26 509 547,    16 219 413,    10 290 134,    13 178,    11 854,    1 324,    53 141,    46 450,    6 691,,,福建省,    144 534,    109 073,    35 461,    857 044,    657 694,    199 350,    3 522 418,    2 537 296,    985 122,    10 978 325,    5 754 331,    5 223 994
福建省,    15 560 657,    9 107 970,    6 452 687,    14 153,    12 684,    1 469,    44 183,    36 892,    7 291,,,江西省,    179 425,    141 974,    37 451,  1 119 713,    875 927,    243 786,    4 919 032,    3 504 226,    1 414 806,    13 102 587,    6 870 639,    6 231 948
江西省,    19 379 445,    11 445 001,    7 934 444,    11 625,    10 658,    967,    47 063,    41 577,    5 486,,,山东省,    283 282,    216 899,    66 383,  2 414 373,    1 762 449,    651 924,    14 270 872,    9 129 942,    5 140 930,    24 014 251,    11 786 421,    12 227 830
山东省,    41 057 765,    22 958 720,    18 099 045,    10 344,    9 149,    1 195,    64 643,    53 860,    10 783,,,河南省,    273 801,    198 825,    74 976,  3 197 557,    2 227 310,    970 247,    18 457 255,    11 391 644,    7 065 611,    26 702 176,    13 246 191,    13 455 985
河南省,    48 748 909,    27 159 687,    21 589 222,    22 846,    19 418,    3 428,    95 274,    76 299,    18 975,,,湖北省,    192 696,    142 732,    49 964,  1 676 913,    1 231 557,    445 356,    7 946 542,    5 195 288,    2 751 254,    15 341 127,    7 915 489,    7 425 638
湖北省,    25 218 303,    14 536 933,    10 681 370,    9 043,    8 135,    908,    51 982,    43 732,    8 250,,,湖南省,    253 490,    177 081,    76 409,  2 406 566,    1 683 276,    723 290,    10 533 732,    6 439 146,    4 094 586,    22 435 897,    11 692 254,    10 743 643
湖南省,    35 725 910,    20 070 604,    15 655 306,    11 611,    10 274,    1 337,    84 614,    68 573,    16 041,,,广东省,    161 856,    123 436,    38 420,  1 748 988,    1 337 242,    411 746,    8 122 958,    5 181 304,    2 941 654,    17 889 687,    9 019 553,    8 870 134
广东省,    27 977 134,    15 708 260,    12 268 874,    7 241,    6 570,    671,    46 404,    40 155,    6 249,,,广西壮族自治区,    176 736,    129 756,    46 980,  1 411 284,    1 017 319,    393 965,    6 291 498,    4 060 495,    2 231 003,    17 231 632,    9 062 682,    8 168 950
广西壮族自治区,    25 156 672,    14 308 268,    10 848 404,    7 384,    6 550,    834,    38 138,    31 466,    6 672,,,海南省,    36 230,    25 508,    10 722,    327 865,    237 980,    89 885,    1 052 103,    669 197,    382 906,    1 851 309,    970 534,    880 775
海南省,    3 285 030,    1 917 960,    1 367 070,    3 144,    2 641,    503,    14 379,    12 100,    2 279,,,四川省,    349 572,    254 705,    94 867,    2 086 041,    1 421 877,    664 164,    17 003 883,    10 649 867,    6 354 016,    40 116 719,    21 400 203,    18 716 516
四川省,    59 648 715,    33 802 898,    25 845 817,    16 515,    14 469,    2 046,    75 985,    61 777,    14 208,,,贵州省,    97 898,    77 368,    20 530,    369 928,    292 470,    77 458,    3 226 148,    2 425 211,    800 937,    10 281 346,    6 151 076,    4 130 270
贵州省,    13 998 294,    8 964 888,    5 033 406,    5 086,    4 180,    906,    17 888,    14 583,    3 305,,,云南省,    151 706,    110 701,    41 005,    516 571,    352 591,    163 980,    3 642 208,    2 468 153,    1 174 055,    12 324 279,    7 227 431,    5 096 848
云南省,    16 670 911,    10 187 132,    6 483 779,    7 109,    5 948,    1 161,    29 038,    22 308,    6 730,,,西藏自治区,    10 264,    6 910,    3 354,    6 333,    4 426,    1 907,    36 952,    28 090,    8 862,    331 969,    243 256,    88 713
西藏自治区,    388 172,    284 815,    103 357,    806,    663,    143,    1 848,    1 470,    378,,,陕西省,    126 365,    96 550,    29 815,    1 203 860,    807 265,    396 595,    5 859 773,    3 558 489,    2 301 284,    8 791 823,    4 656 605,    4 135 218
陕西省,    16 028 785,    9 156 600,    6 872 185,    11 660,    9 628,    2 032,    35 304,    28 063,    7 241,,,甘肃省,    74 360,      62 238,    12 122,    676 206,    527 956,    148 250,    2 446 994,    1 705 642,    741 352,    5 287 050,    3 052 580,    2 234 470
甘肃省,    8 503 153,    5 364 367,    3 138 786,    2 385,    2 190,    195,    16 158,    13 761,    2 397,,,青海省,    28 328,    20 585,    7 743,    103 095,    64 081,    39 014,    423 587,    290 015,    133 572,    905 909,    574 333,    331 576
青海省,    1 472 273,    958 225,    514 048,    3 566,    2 958,    608,    7 788,    6 253,    1 535,,,宁夏回族自治区,    19 792,    16 648,    3 144,    115 146,    79 491,    35 655,    555 925,    356 041,    199 884,    1 088 996,    620 302,    468 694
