表5—5 全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,表5—5全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(续10),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    789 235 125,    445 547 738,    343 687 387,    6 138 484,    4 418 514,    1 719 970,    9 618 959,    6 559 621,    3 059 338,,,总计, 17 283 681, 10 130 670,  7 153 011,  72 603 846,    44 632 787,  27 971 059,    263 384 863,    159 569 272,    103 815 591,    420 205 292,    220 236 874,    199 968 418
6-9岁,    60 343 907,    32 053 112,    28 290 795,-,-,-,-,-,-,,,6—9岁,    7,    2,    5,-,-,-,-,-,-,    60 343 900,    32 053 110,    28 290 790
  6,    7 876 068,    4 237 453,    3 638 615,-,-,-,-,-,-,,,  6,    3,-,    3,-,-,-,-,-,-,    7 876 065,    4 237 453,    3 638 612
  7,    15 314 982,    8 186 061,    7 128 921,-,-,-,-,-,-,,,  7,    1,-,    1,-,-,-,-,-,-,    15 314 981,    8 186 061,    7 128 920
  8,    20 086 861,    10 631 852,    9 455 009,-,-,-,-,-,-,,,  8,     -,-,    -,-,-,-,-,-,-,    20 086 861,    10 631 852,    9 455 009
  9,    17 065 996,    8 997 746,    8 068 250,-,-,-,-,-,-,,,  9,    3,    2,    1,-,-,-,-,-,-,    17 065 993,    8 997 744,    8 068 249
10-14岁,    92 991 531,    48 897 548,    44 093 983,    7,    4,    3,-,-,-,,,10-14岁,    11 619,    4 856,    6 763,    86 645,    48 896,    37 749,    15 539 328,    8 496 725,    7 042 603,    77 353 932,    40 347 067,    37 006 865
  10,    18 380 753,    9 678 059,    8 702 694,-,-,-,-,-,-,,,  10,    7,    2,    5,-,-,-,    1,    1,        -,    18 380 745,    9 678 056,    8 702 689
  11,    18 536 869,    9 736 830,    8 800 039,-,-,-,-,-,-,,,  11,    9,    4,    5,-,-,-,    266 914,    147 641,    119 273,    18 269 946,    9 589 185,    8 680 761
  12,    18 065 912,    9 488 993,    8 576 919,-,-,-,-,-,-,,,  12,    23,    6,    17,-,-,-,    1 478 988,    796 067,    682 921,    16 586 901,    8 692 920,    7 893 981
  13,    18 504 915,    9 734 289,    8 770 626,-,-,-,-,-,-,,,  13,    1 634,    696,    938,    8 592,    4 887,    3 705,    4 891 248,    2 644 079,    2 247 169,    13 603 441,    7 084 627,    6 518 814
  14,    19 503 082,    10 259 377,    9 243 705,    7,    4,    3,-,-,-,,,  14,    9 946,    4 148,    5 798,    78 053,    44 009,    34 044,    8 902 177,    4 908 937,    3 993 240,    10 512 899,    5 302 279,    5 210 620
15-19岁,    113 816 962,    59 818 197,    53 998 765,    330 612,    208 178,    122 434,    332 024,    169 691,    162 333,,,15-19岁,  2 560 512,  1 226 418, 1 334 094,    10 989 378,    6 420 453,    4 568 925,    56 369 830,    32 292 426,    24 077 404,    43 234 606,    19 501 031,    23 733 575
  15,    20 565 157,    10 812 428,    9 752 729,    18,    15,    3,    1,-,    1,,,  15,    80 302,    34 312,    45 990,    493 022,    275 052,    217 970,    11 206 339,    6 327 473,    4 878 866,    8 785 475,    4 175 576,    4 609 899
  16,    22 268 262,    11 691 618,    10 576 644,    1 753,    1 089,    664,    2 852,    1 299,    1 553,,,  16,    325 869,    145 305,  180 564,    1 606 122,    906 839,    699 283,    11 848 311,    6 792 405,    5 055 906,    8 483 355,    3 844 681,    4 638 674
  17,    23 248 535,    12 210 057,    11 038 478,    20 051,    11 940,    8 111,    17 136,    7 958,    9 178,,,  17,    630 444,    295 384,  335 060,    2 734 609,    1 588 753,    1 145 856,    11415 328,    6 562 792,    4 852 536,    8 430 967,    3 743 230,    4 687 737
  18,    23 157 135,    12 178 117,    10 979 018,    97 268,    60 144,    37 124,    85 195,    41 716,    43 479,,,  18,    748 231,    361 665,  386 566,    3 062 684,    1 812 821,    1 249 863,    10 733 675,    6 182 624,    4 551 051,    8 430 082,    3 719 147,    4 710 935
  19,    24 577 873,    12 925 977,    11 651 896,    211 522,    134 990,    76 532,    226 840,    118 718,    108 122,,,  19,    775 666,    389 752,  385 914,    3 092 941,    1 836 988,    1 255 953,    11 166 177,    6 427 132,    4 739 045,    9 104 727,    4 018 397,    5 086 330
20-24岁,    118 039 655,    62 259 869,    55 779 786,    1 559 326,    1 055 870,    503 456,    2 018 218,    1 192 989,    825 229,,,20—24岁,  3 032 819, 1 675 160,  1 357 659,    12 302 976,    7 141 754,    5 161 222,    55 713 783,    31 767 084,    23 946 699,    43 412 533,    19 427 012,    23 985 521
  20,    24 540 165,    12 779 207,    11 760 958,    295 918,    194 942,    100 976,    369 411,    204 735,    164 676,,,  20,    723 433,    378 442,    344 991,    2 836 220,    1 659 294,    1 176 926,    10 979 764,    6 245 377,    4 734 387,    9 335 419,    4 096 417,    5 239 002
  21,    25 571 676,    13 400 298,    12 171 378,    364 410,    242 469,    121 941,    467 526,    268 786,    198 740,,,  21,    674 434,    362 385,    312 049,    2 740 582,    1 577 674,    1 162 908,    11 559 379,    6 562 426,    4 996 953,    9 765 345,    4 386 558,    5 378 787
  22,    23 028 313,    12 196 594,    10 831 719,    329 171,    221 510,    107 661,    418 809,    247 280,    171 529,,,  22,    558 296,    310 428,    247 868,    2 281 932,    1 315 505,    966 427,    10 784 230,    6 168 823,    4 615 407,    8 655 875,    3 933 048,    4 722 827
  23,    21 327 086,    11322 021,    10 005 065,    268 857,    185 838,    83 019,    356 470,    219 590,    136 880,,,  23,    503 001,    289 990,    213 011,    1 982 029,    1 150 147,    831 882,    10 419 815,    5 959 985,    4 459 830,    7 796 914,    3 516 471,    4 280 443
  24,    23 572 415,    12 561 749,    11 010 666,    300 970,    211 111,    89 859,    406 002,    252 598,    153 404,,,  24,    573 655,    333 915,    239 740,    2 462 213,    1 439 134,    1 023 079,    11 970 595,    6 830 473,    5 140 122,    7 858 980,    3 494 518,    4 364 462
25-29岁,    96 982 769,    52 017 228,    44 965 541,    1 136 258,    824 698,    311 560,    2 063 737,    1 354 417,    709 320,,,25—29岁,  2 542 925,  1 493 298,  1 049 627,    19 449 450,  11 334 005,    8 115 445,    45 585 660,    26 139 759,    19 445 901,    26 204 739,    10 871 051,    15 333 688
  25,    22 937 910,    12 235 853,    10 702 057,    295 665,    212 442,    83 223,    431 881,    275 244,    156 637,,,  25,    607 226,    357 105,    250 121,    3 088 498,    1 814 472,    1 274 026,    11 656 543,    6 608 184,    5 048 359,    6 858 097,    2 968406,    3 889 691
