,,,,,,,,,,,,,,,,,,,,,,,,
表5-7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  4 429 273,  2 595 346,  1 833 927,  11 725 032,    6 636 441,    5 088 591,    26 419 231,    14 626 755,    11 792 476,    22 747 104,    11 992 380,    10 754 724
总计,    67 934 607,    37 863 330,    30 071 277,    685 397,    559 618,    125 779,    1 928 570,    1 452 790,    475 780,,,6—9岁,-,-,-,-,-,-,-,-,-,    4 087 254,    2 141 961,    1 945 293
6—9岁,    4 087 254,    2 141 961,    1 945 293,-,-,-,-,-,-,,,  6,-,-,-,-,-,-,-,-,-,    471 413,    246 472,    224 941
  6,    471 413,    246 472,    224 941,-,-,-,-,-,-,,,  7,-,-,-,-,-,-,-,-,-,    1 093 835,    572 867,    520 968
  7,    1 093 835,    572 867,    520 968,-,-,-,-,-,-,,,  8,-,-,-,-,-,-,-,-,-,    1 402 425,    735 113,    667 312
  8,    1 402 425,    735 113,    667 312,-,-,-,-,-,-,,,  9,-,-,-,-,-,-,-,-,-,    1 119 581,    587 509,    532 072
  9,    1 119 581,    587 509,    532 072,-,-,-,-,-,-,,,10—14岁,    2 112,    838,    1 274,    22 609,    12 192,    10 417,    1 917 178,    976 127,    941 051,    4 557 650,    2 403 153,    2 154 497
10-14岁,    6 499 549,    3 392 310,    3 107 239,-,-,-,-,-,-,,,  10,-,-,-,-,-,-,    1,    1,     -,    1 255 495,    659 187,    596 308
  10,    1 255 496,    659 188,    596 308,-,-,-,-,-,-,,,  11,-,-,-,-,-,-,    42 999,    21 555,21 444,    1 262 163,    661 223,    600 940
  11,    1 305 162,    682 778,    622 384,-,-,-,-,-,-,,,  12,-,-,-,-,-,-,    226 704,    113 070,    113 634,    1 051 444,    553 606,    497 838
  12,    1 278 148,    666 676,    611 472,-,-,-,-,-,-,,,  13,    169,    76,    93,    2 007,    1 123,    884,    642 956,    325 678,      317 278,    655 990,    351 046,    304 944
  13,    1 301 122,    677 923,    623 199,-,-,-,-,-,-,,,  14,    1 943,    762,    1 181,    20 602,    11 069,    9 533,    1 004 518,    515 823,    488 695,    332 558,    178 091,    154 467
  14,    1 359 621,    705 745,    653 876,-,-,-,-,-,-,,,15-19岁,    597 220,    282 488,    314 732,    2 072 813,    1 136 241,    936 572,    4 971 518,    2 512 670,    2 458 848,    990 676,    477 073,    513 603
15—19岁,    8 673 104,    4 429 292,    4 243 812,    6 302,    3 835,    2 467,    34 575,    16 985,    17 590,,,  15,    19 465,    8 106,    11 359,    120 369,    64 514,    55 855,    1 099 311,    567 849,    531 462,    202 717,    102 258,    100 459
  15,    1 441 862,    742 727,    699135,     -,    -,     -,     -,     -,      -,,,  16,    76 304,    33 907,    42 397,    327 838,    177 223,    150 615,    1 016 515,    517 911,    498 604,    174 210,      82 806,    91 404
  16,    1 595 522,    812 142,    783 380,    68,    29,    39,    587,    266,    321,,,  17,    152 490,    71 725,    80 765,    517 653,    285 015,    232 638,    941 053,    470 160,    470 893,    185 644,    87 363,    98 281
  17,    1 799 511,    915 504,    884 007,    292,    171,    121,    2 379,    1 070,    1 309,,,  18,    177 512,    85 248,    92 264,    559 389,    309 639,    249 750,    920 075,    459 940,    460 135,    200 986,    95 598,    105 388
  18,    1 868 482,    955 531,    912 951,    1 688,    988,    700,    8 832,    4 118,    4 714,,,  19,    171 449,    83 502,    87 947,    547 564,    299 850,    247 714,    994 564,    496 810,    497 754,    227 119,    109 048,    118 071
  19,    1 967 727,    1 003 388,    964 339,    4 254,    2 647,    1 607,    22 777,    11 531,    11 246,,,20—24岁,    748 649,  401 540,    347 109,    2 180 720,    1 160 871,    1 019 849,    4 994 370,    2 485 040,    2 509 330,    1 243 377,    594 570,    648 807
20—24岁,    9 632 484,    4 940 695,    4 691 789,    103 829,    75 294,    28 535,    361 539,    223 380,    138 159,,,  20,    151 292,    74 505,    76 787,    507 014,    271 895,    235 119,    1 022 451,    507 939,    514 512,    251 577,    121 195,    130 382
  20,    1 980 161,    1 002 126,    978 035,    6 571,    4 227,    2 344,    41 256,    22 365,    18 891,,,  21,    146 244,    74 317,    71 927,    485 710,    256 373,    229 337,    1 060 444,    524 045,    536 399,    272 543,    131 508,    141 035
  21,    2 039 041,    1 029 606,    1 009 435,    9 496,    6 304,    3 192,    64 604,    37 059,    27 545,,,  22,    136 642,    73 730,    62 912,    406 481,    215 967,    190 514,    967 630,    482 412,    485 218,    247 265,    118 904,    128 361
  22,    1 849 128,    947 961,    901 167,    16 889,    11 896,    4 993,    74 221,    45 052,    29 169,,,  23,    141 026,    79 424,    61 602,    356 287,    189 886,    166 401,    909 639,    453 613,    456 026,    228 792,    108 672,    120 120
  23,    1 745 341,    904 837,    840 504,    28 578,    20 943,    7 635,    81 019,    52 299,    28 720,,,  24,    173 445,    99 564,    73 881,    425 228,    226 750,    198 478,    1 034 206,    517 031,    517 175,    243 200,    114 291,    128 909
  24,    2 018 813,    1 056 165,    962 648,    42 295,    31 924,    10 371,    100 439,    66 605,    33 834,,,25—29岁,    781 930,    461 833,    320 097,    2 910 763,    1 506 753,  1 404 010,    3 882 944,    2 004 937,    1 878 007,    944 903,    415 771,    529 132
25-29岁,    9 158 373,    4 870 506,    4 287 867,    153 785,    125 305,    28 480,    484 048,    355 907,    128 141,,,  25,    190 638,    111 415,    79 223,    515 220,    273 349,    241 871,    1 031 914,    519 883,    512 031,    224 811,    103 355,    121 456
  25,    2 116 262,    1 118 201,    998 061,    43 708,    34 287,    9 421,    109 971,    75 912,    34 059,,,  26,    209 699,    122 468,    87 231,    648 069,    333 783,    314 286,    1 008 084,    511 321,    496 763,    216 235,    97 646,    118 589
  26,    2 249 358,    1 188 846,    1 060 512,    41 245,    33 409,    7 836,    126 026,    90 219,    35 807,,,  27,    205 384,    122 553,    82 831,    794 955,    406 664,    388 291,    960 204,    500 265,    459 939,        229 557,    99 665,    129 892
  27,    2 361 419,    1 261 348,    1 100 071,    38 226,    31 976,    6 250,    133 093,    100 225,    32 868,,,  28,    105 568,    63 692,    41 876,    515 648,    266 320,    249 328,    510 961,    272 526,    238 435,    150 728,    62 813,    87 915
  28,    1 372 456,    736 138,    636 318,    19 319,    16 224,    3 095,    70 232,    54 563,    15 669,,,  29,    70 641,    41 705,    28 936,    436 871,    226 637,    210 234,    371 781,    200 942,    170 839,    123 572,    52 292,    71 280
  29,    1 058 878,    565 973,    492 905,    11 287,    9 409,    1 878,    44 726,    34 988,    9 738,,,30-34岁,    498 076,    296 262,    201 814,    2 272 258,    1 249 990,    1 022 268,    2 625 210,    1 474 888,    1 150 322,    1 292 642,    560 941,    731 701
30—34岁,    7 002 128,    3 835 205,    3 166 923,    50 394,    42 256,    8 138,    263 548,    210 868,    52 680,,,  30,    82 631,    50 008,    32 623,    521 554,    276 937,    244 617,    455 183,    252 827,    202 356,    178 559,    77 963,    100 596
  30,    1 295 321,    704 350,    590 971,    10 306,    8 668,    1 638,    47 088,    37 947,    9 141,,,  31,    82 593,    50 217,    32 376,    460 604,    249 516,    211 088,    455 825,    256 053,    199 772,    203 124,    89 244,    113 880
  31,    1 253 601,    687 423,    566 178,    8 021,    6 761,    1 260,    43 434,    35 632,    7 802,,,  32,    111 876,    67 372,    44 504,    523 334,    287 088,    236 246,    602 583,    340 438,    262 145,    289 460,    126 271,    163 189
  32,    1 596 424,    877 732,    718 692,    10 924,    9 323,    1 601,    58 247,    47 240,    11 007,,,  33,    111 516,    66 114,    45 402,    421 454,    235 502,    185 952,    563 092,    315 729,    247 363,    297 334,    127 119,    170 215
  33,    1 462 390,    799 813,    662 577,    10 958,    9 153,    1 805,    58 036,    46 196,    11 840,,,  34,    109 460,    62 551,    46 909,    345 312,    200 947,    144 365,      548 527,    309 841,    238 686,    324 165,    140 344,    183 821
  34,    1 394 392,    765 887,    628 505,    10 185,    8 351,    1 834,    56 743,    43 853,    12 890,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
35—39岁,    6 572 701,    3 678 370,    2 894 331,    38 729,    30 781,    7 948,    250 174,    191 968,    58 206,,,35—39岁,    476 175,    267 457,    208 718,    903 591,    568 677,    334 914,    2 805 536,    1 641 215,    1 164 321,    2 098 496,    978 272,    1 120 224
  35,    1 500 655,    830 768,    669 887,    9 893,    7 989,    1 904,    59 958,    45 693,    14 265,,,  35,    119 025,    66 337,    52 688,    302 090,    183 401,    118 689,    610 012,    349 037,    260 975,    399 677,    178 311,    221 366
  36,    1 419 693,    786 870,    632 823,    8 200,    6 542,    1 658,    54 324,    41 059,    13 265,,,  36,    109 645,    60 586,    49 059,    223 373,    138 602,    84 771,    595 289,    343 813,    251 476,    428 862,    196 268,    232 594
  37,    1 302 665,        729 757,    572 908,    7 135,    5 626,    1 509,    47 385,    36 397,    10 988,,,  37,    94 387,    52 648,    41 739,    156 696,    100 105,    56 591,    562 208,    330 046,    232 162,    434 854,    204 935,    229 919
  38,    1 251 176,    705 843,    545 333,    6 806,    5 287,    1 519,    46 019,    35 609,    10 410,,,  38,    84 436,    47 835,    36 601,    122 291,    80 201,    42 090,    554 852,    328 926,    225 926,    436 772,    207 985,    228 787
  39,    1 098 512,    625 132,    473 380,    6 695,    5 337,    1 358,    42 488,    33 210,    9 278,,,  39,    68 682,    40 051,    28 631,    99 141,    66 368,    32 773,    483 175,    289 393,    193 782,    398 331,    190 773,    207 558
40-44岁,    4 880 298,    2 866 438,    2 013 860,    62 801,    50 844,    11 957,    187 663,    153 781,    33 882,,,40-44岁,    385 576,    240 146,    145 430,    447 623,    302 709,    144 914,    1 824 823,    1 113 308,    711 515,    1 971 812,1 005 650,    966 162
  40,    1 186 970,    687 995,    498 975,    7 971,    6 447,    1 524,    48 801,    39 214,    9 587,,,  40,    77 490,    47 174,    30 316,    110 170,    74 383,    35 787,    485 921,    294 783,    191 138,    456 617,    225 994,    230 623
  41,    992 909,    574 548,    418 361,    7 750,    6 516,    1 234,    41 063,    33 316,    7 747,,,  41,    79 887,    48 877,    31 010,    95 972,    64 082,    31 890,    360 629,    217 569,    143 060,    407 608,    204 188,    203 420
  42,    937 235,    548 669,    388 566,    8 760,    7 416,    1 344,    37 791,    31 194,    6 597,,,  42,    83 714,    52 416,    31 298,    89 145,    60 292,    28 853,    323 326,    196 222,    127 104,    394 499,    201 129,    193 370
  43,    922 615,    550 442,    372 173,    14 951,    11 961,    2 990,    32 719,    27 300,    5 419,,,  43,    79 284,    50 223,    29 061,    81 538,    55 531,    26 007,    332 738,    205 203,    127 535,    381 385,    200 224,    181 161
  44,    840 569,    504 784,    335 785,    23 369,    18 504,    4 865,    27 289,    22 757,    4 532,,,  44,    65 201,    41 456,    23 745,    70 798,    48 421,    22 377,    322 209,    199 531,    122 678,    331 703,    174 115,    157 588
45-49岁,    3 618 363,    2 179 817,    1 438 546,    101 609,    83 725,    17 884,    112 056,    93 110,    18 946,,,45—49岁,    357 153,    223 493,    133 660,    353 150,    243 675,    109 475,    1 269 208,    781 021,    488 187,    1 425 187,    754 793,    670 394
  45,    784 852,    472 813,    312 039,    23 698,    19 236,    4 462,    23 441,    19 513,    3 928,,,  45,    59 924,    37 186,    22 738,    68 680,    46 884,    21 796,    304 078,    187 998,    116 080,    305 031,    161 996,    143 035
  46,    731 565,    440 233,    291 332,    20 927,    17 338,    3 589,    21 167,    17 680,    3 487,,,  46,    64 506,    39 559,    24 947,    72 092,      49 454,    22 638,    271 701,    166 399,    105 302,    281 172,    149 803,    131 369
  47,    703 615,    420 369,    283 246,    18 426,    15 263,    3 163,    21 312,    17 640,    3 672,,,  47,    74 366,    45 795,    28 571,    76 277,    52 332,    23 945,    245 428,    148 495,    96 933,    267 806,    140 844,    126 962
  48,    699 218,    418 147,    281 071,    18 530,    15 263,    3 267,    21 924,    18 092,    3 832,,,  48,    78 234,    49 171,    29 063,    71 293,    49 379,    21 914,    230 075,    140 192,    89 883,    279 162,    146 050,    133 112
  49,    699 113,    428 255,    270 858,    20 028,    16 625,    3 403,    24 212,    20 185,    4 027,,,  49,    80 123,    51 782,    28 341,    64 808,    45 626,    19 182,    217 926,    137 937,    79 989,    292 016,    156 100,    135 916
50-54岁,    3 022 132,    1 926 216,    1 095 916,    98 842,    84 940,    13 902,    120 921,    103 102,    17 819,,,50-54岁,    341 449,    240 688,  100 761,    213 655,    159 657,    53 998,    844 260,    572 680,    271 580,    1 403 005,    765 149,    637 856
  50,    666 304,    412 438,    253 866,    21 947,    18 365,    3 582,    25 417,    21 172,    4 245,,,  50,    75 965,    50 340,    25 625,    53 956,    38 338,    15 618,    195 763,    125 991,    69 772,    293 256,    158 232,    135 024
  51,    623 975,    388 972,    235 003,    22 397,    19 047,    3 350,    25 742,    21 590,    4 152,,,  51,    72 705,    49 717,    22 988,    45 265,    32 999,    12 266,    173 069,    113 480,    59 589,    284 797,    152 139,    132 658
  52,    614 959,    393 580,    221 379,    21 679,    18 782,    2 897,    25 427,    21 809,    3 618,,,  52,    71 266,    51 195,    20 071,    41 765,    31 395,    10 370,    167 339,    113 654,    53 685,    287 483,    156 745,    130 738
  53,    576 198,    374 677,    201 521,    18 433,    16 128,    2 305,    23 571,    20 369,    3 202,,,  53,    65 102,    47 720,    17 382,    37 609,    29 152,    8 457,    157 195,    110 465,    46 730,    274 288,    150 843,    123 445
  54,    540 696,    356 549,    184 147,    14 386,    12 618,    1 768,    20 764,    18 162,    2 602,,,  54,    56 411,    41 716,    14 695,    35 060,    27 773,    7 287,    150 894,    109 090,    41 804,    263 181,    147 190,    115 991
55—59岁,    2 118 596,    1 526 027,    592 569,    35 016,    31 414,    3 602,    62 872,    56 495,    6 377,,,55—59岁,    157 022,    119 976,    37 046,    159 090,    133 798,    25 292,    643 166,    517 748,    125 418,    1 061 430,    666 596,    394 834
  55,    487 658,    329 458,    158 200,    10 519,    9 337,    1 182,    17 164,    15 076,    2 088,,,  55,    45 583,    34 342,    11 241,    33 051,    26 855,    6 196,    141 891,    106 723,    35 168,    239 450,    137 125,    102 325
  56,    473 222,    333 964,    139 258,    8 114,    7 241,    873,    14 544,    13 021,    1 523,,,  56,    38 326,    29 288,    9 038,    33 657,    28 060,    5 597,    144 697,    114 028,    30 669,    233 884,    142 326,    91 558
  57,    431 202,    313 662,    117 540,    6 515,    5 865,    650,    12 128,    11 011,    1 117,,,  57,    30 465,    23 373,    7 092,    32 163,    27 216,    4 947,    132 599,    108 302,    24 297,    217 332,    137 895,    79 437
  58,    373 177,    279 212,    93 965,    5 204,    4 724,    480,    10 033,    9 130,    903,,,  58,    23 246,    18 049,    5 197,    30 102,    25 755,    4 347,    1 15 696,    96 732,    18 964,    188 896,    124 822,    64 074
  59,    353 337,    269 731,    83 606,    4 664,    4 247,    417,    9 003,    8 257,    746,,,  59,    19 402,    14 924,    4 478,    30 117,    25 912,    4 205,    108 283,    91 963,    16 320,    181 868,    124 428,    57 440
60—64岁,    1 285 006,    991 215,    293 791,    17 297,    15 789,    1 508,    29 589,    27 282,    2 307,,,60—64岁,    52 927,    39 190,    13 737,    107 516,    92 777,    14 739,    356 196,    304 676,    51 520,    721 481,    511 501,    209 980
  60,    327 631,    250 985,    76 646,    4 401,    3 981,    420,    7 843,    7 216,    627,,,  60,    15 844,    11 942,    3 902,    28 110,    24 181,    3 929,    97 139,    82 990,    14 149,    174 294,    120 675,    53 619
  61,    271 406,    208 108,63 298,    3 527,    3 197,    330,    6 506,    5 980,    526,,,  61,    11 746,    8 656,    3 090,    23 241,    20 041,    3 200,    76 973,    65 670,    1 1 303,    149 413,    104 564,    44 849
  62,    264 765,    204 605,    60 160,    3 542,    3 227,    315,    6 125,    5 673,    452,,,  62,    10 552,    7 810,    2 742,    22 528,    19 580,    2 948,    72 092,    61 849,    10 243,    149 926,    106 466,    43 460
  63,    221 953,    172 256,    49 697,    3 072,    2 850,    222,    4 911,    4 517,    394,,,  63,    8 132,    5 946,    2 186,    18 113,    15 590,    2 523,    58 829,    50 360,    8 469,    128 896,    92 993,    35 903
  64,    199 251,    155 261,    43 990,    2 755,    2 534,    221,    4 204,    3 896,    308,,,  64,    6 653,    4 836,    1 817,    15 524,    13 385,    2 139,    51 163,    43 807,    7 356,    118 952,    86 803,    32 149
65岁及以上,    1 384 619,    1 085 278,    299 341,    16 793,    15 435,    1 358,    21 585,    19 912,    1 673,,,65岁及以上,    30 984,    21 435,    9 549,    81 244,    69 101,    12 143,        284 822,    242 445,    42 377,    949 191,    716 950,    232 241
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5—7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续02),,,,,,,,,,,,表5—7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续12),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
在校,    14 548 475,    7 679 381,    6 869 094,    28 544,    19 034,    9 510,    135 068,    80 411,    54 657,,,在校,    694 050,    350 608,    343 442,    1 581 279,    878 613,    702 666,    3 654 191,    1 886 282,    1 767 909,    8 455 343,    4 464 433,    3 990 910
6—9岁,    4 081 555,    2 138 967,    1 942 588,-,-,-,-,-,-,,,6—9岁,-,-,-,-,-,-,-,-,-,    4 081 555,    2 138 967,    1 942 588
