表5—8 全国县6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  3 999 750,  2 921 656,  1 078 094,    32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
,,,,,,,,,,,,6—9岁,-,-,-,-,-,-,-,-,-,    46 862 782,    25 032 502,    21 830 280
总计,    552 728 577,    315 333 796,    237 394 781,    241 325,    206 371,    34 954,    1 126 991,    914 912,    212 079,,,  6,-,-,-,-,-,-,-,-,-,    6 562 534,    3 553 574,    3 008 960
6—9岁,    46 862 782,    25 032 502,    21 830 280,-,-,-,-,-,-,,,  7,-,-,-,-,-,-,-,-,-,    11 611 467,    6 260 584,    5 350 883
  6,    6 562 534,    3 553 574,    3 008 960,-,-,-,-,-,-,,,  8,-,-,-,-,-,-,-,-,-,    15 299 107,    8 137 178,    7 161 929
  7,    11 611 467,    6 260 584,    5 350 883,-,-,-,-,-,-,,,  9,-,-,-,-,-,-,-,-,-,    13 389 674,    7 081 166,    6 308 508
  8,    15 299 107,    8 137 178,    7 161 929,-,-,-,-,-,-,,,10-14岁,    1 333,    622,    711,    35 883,    22 309,    13 574,      9 901 692,    5 631 850,    4 269 842,    62 528 307,    32 573 514,    29 954 793
  9,    13 389 674,    7 081 166,    6 308 508,-,-,-,-,-,-,,,  10,-,-,-,-,-,-,-,-,-,    14 346 190,    7 572 494,    6 773 696
10—14岁,    72 467 215,    38 228 295,    34 238 920,-,-,-,-,-,-,,,  11,-,-,-,-,-,-,    174 536,    101 418,    73 118,    14 227 355,    7 483 627,    6 743 728
  10,    14 346 190,    7 572 494,    6 773 696,-,-,-,-,-,-,,,  12,-,-,-,-,-,-,    899 610,    509 433,    390 177,    13 115 054,    6 875 639,    6 239 415
