表6—10 全国市分年龄、性别、行业门类的人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,表6-10全国市分年龄、性别、行业门类 的人口数(第二口径)(续04),,,,,,,,,,,,,,,表6-10全国市分年龄、性别、行业门类的人口数(第二口径)(续06),,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅲ、地质普查和勘探业,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口,,,    占15岁以上人口％,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,,,    年龄别,,,,,,,,,,    物资供销和仓储业,,,,,,    Ⅶ、房地产管理、公用事业,,,,,,    Ⅸ、教育、文化艺,,,    Ⅹ、科学研究和综,,,,,,Ⅺ、金融、保险业,,,    Ⅻ、国家机关、政党,,,,,
    年龄别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    居民服务和咨询服务业,,,    Ⅷ、卫生、体育和社会福利事业,,,    术和广播电视事业,,,    合技术服务事业,,,,,  年龄别,,,,    机关和和社会团体,,,ⅩⅢ、其他行业,,
,  合计,    男,    女,  合计,    男,    女,小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,    年龄别,,,,,,,,,,,,,,,,小计,  男,  女,  小计,    男,    女,小计,  男,  女
总计,  120 600 175,    67 711 003,    52 889 172,    72.97,    79.14,    66.35,    31 576407,    16 054 587,    15 521 820,    45 285 919,    25 266 375,    20019 544,,,总计,    498 255,    370 846,    127409,    6 658426,    5 209 915,    1 448 511,    5 649 343,    4 342 912,    1 306 431,    11 283 984,    5476226,    5 807 758,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,  890201,  470 628,  419 573,  5 817 521,  4 164 655, 1 652 866,    73 477,  50 602,  22 875
15—19岁,    8 652 576,    4 396 329,    4256 247,    43.08,    42.33,    43.89,    3 616030,    1 812 177,    1 803 853,    3 044 594,    1 412 961,    1 631 633,,,15-19岁,    10 990,    8 109,    2 881,    378044,    326 336,    51 708,    203 153,    156 900,    46 253,    587 153,    255 933,    331 220,,,总计,    3 857 997,    1 974 416,    1 883 581,    2 364 974,    881 131,    1 483 843,    5410452,    2 677008,    2 733444,    1 233 219,    771 702,    461 517,,,15-19岁,  44 714,    17 193,    27 521,    261 533,    217 169,  44 364,    7 249,    5 477,    1 772
  15,    485 364,    222 104,    263 260,    15.69,    13.99,    17.49,    371 156,    168 878,    202 278,    69 783,    28426,    41 357,,,  15,    96,    73,    23,    8 382,    7 424,    958,    3 364,    2 785,    579,    17 332,    8 184,    9 148,,,15—19岁,    288401,    110467,    177 934,    70 689,    18 882,    51 807,    122 130,    45 145,    76 985,    17 896,    9 580,    8 316,,,  15,    279,    98,    181,    2 227,    1 691,    536,    153,    107,    46
  16,    963 229,    470 308,    492921,    27.68,    26.50,    28.91,    586 104,    287 333,    298 771,    236 646,    102 119,    134 527,,,  16,    494,    374,      120,    29253,    25907,    3 346,    12 609,    10 136,    2 473,    49 565,    22458,    27 107,,,  15,    8 857,    2 765,    6 092,    1 515,    636,    879,    2 050,    928,    1 122,    170,    109,    61,,,  16,    1 633,    627,    1 006,    10014,    7 619,    2 395,    485,    325,    160
  17,    1 686 962,    850 913,    836049,    40.98,    40.35,    41.65,    790 084,    399 811,    390 273,    556 133,    248 577,    307 556,,,  17,    1 572,    1 205,    367,    69 289,    60 772,    8 517,    32476,    25 504,    6 972,    109017,    47 921,    61 096,,,  16,    25089,    8 555,    16 534,    3 943,    1 475,    2 468,    6 562,    2 917,    3 645,    832,    463,    369,,,  17,    5 368,    1 985,    3 383,    39407,    32 692,    6 715,    1 183,    884,    299
  18,    2 361 734,    1 216 245,    1 145 489,    53.10,    52.66,    53.58,    879 578,    450 620,    428 958,    894 122,    413 682,    480440,,,  18,    3 251,    2 383,    868,    111 611,    96 593,    15018,    59066,    45 725,    13 341,    169060,    73016,    96 044,,,  17,    53 968,    19 728,    34 240,    9 254,    3 284,    5 970,    16 664,    7 140,    9 524,    2 547,    1 410,    1 137,,,  18,    12 748,    4 786,    7 962,    87 639,    74 347,    13 292,    2 283,    1 743,    540
  19,    3 155 287,    1 636 759,    1 518 528,    63.78,    62.83,    64.83,    989 108,    505 535,    483 573,    1 287 910,    620 157,    667 753,,,  19,    5 577,    4074,    1 503,    159 509,    135640,    23 869,    95 638,    72 750,    22 888,    242 179,    104 354,    137 825,,,  18,    83 325,    32 199,    51 126,    19 508,    5 321,    14 187,    34 281,    12 951,    21 330,    5 262,    2 879,    2 383,,,  19,    24686,    9 697,    14 989,    122 246,    100 820,    21 426,    3 145,    2 418,    727
20-24岁,    19 248 081,    10246098,    9 001 983,    80.77,    81．00,    80.51,    5 171 215,    2 536436,    2 634 779,    7 858 733,    4 098 167,    3 760 566,,,20—24岁,    62 591,    45435,    17 156,    1 112 765,    907 154,    205 611,    803 661,    611 208,    192453,    1 629 331,    737 950,    891 381,,,  19,    117 162,    47 220,    69 942,    36469,    8 166,    28 303,    62 573,    21 209,    41 364,    9 085,    4 719,    4 366,,,20—24岁,  204 653,    93 270,  111 383,    693 365,    484 557,    208 808,  18 300,  14477,    3 823
  20,    3 623 647,    1 887 679,    1 735 968,    71.23,    69.83,    72.82,    1 000 911,    500 227,    500 684,    1 533 129,    762 828,    770 301,,,  20,    8 219,    5 904,    2 315,    197 991,    166 191,    31 800,    128 315,    96 864,    31 451,    294 007,    127 576,    166431,,,20—24岁,    667 320,    308 280,    359 040,    267 347,    76 528,    190 819,    633 291,    260439,    372 852,    125 509,    72 197,    53 312,,,  20,    34 387,    13 677,    20 710,    132 682,    103 010,    29 672,    4 175,    3 345,    830
  21,    4 119 702,    2 154 913,    1 964 789,    76.57,    75.37,    77.93,    1 083 419,    535 302,    548 117,    1 744 752,    887231,    857 521,,,  21,    11 610,    8 327,    3 283,    231 872,190626,    41 246,    160635,    121 261,    39 374,    348 630,    153 003,    195 627,,,  20,    139 565,    59 554,    80 011,    48 535,    10 625,    37910,    88 156,    30 877,    57 279,    13 575,    7 001,    6 574,,,  21,    42 727,    18 052,    24 675,    139 922,    99 910,    40012,    4 910,    3 936,    974
  22,    3 816 375,    2034054,    1 782 321,    81.71,    81.69,    81.73,    1 004 897,    495414,    509483,    1 573 125,    824 751,    748 374,,,  22,    12 887,    9 374,    3 513,    223 715,    182 649,    41 066,    159 333,    121 057,    38 276,    327 343,    148 757,    178 586,,,  21,    156 162,    69683,    86479,    56 242,    13 752,    42 490,    118 683,    43 256,    75427,    20 138,    10 574,    9 564,,,  22,    43 073,    19 594,    23 479,    130255,    87 716,    42 539,    3 782,    3 030,    752
  23,    3 498 897,    1 893 186,    1 605 711,    86.88,    88.59,    84.94,    967 354,    468 286,    499068,    1 375 599,    740 339,    635 260,,,  23,    13 307,    9 713,    3 594,    210 857,    170 917,    39 940,    155 791,    119 630,    36 161,    294 377,    137 666,    156 711,,,  22,    135 188,    62 892,    72 296,    50 245,    14 187,    36058,    127 601,    50 737,    76 864,    24931,    13 896,    11 035,,,  23,    38 474,    18 630,    19 844,    125 806,    83 874,    41 932,    2 777,    2 148,    629
  24,    4 189 460,    2 276266,    1 913 194,    89.80,    92.52,    86.77,    1 114 634,    537207,    577427,    1 632 128,    883018,    749 110,,,  24,    16 568,    12 117,    4 451,    248 330,    196 771,    51 559,    199 587,    152 396,    47 191,    364 974,        170 948,    194026,,,  23,    109 568,    53 279,    56 289,    47 317,    15 186,    32 131,    130 243,    57 134,    73 109,    27427,    16 384,    11 043,,,  24,    45 992,    23 317,    22 675,    164 700,    110047,    54 653,    2 656,    2 018,    638
25—29岁,    21 354 803,    11 533 294,    9 821 509,    92.60,    95.31,    89.60,    4 657 721,    2 229 088,    2428 633,    8 616 072,    4 588 361,    4027 711,,,25—29岁,    91 921,    64263,    27 658,    1 232 429,    925 539,306 890,    1 136 412,    842 936,    293 476,    2 185 201,    1 020 279,    1 164 922,,,  24,    126 837,    62 872,    63 965,    65 008,    22 778,    42 230,    168 608,    78 435,    90 173,    39438,    24 342,    15096,,,25—29岁,  228 675, 117 700,  110 975,    947 790,    644 532,    303258,    10 885,    7 125,    3 760
  25,    4480 568,    2446017,    2034 551,    91.26,    94.27,    87.88,    1 094 990,    525 936,    569054,    1 759 434,    954 675,    804 759,,,  25,    18 769,    13 475,    5 294,    265 142,    205 409,    59733,    228 945,    173 488,    55457,    417 234,    195 508,    221 726,,,25—29岁,    689 114,    355 109,    334005,    423 938,    148 387,    275 551,    904 522,    447 715,    456 807,    230 123,    142 260,    87 863,,,  25,    46 992,    24 608,    22 384,    192 196,    130 192,  62 004,    2 537,    1 830,    707
  26,    5 222036,    2 816 226,    2405 810,    92.42,    95.06,    89.52,    1 121 354,    535 978,    585 376,    2 121 083,    1 131 244,    989 839,,,  26,    22 506,    15 674,    6 832,    301 488,    225 768,    75 720,    278 227,    205 410,    72 817,    523 517,    242 114,    281 403,,,  25,    135 111,      68 490,    66 621,    81 145,    29 342,    51 803,    191 642,    93 551,    98 091,    46431,    29 513,    16 918,,,  26,    57 331,    29 582,    27 749,    234 672,    157 966,  76 706,    2 570,    1 685,    885
  27,    5 613 708,    3 035285,    2 578423,    93.02,    95.71,    90.04,    1 230 214,    590 223,    639 991,2 260400,    1 203 595,    1 056 505,,,  27,    24 160,    16 970,    7 190,    320015,    239 960,    80055,    299295,    221 506,    77 789,    577 699,    270070,    307 629,,,  26,    168 015,    85 851,    82 164,    106 234,    36 996,    69 238,    226 664,    111 572,    115092,    58 375,    36 386,    21 989,,,  27,    61 786,    31 856,    29 930,    249 607,    170 362,  79 245,    2 808,    1 769,    1 039
  28,    3 163 596,    1 707 750,    1 455 846,    93.03,    95.79,    89.99,    700 751,    334 953,    365 798,    1 237 750,      656 477,    581 273,,,  28,    14208,    9 904,    4 304,    178054,    134 123,    43 931,    168 086,    124 761,    43 325,    344999,    163 707,    181 292,,,  27,    177 129,    92 077,    85052,    113471,    40 171,    73 300,    237091,    119 195,    117 896,    60 333,    37 531,    22 802,,,  28,    34 844,    17 767,    17 077,    144 839,    99 528,  45 311,    1 577,    980,    597
  29,    2 874 895,    1 528 016,    1 346 879,    93.75,    96.18,    91.13,    510412,    241 998,    268414,    1 237 705,    642 370,    595 335,,,  29,    12278,    8 240,    4 038,    167 730,    120 279,    47451,    161 859,    117 771,    44088,    321 752,    148 880,    172 872,,,  28,    104472,    54 724,    49 748,    65 096,    22 539,    42 557,    134 653,    67 562,    67091,    34 267,    20 725,    13 542,,,  29,    27 722,    13 887,    13 835,    126476,    86 484,  39 992,    1 393,    861,    532
30—34岁,    18 984020,    10 159475,    8 824 545,    94.78,    97.30,    92.05,    3 952 265,    1 903 599,    2048 666,    7 674 883,    4 031 709,    3 643 174,,,30-34岁,    82 838,    54 832,    28 006,  1 166 003,      843 070,    322933,    1 068 325,    777 312,    291 013,    2 106 083,    972408,    1 133 675,,,  29,    104 387,    53 967,    50420,    57 992,    19 339,    38 653,    114472,    55 835,    58 637,    30 717,    18 105,    12 612,,,30-34岁,  139446,    73 594,    65 852,    819 140,    563 795,    255 345,    9 022,    5 252,    3 770
  30,    3 530 556,    1 898 435,    1 632 121,    94.22,    96.75,91.43,    678 270,    328 935,    349 335,    1 492 517,    782 328,    710 189,,,  30,    15090,    9 982,    5 108,    215 980,    156603,    59 377,    199423,    145 611,    53 812,    395 279,    184 803,    210476,,,30-34岁,    686 758,    353 419,    333 339,    374 343,    127030,    247 313,    732 795,    355 057,    377 738,    172 119,    98 398,    73 721,,,  30,    29 299,    15067,    14 232,    147 367,    101 716,    45 651,    1 642,    972,    670
  31,    3 361 465,    1 812 004,    1 549 461,    94.54,    97.10,    91.70,    680439,    331 249,    349 190,    1 389 999,    732 245,    657 754,,,  31,    14 719,    9 654,    5 065,    210431,    153 511,    56920,    191 624,    139 817,    51 807,    378 418,    176 624,    201 794,,,  30,    128 722,    67412,    61 310,    65 453,    22402,    43 051,    128 791,    63 475,    65 316,    32 723,    19 129,    13 594,,,  31,    25443,    13 193,    12 250,    136 997,    94 862,    42 135,    1 537,    912,    625
