表6—11 全国镇分年龄、性别、行业门类的人口数(第二口径),,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,    占15岁以上人口％,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,小计,    男,    女,    小计,    男,    女
总计,    45 791 797,    27058094,    18 733 703,    70.71,    79.00,    61.41,    7 610609,    4 186 774,    3 423 835,    16 169 129,    9 155 221,    7013 908
15-19岁,    3 242 544,    1 596 083,    1 646 461,    36.96,    35.71,    38.26,    793 837,    421 998,    371 839,    1 430 184,    623 730,    806454
  15,    153 480,    69 748,    83 732,    10.53,    9.32,    11.82,    77 671,    38 261,    39410,    43 136,    16086,    27050
  16,    338 232,    158 750,    179482,    20.97,    19.39,    22.61,    125 580,    65 217,    60 363,    126 842,    50 324,    76 518
  17,    626045,    303 617,    322428,    34.41,    32.87,    35.99,    171 890,    92 002,    79 888,    272 810,    114 701,    158 109
  18,    908443,    452056,    456 387,    48.04,    46.85,    49.28,    197088,    106 632,    90456,    416 576,    182 559,    234017
  19,    1 216 344,    611 912,    604432,    61.04,    60.35,    61.74,    221 608,    119 886,    101 722,    570 820,    260060,    310 760
20-24岁,    7972021,    4 216410,    3 755 611,    81.39,    84.34,    78.31,    1 246 320,    650 878,    595442,    3 373 993,    1 679 564,    1 694 429
  20,    1 445 818,    731 531,    714287,    71.98,    72.18,    71.78,    234 347,    124214,    110 133,    669609,    313 922,    355 687
  21,    1 642 677,    841 975,    800 702,    79.35,    80.84,    77.85,    254 864,    133 799,    121 065,    737071,    355080,    381 991
  22,    1 562 925,    826 754,    736 171,    83.08,    86.16,    79.88,    242 348,    127 143,    115 205,    669 787,    335 529,    334258
  23,    1 523 071,    825 865,    697 206,    85.65,    90.14,    80.87,    239 934,    123 928,    116006,    611 023,    314 721,    296 302
  24,    1 797 530,    990 285,    807245,    87.39,    92.67,    81.68,    274 827,    141 794,    133 033,    686 503,      360 312,    326 191
25—29岁,    8 381 768,    4 691 232,    3 690 536,    89.53,    95.26,83.16,    1 175 000,    598 762,    576238,    2 961 023,    1 592 161,    1 368 862
  25,    1 908 418,    1 063 434,    844984,    88.53,    94.10,    82.39,    272031,    140 125,    131 906,    705 315,    374 964,    330 351
  26,    2 051 718,    1 140 600,    911 118,    89.54,    94.99,    83.53,    278 969,    142 620,    136 349,    735 960,    392445,    343 515
  27,    2 169 682,    1 219 204,    950478,    89.96,    95.68,    83.55,      308 816,    157411,    151 405,    751 212,    406207,    345005
  28,    1 265 971,    714 841,    551 130,    89.70,    95.90,    82.75,    183 193,    91 644,    91 549,    425 901,    232 310,    193 591
  29,    985979,    553 153,    432 826,    90.31,    96.38,    83.59,    131 991,    66 962,    65029,    342635,    186235,    156400
