,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数,,,,,,,,,,,,,,,表6-13全国按行业门、大、中类．分性别、文化程度的人口数(续10),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  647 244 706,  356 230 253,  291 014 453,    4 301 484,  3 172 800,  1 128 684,  7 818 309,  5 441 204,  2 377 105,  13 424 418,  8 115 344, 5 309 074,,,总计,58 241 590, 36 633 801, 21 607 789,  209 138 649, 131 356 343,  77 782 306,  244 833 796,  131 664 260,  113 169 536,  109 486 460,    39 846 501,  69 639 959
农、林、牧、渔、水利业,  467 593 223,  246 146 862,  221 446 361,    65 594,    54 678,    10 916,    168 671,  140 150,    28 521,    705 654,    570 218,  135 436,,,农、林、牧，渔、水利业, 20 083 533, 14 343 433, 5 740 100,  131 644 591,  84 075 188,  47 569 403,  210 894 113,  109 908 423,  100 985 690,  104 031 067,    37 054 772,  66 976 295
  农业,  458 158 168,  239 750 952,  218 407 216,    13 972,    12 335,    1 637,    76 042,    64 142,    11 900,    382 092,    309 754,    72 338,,,  农业, 19 241 084, 13 723 848, 5 517 236,  128 786 908,  81 973 170,  46 813 738,  207 436 635,  107 538 369,    99 898 266,  102 221 435,    36 129 334,  66 092 101
    种植业,  457 974 867,  239 623 993,  218 350 874,    13 801,    12 195,    1 606,    75 551,    63 733,    11 818,    380 347,    308 384,    71 963,,,    种植业, 19 222 810, 13 710 553, 5 512 257,  128 704 605,  81 914 305,  46 790 300,  207 369 327,  107 492 996,    99 876 331,  102 208 426,    36 121 827,  66 086 599
    其他农业,    183 301,    126 959,    56 342,    171,    140,    31,    491,    409,    82,    1 745,    1 370,    375,,,    其他农业,    18 274,    13 295,    4 979,    82 303,    58 865,    23 438,    67 308,    45 373,    21 935,    13 009,    7 507,    5 502
  林业,    1 923 440,    1 230 423,    693 017,    4 640,    3 975,    665,    14 624,    12 381,    2 243,    47 385,    37 127,    10 258,,,  林业,  223 844,  152 430,    71 414,    711 343,    475 435,    235 908,    678 445,    428 019,    250 426,    243 159,    121 056,    122 103
    林业,    1 923 440,    1 230 423,    693 017,    4 640,    3 975,    665,    14 624,    12 381,    2 243,    47 385,    37 127,    10 258,,,    林业,  223 844,  152 430,    71 414,    711 343,    475 435,    235 908,    678 445,    428 019,    250 426,    243 159,    121 056,    122 103
  畜牧业,    3 204 832,    1 708 501,    1 496 331,    4 385,    3 696,    689,    7 890,    6 399,    1 491,    22 477,    17 238,    5 239,,,  畜牧业,  146 398,    89 331,    57 067,    680 112,    402 513,    277 599,    1 247 345,    677 836,    569 509,    1 096 225,    511 488,    584 737
