表6—15 省、自治区、直辖市的市按职业大、中类分的人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6—15省、自治区、直辖市的市按职业大、中类分的人口数(第二口径)(续01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表6—15省、自治区、直辖市的市按职业大、中类分的人口数(第二口径)(续03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表6—15省、自治区、直辖市的市按职业大、中类分的人口数(第二口径)(续05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表6—15省、自治区、直辖市的市按职业大、中类分的人口数(第二口径)(续07),,,,,,,,,,,,,,,,,,表6—15省、自治区、直辖市的市按职业大、中类分的人口数(第二口径)(续08),,,,,,,,,,,,,,,,,,表6—15省、自治区、直辖市的市按职业大、中类分的人口数(第二口径)(续09),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表6-15省、自治区、直辖市的市按职业大、中类分的人口数(第二口径)(续11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表6—15省、自治区、直辖市的市按职业大、中类分的人口数(第二口径)(续13),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    七、法律工作人员,,,    八、教学人员,,,    九、文艺、体育,,,    十、文化工作人员,,,    十一、宗教职业者,,,,,,,,,,,,,,,,,,,,,,,,    一、行政办事人员,,,    二、政治、保卫工作人员,,,    三、邮电工作人员,,,    四、其他办事人员,,,,,,,,,,,,,,,,,,,,,,,,,,,    Ⅴ、服务性工作人员,,,    一、服务员,,,    二、厨师和炊事员,,,    三、导游员,,,    四、生活日用品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    六、纺织、针织、,,,    七、皮革、皮毛制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    十六、机器装配工,,,    十七、电气设备安装工,,,    十八、广播电台录音设备,,,    十九、管工、焊工、冷,,,    二十、玻璃、陶瓷,,,,,,,,,,,,,,,,,,,,,,
,    在业人口总数,,,    Ⅰ、各类 专业、技术人员,,,    一、科学研究人员,,,    二、工程技术人员 和农、林技术人员,,,,,,    三、科学技术管理,,,,,,,,,,,,,,    地区别,,,,,,,    工作人员,,,,,,,,,,,,    Ⅱ、国家机关党群组织,,,    一、国家机关及其,,,    二、党群组织负责人,,,          三、 企．事业．各级组织 及工作机构专职负责人,,,    Ⅲ、办事人员和,,,,,    地区别,,,,,,,,,,      和有关人员,,,    Ⅳ、商业工作人员,,,,,,    一、售货人员,,,    二、采购员和供销人员,,,    三、收购人员,,,    四、经纪人和有关人员,,,    五、其他商业工作人员,,,,,    地区别,,,,,,,,,,,,,    修理人员,,,,,,    五、其他服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    一、农业劳动者,,,    二、林业劳动者,,,    三、牧业劳动者,,,,,,    四、渔业劳动者,,,    五、狩猎业劳动者,,,    六、农业机械操作人员,,,    七、其他农、林、牧、,,,    Ⅶ、生产工人、运输,,,,,,    一、工段长,,,    二、采矿、采石、勘,,,,,,,,,    五、橡胶和塑料制品,,,,,,    印染工人,,,    造及制品制作工人,,,    八、裁剪缝纫工人,,,    九、食品饮料制造工人,,,    十、制烟工人,,,,,,    十一、木加工和木．竹．麻,,,    十二、造纸和纸制品,,,    十三、印刷工人和,,,    十四、石料切割,,,    十五、锻工、工具制造工,,,,,,    和精密仪器制造工,,,    修理工和有关人员,,,    操作人员和电影放映员,,,    作工和金属构件安装工,,,    和搪瓷制品工人,,,,,,    二十一、油漆工人,,,    二十二、其他生产,,,,,,    二十四、动力设备,,,    二十五、装卸工和,,,,
    地区别,,,,,,,,,,,,,,,,    人员和辅助人员,,,    四、飞机和船舶技术人员,,,    五、卫生技术人员,,,    六、经济业务人员,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    地区别,    企事业单位负责人,,,    工作机构负责人,,,,,,,,,    有关人员,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,    渔劳动者,,,    工人和有关人员,,,,,    地区别,,,,    探、钻井、采盐工人,,,    三、金属冶炼和处理工人,,,    四、化学工人,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,,    藤．草制品工人,,,    制作工人,,,    有关人员,,,    和雕刻工,,,    机床安装操作工,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,    工人和有关人员,,,    二十三、建筑工人,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,总计,    154480,    117 365,    37 115,    3 334 746,    1 421 281,  1913 465,    286 752,    194 176,    92 576,    568 721,  209 747,    358 974,    12 791,    8 827,    3 964,,,,  小计,    男,    女,  小计,    男,    女,  小计,  男,  女,小计,    男,    女,小计,    男,    女,,,总计,  3 034255,    1 897 922,    1 136 333,  2 343 447,    1 966 719,    376 728,    415 148,    146 752,  268 396,    213 876,  100408,    113 468,  8 187 235,  4015 840, 4 171 395,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,小计,    男,    女,,,总计,    8 113 055,    3 389 811,    4 723 244,    6 145 902,    2 250 962,  3 894940, 1 626 078,    876 539,    749 539,    9 421,    4 406,    5 015,    272 514,    228 176,  44 338,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,,,,,,,,,,,,,,    生产工人,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,,,,,,,,,,,,,    操作工,,,    有关设备操作工,,,,
总计,    120 600 175,    67 711 003,    52 889 172,    15 513 284,    7 199 189,    8 314 095,    170 539,    117 053,    53 486,    2 953 045,    2 203 217,    749 828,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,北京市,    5 296,    3 548,    1 748,    162434,    59 835,    102 599,    21 862,    14 909,    6 953,    62 744,    27 526,    35 218,    338,304,    34,,,总计,    5 592 805,    4 685 971,    906 834,    671 574,    594600,    76974,    1 112 911,  823 617,    289 294,  3 808 320,  3 267 754,  540 566,  6006 726,  4 111 801, 1 894 925,,,北京市,    155 187,    78 777,    76410,    135 049,    109246,    25 803,    24 398,    6 983,    17415,    7 641,    2 681,    4 960,    307 735,    143 161,  164 574,,,总计,    5 499 127,    1 904 017,    3 595 110,    2486423,    1 981 866,    504 557,  175266,    111 144,    64 122,    6 700,    5 237,    1 463,    19 719,    13 576,    6 143,,,北京市,    433 906,    185 554,    248 352,    322 347,    122 879,    199468,    98 748,    53445,    45 303,    1 285,    609,    676,    10 157,    7 911,    2 246,,,总计,    59 140,    29 728,    29412,    30482 578,    15226 347,  15 256231,  29 270470,  14 360 128,  14 910 342,    200 860,    132 937,    67 923,    361 190,    198 136,  163 054,,,总计,    484 986,    394 699,    90287,    87,    78,    9,    116 545,    112 379,    4 166,    48 440,    27 990,    20450, 46 511 049, 28 974284, 17 536 765,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,总计,    3 317 124,    834 887,    2482 237,    421 291,    123 623,    297 668,  1 576 790,  274 106,  1 302 684,  1 081 252,    488 575,    592 677,    88 483,    36 748,    51 735,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,小计,    男,    女,,,总计,    2 804 059,  2 286407,    517 652,    3 381 588,  2235 285,  1 146 303,    66 770,    50 331,    16439,  2 335 340,  1 695 856,    639484,    448 233,    222 235,  225998,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,,
北京市,    4 324 252,    2 463 747,    1 860 505,    894 118,    392 894,    501 224,    38 883,    25 524,    13 359,    230 696,    150 525,    80 171,,,总计,    67 271,    34472,    32 799,    91 928,    90 226,    1 702,  2 062 706,    629465,    1 433 241,    5 810 305,    2 173 360,  3 636 945,,,天津市,    4 017,    3 008,    1 009,    111 158,    41 516,    69 642,    6 962,    4 912,    2 050,    19635,    6 200,    13435,    125,    109,    16,,,北京市,    336 585,    258 840,    77 745,    38 213,    30 774,    7 439,    54 937,    35 554,    19 383,  243 435,    192 512,    50 923,  322 275,    197 687,  124 588,,,天津市,    84973,    50 543,    34430,    83 253,    68295,    14958,    12477,    4 483,    7 994,    4 044,    1 241,    2 803,    239909,    128 871,  111 038,,,北京市,    191 206,    60 005,    131 201,    111 262,    79 976,    31 286,    4 905,    2 950,    1 955,    247,    175,    72,    115,    55,    60,,,天津市,    280 316,    135487,    144 829,    221 103,    105424,    115679,    52 701,    25012,    27 689,    68,    29,    39,    5 953,    4 734,    1 219,,,北京市,    1 369,    710,    659,    314400,    134284,    180 116,    283 826,    116453,    167 373,    2 603,    1 583,    1 020,    21 008,    10 346,    10 662,,,北京市,    2 382,    1 750,    632,    -,    -,    -,    3 242,    3 154,    88,    1 339,    998,    341,  1 712 564,  1 149 774,  562 790,,,总计,    570 806,    507 931,    62 875,    1 884 042,    1 653 266,    230 776,  1 651 022,  1 183 290,    467 732,  1 060 287,    525 188,    535099,    733 068,  260 764,  472 304,,,北京市,    49 000,    13 567,    35433,    8 331,    2 596,    5 735,    65730,    13 675,    52055,    32 302,    12424,    19 878,    480,    225,    255,,,总计,    1 486 317,    1 281 297,    205020,    412 671,    157 335,    255 336,  682 589,    228 103,    454486,    49409,    41 705,    7 704,  3 778 730,  2 547404, 1 231 326,,,北京市,    131 436,    105 645,    25 791,    153458,    103 939,    49 519,    2 588,    1 814,    774,    103 592,    80 943,    22649,    8 936,    4 531,    4 405,,,总计,    587 167,    260 153,    327014,    1 347 520,    646 398,    701 122,  2 791 010,  2 358 832,    432 178,    1 184 420,    862429,    321 991,  2 206 706,  1 670 705,  536001,,
天津市,    3 394 789,    1 910 094,    1 484 695,    534 178,    234907,    299 271,    6 865,    4 360,    2 505,    110474,    75 231,    35 243,,,北京市,    12073,    5 615,    6 458,    1 618,    1 510,    108,    99 699,    23 351,    76 348,    258475,    80247,    178 228,,,河北省,    7 015,    5 516,    1 499,    135 131,    50 933,    84 198,    11 952,    7 750,    4 202,    22 216,    8 324,    13 892,    207,    192,    15,,,天津市,    170 006,    136432,    33 574,    18 344,    15 730,    2 614,    39 254,    23 532,    15 722,  112408,    97 170,    15 238,  184 747,    124 562,    60 185,,,河北省,    139 047,    89 003,    50 044,    105 873,    90 767,    15 106,    18 878,    6 453,    12425,    5 487,    2 207,    3 280,    325 429,    157217,  168212,,,天津市,    136 856,    46 152,    90 704,    99 346,    80 832,    18 514,    3 667,    1 862,    1 805,    15,    13,    2,    25,    12,    13,,,河北省,    334 526,    146 959,    187 567,    265 150,    102 340,    162 810,    60 382,    37 403,    22979,    226,    111,    115,    8 008,    6 714,    1 294,,,天津市,    491,    288,    203,    378 998,    192 302,    186696,    352 209,    171 438,    180 771,    185,    148,    37,    10093,    5 104,    4 989,,,天津市,    14 171,    13 546,    625,   -,     -,    -,    1 035,  877,    158,    1 305,    1 189,    116,  1 602 647,    955 557,  647090,,,北京市,    20 521,    19 192,    1 329,    32 652,    30 735,    1 917,    41 538,    31 174,    10 364,    26 508,    12477,    14031,    20 922,    7 867,    13 055,,,天津市,    124 936,    39 501,    85 435,    13 319,    3 263,    10056,    48 834,    7 642,    41 192,    30462,    11 395,    19067,    1 565,    699,    866,,,北京市,    64 008,    59 013,    4 995,    9 769,    3 223,    6 546,    45 301,    17 816,    27485,    3 122,    2 362,    760,    127 113,    83 640,    43 473,,,天津市,    136 180,    103 424,    32 756,    120 332,    75 182,    45 150,    1 311,    1 028,    283,    89493,    62 634,    26 859,    11 432,    5 443,    5 989,,,北京市,    31 01 1,    16 778,    14 233,    44 656,    22 563,    22093,    124266,    115 251,    9 015,    34 155,    24968,    9 187,    80073,    61 442,    18 631,,
