,,,,,,,,,,,,
表6-18全国各职业人口按户口性质和性别分的人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,    农业户口 人口,,,    非农业户口人口,,,    户口待定和暂无户口,,
    职业别,,,,,,,,,,,,
,合计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,647 244 706, 356 230 253, 291 014 453, 522 783 890,281 582 335,  241 201 555,    123 849 523,    74 297 035,    49 552 488,    611 293,    350 883,    260 410
各类专业、技术人员, 34 393 821, 18 829 927,  15 563 894,  7 381 688,  4 767 399,    2 614 289,    26 938 135,    14 018 587,    12 919 548,    73 998,    43 941,    30 057
国家机关、党群组织、, 11 328 317, 10 024 495,  1 303 822,  2 454 487,  2 320 208,    134 279,    8 860 651,    7 692 942,    1 167 709,    13 179,    11 345,    1 834
企事业单位负责人,,,,,,,,,,,,
办事人员和有关人员, 11 275 891,  8 382 217,  2 893 674,  1 370 852,  1 134 744,    236 108,    9 886 127,    7 233 161,    2 652 966,    18 912,    14 312,    4 600
商业工作人员, 19 472 273,  10 385 995,  9 086 278,  7 658 001,  4 683 890,    2 974 111,    11 765 112,    5 676 114,    6 088 998,    49 160,    25 991,    23 169
服务性工作人员, 15 511 513,  7 502 533,  8 008 980,  5 963 820,  3 428 378,    2 535 442,    9 511 741,    4 053 403,    5 458 338,    35 952,    20 752,    15 200
农、林、牧、渔业劳动者, 456 819 731, 237 806 378, 219 013 353,453 760 252,235 984 933,  217 775 319,    2 812 262,    1 711 630,    1 100 632,    247 217,    109 815,    137 402
生产工人、运输工人, 98 125 481,  63 115 886, 35 009 595, 44 152 522, 29 237 224,  14 915 298,    53 813 469,    33 766 165,    20 047 304,    159 490,    112 497,    46 993
和有关人员,,,,,,,,,,,,
不便分类的其他劳动者,    317 679,    182 822,    134 857,    42 268,    25 559,    16 709,    262 026,    145 033,    116 993,    13 385,    12 230,    1 155
