,,,,,,,,,,,,
表6-19全国市各职业人口按户口性质和性别分的人口数(第二口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,    农业户口 人口,,,    非农业户口人口,,,    户口待定和暂无户口,,
    职业别,,,,,,,,,,,,
,合计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,120 600 175,  67 711 003,  52 889 172,  45 901 352, 25 047 181,    20 854 171,    74448 137,    42 501 452,    31 946 685,    250 686,    162 370,    88 316
各类专业、技术人员,  15 513 284,    7 199 189,    8 314 095,    942 283,    507 144,    435 139,    14513 296,    6 657 551,    7 855 745,    57 705,    34 494,    23 211
国家机关、党群组织、,,,,,,,,,,,,
企事业单位负责人,    5 592 805,    4 685 971,    906 834,    435 273,    399 247,    36 026,    5 147 061,    4 277 861,    869 200,    10 471,    8 863,    1 608
办事人员和有关人员,    6 006 726,    4 111 801,    1 894 925,    307 465,    246 247,    61 218,    5 686 204,    3 856 177,    1 830 027,    13 057,    9 377,    3 680
商业工作人员,    8 187 235,    4 015 840,    4 171 395,  2 016 844,  1 162 580,    854 264,    6 148 403,    2 840 054,    3 308 349,    21 988,    13 206,    8 782
服务性工作人员,    8 1 13 055,    3 389 811,    4 723 244,  1 865 483,    941 193,    924 290,    6 229 645,    2 437 877,    3 791 768,    17 927,    10 741,    7 186
农、林、牧、渔业劳动者,  30 482 578,  15 226 347,  15 256 231,  29 802 608, 14 820 701,    14 981 907,    635 722,    384 531,    251 191,    44 248,    21 115,    23 133
生产工人、运输工人,,,,,,,,,,,,
和有关人员,  46 511 049,  28 974 284,  17 536 765,  10 517 108,  6 961 620,    3 555 488,    35 916 380,    21 954 998,    13 961 382,    77 561,    57 666,    19 895
不便分类的其他劳动者,    193 443,    107 760,    85 683,    14 288,    8 449,    5 839,    171 426,    92 403,    79 023,    7 729,    6 908,    821
