,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6-1省、自治区、直辖市按行业门、大类分性别的人口数,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续03),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续05),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续06),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续07),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续08),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续09),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续10),,,,,,,,,,,,,,,表6-1省、自治区、直辖市按行业门、大类分性别的人口数(续11),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续12),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续13),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续14),,,,,,,,,,,,,,,表6—1省、自治区、直辖市按行业门、大类分性别的人口数(续15),,,,,,,,,,,,,,,表6-1省、自治区、直辖市按行业门、大类分性别的人口数(续16),,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,        单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,
,,,,,,,,,,,,,    二、林业,,,    三、畜牧业,,,    四、渔业,,,    五、水利业,,,,,,    六、农、林、牧、,,,    Ⅱ、工业,,,    一、煤炭采选业,,,    二、石油和天然气,,,,,,,,,,,,,,,,,,,,,    七、其他矿采选业,,,    八、木材及竹材采运业,,,    九、自来水生产和,,,    十、食品制造业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口总计,,,    1、农、林、牧、渔、水利业,,,    一、农业,,,,,    地区别,,,,,,,,,,,,,,,,    渔、水利服务业,,,,,,,,,    开采业,,,,,,      三、黑色金属矿采选业,,,    四、有色金属矿采选业,,,    五，建筑材料及其,,,    六、采盐业,,,,,    地区别,,,,,,,    供应业,,,,,,,,,    十一、饮料制造业,,,    十二、烟草加工业,,,    十三、饲料工业,,,    十四、纺织业,,,,,,    十五、缝纫业,,,    十六、皮革、毛皮,,,    十七、木材加工及竹,,,    十八、家具制造业,,,,,,    十九、造纸及纸制品业,,,    二十、印刷业,,,    二十一、文教体育用品,,,    二十二、工艺美术品,,,,,,    二十三、电力、蒸汽,,,    二十四、石油加工业,,,    二十五、炼焦、煤气,,,    二十六、化学工业,,,,,,    二十七、医药工业,,,    二十八、化学纤维工业,,,    二十九、橡胶制品业,,,    三十、塑料制品业,,,,,,    三十一、建筑材料及其,,,    三十二、黑色金属,,,    三十三、有色金属,,,    三十四、金属制品业,,,,,,    三十五、机械工业,,,    三十六、交通运输,,,    三十七、电气机械及,,,    三十八、电子及通信,,,,,,    三十九、仪器仪表及,,,,,,    Ⅲ、地质普查和勘探业,,,    一、地质普查和勘探业,,,,,,    Ⅳ、建筑业,,,    一、土木工程建筑业,,,    二、线路、管道和,,,    三、勘察设计业,,,,,,    V、交通运输、邮电,,,    一、交通运输业,,,    二、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,,,,    一、商业,,,    二、公共饮食业,,,    三、物资供销业,,,    四、仓储业,,,,,,    Ⅶ、房地产管理、公用事业,,,    一、房地产管理业,,,    二、公用事业,,,   三、居民服务业,,,,
    地区别,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,  地区别,,,,,,,    他非金属矿采选业,,,,,,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,    及其制品业,,,     藤、棕、草制品业,,,,,,,,    地区别,,,,,,,    制造业,,,    制造业,,,,,    地区别,    热水生产和供应业,,,,,,    及煤制品业,,,,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,    设备制造业,,,    器材制造业,,,    设备制造业,,,,,,    其他计量器具制造业,,,    四十、其他工业,,,,,,,,,,,    地区别,,,,,,,    设备安装业,,,,,,,,,    通讯业,,,,,,,,,    物资供销和仓储业,,,,,    地区别,,,,,,,,,,,,,,,,    居民服务和咨询服务业,,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  1 923 440,  1 230 423,    693 017,  3 204 832,  1 708 501,  1 496 331,    2 381 572,    1 899 754,    481 818,    603 082,    502 583,    100 499,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    1 570,    1 210,    360,    861 004,    606 685,    254 319,    353 872,    227 562,    126 310,    4 599 086,    2 779 671,    1 819 415,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    他非金属矿物制品业,,,    冶炼及压延加工业,,,    冶炼及压延加工业,,,,,,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,      女,    小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,,,,,,,,
总计,    647 244 706,    356 230 253,    291 014 453,    467 593 223,    246 146 862,    221 446 361,    458 158 168,    239 750 952,    218 407 216,,,北京市,    12 084,    7 804,    4 280,    69 352,    39 914,    29 438,    10 806,    8 647,    2 159,    12 593,    10 569,    2 024,,,总计,  1 322 129,    1 054 649,    267 480,  86 578 757,  49 452 189, 37 126 568,    5 432 001,    4 500 682,    931 319,    541 316,    363 961,    177 355,,,总计,    446 528,    340 117,    106 411,    829 008,    622 179,    206 829,    1 185 680,    970 045,    215 635,    277 520,    201 616,    75 904,,,北京市,    3,    2,    1,    20,    12,    8,    4 951,    3 148,    1 803,    90 566,    47 530,    43 036,,,总计,  1 466 453,    844 579,    621 874,    322 898,    160 589,    162 309,    182 738,    120 624,    62 114,    10 124 687,    3 401 216,    6 723 471,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,总计,    1 854 668,    997 446,    857 222,  1 364 989,      574 760,  790 229,    725 679,    246 012,    479 667,    2 069 553,    500 125,    1 569 428,,,总计,  1 986 050,  1 451 939,    534 111,    388 090,    243 753,  144 337,    429 847,    298 288,    131 559,    4 440 986,    2 792 377,    1 648 609,,,总计,    903 138,    423 574,    479 564,    397 956,    216 000,    181 956,    960 814,    476 374,    484 440,    1 704 711,    726 123,    978 588,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    10 270 999,  6 561 543,  3 709 456,  3 688 484,  2 467 015,  1 221 469,    3 097 966,    1 608 737,    1 489 229,    1 761 358,    797 256,    964 102,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  11 642 485,  9 759 181,  1 883 304,  10 382 037,  8 846 875,  1 535 162,    871 132,    651 067,    220 065,    389 316,    261 239,    128 077,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  20 795 912,  11 015 681,  9 780 231,  2 888 588,    1 311 928,  1 576 660,    1 251 531,    813 236,    438 295,    835 374,    579 191,    256 183,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,
北京市,    6 225 657,    3 563 582,    2 662 075,    1 198 741,    597 191,    601 550,    1 068 925,    509 591,    559 334,,,天津市,    911,    766,    145,    23 882,    13 623,    10 259,    20 635,    19 253,    1 382,    7 067,    6 364,    703,,,北京市,    24 981,    20 666,    4 315,  1 992 604,    1 108 114,    884 490,    49 764,        44 084,    5 680,    165,    120,    45,,,北京市,    5 762,    5 054,    708,    1 637,    1 588,    49,    13 329,    10 674,    2 655,    13,    8,    5,,,天津市,-,-,   -,    6,    4,    2,    7 568,    4 870,    2 698,    81 117,    44 303,    36 814,,,北京市,    30 301,    17 131,    13 170,    1 600,    922,    678,    7 911,    5 672,    2 239,    146 784,    51 187,    95 597,,,总计,  4 086 437,  1 047 998,  3 038 439,  1 350 773,    521 279,    829 494,    1 255 338,    777 435,    477 903,    1 640 075,    1 377 882,    262 193,,,北京市,    35 193,    16 579,    18 614,    79 823,    35 469,    44 354,    26 313,    12 526,    13 787,    53 846,    19 510,    34 336,,,北京市,    24 110,    16 730,    7 380,    7 313,    4 681,    2 632,    20 636,    14 442,    6 194,    89 706,      53 058,    36 648,,,北京市,    24 632,    11 126,    13 506,    11 715,    6 113,    5 602,    25 806,    13 755,    12 051,    38 460,    17 696,    20 764,,,总计,  7 526 594,  5 104 756,  2 421 838,  2424 353,  1 724 001,  700 352,    767 101,    511 642,    255 459,    3 588 463,    2 190 520,    1 397 943,,,北京市,    271 014,    173 051,    97 963,    161 298,    105 280,    56 018,    98 510,    53 927,    44 583,    94 970,    45 213,    49 757,,,总计,    843 371,    447 302,    396 069,    426 603,    227 316,    199 287,    798 147,    600 208,    197 939,    798 147,    600 208,    197 939,,,北京市,    498 740,    417 793,    80 947,    418 459,    361 130,    57 329,    44 144,    34 709,    9 435,    36 137,    21 954,    14 183,,,总计,  11 751 280,  9 569 472,  2 181 808,  10 761 616,  8 925 455,  1 836 161,    989 664,    644 017,    345 647,    25 771 405,    13 720 036,    12 051 369,,,北京市,    424 657,    205 250,    219 407,    80 381,    34 039,    46 342,    33 939,    22 509,    11 430,    38 978,    27 595,    11 383,,,总计,  6 188 251,  3 422 372,  2 765 879,    485 033,    325 532,    159 501,    1 558 511,    871 968,    686 543,    4 017 682,    2 137 458,    1 880 224,,
天津市,    4 995 332,    2836304,    2 159 028,    1 482 437,    806 312,    676 125,    1 421 271,    758 604,    662 667,,,河北省,    13 685,    10 864,    2 821,    69 903,    48 587,    21 316,    48 590,    45 113,    3 477,    19 210,    16 582,    2 628,,,天津市,    8 671,    7 702,    969,  1 927 912,    1 044 188,    883 724,        69,    60,    9,    23 036,    14 806,    8 230,,,天津市,    103,    90,    13,    483,    334,    149,    4 547,    3 884,    663,    17 533,    13 927,    3 606,,,河北省,    7,    5,    2,    69,    51,    18,    10 082,    6 411,    3 671,      160 531,    102 067,    58 464,,,天津市,    14 522,    8 119,    6 403,    4 445,    2 430,    2 015,    3 769,    2 617,    1 152,    246 328,    100 844,    145 484,,,北京市,    138 736,    37 419,    101 317,    23 239,    9 180,    14 059,    15 238,    10 681,    4 557,    37 880,    27 591,    10 289,,,天津市,    47 089,    23 646,    23 443,    25 372,    11 199,    14 173,    26 228,    11 091,    15 137,    50 576,    17 940,    32 636,,,天津市,    23 811,    17 122,    6 689,    10 789,    6 457,    4 332,    17 032,    11 462,    5 570,    137 704,    82 920,    54 784,,,天津市,    24 908,    11 961,    12 947,    6 177,    3 460,    2 717,    44 208,    23 533,    20 675,    37 287,    15 887,    21 400,,,北京市,    155 905,    107 742,    48 163,    41 349,    32 264,    9 085,    11 103,    7 351,    3 752,    102 135,    62 776,    39 359,,,天津市,    286 791,    173 533,    113 258,    99 573,    62 412,    37 161,    98 709,    50 974,    47 735,    66 861,    32 603,    34 258,,,北京市,    43 962,    23 518,    20 444,    6 906,    3 304,    3 602,    5 638,    4 214,    1 424,    5 638,    4 214,    1 424,,,天津市,    221 246,    177 551,    43 695,    185 175,    151 627,    33 548,    22 226,    16 683,    5 543,    13 845,    9 241,    4 604,,,北京市,    232 266,    186 759,    45 507,    203 124,    170 600,    32 524,    29 142,    16 159,    12 983,    577 955,    289 393,    288 562,,,天津市,    306 549,    156 328,    150 221,    45 630,    20 092,    25 538,    21 991,    14 928,    7 063,    44 643,    30 703,    13 940,,,北京市,    331 996,    176 236,    155 760,    29 990,    19 441,    10 549,    106 214,    63 431,    42 783,    185 357,    86 768,    98 589,,
河北省,    34 101 127,    19 148 679,    14 952 448,    26 386 756,    14 137 855,    12 248 901,    26 181 250,    13 978 159,    12 203 091,,,山西省,    17 823,    14 583,    3 240,    74 067,    56 002,    18 065,    1 849,    1 520,    329,    19 507,    16 751,    2 756,,,河北省,    54 118,    38 550,    15 568,  3 582 722,    2 228 720,  1 354 002,    355 724,    305 123,    50 601,    42 367,    24 681,    17 686,,,河北省,    74 249,    62 680,    11 569,    21 828,    17 426,    4 402,    38 536,    33 670,    4 866,    16 706,    14 066,    2 640,,,山西省,-,-,-,    433,    372,    61,    8 214,    5 261,    2 953,    88 881,    57 828,    31 053,,,河北省,    49 098,    28 760,    20 338,    9 449,    4 728,    4 721,    7 617,    5 058,    2 559,    406 556,    164400,      242 156,,,天津市,    99 426,    25 510,    73 916,    34 606,    13 921,    20 685,    20 578,    11 330,      9 248,    16 655,    12 354,      4 301,,,河北省,    93 896,    53 538,    40 358,    58 799,    23 880,    34 919,    8 881,    3 750,    5 131,    123 143,    22 632,    100 511,,,河北省,    94 629,    70 883,    23 746,    15451,    10 194,    5 257,    22 738,    16 560,    6 178,    192 283,    134 679,    57 604,,,河北省,    39 864,    18 202,    21 662,    14 269,    8 113,    6 156,    38 624,    20 231,    18 393,    55 784,    25 291,    30493,,,天津市,    93 444,    63 975,    29 469,    52 229,    40 024,    12 205,    12 614,    8 858,    3 756,    153 931,    96 905,    57 026,,,河北省,    434 022,    296 929,    137 093,    122 615,    86 892,    35 723,    78 701,    44 447,    34 254,    30 817,    15 327,    15 490,,,天津市,    26 464,    12 940,    13 524,    11 324,    5 883,    5 441,    26 388,    17 270,    9 118,    26 388,    17 270,    9 118,,,河北省,    525 148,    450 710,    74438,    473 933,    416 096,    57 837,    36 777,    25 203,    11 574,    14 438,    9 411,    5 027,,,天津市,    207 766,    169 697,    38 069,    194 231,    161 382,    32 849,    13 535,    8 315,    5 220,    418 813,    222 051,    196 762,,,河北省,    808 864,    449 556,    359 308,    98 534,    49 411,    49 123,    69 681,    42 697,    26 984,    28 791,    19 755,    9 036,,,天津市,    142 370,    81 204,    61 166,    15 386,    9 808,    5 578,    69 162,    40 771,    28 391,    53 950,    27 948,    26 002,,
山西省,    14 951 958,    9 122 825,    5 829 133,    9 745 678,    5 542 770,    4 202 908,    9 611 591,    5 436 531,    4 175 060,,,内蒙古自治区,    60 707,    42 136,    18 571,    448 910,    302 354,  146 556,    6 891,    5 974,    917,    20 651,    16 035,    4 616,,,山西省,    20 841,    17 383,    3 458,  2 530 347,    1 810 294,    720 053,    718 057,    633 977,    84 080,    196,    149,    47,,,山西省,    22 196,    18 988,    3 208,    16 779,    13 060,    3 719,    39 213,    32 928,    6 285,    33,    29,    4,,,内蒙古自治区,    4,    4,-,    102 932,    71 297,    31 635,    10 685,    6 780,    3 905,    108 506,    64 895,    43 611,,,山西省,    22 010,    13 569,    8 441,    2 649,    1 329,    1 320,    3 342,    2 301,    1 041,    138 678,    55 052,    83 626,,,河北省,    144 786,    35 982,    108 804,    40 650,    17 941,    22 709,    26 178,    16 657,    9 521,    60 218,    51 630,    8 588,,,山西省,    35 750,    20 856,    14 894,    32 276,    12 141,    20 135,    4 071,    1 943,    2 128,    16 987,    5 595,    11 392,,,山西省,    76 632,    55 544,    21 088,    1 469,    880,    589,    51 895,    43 006,    8 889,    186 197,    130 190,    56 007,,,山西省,    23 004,    9 811,    13 193,    14 582,    7 519,    7 063,    22 967,    12 461,    10 506,    19 628,    7 915,    11 713,,,河北省,    345 963,    239 551,    106 412,    149 620,    115 847,    33 773,    17 066,    12 618,    4 448,    152 571,    103 246,    49 325,,,山西省,    287 490,    194 669,    92 821,    70 191,    49 308,    20 883,    47 588,    27 817,    19 771,    21 095,    11 126,    9 969,,,河北省,    19 013,    10 433,    8 580,    9 322,    4 141,    5 181,    88 662,    60 744,    27 918,    88 662,    60 744,    27 918,,,山西省,    329 095,    273 308,    55 787,    294 095,    247 934,    46 161,    25 995,    19 688,    6 307,    9 005,    5 686,    3 319,,,河北省,    520 477,    447 545,    72 932,    475 777,    419 220,    56 557,    44 700,    28 325,    16 375,    1 005 870,    561 419,    444 451,,,山西省,    478 798,    248 256,    230 542,    54 395,    26 596,    27 799,    57 361,    40 791,    16 570,    12 220,    8 836,    3 384,,,河北省,    194 172,    109 246,    84 926,    15 758,    10 873,    4 885,    54 535,    31 116,    23 419,    120 456,    64 814,    55 642,,
内蒙古自治区,    11 192 078,    6 643 888,    4 548 190,    7 255 141,    4 196 792,    3 058 349,    6 667 703,    3 793 098,    2 874 605,,,辽宁省,    31 735,    23 762,    7 973,    91 231,    60 321,    30 910,    128 653,    114 969,    13 684,    25 874,    21 316,    4 558,,,内蒙古自治区,    50 279,    37 195,    13 084,  1 602 611,    974 955,    627 656,    201 476,    155 940,    45 536,    3 319,    2 672,    647,,,内蒙古自治区,    13 155,    9 205,    3 950,    25 496,    21 015,    4 481,    33 542,    26 567,    6 975,    4 164,    2 501,    1 663,,,辽宁省,    396,    333,    63,    40,    28,    12,    41 516,    26 599,    14 917,    225 494,    122 542,    102 952,,,内蒙古自治区,    35 375,    21 155,    14 220,    2 897,    1 504,    1 393,    6 252,    4 198,    2 054,    99 493,    34 218,    65 275,,,山西省,    48 726,    14 296,    34 430,    13 816,    5 771,    8 045,    6 729,    5 165,    1 564,    36 843,    31 355,    5 488,,,内蒙古自治区,    24493,    13 146,    11 347,    21 531,    7 544,    13 987,    3 070,    1 127,    1 943,    47 672,     8 317,    39 355,,,内蒙古自治区,    64 650,    44 708,    19 942,    1 053,    576,    477,    11 127,    7 763,    3 364,    64 198,    39 775,    24 423,,,内蒙古自治区,    14 036,    6 327,    7 709,    2 321,    1 330,    991,    7 859,    4 017,    3 842,    11 989,    4 369,    7 620,,,山西省,    205 152,    151 657,    53 495,    125 572,    96 857,    28 715,    14 204,    10 220,    3 984,    86 095,    58 048,    28 047,,,内蒙古自治区,    156 340,    101 316,    55 024,    28 207,    19 485,    8 722,    23 994,    13 159,    10 835,    7 896,      3 645,    4 251,,,山西省,    14 138,    8 098,    6 040,    6 569,    3 203,    3 366,    17 899,    14 148,    3 751,    17 899,    14 148,    3 751,,,内蒙古自治区,    300 973,    236 942,    64 031,    274 744,    218 973,    55 771,    16 801,    11 851,    4 950,    9 428,    6 118,    3 310,,,山西省,    425 065,    375 030,    50 035,    398 369,    358 038,    40 331,    26 696,    16 992,    9 704,    602 774,    324 479,    278 295,,,内蒙古自治区,    508 683,    259 248,    249 435,    57 901,    22 442,    35 459,    32 018,    20 852,    11 166,    23 386,    16 245,    7 141,,,山西省,    117 453,    66 222,    51 231,    8 550,    5 375,    3 175,    26 990,    15 011,    11 979,    79 516,    44 234,    35 282,,
辽宁省,    22 380 944,    12 781 816,    9 599 128,    11 044 334,    6 140 993,    4 903 341,    10 713 100,    5 879 598,    4 833 502,,,吉林省,    52 448,    36 093,    16 355,    55 188,    36 424,    18 764,    9 600,    7 582,    2 018,    14 182,    11 421,    2 761,,,辽宁省,    53 741,    41 027,    12 714,  6 123 993,  3 506 855,  2 617 138,    416 319,    300 925,    115 394,    39 904,    27 273,    12 631,,,辽宁省,    89 163,    64 294,    24 869,    77 275,    55 710,    21 565,    83 108,    66 568,    16 540,    18 816,    17 033,    1 783,,,吉林省,    184,    125,    59,    116 411,    78 935,    37476,    13 230,    8 313,    4 917,    164 893,    95 302,    69 591,,,辽宁省,    89 233,    45 399,    43 834,    8 121,    4 274,    3 847,    11 211,    7 093,    4 118,    460 998,    166 391,    294 607,,,内蒙古自治区,    60 014,    12 741,    47 273,    31 612,    13 270,    18 342,    44 367,    24 282,    20 085,    48 561,    43 117,    5 444,,,辽宁省,    127406,    67 733,    59 673,    78 891,    29 019,    49 872,    17 564,     7 390,    10 174,    38 930,    10 589,    28 341,,,辽宁省,    137 037,    101 138,    35 899,    103 120,    61 525,    41 595,    39 502,    25 812,    13 690,    349 234,    202 450,    146 784,,,辽宁省,    66 387,    30 131,    36 256,    31 706,    16 142,    15 564,    84 867,    40 820,    44047,    90 723,    38 106,    52 617,,,内蒙古自治区,    144 095,    96 272,    47 823,    61 988,    40 633,    21 355,    19 728,    13 218,    6 510,    48 077,    30 322,    17 755,,,辽宁省,  1 044 156,    643 776,    400 380,    324 770,    206 783,    117 987,    275 798,    140 836,    134 962,    102 843,    45 046,    57 797,,,内蒙古自治区,    1882,    955,    927,    4 555,    1 590,    2 965,    25 884,    19 696,    6 188,    25 884,    19 696,    6 188,,,辽宁省,    808 570,    613 928,    194 642,    700 130,    540 508,    159 622,    82 497,    56 733,    25 764,    25 943,    16 687,    9 256,,,内蒙古自治区,    307 638,    242 475,    65 163,    277 433,    223 741,    53 692,    30 205,    18 734,    11 471,    621 988,    318 787,    303 201,,,辽宁省,  1 124 379,    522 616,    601 763,    143 807,    57 482,    86 325,    102 545,    63 504,    39041,    132 940,    91 707,    41 233,,,内蒙古自治区,    117 942,    59 352,    58 590,    8 770,    6 069,    2 701,    26 606,    14 571,    12 035,    80 803,    37 538,    43 265,,
