,,,,,,,,,,,,
表6-20全国镇各职业人口按户口性质和性别分的人口数(第二口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,    农业户口人口,,,    非农业户口人口,,,    户口待定和暂无户口,,
    职业别,,,,,,,,,,,,
,合计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,45 791 797, 27 058 094, 18 733 703,  13 726 167, 7 466 820,  6 259 347,    31 973 034,    19 536 538,    12 436 496,    92 596,    54 736,    37 860
各类专业、技术人员,  7 746 485,  4 036 126,  3 710 359,    509 117,  267 734,    241 383,    7 229 323,    3 763 950,    3 465 373,    8 045,    4 442,    3 603
国家机关、党群组织、,  2 470 222,  2 236 444,    233 778,    166 731,  153 471,    13 260,    2 302 098,    2 081 712,    220 386,    1 393,    1 261,    132
企事业单位负责人,,,,,,,,,,,,
办事人员和有关人员,  3 223 656,  2 536 824,    686 832,    185 161,  147 317,    37 844,    3 035 422,    2 387 001,    648 421,    3 073,    2 506,    567
商业工作人员,  5 223 986,  2 491 363,  2 732 623,  1 302 964,  655 938,    647 026,    3 903 717,    1 828 272,    2 075 445,    17 305,    7 153,    10 152
服务性工作人员,  3 287 906,  1 560 408,  1 727 498,    953 976,  469 989,    483 987,    2 323 876,    1 085 450,    1 238 426,    10 054,    4 969,    5 085
农、林、牧、渔业劳动者,  6 871 467,  3 661 557,  3 209 910,  6 305 229, 3 281 782,  3 023 447,    556 542,    373 922,    182 620,    9 696,    5 853,    3 843
生产工人、运输工人, 16 888 408, 10 487 794,  6 400 614,  4 296 408, 2 486 148,  1 810 260,    12 553199,    7 977 082,    4 576 117,    38 801,    24 564,    14 237
和有关人员,,,,,,,,,,,,
不便分类的其他劳动者,    79 667,    47 578,    32 089,    6 581,    4 441,    2 140,    68 857,    39 149,    29 708,    4 229,    3 988,    241
