,,,,,,,,,,,,
表6—21全国县各职业人口按户口性质和性别分的人口数(第二口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,    农业户口人口,,,    非农业户口人口,,,    户口待定和暂无户口,,
    职业别,,,,,,,,,,,,
,合计,    男,    女,小计, 男,    女,  小计,    男,    女,  小计,    男,    女
总计,480 852 734, 261 461 156, 219 391 578, 463 156 371, 249068 334,  214 088 037,    17 428 352,    12 259 045,    5 169 307,    268 011,    133 777,    134 234
各类专业、技术人员,  11 134 052,  7 594 612,  3 539 440,  5 930 288,    3 992 521,    1 937 767,    5 195 516,    3 597 086,    1 598 430,    8 248,    5 005,    3 243
国家机关、党群组织、,,,,,,,,,,,,
企事业单位负责人,  3 265 290,  3 102 080,    163 210,  1 852 483,    1 767 490,    84 993,    1 411 492,    1 333 369,    78 123,    1 315,    1 221,    94
办事人员和有关人员,  2 045 509,  1 733 592,    311 917,    878 226,    741 180,    137 046,    1 164 501,    989 983,    174 518,    2 782,    2 429,    353
商业工作人员,  6 061 052,  3 878 792,  2 182 260,    4 338 193,    2 865 372,    1 472 821,    1 712 992,    1 007 788,    705 204,    9 867,    5 632,    4 235
服务性工作人员,  4 110 552,  2 552 314,  1 558 238,    3 144 361,    2 017 196,    1 127 165,    958 220,    530 076,    428 144,    7 971,    5 042,    2 929
农、林、牧、渔业劳动者, 419 465 686, 218 918 474,200 547 212, 417 652 415, 217 882 450,  199 769 965,    1 619 998,    953 177,    666 821,    193 273,    82 847,    110 426
生产工人、运输工人, 34 726 024, 23 653 808, 11 072 216, 29 339 006,  19 789 456,    9 549 550,    5 343 890,    3 834 085,    1 509 805,    43 128,    30 267,    12 861
和有关人员,,,,,,,,,,,,
不便分类的其他劳动者,    44 569,    27 484,    17 085,    21 399,    12 669,    8 730,    21 743,    13 481,    8 262,    1 427,    1 334,    93
