,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—22全国分年龄、性别、职业大类 人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、商业工作人员,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
,    在业人口总数,,,    Ⅰ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,  Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,  19472 273,  10 385 995,    9086 278,    15 511 513,    7 502 533,    8 008 980,    456 819 731, 237 806 378, 219013 353, 98 125 481, 63 115 886, 35 009 595,    317 679,  182 822,  134 857
总计,    647 244 706,    356 230 253,    291 014453,    34 393 821,    18 829 927,    15 563 894,  11 328 317,    10 024495,    1 303 822,  11 275 891,    8 382217,    2 893 674,,,15-19岁,    1 090 365,    480 773,    609 592,    1 260 179,    524 802,    735 377,    63 546052,  30 664 761,    32 881 291, 10 531 252,  5 519 845,  5 011407,    60 901,    34 505,    26 396
15—19岁,    77 893 648,    37 945 372,    39 948 276,    871 920,    305 497,    566423,    10430,    7 079,    3 351,    522 549,    408 110,    114439,,,  15,    42 560,    19 316,    23 244,    59 311,    23 366,    35 945,    7 803 568,    3 351 090,  4452478,    475 549,    199 048,  276 501,    1 421,    855,    566
  15,    8 405077,    3 606 202,    4 798 875,    16 916,    8 256,    8 660,    133,    98,    35,    5 619,    4 173,    1 446,,,  16,    104461,    46475,    57 986,    139473,    56 841,    82 632,    11 317 384,    5 292036,  6025 348,  1 119 814,    535 335,  584479,    5 498,    3 212,    2 286
  16,    12 758012,    5 969407,    6 788 605,    47 632,    18 134,    29498,    463,    332,    131,    23 287,    17 042,    6 245,,,  17,    206459,    90 775,    115 684,    256 685,    106087,    150 598,    13 740 241,    6 719 525,  7 020 716,  2 084089,  1 060 542,  1 023 547,    11 997,    6 786,    5 211
