表6—23 全国市分年龄、性别、职业大类人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6—23全国市分年龄、性别、职业大类 人口数(第二口径)(续02),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,    Ⅰ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,,,,,,,    Ⅳ、商业工作人员,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
,    在业人口总数,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,  Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    8 187 235,    4015 840,    4 171 395,    8 113 055,    3 389 811,  4 723 244,    30482 578,  15 226 347,  15 256 231, 46 511 049,  28 974 284,  17 536 765,    193 443,  107 760,    85 683
总计,    120 600 175,    67 711 003,    52 889 172,    15 513 284,    7 199 189,    8 314095,    5 592 805,    4 685 971,    906 834,    6006 726,    4 111 801,    1 894 925,,,15—19岁,    405442,    171 390,    234052,    552477,    208 555,    343 922,    3 550 914,    1 772 018,    1 778 896,    3 554 819,    1 920 083,    1 634 736,    35 718,    19 969,    15 749
15—19岁,    8 652 576,    4 396 329,    4 256 247,    265 966,    73 173,    192 793,    3 880,    2 505,    1 375,    283 360,    228 636,    54 724,,,  15,    12494,    6 137,    6 357,    17 359,    6 145,    11 214,    366 318,    166 987,    199 331,    83 321,    39 567,    43 754,    678,    434,    244
  15,    485 364,    222 104,    263 260,    3 144,    1 230,    1 914,    27,    24,    3,    2 023,    1 580,    443,,,  16,    34 191,    15421,    18 770,    50456,    18 641,    31 815,    577 766,    283 005,    294 761,    277 596,    140292,  137 304,    3 010,    1 815,    1 195
