,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—25全国县分年龄、性别、职业大类 人口数(第二口径),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    1V、商业工作人员,,,    V、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,  Ⅷ、不便分类的其他劳动者,,
,    在业人口总数,,,    1、各类,    专业、技术人员,,    Ⅱ、国家机关党群组织,,,,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,,,
    年龄别,,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    6 061 052,    3 878 792,    2 182 260,    4 110 552,    2 552 314,    1 558 238,  419465686, 218 918474, 200 547 212, 34 726024, 23 653 808, 11 072 216,    44 569,    27 484,    17085
总计,    480 852 734,    261 461 156,    219 391 578,    11 134 052,    7 594 612,    3 539 440,    3 265 290,    3 102 080,    163 210,    2 045 509,    1 733 592,    311 917,,,15—19岁,    404 811,    195 869,    208 942,    448 202,    218 577,    229 625,    59 245 158,  28 493 572,  30 751 586,    5 365 098,    2 799 676,  2 565422,    9 672,    5 363,    4 309
15-19岁,    65 998 528,    31 952960,    34045 568,    429 178,    171 871,    257 307,    4 896,    3 438,    1 458,    91 513,    64 594,    26 919,,,  15,    20 591,    9 156,    11 435,    27 590,    12 799,    14 791,    7 363 468,    3 147 481,    4 215 987,    340499,    137 014,    203 485,    429,    234,    195
  15,    7 766 233,    3 314 350,    4 451 883,    11 496,    6 102,    5 394,    84,    61,    23,    2 076,    1 503,    573,,,  16,    44 526,    20474,    24052,    58 328,    27 709,    30 619,    10 620 285,    4 946 854,    5 673 431,    695 867,    327 834,    368033,    1 092,    585,    507
  16,    11 456 551,    5 340 349,    6 116 202,    29 169,    11 780,    17 389,    246,    172,    74,    7 038,    4 941,    2 097,,,  17,    79423,    37 760,    41 663,    95 646,    46 283,    49 363,    12 800 350,    6 240 254,    6 560096,    1 125 325,    572 187,    553 138,    2 013,    1 108,    905
  17,    14 185 254,    6 934025,    7 251 229,    65 706,    24 618,    41 088,    543,    390,    153,    16 248,    11 425,    4 823,,,  18,    112 202,    54 515,    57 687,    120 844,    59 197,    61 647,    13 639 160,    6 765 880,    6 873 280,    1 436419,    771 110,    665 309,    2 758,    1 532,    1 226
  18,    15457481,    7 717096,    7 740 385,    118 007,    45 001,    73 006,    1 306,    872,    434,    26 785,    18 989,    7 796,,,  19,    148 069,    73 964,    74 105,    145 794,    72 589,    73 205,    14 821 895,    7 393 103,    7428 792,    1 766 988,    991 531,    775457,    3 380,    1 904,    1 476
  19,    17 133 009,    8 647 140,    8485 869,    204 800,    84 370,    120430,    2 717,    1 943,    774,    39 366,    27 736,    11 630,,,20-24岁,    985 384,    549 632,    435 752,    689 627,    382 771,    306 856,    74 574 386,  37 070414,  37 503 972,    8 802 669,  5 667 740,  3 134 929,    15 356,    9 203,    6 153
20—24岁,    87 414 176,    45 025 917,    42 388 259,    1 960 479,    1 048 986,    911 493,    73 265,    59 339,    13 926,    313 010,    237 832,    75 178,,,  20,    173 001,    88 615,    84 386,    150 251,    76466,    73 785,    15 039 672,    7 375 912,    7 663 760,    1 865 040,  1 094 253,    770 787,    3 565,    2 024,    1 541
  20,    17 585 324,    8 812 522,    8 772 802,    299 363,    136 392,    162 971,    5 360,    3 911,    1 449,    49072,    34 949,    14 123,,,  21,    200 100,    107 196,    92 904,    156 735,    84045,    72 690,    15 853 116,    7 847003,    8 006 113,    1 983 259,  1 230 929,    752 330,    3 823,    2 354,    1 469
  21,    18 652 853,    9 515 736,    9 137 117,    386 337,    193 170,    193 167,    9 394,    7 251,    2 143,    60089,    43 788,    16 301,,,  22,    191 516,    107 608,    83 908,    133 999,    75 314,    58 685,    14 659 235,    7 334 272,    7 324 963,    1 717 874,  1 118 328,    599 546,    3 206,    2 010,    1 196
  22,    17 171 997,    8 904 804,    8 267 193,    392 772,    211 285,    181 487,    12439,    9 978,    2 461,    60 956,    46 009,    14 947,,,  23,    190 769,    110 316,    80453,    119 502,    69 879,    49 623,    13 950412,    6 973 198,    6 977 214,    1 542 349,  1 046 182,    496 167,    2 496,    1 515,    981
  23,    16 292 292,    8495458,    7 796 834,    405 891,    230 539,    175 352,    17 301,    14206,    3 095,    63 572,    49 623,    13 949,,,  24,    229 998,    135 897,    94 101,    129 140,    77 067,    52073,    15071 951,    7 540 029,    7 531 922,    1 694 147,  1 178 048,    516099,    2 266,    1 300,    966
  24,    17 711 710,    9 297 397,    8414 313,    476 116,    277600,    198 516,    28 771,    23 993,    4 778,    79 321,    63 463,    15 858,,,25—29岁,    1 083 112,    650 334,    432 778,    518 238,    306 632,    211 606,    58 154283,  28 886055,  29 268 228,    6 267 341,  4488 349,    1 778 992,    5 868,    2 945,    2 923
25—29岁,    68 722 863,    36 135 888,    32 586 975,    2 069 182,    1 269 412,    799 770,    261 013,    234 900,    26 113,    363 826,    297 261,    66 565,,,  25,    241 972,    143 694,    98 278,    124483,    74233,    50 250,    14 149099,    7 036 118,  7 112 981,    1 591 567,  1 125 477,    466090,    1 757,    897,    860
  25,    16 717 888,    8 773090,    7 944 798,    483 712,    289 303,    194409,    40282,    34 611,    5 671,    85016,    68 757,    16259,,,  26,    258 538,    153 783,    104 755,    124 946,    73 923,    51 023,    14044 382,    6 959 992,  7084 390,    1 536 245,  1 093 674,    442 571,    1 438,    730,    708
  26,    16 614 539,    8 707 979,    7 906 560,    505 840,    306 520,    199 320,    54 984,    48 264,    6 720,    88 166,    71 093,    17 073,,,  27,    289 914,    174 703,    115 211,    134 095,    79 493,    54 602,    15028475,    7 524 547,  7 503 928,    1 617 167,  1 169 051,    448 116,    1 356,    660,    696
  27,    17 789 667,    9435 076,    8 354 591,    549 127,    341 257,    207 870,    74625,    67 528,    7 097,    94908,    77 837,    17071,,,  28,    170 836,    103 965,    66 871,    77 632,    45 749,    31 883,    9065 519,    4473 441,  4 592078,    895095,    650000,    245095,    765,    376,    389
  28,    10 633 256,    5 567 326,    5065 930,    316469,    200 187,    116282,    50 961,    47029,    3 932,    55 979,    46 579,    9 400,,,  29,    121 852,    74 189,    47 663,    57 082,    33 234,    23 848,    5 866 808,    2 891 957,  2 974 851,    627267,    450 147,    177 120,    552,    282,    270
  29,    6 967 513,    3 652417,    3 315 096,    214034,    132 145,    81 889,    40 161,    37468,    2 693,    39 757,    32 995,    6 762,,,30—34岁,    882 804,    558211,    324 593,    441 352,    256 583,    184 769,    45 857224,    23 366 065,  22491 159,  4 459 145,    3 222 998,    1 236 147,    3 394,    1 831,    1 563
30—34岁,    53 960 211,    29 112 909,    24 847 302,    1 619 895,    1 080 108,    539 787,    423 906,  400 259,    23 647,    272491,    226 854,    45 637,,,  30,    154 987,    97 279,    57 708,    74 952,    44293,    30 659,    7478 662,    3 816 747,    3 661 915,    802 313,    578442,    223 871,    650,    339,    311
  30,    8 883 572,    4 799 635,      4 083 937,    265 662,    167 894,    97 768,    56 855,    53 430,    3 425,    49491,    41 211,    8 280,,,  31,    154 568,    97 709,    56 859,    75 821,    44 798,    31 023,    7 672 818,    3 943439,    3 729 379,    783 307,    568 936,    214 371,    650,    341,    309
  31,    9 065 119,    4927011,    4 138 108,    267259,    172 584,    94 675,    62 770,    59 155,    3 615,    47 926,    40049,    7 877,,,  32,    202 947,    128 727,    74 220,    100960,    59 379,    41 581,  10449 912,    5 370 551,    5 079 361,    1 028 073,    746 935,    281 138,    761,    419,    342
  32,    12 304 635,    6 689 748,    5 614 887,    369090,    246 241,    122 849,    92 383,    87 266,    5 117,    60 509,    50 230,    10 279,,,  33,    190 523,    120 633,    69 890,    96 232,    54979,    41 253,  10 298 266,    5 221 926,    5 076 340,    962 688,    693 529,    269 159,    679,    370,    309
  33,    12078498,    6488 635,    5 589 863,    369457,    251 998,    117459,    102 514,    96 868,    5 646,    58 139,    48 332,    9 807,,,  34,    179 779,    113 863,    65 916,    93 387,    53 134,    40 253,    9 957 566,    5013 402,    4 944 164,    882 764,    635 156,    247 608,    654,    362,    292
  34,    11 628 387,    6 207 880,    5420 507,    348427,    241 391,    107 036,    109 384,    103 540,    5 844,    56426,    47 032,    9 394,,,35—39岁,    870 557,    561 593,    308 964,    503 275,    279 560,    223 715,    50 189 313,    25 216 247,  24 973 066,    4 154 377,    2 995 314,    1 159 063,    2 610,    1 478,    1 132
35—39岁,    58 161 244,    31 007 711,    27 153 533,    1 496 473,    1 083 562,    412 911,    669 795,    636 833,    32962,    274 844,    233 124,    41 720,,,  35,    199 247,    127 754,    71 493,    107 059,    60049,    47010,    11 099 314,    5 608 741,    5490 573,    977 068,    704 509,    272 559,    661,    362,    299
  35,    12 947 312,    6 941 952,    6 005 360,    367404,    261 058,    106 346,    133 928,    126 905,    7 023,    62 631,    52 574,    10057,,,  36,    185 809,    118 966,    66 843,    103 294,    56 929,    46 365,    10 565 403,    5 310 151,    5 255 252,    890 336,    640410,    249 926,    565,    321,    244
  36,    12 255 870,    6 530079,    5 725 791,    320077,    228 959,    91 118,    132 578,    125 681,    6 897,    57 808,    48 662,    9 146,,,  37,    172 823,    111 335,    61 488,    100 627,    55 211,    45416,    10 107 807,    5 065 848,    5 041 959,    825431,    596 273,    229 1 58,    498,    275,    223
  37,    11 677 233,    6 206 130,    5 471 103,    283 758,    205 615,    78 143,    132 504,    125 982,    6 522,    53 785,    45 591,    8 194,,,  38,    169441,    110002,    59439,    102 650,    57293,    45 357,    9962955,    4997 347,    4965 608,    802670,    578 653,    224017,    507,    309,    198
  38,    11 508 916,    6 126 987,    5 381 929,    276468,    203404,    73 064,    141 288,    134 678,    6 610,    52 937,    45 301,    7 636,,,  39,    143 237,    93 536,    49 701,    89 645,    50 078,    39 567,    8 453 834,    4 234 160,    4 219 674,    658 872,    475 469,    183403,    379,    211,    168
  39,    9 771 913,    5 202 563,    4 569 350,    248 766,    184 526,    64 240,    129497,    123 587,    5 910,    47 683,    40 996,    6 687,,,40-44岁,    606 039,    410 121,    195 918,    422 188,    244 128,    178 060,    37 058 683,    18 894 647,    18 164 036,    2 610 938,    1 937 210,    673 728,    1 776,    1 198,    578
40—44岁,    42 889 233,    23 324 874,    19 564 359,    1 262 451,    970 161,    292 290,    684401,    653 290,    31 111,    242 757,    214 119,    28 638,,,  40,    151 611,    100 190,    51 421,    99 918,    57 016,    42 902,    8 892 599,    4 536 360,    4 356 239,    674 835,    495 982,    178 853,    467,    297,    170
  40,    10 310 554,    5 598 021,    4 712 533,    286 925,    217 661,    69 264,    150 264,    143 503,    6 761,    53 935,    47012,    6 923,,,  41,    126 076,    84 244,    41 832,    86 821,    49 188,    37 633,    7 612 687,    3 884 855,    3 727 832,    563 125,    412431,    150 694,    388,    253,    135
  41,    8 822 547,    4 793 548,    4028 999,    251 517,    192 932,    58 585,    134 905,    128 638,    6 267,    47028,    41 007,    6 021,,,  42,    118 139,    80017,    38 122,    83 067,    47 668,    35 399,    7 240 935,    3 704 838,    3 536 097,    515 182,    379 829,    135 353,    324,    230,    94
  42,    8 388 020,    4 574 342,    3 813 678,    246 572,    190 157,    56415,    136 685,    130 194,    6 491,    47 116,    41 409,    5 707,,,  43,    110 360,    75 851,    34 509,    80 256,    46 967,    33 289,    6 922 929,    3 532 288,    3 390 641,    461 988,    347 617,    114 371,    304,    210,    94
  43,    8005 573,    4 365 247,    3 640 326,    245 583,    189 688,    55 895,    135 340,    129 193,    6 147,    48 813,    43 433,    5 380,,,  44,    99 853,    69 819,    30034,    72 126,    43 289,    28 837,    6 389 533,    3 236 306,3 153 227,    395 808,    301 351,    94457,    293,    208,    85
  44,    7 362 539,    3 993 716,    3 368 823,    231 854,    179 723,    52 131,    127 207,    121 762,    5 445,    45 865,    41 258,    4 607,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—25全国县分年龄、性别、职业大类 人口数(第二口径)(续01),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、商业工作人员,,,    V、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
,    在业人口总数,,,    1、各类,    专业、技术人员,,    Ⅱ、国家机关党群组织,,,,,,,,,,,,,,,,,,    输工人和有关人员,,,  Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,    年龄别,,,,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,,,,,,,  小计,    男,    女,小计,    男,    女,小计,    男,    女
45—49岁,    32012 534,    18 042 115,    13970419,    1 082 306,    869 716,    212 590,    535 842,    515987,    19 855,    196 678,    179 523,    17 155,,,,  小计,    男,    女,  小计,    男,    女,,,,,,,,,
  45,    6 995286,    3 856 858,    3 138 428,    226 111,    177 842,    48 269,    121 322,    116 580,    4 742,    43 853,    39 703,    4 150,,,45-49岁,    396 566,    284 649,    111 917,    316 857,    206 356,    110 501,  28 083 773,14 867 797, 13 215 976,  1 399 317,  1 117 119,    282 198,    1 195,    968,    227
  46,    6636 668,    3 717 128,    2 919 540,    222 168,    177003,    45 165,    112 226,    107 953,    4 273,    40 877,    37 276,    3 601,,,  45,    91 681,    65 106,    26 575,    69418,    42 890,    26 528,  6095 544,  3 144 552,  2 950 992,    347 100,  269 982,    77 118,    257,    203,    54
  47,    6 152 212,    3478 356,    2673 856,    215432,    172 705,    42 727,    104056,    100 150,    3 906,    37 894,    34 579,    3 315,,,  46,    84 915,    60 662,    24253,65 560,    41 743,    23 817,  5 803488,  3 049429,  2 754059,    307 173,  242 856,    64 317,    261,    206,    55
  48,    6 221 424,    3 538 023,    2 683 401,    215 341,    174 543,    40 798,    101 309,    97 752,    3 557,    37254,    34034,    3 220,,,  47,    76 124,    54 752,    21 372,    60 522,    39410,    21 112,  5 395 115,  2 865 166,  2 529 949,    262 871,  211 429,    51 442,    198,    165,    33
  49,    6006 944,    3 451 750,    2 555 194,    203 254,    167 623,    35 631,    96 929,    93 552,    3 377,    36 800,    33 931,    2 869,,,  48,    73 793,    53 221,    20 572,    61 517,    41 026,    20491,  5 481 041,  2 933 676,  2 547 365,    250930,  203 581,    47 349,    239,    190,    49
50—54岁,    26 642 257,    16025 139,    10 617 118,    720 264,    631 354,    88 910,    370642,    360015,    10 627,    151 210,    143 496,    7 714,,,  49,    70053,    50908,    19 145,    59 840,    41 287,    18 553,  5 308 585,  2 874 974,  2433 611,    231 243,  189 271,    41 972,    240,    204,    36
  50,    5 612 968,    3 281 677,    2 331 291,    181 412,    153 144,    28 268,    87488,    84 709,    2 779,    34247,    32065,    2 182,,,50-54岁,    289 524,    220 712,    68 812,    265 145,    209 145,    56000,  23 994029, 13 733 847, 10 260182,    849990,  725 241,    124 749,    1 453,    1 329,    124
  51,    5 308 681,    3 179 693,    2 128 988,    157476,    136 106,    21 370,    79283,    76966,    2 317,    31 129,    29 362,    1 767,,,  50,    63 682,    47 335,    16 347,    55205,    40 817,    14388,  4 988 733,  2 753477,  2 235 256,    201 947,  169907,    32040,    254,    223,    31
  52,    5 391 823,    3 273 681,    2 118 142,    146403,    129 373,    17030,    76 591,    74 369,    2 222,    30639,    29 126,    1 513,,,  51,    59 145,    44 734,    14411,    53422,    41 417,    12005,  4 745 879,  2 695 844,  2050035,    182094,  155 034,    27060,    253,    230,    23
  53,    5 218428,    3 169 567,    2048 861,    125 398,    112 745,    12 653,    66 674,    64 895,    1 779,    28261,    27035,    1 226,,,  52,    58483,    44 804,    13 679,    54401,    43 362,    11 039,  4 851 838,  2 804213,  2047 625,    173 173,  148 168,    25005,    295,    266,    29
  54,    5 110 357,    3 120 521,    1 989 836,    109 575,    99986,    9 589,    60 606,    59076,    1 530,    26934,    25 908,    1 026,,,  53,    54917,    42 320,    12 597,    51 097,    41 475,    9 622,  4 739 919,  2 750022,  1 989 897,    151 883,  130 815,    21 068,    279,    260,    19
55—59岁,    21 326206,    13 565 698,    7 760 508,    326 795,    313 005,    13 790,    189219,    186 503,    2 716,    100 683,    98 869,    1 814,,,  54,    53 297,    41 519,    11 778,    51 020,    42074,    8 946,  4 667 660,  2 730 291,  1 937 369,    140 893,  121 317,    19 576,    372,    350,    22
  55,    4 769242,    2 954 280,    1 814 962,    89645,    84053,    5 592,    51 818,    50 804,    1 014,    23 780,    23 083,    697,,,55—59岁,    226 964,    181 649,    45 315,    218 525,    188087,    30438,  19 794 352, 12 193994,  7 600 358,    467 509,  401 484,    66025,    2 159,    2 107,    52
  56,    4 641 330,    2 923 156,    1 718 174,    76 894,    73 685,    3 209,    46054,    45 378,    676,    23 243,    22 807,    436,,,  55,  49 400,    38 876,    10 524,    48073,    40409,    7 664,  4 386 168,  2 613 557,  1 772 611,    119 936,  103 091,    16 845,    422,    407,    15
