,,,,,,,,,,,,
表6--26全国分性别、文化程度的各职业大、中、小类人口数,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,      中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,647 244 706, 356 230 253, 291 014 453,  4 301 484,  3 172 800,  1 128 684,  7 818 309,  5 441 204,  2 377 105, 13 424 418,  8 115 344, 5 309 074
各类专业、技术人员,  34 393 821,  18 829 927,  15 563 894,  3 061 322,  2 131 371,    929 951,  4 432 950,  2 758 068,  1 674 882,  8 002 866,  4 026 694, 3 976 172
  科学研究人员,    198 019,    138 616,    59 403,    124 282,    89 812,    34 470,    34 821,    23 375,    11 446,    22 409,    14 537,    7 872
    哲学研究人员,    2 787,    1 839,    948,    862,    686,    176,    165,    123,    42,    80,    49,    31
    社会学研究人员,    4 313,    3 259,    1 054,    2 810,    2 111,    699,    948,    721,    227,    208,    161,    47
    经济学研究人员,    9 879,    7 400,    2 479,    5 085,    3 940,    1 145,    2 225,    1 646,    579,    1 073,    703,    370
    法学研究人员,    2 485,    1 818,    667,    1 616,    1 180,    436,    517,    374,    143,    93,    73,    20
    教育学研究人员,    19 268,    14 445,    4 823,    6 199,    4 738,    1 461,    5 630,    4 357,    1 273,    5 351,    3 793,    1 558
    文学、艺术研究人员,    3 455,    2 574,    881,    2 121,    1 615,    506,    698,    501,    197,    247,    168,    79
    图书馆学、情报学研究人员,    8 288,    4 145,    4 143,    4 813,    2 675,    2 138,    2 086,    948,    1 138,    715,    234,    481
    历史学研究人员,    4 537,    3 594,    943,    2 637,    2 074,    563,    933,    729,    204,    310,    239,    71
    理学研究人员,    27 651,    19 795,    7 856,    21 858,    16 182,    5 676,    3 067,    1 967,    1 100,    1 514,    919,    595
    工学研究人员,    61 253,    44 046,    17 207,    42 960,    32 315,    10 645,    9 856,    6 353,    3 503,    5 593,    3 462,    2 131
    农学研究人员,    30 180,    21 268,    8 912,    17 989,    12 741,    5 248,    4 544,    3 159,    1 385,    4 870,    3 559,    1 311
    医学研究人员,    16 403,    9 133,    7 270,    10 937,    6 376,    4 561,    2 686,    1 493,    1 193,    1 682,    739,    943
    其他科学研究人员,    7 520,    5 300,    2 220,    4 395,    3 179,    1 216,    1 466,    1 004,    462,    673,    438,    235
  工程技术人员和农林技术人员,  4 510 846,  3 546 192,    964 654,  1 115 216,    865 501,    249 715,    966 196,    716 715,    249 481,  1143 061,    875 045,  268 016
    城市建筑规划设计人员,    47 836,    36 716,    11120,    12 763,    9 802,    2 961,    12 111,    8 915,    3 196,    12 422,    9 327,    3 095
    土木建筑工程技术人员,    604 723,    506 556,    98 167,    129 369,    103 042,    26 327,    131 717,    102 474,    29 243,    159 529,    129 800,    29 729
    电气和电子工程技术人员,    699 392,    517 926,    181 466,    263 415,    201 379,    62 036,    194 598,    138 011,    56 587,    154 256,    111 104,    43 152
    机械工程技术人员,    838 704,    667 048,    171 656,    272 162,    220 087,    52 075,    235 750,    180 096,    55 654,    208 800,    161 588,    47 212
    化工工程技术人员,    273 352,    187 905,    85 447,    96 961,    67 058,    29 903,    66 613,    44 790,    21 823,    61 230,    39 783,    21 447
    冶金工程技术人员,    92 862,    72 898,    19 964,    39 265,    31 264,    8 001,    22 795,    17 418,    5 377,    18 761,    14 220,    4 541
    矿业工程技术人员,    112 124,    100 981,    11 143,    27 354,    24 028,    3 326,    21 488,    19 194,    2 294,    40 113,    35 948,    4 165
    工业管理技术人员,    304 237,    216 125,    88 112,    72 040,    52 693,    19 347,    80 897,    54 830,    26 067,    72 138,    48 764,    23 374
    测绘、水文技术人员,    90 701,    74 760,    15 941,    13 395,    11 053,    2 342,    13 909,    11 202,    2 707,    31 162,    25 539,    5 623
    气象、地震技术人员,    50 350,    32 786,    17 564,    7 691,    5 591,    2 100,    7 122,    5 073,    2 049,    19 978,    12 915,    7 063
    地质工程技术人员,    139 834,    117 727,    22 107,    46 619,    39 679,    6 940,    26 201,    21 783,    4 418,    47 830,    40 502,    7 328
    轻工、纺织技术人员,    191 541,    114 719,    76 822,    26 339,    17 599,    8 740,    39 025,    25 060,    13 965,    39 941,    23 461,    16 480
    食品、饮料技术人员,    62 200,    43 661,    18 539,    10 318,    7 070,    3 248,    11 292,    7 850,    3 442,    14 527,    10 116,    4 411
    农业技术人员,    402 092,    332 298,    69 794,    43 748,    33 713,    10 035,    46 962,    36 713,    10 249,    138 096,    110 649,    27 447
    林业技术人员,    133 677,    110 919,    22 758,    17 305,    13 233,    4 072,    15 146,    11 717,    3 429,    43 035,    34 500,    8 535
    兽医,    345 069,    316 927,    28 142,    10 136,    8 184,    1 952,    12 517,    10 566,    1 951,    52 210,    44 609,    7 601
    其他工程技术人员和农林技术人员,    122 152,    96 240,    25 912,    26 336,    20 026,    6 310,    28 053,    21 023,    7 030,    29 033,    22 220,    6 813
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,,,,,,,,
,,,,,    男,    女,  小计,    男,    女,  小计,    男,    女
  科学技术管理人员和辅助人员,    78 919,    42 506,    36 413,    19 407,13 357,6 050,16 376,9 264,7 112,13 021,6 608,6 413
    科学技术管理人员,    23 836,    17 340,    6 496,    10 240,7 691,    2 549,    6 091,    4 263,    1 828,    4 328,    2 955,    1 373
    科学技术辅助人员,    55 083,    25 166,    29 917,    9 167,5 666,    3 501,    10 285,    5 001,    5 284,    8 693,    3 653,    5 040
    飞机和船舶技术人员,    134 962,    132 591,    2 371,    6 039,    5 644,    395,    8 264,    7 947,    317,    16 330,    16 054,    276
    飞机驾驶员和领航人员,    4 155,    3 941,    214,    110,    95,    15,    1 902,    1 877,    25,    1 477,    1 468,    9
  飞机机械技术人员,    4 656,    4 298,    358,    588,    503,    85,    690,    611,    79,    1 286,    1 216,    70
    船舶指挥和领航人员,    67 781,    67 415,    366,    1 954,    1 942,    12,    2 420,    2 404,    16,    6 407,    6 386,    21
    船舶轮机技术人员,    50 962,    50 233,    729,    1 713,    1 650,    63,    2 091,    2 053,    38,    5 840,    5 796,    44
    其他飞机、船舶技术人员,    7 408,    6 704,    704,    1 674,    1 454,    220,    1 161,    1 002,    159,    1 320,    1 188,    132
  卫生技术人员,    4 575 233,    1 958 145,    2 617 088,    320 405,    180 234,    140 171,    421 344,    224 787,    196 557,  1 511 178,    397 364,  1 113 814
    医生,    1 806 895,    989 203,    817 692,    295 569,    167 528,    128 041,    339 714,    190 551,    149 163,    595 617,    259 915,  335 702
    中西药剂人员,    447 561,    170 504,    277 057,    12 109,    5 619,    6 490,    22 551,    10 444,    12 107,    110 582,    39 236,    71 346
    护理人员,    1 198 190,    52 056,    1 146 134,    2 126,    423,    1 703,    24 147,    1228,    22 919,    639 335,    10 667,  628 668
    城市街道群防员,    20 068,    7 649,    12 419,    162,    80,    82,    526,    315,    211,    2 458,    895,    1 563
    农村乡村卫生技术人员,    740 196,    555 760,    184 436,    1 391,    1 200,    191,    9 303,    7 958,    1 345,    44 080,    30 076,14 004
    其他卫生技术人员,    362 323,    182 973,    179 350,    9 048,    5 384,    3 664,    25 103,    14 291,    10 812,    119 106,    56 575,    62 531
  经济业务人员,  11 840 783,    5 695 803,    6 144 980,    165 683,    104 953,    60 730,    960 126,    487 238,    472 888,  1 766 740,    840 516,  926 224
    经济计划人员,    399 162,    277 020,    122 142,    34 927,    25 664,    9 263,    90 337,    63 437,    26 900,    86 398,    57 356,    29 042
    统计人员,    1 193 249,    401 275,    791 974,    18 973,    9 928,    9 045,    120 574,    45 556,    75 018,    196 655,    72 182,  124 473
    财会人员和审计人员,    7 316 760,    2 986 712,  4 330 048,    61 227,    32 386,    28 841,    485 547,    196 137,    289 410,  1 060 416,    425 283,  635 133
    劳动工资人员,    294 189,    147 831,    146 358,    5 621,    3 757,    1 864,    41 292,    23 921,    17 371,    46 669,    24 220,    22 449
    调度人员,    582 172,    516 498,    65 674,    8 376,    7 608,    768,    32 934,    29 690,    3 244,    61 677,    55 087,    6 590
    税务人员和工商管理人员,    666 096,    510 153,    155 943,    7 556,    5 445,    2 111,    64 799,    47 627,    17 172,    106 615,    79 754,    26 861
    金融业务人员,    949 099,    547 038,    402 061,    16 547,    11 140,    5 407,    73 848,    46 406,    27 442,    132 711,    76 140,    56 571
    海关检查人员,    11 253,    8 355,    2 898,    1 088,    812,    276,    3 186,    2 303,    883,    2 000,    1 498,    502
    其他经济业务人员,    428 803,    300 921,    127 882,    11 368,    8 213,    3 155,    47 609,    32 161,    15 448,    73 599,    48 996,    24 603
  法律工作人员,    369 893,    306 276,    63 617,    25 467,    19 605,    5 862,    103 649,    79 968,    23 681,    63 803,    52 450,    11 353
    审判人员,    101 508,    86 512,    14 996,    5 273,    4 054,    1 219,    31 066,    24 712,    6 354,    15 957,    13 459,    2 498
    检察人员,    86 871,    73 986,12 885,    4 289,    3 420,    869,    26 222,    21 110,    5 112,    16 125,    13 575,    2 550
    律师,    35 283,    28 330,    6 953,    6 787,    5 387,    1 400,    14 285,    11 175,    3 110,    4 143,    3 279,    864
    其他法律工作人员,    146 231,    117 448,    28 783,    9 118,    6 744,    2 374,    32 076,    22 971,    9 105,    27 578,    22 137,    5 441
  教学人员,  11 242 508,  6 248 840,  4 993 668,  1 147 189,    767 570,    379 619,  1 700 575,  1 092 728,    607 847,  3 292 602,  1 749 992, 1 542 610
    高等教育教师,    510 925,    346 686,    164 239,    430 637,    297 842,    132 795,    63 309,    39 614,    23 695,    9 645,    4 982,    4 663
    中等教育教师,  3 735 991,  2 454 548,    1 281 443,    626 694,    409 188,    217 506,  1 366 397,    892 174,    474 223,    987 319,    652 998,  334 321
    小学教师,  5 919 181,  3 148 958,    2 770 223,    16 152,    9 348,    6 804,    145 500,    84 189,    61 311,  2 019 629,  1 010 437, 1 009 192
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    幼儿教师,    624 559,    4 891,    619 668,    979,    174,    805,    10 012,    319,    9 693,    148 861,    745,    148 116
    盲聋哑学校教师,    10 226,    3 028,    7 198,    201,    96,    105,    983,    440,    543,    5 328,    1 513,    3 815
    教学辅助人员,    245 546,    162 842,    82 704,    25 301,    18 534,    6 767,    52 229,    36 238,    15 991,    83 301,    56 270,    27 031
    其他教师,    196 080,    127 887,    68 193,    47 225,    32 388,    14 837,    62 145,    39 754,    22 391,    38 519,    23 047,    15 472
  文艺、体育工作人员,    482 363,    326 422,    155 941,    18 821,    14 295,    4 526,    42 295,    32 508,    9 787,    55 607,    36 842,    18 765
    文艺创作和评论人员,    7 399,    6 309,    1 090,    1 298,    1 108,    190,    2 036,    1 741,    295,    982,    817,    165
    编导和音乐指挥人员,    11 784,    8 710,    3 074,    2 453,    1 814,    639,    3 061,    2 270,    791,    1 608,    1 099,    509
    演员,    104 571,    52 559,    52 012,    1 883,    1 002,    881,    3 276,    1 788,    1 488,    18 329,    9 202,    9 127
    乐器演奏员,    39 537,    32 653,    6 884,    1 844,    1 237,    607,    2 096,    1 592,    504,    6 892,    5 195,    1 697
    摄影人员,    125 077,    82 919,    42 158,    671,    597,    74,    3 839,    3 347,    492,    3 727,    2 847,    880
    电影、电视摄制人员,    11 508,    8 722,    2 786,    688,    550,    138,    2 232,    1 820,    412,    1 243,    950,    293
    美术工作人员,    100 703,    75 214,    25 489,    4 422,    3 622,    800,    12 571,    10 193,    2 378,    11 385,    8 763,    2 622
    舞台工作人员,    12 641,    9 308,    3 333,    228,    183,    45,    929,    677,    252,    1 468,    1 013,    455
