,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6--28省、自治区、直辖市的市不在业人口数(第二口径),,,,,,,,,,,,,,,表6—28省、自治区、直辖市的市不在业人口数(第二口径)(续01),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    44 666 417,    17 848 727,    26 817 690,    11 955 746,    6 672 716,  5 283 030,  12 153 965,    670 847,  11 483 118,    519 216,    268 089,  251 127,,,,,,,,,,,,,,,
北京市,    1 705 297,    690 723,    1 014 574,    471 971,    260 060,    211 911,    348 448,    10 468,    337 980,    12 668,    6 276,    6 392,,,总计,    3 034 314,    1 577 237,    1 457 077,    12 940 464,    6 549 292,  6 391 172,  2 794 004,  1 170 957,    1 623 047,  1 268 708,    939 589,    329 119
天津市,    1 264 138,    462 691,    801 447,    289 031,    150 265,    138 766,    351 413,    6 113,    345 300,    2 316,    1 105,    1 211,,,北京市,    80 212,    49 337,    30 875,    681 211,    308 947,    372 264,    76 789,    29 485,    47 304,    33 998,    26 150,    7 848
河北省,    1 720 500,    639 090,    1 081 410,    465 181,    243 066,    222 115,    551 338,    10 453,    540 885,    15 363,    7 299,    8 064,,,天津市,    82 032,    40 754,    41 278,    477 882,    236 022,    241 860,    52 272,    21 246,    31 026,    9 192,    7 186,    2 006
山西省,    1 445 797,    499 771,    946 026,    359 641,    186 919,    172 722,    574 708,    5 993,    568 715,    33 632,    16 500,    17 132,,,河北省,    72 272,    34 897,    37 375,    435 426,    250 245,    185 181,    135 385,    55 142,    80 243,    45 535,    37 988,    7 547
内蒙古自治区,    1 161 101,    442 062,    719 039,    327 039,    166 120,    160 919,    393 914,    8 233,    385 681,    18 744,    9 090,    9 654,,,山西省,    88 165,    44 304,    43 861,    250 242,    164 910,    85 332,    92 700,    45 502,    47 198,    46 709,    35 643,    11 066
辽宁省,    3 736 753,    1 431 668,    2 305 085,    864 275,    453 633,    410 642,    924 295,    20 127,    904 168,    28 474,    13 563,    14 911,,,内蒙古自治区,    92 320,    45 975,    46 345,    222 312,    147 843,    74 469,    57 118,    27747,    29 371,    49 654,    37 054,    12 600
吉林省,    1 822 291,    693 206,    1 129 085,    447 801,    235 417,    212 384,    597 496,    10 567,    586 929,    7 119,    3 626,    3 493,,,辽宁省,    212 765,    109 151,    103 614,    1 394 029,    661 150,    732 879,    212 567,    93 319,    119 248,    100 348,    80 725,    19 623
黑龙江省,    3 060 555,    1 095 770,    1 964 785,      722 554,    364 800,    357 754,  1 095 259,    15 885,  1 079 374,    13 075,    6 228,    6 847,,,吉林省,    145 108,    72 011,    73 097,    451 808,    259 312,    192 496,    93 267,    48 053,    45 214,    79 692,    64 220,    15472
上海市,    2 105 863,    866 076,    1 239 787,    382 343,    220 958,    161 385,    237 725,    10 924,    226 801,    11 945,    5 957,    5 988,,,黑龙江省,    251 405,    115 985,    135 420,    717 006,    448 513,    268 493,    158 284,    72 558,    85 726,    102 972,    71 801,    31 171
江苏省,    2 020 155,    859 662,    1 160 493,    595 142,    358 732,    236 410,    427 246,    55 643,    371 603,    10 343,    5 833,    4 510,,,上海市,    125 177,    75 116,    50 061,    1 279 044,    516 184,    762 860,    30 712,    10 213,    20 499,    38 917,    26 724,    12 193
浙江省,    1 303 907,    459 677,    844 230,    215 597,    128 033,    87 564,    476 618,    28 542,    448 076,    31 873,    16 696,    15 177,,,江苏省,    92 967,    51 441,    41 526,    784 971,    339 854,    445 117,    87 373,    33 180,    54 193,    22 113,    14 979,    7 134
安徽省,    1 362 262,    565 922,    796 340,    384 458,    228 553,    155 905,    381 622,    18 662,    362 960,    31 243,    17 252,    13 991,,,浙江省,    76 963,    42 172,    34 791,    376 506,    178 719,    197 787,    88 863,    41 577,    47 286,    37 487,    23 938,    13 549
福建省,    880 197,    341 002,    539 195,    228 433,    135 556,    92 877,    265 326,    11 808,    253 518,    7 027,    3 846,    3 181,,,安徽省,    86 924,    42 854,    44 070,    347 974,    189 882,    158092,    84 168,    32 397,    51 771,    45 873,    36 322,    9 551
江西省,    1 029 010,    428 350,    600 660,    297 187,    181 617,    115 570,    272 738,    12 653,    260 085,    14 067,    7 919,    6 148,,,福建省,    51 400,    27 450,    23 950,    224 755,    111 370,    113 385,    66 509,    24 540,    41 969,    36 747,    26 432,    10 315
山东省,    2 839 068,    1 102 428,    1 736 640,    850 856,    486 406,    364450,    926 995,    59 932,    867 063,    19 098,    10 111,    8 987,,,江西省,    96 896,    45 622,    51 274,    249 749,    135 502,    114 247,    81 578,    34 404,    47 174,    16 795,    10 633,    6 162
