,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6--29省、自治区、直辖市的镇不在业人口数(第二口径),,,,,,,,,,,,,,,表6--29省、自治区、直辖市的镇不在业人口数(第二口径)(续01),,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    18 969 220,    7 194 764,    11 774 456,    4 399 018,    2 357 656,  2 041 362,  6 460 709,    206 136,  6 254 573,    382 568,    198 391,    184 177,,,总计,    1 866 267,    930 338,    935 929,    3 677 947,    2 327 915,    1 350 032,  1 314 469,    515 772,    798 697,    868 242,    658 556,    209 686
北京市,    111 494,    44 455,    67 039,    38 401,    20 045,    18 356,    27 864,    1 022,    26 842,    1 446,    734,    712,,,北京市,    3 568,    1 852,    1 716,    29 970,    15 806,    14 164,    8 101,    3 263,    4 838,    2 144,    1 733,    411
天津市,    43 306,    17 318,    25 988,    14 197,    6 820,    7 377,    13 059,    275,    12 784,    199,    89,    110,,,天津市,    1 987,    979,    1 008,    9 495,    6 808,    2 687,    3 609,    1 666,    1 943,    760,    681,    79
河北省,    531 703,    199 078,    332 625,    134 042,    65 919,    68 123,    187 018,    4 023,    182 995,    7 697,    3 523,    4 174,,,河北省,    27 050,    12 033,    15 017,    92 961,    66 725,    26 236,    60 993,    27 245,    33 748,    21 942,    19 610,    2 332
山西省,    411 242,    150 350,    260 892,    109 245,    54 165,    55 080,    152 645,    928,    151 717,    14 040,    6 907,    7 133,,,山西省,    39 881,    19 380,    20 501,    62 922,    47 590,    15 332,    15 437,    6 738,    8 699,    17 072,    14 642,    2 430
内蒙古自治区,    806 175,    273 901,    532 274,    162 268,    78 493,    83 775,    354 642,    4 194,    350 448,    16 994,    8 071,    8 923,,,内蒙古自治区,    78 509,    37 722,    40 787,    114 382,    96 171,    18 211,    38 595,    19 218,    19 377,    40 785,    30 032,    10 753
辽宁省,    740 197,    254 131,    486 066,    147 712,    73 862,    73 850,    278 965,    4 373,    274 592,    5 423,    2 499,    2 924,,,辽宁省,    52 648,    26 405,    26 243,    171 076,    100 893,    70 183,    59 526,    27 590,    31 936,    24 847,    18 509,    6 338
吉林省,    908 783,    319 124,    589 659,    197 268,    101 025,    96 243,    377 010,    4 047,    372 963,    4 818,    2 333,    2 485,,,吉林省,    93 909,    45 851,    48 058,    148 882,    114 494,    34 388,    50 144,    24 112,    26 032,    36 752,    27 262,    9 490
黑龙江省,    1 529 765,    524 219,    1 005 546,    335 580,    163 859,    171 721,    644 581,    6 074,    638 507,    8 278,    3 867,    4 411,,,黑龙江省,    151 354,    77 306,    74 048,    241 572,    187 378,    54 194,    91 770,    43 931,    47 839,    56 630,    41 804,    14 826
上海市,    122 406,    51 404,    71 002,    36 973,    19 001,    17 972,    10 689,    504,    10 185,    241,    121,    120,,,上海市,    6 072,    3 187,    2 885,    60 385,    23 161,    37 224,    2 794,    761,    2 033,    5 252,    4 669,    583
江苏省,    791 945,    317 063,    474 882,    182 603,    98 143,    84 460,    188 903,    12 015,    176 888,    8 591,    4 671,    3 920,,,江苏省,    56 270,    29 444,    26 826,    292 550,    143 868,    148 682,    44 289,    15 024,    29 265,    18 739,    13 898,    4 841
浙江省,    1 277 239,    399 209,    878 030,    152 328,    83 730,    68 598,    575 830,    11 151,    564 679,    47 298,    25 461,    21 837,,,浙江省,    56 813,    30 544,    26 269,    264 878,    154 585,    110 293,    112 129,    50469,    61 660,    67 963,    43 269,    24 694
安徽省,    678 486,    264 008,    414 478,    156 990,    94 514,    62 476,    235 116,    7 465,    227 651,    23 293,    13 193,    10 100,,,安徽省,    61 829,    29 214,    32 615,    128 197,    85 119,    43 078,    46 619,    16 165,    30 454,    26 442,    18 338,    8 104
福建省,    606 221,    207 073,    399 148,    100 129,    56 343,    43 786,    256 657,    3 855,    252 802,    8 131,    4 525,    3 606,,,福建省,    46 797,    25 042,    21 755,    93 249,    61 218,    32 031,    49 928,    18 989,    30 939,    51 330,    37 101,    14 229
江西省,    589 102,    239 363,    349 739,    143 902,    83 142,    60 760,    166 811,    2 689,    164 122,    12 988,    7 129,    5 859,,,江西省,    88 986,    40 096,    48 890,    120 490,    79 232,    41 258,    28 969,    8 619,    20 350,    26 956,    18 456,    8 500
山东省,    1 014 375,    376 283,    638 092,      314 238,    172 834,    141 404,    371 956,    17 585,    354 371,    12 893,    6 609,    6 284,,,山东省,    50 437,    20 517,    29 920,    126 665,    94 756,    31 909,    121 107,    52 382,    68 725,    17 079,    11 600,    5 479
