,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径),,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续01),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续03),,,,,,,,,,,,,,,表6-2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续04),,,,,,,,,,,,,,,表6-2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续05),,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续06),,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续07),,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续08),,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续09),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续12),,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续13),,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续14),,,,,,,,,,,,,,,表6—2省、自治区、直辖市的市按行业门、大类分性别的人口数(第二口径)(续15),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,       单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,    六、农、林、牧、,,,    Ⅱ、工业,,,    一、煤炭采选业,,,    二、石油和天然气,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    三十一、建筑材料及其,,,    三十二、黑色金属,,,    三十三、有色金属,,,    三十四、金属制品业,,,,,,    三十五、机械工业,,,    三十六、交通运输,,,    三十七、电气机械及,,,    三十八、电子及通信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    Ⅶ、房地产管理、公用事业,,,    一、房地产管理业,,,    二、公用事业,,,    三、居民服务业,,,,
,    在业人口总计,,,    Ⅰ、农、林、牧、渔、水利业,,,    一、农业,,,,,,    二、林业,,,    三、畜牧业,,,    四、渔业,,,    五、水利业,,,,,,    渔、水利服务业,,,,,,,,,    开采业,,,,,,    三、黑色金属矿采选业,,,    四、有色金属矿采选业,,,    五、建筑材料及其,,,    六、采盐业,,,,,,    七、其他矿采选业,,,    八、木材及竹材采运业,,,    九、自来水生产和,,,    十、食品制造业,,,,,,    十一、饮料制造业,,,    十二、烟草加工业,,,    十三、饲料工业,,,    十四、纺织业,,,,,,    十五、缝纫业,,,    十六、皮革、毛皮,,,    十七、木材加工及竹,,,    十八、家具制造业,,,,,,    十九、造纸及纸制品业,,,    二十、印刷业,,,    二十一、文教体育用品,,,    二十二、工艺美术品,,,,,,    二十三、电力、蒸汽,,,,,,    二十五、炼焦、煤气,,,    二十六、化学工业,,,,,,    二十七、医药工业,,,    二十八、化学纤维工业,,,    二十九、橡胶制品业,,,    三十、塑料制品业,,,,,,    他非金属矿物制品业,,,    冶炼及压延加工业,,,    冶炼及压延加工业,,,,,,,,    地区别,,,,    设备制造业,,,    器材制造业,,,    设备制造业,,,,,,    三十九、仪器仪表及,,,    四十、其他工业,,,    Ⅲ、地质普查和勘探业,,,    一、地质普查和勘探业,,,,,,    Ⅳ、建筑业,,,    一、土木工程建筑业,,,    二、线路、管道和,,,    三、勘察设计业,,,,,,    Ⅴ、交通运输、邮电,,,    一、交通运输业,,,    二、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,,,,    一、商业,,,    二、公共饮食业,,,    三、物资供销业,,,    四、仓储业,,,,,,    居民服务和咨询服务业,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,    他非金属矿采选业,,,,,,,,    地区别,,,,,,,    供应业,,,,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,    及其制品业,,,    藤、棕、草制品业,,,,,,,,    地区别,,,,,,,    制造业,,,    制造业,,,,,,    热水生产和供应业,,,    二十四、石油加工业,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,    地区别,    其他计量器具制造业,,,,,,,,,,,,,,    地区别,,,,,,,    设备安装业,,,,,,,,,    通讯业,,,,,,,,,    物资供销和仓储业,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,    及煤制品业,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,  6 578 942,  4 077 837,  2 501 105,    2 702 849,  1 752 996,    949 853,    2 036 516,    1 066 790,    969 726,    1 335 852,    621 342,    714 510,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,
总计,    120 600 175,    67 711 003,    52 889 172,    31 576 407,    16 054 587,    15 521 820,    30 125 339,    15 031 145,    15 094 194,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,    213 662,    152 389,    61 273, 45 285 919, 25 266 375, 20 019 544,    2 981 332,    2 367 754,    613 578,    378 786,    253 805,    124 981,,,总计,    224 971,    164 352,    60 619,    157 199,    112 473,    44 726,    294 440,    231 143,    63 297,    103 306,    70 521,    32 785,,,总计,    825,    581,    244,    202 858,    140 659,    62 199,    218 084,    135 171,    82 913,    1 844 876,    989 256,    855 620,,,总计,    557 151,    298 339,    258 812,    196 497,    98 447,    98 050,    66 300,    42 222,    24 078,    5 219 014,    1 851 676,    3 367 338,,,总计,  1 617 232,    425 070,  1 192 162,    654 533,    254 173,    400 360,    490 079,    290 399,    199 680,    499 188,    365 479,    133 709,,,总计,    853 605,    440 042,    413 563,    801 264,    336 013,    465 251,    369 746,    138 251,    231 495,    534 670,    175 066,    359 604,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,,,,总计,  3 071 004,  1 908 575,  1 162 429,  1 795 674,  1 252 731,    542 943,    490 800,    320 022,    170 778,    1 831 523,    1 041 871,    789 652,,,北京市,    213 840,    133 472,    80 368,    131 101,    84 416,    46 685,    82 866,    44 859,    38 007,    91 516,    43 636,    47 880,,,总计,    657 714,    343 877,    313 837,    164 483,    79 597,    84 886,    498 255,    370 846,    127 409,    498 255,    370 846,    127 409,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,    3 857 997,  1 974 416,    1 883 581,    353 701,    229 868,    123 833,    1 338 250,    740 078,    598 172,    2 079 442,    947 458,    1 131 984,,
北京市,    4 324 252,    2 463 747,    1 860 505,    353 926,    163 785,    190 141,    303 534,    131 626,    171 908,,,,,,,,,,,,,,,,,,北京市,    10 632,    8 131,    2 501,  1 471 009,    826 322,  644 687,    49 316,    43 644,    5 672,    144,    103,    41,,,北京市,    2 344,    2 039,    305,    64,    47,    17,    7 462,    5 713,    1 749,    11,    7,    4,,,北京市,    2,    1,    1,    20,    12,    8,    4 080,    2 515,    1 565,    61 377,    31 289,    30 088,,,北京市,    15 951,    8 242,    7 709,    1 548,    884,    664,    3 194,    2 127,    1 067,    91 562,    34 395,    57 167,,,北京市,    79 770,    23 421,    56 349,    16 288,    7 093,    9 195,    12 204,    8 457,    3 747,    24 431,        17 286,    7 145,,,北京市,    20 534,    9 771,    10 763,    58 329,    27 489,    30 840,    21 469,    10 376,    11 093,    33 987,    13 285,    20 702,,,总计,    955 170,    664 435,    290 735,    332 323,    206 199,    126 124,    297 168,    199 472,    97 696,    2 408 151,    1 435 659,    972 492,,,总计,    639 593,    299 916,    339 677,    243 372,    133 707,    109 665,    649 402,    323 349,    326 053,    829 427,    357 108,    472 319,,,北京市,    100 902,    67 800,    33 102,    37 717,    29 303,    8 414,    7 215,    4 505,    2 710,    68 218,    40 714,    27 504,,,天津市,    265 891,    157 756,    108 135,94 410,    58 383,    36 027,    92 213,    46 828,    45 385,    64 432,    31 686,    32 746,,,北京市,    40 989,    21 729,    19 260,    4 978,    2 355,    2 623,    4 644,    3 439,    1 205,    4 644,    3 439,    1 205,,,总计,  6 658 426,  5 209 915,  1 448 511,  5 556 627,  4 424 572,  1 132 055,    738 278,    543 163,    195 115,    363 521,    242 180,    121 341,,,,,,,,,,,,,,,,,,总计,  8 670 614,  4 081 697,  4 588 917,  1 321 389,    561 018,  760 371,    818 549,    522 915,    295 634,    473 432,    310 596,    162 836,,,北京市,    306 887,    161 653,    145 234,    28 802,    18 524,    10 278,    102 113,    60 808,    41 305,    165 743,    75 877,    89 866,,
天津市,    3 394 789,    1 910 094,    1 484 695,    407 311,    215 334,    191 977,    372 647,    188 098,    184 549,,,总计,    156 876,    100 497,    56 379,    411 042,    235 139,    175 903,    535 198,    431 401,    103 797,    134 290,    104 016,    30 274,,,天津市,    2 797,    2 273,    524,  1 635 835,    883 181,  752 654,    29,    23,    6,    23 008,    14 783,    8 225,,,天津市,    26,    18,    8,    317,    176,    141,    126,    48,    78,    17 242,    13 637,    3 605,,,天津市,-,-,-,    4,    2,    2,    7 072,    4 472,    2 600,    65 628,    33 308,    32 320,,,天津市,    11 177,    5 926,    5 251,    4 288,    2 324,    1 964,    2 411,    1 515,    896,    211 451,    87 075,    124 376,,,天津市,    57 506,    15 722,    41 784,    19 662,    7 642,    12 020,    13 914,    8 608,    5 306,    11 479,    7 665,    3 814,,,天津市,    40 479,    20 338,    20 141,    21 133,    9 298,    11 835,    22 621,    9 482,    13 139,    25 052,    9 201,    15 851,,,北京市,    22 000,    14 949,    7 051,    7 135,    4 573,    2 562,    18 790,    12 799,    5 991,    68 847,    39 267,    29 580,,,北京市,    20 562,    9 414,    11 148,    5 027,    2 385,    2 642,    20 479,    10 501,    9 978,    24 740,    11 449,    13 291,,,天津市,    68 334,    42 690,    25 644,    47 794,    36 273,    11 521,    10 230,    6 978,    3 252,    129 122,    79 525,    49 597,,,河北省,    291 673,    186 476,    105 197,    91 829,    61 848,    29 981,    56 909,    29 806,    27 103,    24 897,    11 953,    12 944,,,天津市,    25 724,    12 339,    13 385,    7 780,    3 933,    3 847,    24 377,    15 933,    8 444,    24 377,    15 933,    8 444,,,北京市,    396 461,    322 550,    73 911,    319 826,    268 918,    50 908,    40 661,    31 803,    8 858,    35 974,    21 829,    14 145,,,总计,  5 649 343,  4 342 912,  1 306 431,  5 159 929,  4 049 280,  1 110 649,    489 414,    293 632,    195 782,    11 283 984,    5 476 226,    5 807 758,,,北京市,    341 289,    156 874,    184 415,    64 300,    26 738,    37 562,    30 092,    19 697,    10 395,    27 429,    18 536,    8 893,,,天津市,    133 856,    75 003,    58 853,    14 921,    9 426,    5 495,    68 168,    40 075,    28 093,    46 967,    22 878,    24 089,,
河北省,    4 976 808,    2874 112,    2 102 696,    1 020 688,    491 360,    529 328,    993 549,    471 504,    522 045,,,北京市,    3 403,    2 106,    1 297,    28 597,    15 801,    12 796,    2 912,    2 194,    718,    4 848,    3 927,    921,,,河北省,    7 174,    5 516,    1 658,  2 053 398,  1 213 150,  840 248,    267 487,    223 008,    44 479,    24 533,    14 068,    10 465,,,河北省,    25 336,    20 123,    5 213,    5 445,    3 650,    1 795,    10 906,    8 747,    2 159,    1 530,    953,    577,,,河北省,-,-,-,    15,    9,    6,    7 474,    4 600,    2 874,    58 809,    30 199,    28 610,,,河北省,    22 143,    11 489,    10 654,    9 060,    4 445,    4 615,    1 829,    1 105,    724,    266 332,      100 555,    165 777,,,河北省,    63 176,    15 368,    47 808,    19 865,    8 440,    11 425,    7 320,    4 784,    2 536,    16 707,    11 707,    5 000,,,河北省,    44 511,    22 279,    22 232,    33 682,    13 185,    20 497,    4 376,    1 635,    2 741,    15 481,    5 006,    10 475,,,天津市,    20 454,    14 243,    6 211,    10 683,    6 363,    4 320,    16 878,    11 318,    5 560,    127 575,    75 336,    52 239,,,天津市,    24 120,    11 539,    12 581,    5 696,    3 191,    2 505,    39 913,    20 986,    18 927,    29 961,    12 551,    17 410,,,河北省,    191 264,    113 984,    77 280,    107 151,    79 731,    27 420,    9 951,    6 723,    3 228,    72 876,    43 088,    29 788,,,山西省,    202 184,    129 812,    72 372,    46 240,    31 137,    15 103,    36 365,    20 224,    16 141,    17 607,    9 061,    8 546,,,河北省,    14 579,    7 506,    7 073,    3 390,    1 541,    1 849,    62 123,    42 105,    20 018,    62 123,    42 105,    20 018,,,天津市,    186 658,    143 694,    42 964,    151 038,    118 195,    32 843,    21 778,    16 261,    5 517,    13 842,    9 238,    4 604,,,北京市,    167 361,    128 454,    38 907,    141 312,    114 456,    26 856,    26 049,    13 998,    12 051,    463 110,    221 845,    241 265,,,天津市,    253 663,    121 823,    131 840,    38 135,    15 820,    22 315,    20 525,    13 868,    6 657,    42 508,    29 093,    13 415,,,河北省,    126 747,    64 511,    62 236,    12 617,    8 491,    4 126,    49 350,    27 545,    21 805,    62 416,    26 852,    35 564,,
山西省,    3 407 449,    2 080 220,    1 327 229,    773 190,    400 571,    372 619,    746 597,    380 935,    365 662,,,天津市,    266,    191,    75,    11 725,    6 528,    5 197,    17 013,    15 814,    1 199,    2 863,    2 430,    433,,,山西省,    3 635,    2 809,    826,  1 353 304,    905 445,  447 859,    380 020,    323 478,    56 542,    63,    47,    16,,,山西省,    2 042,    1 757,    285,    720,    452,    268,    20 535,    16 677,    3 858,    10,    10,     -,,,山西省,-,-,-,    9,    7,    2,    5 359,    3 296,    2 063,    34 134,    18 785,    15 349,,,山西省,    8 087,    4 141,    3 946,    2 061,    1 011,    1 050,    1 144,    739,    405,    65 656,    24 850,    40 806,,,山西省,    26 127,    7 191,    18 936,    8 126,    3 164,    4 962,    2 900,    2 016,    884,    12 732,    8 871,    3 861,,,山西省,    12 991,    6 361,    6 630,    20 888,    7 503,    13 385,    2 529,    1 024,    1 505,    5 512,    1 915,    3 597,,,河北省,    59 300,    41 512,    17 788,    13 881,    8 971,    4 910,    18 573,    13 006,    5 567,    89 730,    55 932,    33 798,,,河北省,    30 435,    13 195,    17 240,    12 922,    7 269,    5 653,    25 966,    12 480,    13 486,    32 055,    12 774,    19 281,,,山西省,    87 142,    59 514,    27 628,    74 805,    54 398,    20 407,    8 833,    6 218,    2 615,    46 108,    27 483,    18 625,,,内蒙古自治区,    129 485,    81 317,    48 168,    19 468,    12 419,    7 049,    21 399,    11 624,    9 775,    7 677,    3 497,    4 180,,,山西省,    8 977,    4 977,    4 000,    5 328,    2 403,    2 925,    13 505,    10 550,    2 955,    13 505,    10 550,    2 955,,,河北省,    309 476,    244 347,    65 129,    261 124,    212 057,    49 067,    34 251,    23 101,    11 150,    14 101,    9 189,    4 912,,,天津市,    174 729,    138 315,    36 414,    162 743,    131 091,    31 652,    11 986,    7 224,    4 762,    354 831,    180 604,    174 227,,,河北省,    327 624,    143 115,    184 509,    45 295,    18 421,    26 874,    51 622,    30 007,    21 615,    18 160,    11 916,    6 244,,,山西省,    73 453,    36 022,    37 431,6 303,    3 825,    2 478,    23 463,    12 483,    10 980,    42 027,    18 644,    23 383,,
内蒙古自治区,    2 649 845,    1 517 613,    1 132 232,    532 990,    279 582,    253 408,    487 918,    247 562,    240 356,,,河北省,    1 362,    959,    403,    10 650,    6 572,    4 078,    4 203,    3 718,    485,    3 750,    3 091,    659,,,内蒙古自治区,    8 827,    6 075,    2 752,    942 059,    544 230,  397 829,    140 989,    104 160,    36 829,    3 262,    2 625,    637,,,内蒙古自治区,    10 506,    7 118,    3 388,    4 462,    3 847,    615,    7 348,    5 754,    1 594,    95,    68,    27,,,内蒙古自治区,-,-,-,    53,    36,    17,    7 819,    4 790,    3 029,    53 812,    29 189,    24 623,,,内蒙古自治区,    16 949,    9 301,    7 648,    2 747,    1 429,    1 318,    2 509,    1 684,    825,    78 346,    27 226,    51 120,,,内蒙古自治区,    33 047,    7 642,    25 405,    17 545,    6 874,    10 671,    8 816,    5 634,    3 182,    17 113,    13 468,    3 645,,,内蒙古自治区,    15 996,    8 182,    7 814,    15 387,    5 540,    9 847,    1 621,    544,    1 077,    16 213,    3 528,    12 685,,,山西省,    41 846,    28 716,    13 130,    1 290,    725,    565,    18 758,    13 741,    5 017,    92 150,    59 267,    32 883,,,山西省,    16 239,    6 868,    9 371,    10 278,    4 884,    5 394,    16 807,    8 662,    8 145,    10 702,    4 060,    6 642,,,内蒙古自治区,    77 577,    47 460,    30 117,    59 549,    38 635,    20 914,    19 023,    12 634,    6 389,    33 103,    18 718,    14 385,,,辽宁省,    878 818,    524 534,    354 284,    283 828,    176 931,    106 897,    251 096,    126 172,    124 924,    97 422,    42 985,    54 437,,,内蒙古自治区,    1 785,    901,    884,    3 244,    1 064,    2 180,    19 624,    14 696,    4 928,    19 624,    14 696,    4 928,,,山西省,    204 008,    157 612,    46 396,    173 754,    136 060,    37 694,    21 556,    16 073,    5 483,    8 698,    5 479,    3 219,,,河北省,    268 116,    214 025,    54 091,    244 795,    200 102,    44 693,    23 321,    13 923,    9 398,    442 701,    203 459,    239 242,,,山西省,    228 303,    97 057,    131 246,    27 841,    11 337,    16 504,    31 124,    21 191,    9 933,    7 066,    4 830,    2 236,,,内蒙古自治区,    71 690,    34 826,    36 864,    5 021,    3 404,    1 617,    21 723,    12 039,    9 684,    43 828,    18 681,    25 147,,
辽宁省,    9 668 584,    5 370 170,    4 298 414,    1 480 360,    778 673,    701 687,    1 363 146,    694 037,    669 109,,,山西省,    3 586,    2 501,    1 085,    11 609,    7 941,    3 668,    427,    342,    85,    7 336,    6 043,    1 293,,,辽宁省,    13 967,    9 441,    4 526,  4 722 855,  2 614 061, 2 108 794,    309 227,    211 806,    97 421,    39 033,    26 485,    12 548,,,辽宁省,    75 420,    52 890,    22 530,    29 540,    20 765,    8 775,    27 243,    20 677,    6 566,    8 572,    7 495,    1 077,,,辽宁省,    2,    1,    1,    6,    4,    2,    32 928,    20 591,    12 337,    135 674,    67 337,    68 337,,,辽宁省,    53 077,    25 997,    27 080,    6 672,    3 381,    3 291,    6 113,    3 658,    2 455,    343 018,    125 466,    217 552,,,辽宁省,    137 709,    29 138,    108 571,      41 273,    16 574,    24 699,    30 806,    18 598,    12 208,    33 303,    23 394,    9 909,,,辽宁省,    77 983,    39 199,    38 784,    60 837,    22 208,    38 629,    15 609,    6 388,    9 221,        22 125,    6 493,    15 632,,,内蒙古自治区,    38 522,    25 460,    13 062,    1 003,    544,    459,    9 206,    6 135,    3 071,    38 327,    22 332,    15 995,,,内蒙古自治区,    10 991,    5 018,    5 973,    2 290,    1 315,    975,    6 531,    3 253,    3 278,    8 244,    3 265,    4 979,,,辽宁省,    311 014,    182 539,    128 475,    324 946,    208 831,    116 115,    80 489,    48 915,    31 574,    192 370,    105 131,    87 239,,,吉林省,    198 552,    124 534,    74 018,    181 971,    110 579,    71 392,    47 032,    24 286,    22 746,    24 633,    11 874,    12 759,,,辽宁省,    60 440,    30 023,    30 417,    11 450,    5 343,    6 107,    42 383,    31 459,    10 924,    42 383,    31 459,        10 924,,,内蒙古自治区,    196 188,    143 820,    52 368,    174 170,    129 206,    44 964,    13 360,    9 107,    4 253,    8 658,    5 507,    3 151,,,山西省,    204 371,    167 864,    36 507,    192 389,    161 038,    31 351,    11 982,    6 826,    5 156,    294 334,    134 415,    159 919,,,内蒙古自治区,    238 732,    107 361,    131 371,    30 508,    11 204,    19 304,    20 490,    13 265,    7 225,    13 454,    8 867,    4 587,,,辽宁省,    301 589,    151 166,    150 423,    56 941,    36 313,    20 628,    128 167,    62 879,    65 288,    110 098,    47 903,    62 195,,
